Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition,Nose_x,Nose_y,Nose_z,EyeLeft_x,EyeLeft_y,EyeLeft_z,EyeRight_x,EyeRight_y,EyeRight_z,EarLeft_x,EarLeft_y,EarLeft_z,EarRight_x,EarRight_y,EarRight_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,ToesLeft_x,ToesLeft_y,ToesLeft_z,ToesRight_x,ToesRight_y,ToesRight_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,LeftIndexFinger_x,LeftIndexFinger_y,LeftIndexFinger_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,PinkyLeft_x,PinkyLeft_y,PinkyLeft_z,RightIndexFinger_x,RightIndexFinger_y,RightIndexFinger_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,PinkyRight_x,PinkyRight_y,PinkyRight_z,BigToeLeft_x,BigToeLeft_y,BigToeLeft_z,SmallToeLeft_x,SmallToeLeft_y,SmallToeLeft_z,BigToeRight_x,BigToeRight_y,BigToeRight_z,SmallToeRight_x,SmallToeRight_y,SmallToeRight_z
0,0.0698102;1.657038;0.1969289,0.0369768;1.696042;0.1689238,0.09477106;1.688367;0.1547496,-0.02992709;1.690709;0.08950297,0.1145587;1.67152;0.05406743,-0.1718896;1.531578;0.005918773,0.1903685;1.459875;-0.02084662,-0.2419994;1.196934;0.01110511,0.2769925;1.146704;0.007747428,-0.2204584;0.9670436;0.1049569,0.1947061;0.9314416;0.1026865,-0.1177261;0.9578839;-0.01672616,0.04971169;0.950352;-0.04440567,-0.1836544;0.5293569;0.1411821,0.1780798;0.5072673;-0.03371879,-0.233768;0.1796066;-0.01948009,0.2347328;0.1244318;-0.0633231,-0.2795618;0.004740357;0.1016687,0.2555834;-0.01151603;0.1057732,-0.02883152;1.074601;-0.0320404,-0.02496682;1.178697;-0.04387596,-0.0169468;1.29533;-0.04990041,-0.002427749;1.417597;-0.03252386,-0.1614689;0.8236783;0.1500906,-0.2058089;0.8835678;0.1800268,-0.2631168;0.8784269;0.1305636,0.09125555;0.8075169;0.1020525,0.1398302;0.8461509;0.1530137,0.2049198;0.8313357;0.1169424,-0.2365555;0.01851821;0.07969244,-0.3128648;0.03611344;0.05225553,0.214832;0.01150763;0.08756441,0.2825665;-0.007868469;0.04418118,-0.03400716;0;-0.03056592,0.10381736,1.657038,0.22749482,0.07098396,1.696042,0.19948972,0.12877822,1.688367,0.18531551999999998,0.004080070000000002,1.690709,0.12006889,0.14856586,1.67152,0.08463335,-0.13788244,1.531578,0.036484693,0.22437566,1.459875,0.0097193,-0.20799224,1.196934,0.04167103,0.31099965999999996,1.146704,0.038313348,-0.18645124,0.9670436,0.13552282000000002,0.22871326,0.9314416,0.13325242,-0.08371893999999999,0.9578839,0.01383976,0.08371885000000001,0.950352,-0.013839750000000001,-0.14964724,0.5293569,0.17174802,0.21208696000000002,0.5072673,-0.0031528699999999986,-0.19976084,0.1796066,0.011085830000000001,0.26873996,0.1244318,-0.03275718,-0.24555464000000002,0.004740357,0.13223462,0.28959056,-0.01151603,0.13633912,0.005175640000000002,1.074601,-0.0014744799999999968,0.009040340000000001,1.178697,-0.013310039999999999,0.01706036,1.29533,-0.01933449,0.031579411,1.417597,-0.0019579400000000018,-0.12746174,0.8236783,0.18065652,-0.17180173999999998,0.8835678,0.21059271999999998,-0.22910963999999998,0.8784269,0.16112952,0.12526271,0.8075169,0.13261842000000001,0.17383736,0.8461509,0.18357962,0.23892696000000002,0.8313357,0.14750832,-0.20254834,0.01851821,0.11025836,-0.27885764,0.03611344,0.08282145,0.24883916,0.01150763,0.11813032999999999,0.31657366,-0.007868469,0.0747471
1,0.1226139;1.629432;0.2017151,0.08379422;1.66972;0.185791,0.1345075;1.661641;0.1547604,-0.003916617;1.667714;0.1299785,0.1228666;1.647517;0.05240191,-0.1557857;1.537235;0.04668722,0.196685;1.455383;-0.02212089,-0.2610917;1.210838;0.02164315,0.3140874;1.151966;-0.01825357,-0.2200593;0.9839109;0.1162065,0.2068717;0.957302;0.09458684,-0.1322457;0.9498798;-0.01968022,0.0280513;0.9364365;-0.074292,-0.1957704;0.5376852;0.1777463,0.1873001;0.5040376;-0.05004958,-0.3061201;0.2038911;0.01326724,0.2460665;0.1223563;-0.08897106,-0.3127006;0.02823931;0.1416077,0.284024;0.005961776;0.09132835,-0.04092494;1.063199;-0.04374161,-0.03389176;1.167583;-0.05049101,-0.0221257;1.284051;-0.04975971,-0.001977112;1.404128;-0.02451038,-0.1490361;0.8445293;0.1561921,-0.1948266;0.901441;0.1895574,-0.2550817;0.8927295;0.1442729,0.08962809;0.8507081;0.1254322,0.1492149;0.888597;0.1636812,0.2063387;0.8597088;0.1229428,-0.2770889;0.0437336;0.1097633,-0.3585209;0.05765307;0.1019799,0.2411262;0.02513635;0.07359617,0.3069679;0.004285753;0.02803739,-0.05209714;0;-0.04698611,0.17471103999999998,1.629432,0.24870121,0.13589136000000002,1.66972,0.23277711,0.18660464,1.661641,0.20174651,0.048180523,1.667714,0.17696461,0.17496374,1.647517,0.09938802,-0.10368856,1.537235,0.09367333,0.24878213999999998,1.455383,0.024865219999999997,-0.20899456,1.210838,0.06862926,0.36618454,1.151966,0.028732539999999997,-0.16796216000000003,0.9839109,0.16319261000000002,0.25896884,0.957302,0.14157295,-0.08014856,0.9498798,0.02730589,0.08014844,0.9364365,-0.02730589,-0.14367326000000002,0.5376852,0.22473241,0.23939724,0.5040376,-0.0030634700000000056,-0.25402296,0.2038911,0.06025335,0.29816364,0.1223563,-0.04198495000000001,-0.26060346,0.02823931,0.18859381,0.33612114,0.005961776,0.13831446,0.0111722,1.063199,0.0032444999999999974,0.01820538,1.167583,-0.0035049000000000052,0.02997144,1.284051,-0.002773600000000001,0.050120028,1.404128,0.02247573,-0.09693896,0.8445293,0.20317821,-0.14272945999999997,0.901441,0.23654350999999998,-0.20298456000000004,0.8927295,0.19125901,0.14172522999999998,0.8507081,0.17241831,0.20131204000000003,0.888597,0.21066731,0.25843584000000003,0.8597088,0.16992891,-0.22499176000000004,0.0437336,0.15674940999999998,-0.30642376,0.05765307,0.14896600999999998,0.29322334,0.02513635,0.12058228,0.35906504,0.004285753,0.07502349999999999
2,0.1734959;1.588365;0.1904558,0.1321517;1.629283;0.1904924,0.1705226;1.624104;0.1446574,0.03137423;1.630437;0.1649027,0.1273017;1.61749;0.05031519,-0.1406025;1.506976;0.09041195,0.2003016;1.448802;-0.02928663,-0.2892223;1.208869;0.009323295,0.3381949;1.155785;-0.07403512,-0.2148721;0.9857047;0.09173344,0.2164708;0.9892062;0.0658108,-0.1399505;0.9312589;-0.0193124,0.0109195;0.9155047;-0.09578675,-0.2092316;0.5305404;0.1987286,0.2148253;0.5055075;-0.03885319,-0.3794354;0.21382;0.05255133,0.2410941;0.1303285;-0.1347679,-0.3937019;0.05327743;0.1988029,0.3548365;0.0280506;0.02037467,-0.04905484;1.042845;-0.05165789,-0.03987515;1.147233;-0.05477572,-0.02543342;1.263242;-0.04867013,-0.0006534308;1.38093;-0.01708609,-0.130213;0.850036;0.1140325,-0.1778824;0.8996949;0.1553919,-0.2403608;0.8897624;0.1134988,0.09791445;0.9138242;0.1453199,0.1714942;0.9430031;0.1588757,0.2084811;0.8981094;0.1101539,-0.3610654;0.06001669;0.1612293,-0.4398096;0.08616161;0.1623648,0.3062584;0.04070807;0.01886652,0.3543325;0.02646166;-0.04694687,-0.06451546;0;-0.05754957,0.23801136,1.588365,0.24800537,0.19666716,1.629283,0.24804197,0.23503806,1.624104,0.20220696999999999,0.09588969,1.630437,0.22245227,0.19181716,1.61749,0.10786476,-0.07608704,1.506976,0.14796152,0.26481706,1.448802,0.02826294,-0.22470684,1.208869,0.066872865,0.40271036000000004,1.155785,-0.016485549999999995,-0.15035664,0.9857047,0.14928301,0.28098626,0.9892062,0.12336037,-0.07543504000000001,0.9312589,0.03823717,0.07543496,0.9155047,-0.03823718,-0.14471614,0.5305404,0.25627817,0.27934075999999997,0.5055075,0.01869638,-0.31491994,0.21382,0.1101009,0.30560956,0.1303285,-0.07721833,-0.32918643999999997,0.05327743,0.25635247,0.41935195999999997,0.0280506,0.07792424,0.015460619999999994,1.042845,0.005891680000000003,0.02464031,1.147233,0.0027738500000000013,0.03908204,1.263242,0.008879440000000002,0.0638620292,1.38093,0.040463479999999996,-0.06569754,0.850036,0.17158207,-0.11336694,0.8996949,0.21294147,-0.17584534000000002,0.8897624,0.17104837,0.16242991,0.9138242,0.20286947,0.23600966,0.9430031,0.21642527,0.27299656,0.8981094,0.16770347,-0.29654994,0.06001669,0.21877887,-0.37529414000000005,0.08616161,0.21991437,0.37077386,0.04070807,0.07641609,0.41884796,0.02646166,0.0106027
3,0.2101768;1.537187;0.1581942,0.1722061;1.578538;0.1734232,0.1954038;1.576676;0.1181204,0.06845874;1.583256;0.178568,0.126453;1.578604;0.04031093,-0.1345872;1.449758;0.1152036,0.1955754;1.418277;-0.04441639,-0.3233016;1.200808;-0.01289582,0.3114133;1.13847;-0.1707199,-0.2255736;0.981217;0.05306577,0.1893226;1.016783;0.009303082,-0.1467035;0.9015744;-0.01850444,-0.0032233;0.88323;-0.1075841,-0.2364604;0.5023695;0.1947938,0.2550573;0.5098993;-0.02492839,-0.4508476;0.1946174;0.09491469,0.2345119;0.1517338;-0.1730646,-0.4953819;0.0552091;0.2562317,0.4137112;0.05369538;-0.09746867,-0.05651334;1.011472;-0.05784658,-0.04592247;1.115746;-0.06027778,-0.03028404;1.231454;-0.05185747,-0.003204688;1.347725;-0.01707631,-0.1393301;0.8462946;0.07376464,-0.1847726;0.896821;0.1165552,-0.2494701;0.8857648;0.07848629,0.09362821;0.9891282;0.1363368,0.1716387;0.9982287;0.1195833,0.1782715;0.9385378;0.07321222,-0.4640549;0.05066174;0.2172409,-0.5340993;0.09513909;0.2182636,0.3677276;0.05693281;-0.07753518,0.3855668;0.06079614;-0.1582341,-0.07496336;0;-0.06304429,0.28514016,1.537187,0.22123849,0.24716946,1.578538,0.23646749,0.27036716,1.576676,0.18116469000000002,0.1434221,1.583256,0.24161229,0.20141636000000002,1.578604,0.10335522,-0.059623839999999984,1.449758,0.17824789000000002,0.27053876,1.418277,0.018627900000000003,-0.24833824000000002,1.200808,0.05014847,0.38637666000000004,1.13847,-0.10767561,-0.15061024,0.981217,0.11611006,0.26428596000000004,1.016783,0.07234737200000001,-0.07174013999999998,0.9015744,0.044539850000000006,0.07174006000000001,0.88323,-0.04453981,-0.16149703999999998,0.5023695,0.25783809,0.33002065999999997,0.5098993,0.0381159,-0.37588424,0.1946174,0.15795898,0.30947526000000003,0.1517338,-0.11002031000000001,-0.42041854,0.0552091,0.31927599,0.48867456,0.05369538,-0.03442437999999999,0.018450020000000004,1.011472,0.005197710000000001,0.029040890000000007,1.115746,0.00276651,0.04467932000000001,1.231454,0.01118682,0.07175867200000001,1.347725,0.045967980000000006,-0.06436674,0.8462946,0.13680893,-0.10980924,0.896821,0.17959949,-0.17450674,0.8857648,0.14153058000000002,0.16859157000000002,0.9891282,0.19938109,0.24660206,0.9982287,0.18262759,0.25323486,0.9385378,0.13625651,-0.38909154,0.05066174,0.28028518999999996,-0.45913594,0.09513909,0.28130789,0.44269095999999997,0.05693281,-0.014490889999999992,0.46053016,0.06079614,-0.09518980999999999
4,0.2296392;1.481039;0.1261958,0.1974676;1.522039;0.1520337,0.2088554;1.524173;0.09316293,0.0972451;1.529299;0.1787732,0.1257145;1.534632;0.03159627,-0.126718;1.387347;0.1315875,0.1882082;1.367761;-0.06048154,-0.3423022;1.172146;-0.002111308,0.2295879;1.113047;-0.2647162,-0.2398354;0.9500303;0.04570945,0.1370798;1.02462;-0.05083501,-0.1522368;0.8596845;-0.009702772,-0.01497918;0.8399612;-0.1078334,-0.2897589;0.4565946;0.1678454,0.2979451;0.509387;-0.03222995,-0.5449877;0.1662462;0.1331317,0.2271596;0.1797971;-0.224607,-0.5283262;0.01962125;0.2869266,0.4188058;0.07643551;-0.2242782,-0.0640082;0.968771;-0.05526028,-0.05304619;1.072986;-0.05844571,-0.03663965;1.188614;-0.05040196,-0.006971568;1.304469;-0.01635061,-0.1642735;0.808797;0.06605595,-0.198252;0.8667105;0.1101064,-0.2684923;0.8596483;0.0822914,0.1116235;1.041751;0.1076524,0.1726567;1.031857;0.05640593,0.1514444;0.9641322;0.02956162,-0.5030181;0.02374333;0.2437429,-0.5820218;0.04597092;0.2559831,0.3794681;0.07178169;-0.193404,0.3761317;0.09707731;-0.2721092,-0.08360795;0;-0.05876808,0.31324715,1.481039,0.18496388,0.28107555,1.522039,0.21080178,0.29246335,1.524173,0.15193101,0.18085305000000002,1.529299,0.23754128,0.20932245,1.534632,0.09036435000000001,-0.04311005,1.387347,0.19035558,0.27181615,1.367761,-0.00171346,-0.25869425,1.172146,0.056656772,0.31319585,1.113047,-0.20594812,-0.15622745,0.9500303,0.10447753,0.22068775000000002,1.02462,0.00793307,-0.06862885,0.8596845,0.049065308,0.06862877,0.8399612,-0.049065319999999996,-0.20615095,0.4565946,0.22661348,0.38155305,0.509387,0.02653813,-0.46137975,0.1662462,0.19189978,0.31076755,0.1797971,-0.16583892,-0.44471825,0.01962125,0.34569468,0.50241375,0.07643551,-0.16551012,0.01959975,0.968771,0.0035077999999999984,0.03056176,1.072986,0.0003223700000000024,0.0469683,1.188614,0.008366119999999998,0.076636382,1.304469,0.04241747,-0.08066554999999999,0.808797,0.12482403,-0.11464405000000001,0.8667105,0.16887448,-0.18488435000000003,0.8596483,0.14105948000000001,0.19523145,1.041751,0.16642047999999998,0.25626465,1.031857,0.11517401,0.23505235000000002,0.9641322,0.0883297,-0.41941015000000004,0.02374333,0.30251098,-0.49841385000000005,0.04597092,0.31475118,0.46307604999999996,0.07178169,-0.13463592,0.45973965,0.09707731,-0.21334112
5,0.2426271;1.428842;0.1049276,0.2136789;1.46908;0.1353675,0.2194854;1.473572;0.07581834,0.1165552;1.476354;0.1717865,0.1310718;1.487585;0.02291364,-0.1135227;1.331997;0.1446677,0.1784951;1.313948;-0.08189786,-0.3364488;1.10869;0.04265121,0.1273805;1.108013;-0.3324572,-0.2308634;0.8848408;0.07206579,0.08251572;0.9919287;-0.1165087,-0.1566628;0.8113148;0.002712302,-0.02550684;0.7922706;-0.1035596,-0.3466711;0.413793;0.1397902,0.3321596;0.5064772;-0.0459959,-0.6104422;0.1291814;0.1314244,0.2257691;0.2113326;-0.2745124,-0.5346434;0.006478786;0.2909442,0.4032072;0.09200728;-0.3153405,-0.07134283;0.9207299;-0.04737232,-0.06034842;1.02493;-0.05089954,-0.04251342;1.140437;-0.04427192,-0.008571863;1.256072;-0.01363632,-0.1658698;0.7370527;0.0698468,-0.1833437;0.7952325;0.1223705,-0.2584474;0.7953591;0.1115691,0.1359822;0.9970284;0.03572489,0.1646753;1.001216;-0.03916369,0.1431683;0.9319032;-0.06130943,-0.5162212;0.0143581;0.2448913,-0.5965554;0.0144363;0.2656736,0.365927;0.0843972;-0.2825596,0.3599459;0.127127;-0.3531562,-0.09108478;0;-0.05042363,0.33371188,1.428842,0.15535123,0.30476368,1.46908,0.18579113,0.31057018000000003,1.473572,0.12624196999999998,0.20763998,1.476354,0.22221013,0.22215658,1.487585,0.07333727,-0.02243792,1.331997,0.19509133,0.26957988,1.313948,-0.031474230000000006,-0.24536402,1.10869,0.09307483999999999,0.21846528,1.108013,-0.28203357,-0.13977862,0.8848408,0.12248942,0.1736005,0.9919287,-0.06608507000000001,-0.06557801999999999,0.8113148,0.053135932,0.06557794,0.7922706,-0.053135970000000005,-0.25558632000000003,0.413793,0.19021383,0.42324438,0.5064772,0.004427729999999998,-0.5193574200000001,0.1291814,0.18184803,0.31685388000000003,0.2113326,-0.22408877,-0.44355862,0.006478786,0.34136783,0.49429197999999996,0.09200728,-0.26491687,0.019741950000000008,0.9207299,0.0030513099999999946,0.030736360000000004,1.02493,-0.000475910000000003,0.04857136,1.140437,0.006151709999999998,0.082512917,1.256072,0.03678731,-0.07478502000000001,0.7370527,0.12027043,-0.09225892,0.7952325,0.17279413,-0.16736262,0.7953591,0.16199273,0.22706698,0.9970284,0.08614852,0.25576008,1.001216,0.011259939999999996,0.23425308,0.9319032,-0.010885800000000001,-0.42513642000000007,0.0143581,0.29531493,-0.50547062,0.0144363,0.31609723,0.45701178,0.0843972,-0.23213597000000002,0.45103068,0.127127,-0.30273257
6,0.2704401;1.381118;0.06791133,0.2441428;1.422591;0.09908936,0.2449725;1.424787;0.03913534,0.150392;1.431598;0.1431565,0.1524661;1.437087;-0.006728638,-0.08626604;1.281695;0.1382812,0.1786612;1.263884;-0.1205593,-0.2883334;1.021945;0.0913124,0.04307969;1.117999;-0.3790797,-0.1562963;0.8108976;0.1034377,0.03203396;0.9187033;-0.2298097,-0.1587414;0.7707983;-0.000441879,-0.03174902;0.7457148;-0.1104512,-0.3275696;0.3754106;0.1671369,0.3532234;0.4954535;-0.06481955,-0.6209285;0.1230158;0.1373654,0.2305729;0.2207613;-0.3100747,-0.5430205;0.004977524;0.3024809,0.4018485;0.107443;-0.3821699,-0.07127361;0.876451;-0.05472361,-0.05683772;0.9801646;-0.05983699,-0.03484332;1.095028;-0.0546829,0.005033776;1.209359;-0.02639574,-0.08014216;0.6747144;0.06190346,-0.09025194;0.7217928;0.1261714,-0.1654845;0.7137748;0.1319175,0.09352627;0.8482039;-0.09824883,0.1182511;0.8897198;-0.1623911,0.09499057;0.8402969;-0.215056,-0.5248106;0.01178998;0.2561742,-0.6050016;0.01317304;0.2774571,0.3663327;0.09480613;-0.3489847,0.3574712;0.1494465;-0.4104778,-0.09524514;0;-0.05544653,0.36568524,1.381118,0.12335786000000001,0.33938794,1.422591,0.15453589,0.34021764,1.424787,0.09458187,0.24563714,1.431598,0.19860302999999999,0.24771124,1.437087,0.048717892,0.008979100000000004,1.281695,0.19372773,0.27390634,1.263884,-0.06511276999999999,-0.19308826,1.021945,0.14675893,0.13832483,1.117999,-0.32363317,-0.06105115999999999,0.8108976,0.15888423,0.1272791,0.9187033,-0.17436317,-0.06349626,0.7707983,0.055004651,0.06349612,0.7457148,-0.05500467,-0.23232446,0.3754106,0.22258343,0.44846854,0.4954535,-0.009373020000000003,-0.5256833599999999,0.1230158,0.19281193,0.32581804000000003,0.2207613,-0.25462817,-0.44777536,0.004977524,0.35792743,0.49709364,0.107443,-0.32672337,0.023971530000000005,0.876451,0.0007229200000000019,0.038407420000000005,0.9801646,-0.004390459999999999,0.06040182000000001,1.095028,0.0007636300000000013,0.10027891600000001,1.209359,0.02905079,0.015102980000000002,0.6747144,0.11734999,0.004993200000000003,0.7217928,0.18161792999999998,-0.07023936,0.7137748,0.18736403,0.18877141,0.8482039,-0.042802299999999995,0.21349624,0.8897198,-0.10694457000000002,0.19023571,0.8402969,-0.15960947,-0.42956546,0.01178998,0.31162073,-0.50975646,0.01317304,0.33290363,0.46157784,0.09480613,-0.29353817,0.45271634,0.1494465,-0.35503127
7,0.3059209;1.338514;0.02346434,0.2821761;1.379435;0.05730581,0.2778748;1.382384;-0.002467111,0.1924852;1.387326;0.1093203,0.1817319;1.394698;-0.04011194,-0.05003744;1.233908;0.1230398,0.1879524;1.230049;-0.1607177,-0.2023577;0.9411854;0.1385619,0.008567944;1.087988;-0.3970462,-0.01611315;0.7759624;0.1268966,-0.02530374;0.8427237;-0.3684026,-0.1514667;0.7453194;-0.007059954,-0.03301981;0.7115467;-0.1240559,-0.3092509;0.3607643;0.1932861,0.3569441;0.4679347;-0.08535264,-0.616766;0.1292591;0.1433992,0.2430086;0.1799939;-0.3193564,-0.5500754;0.007150769;0.3079486,0.4080766;0.06318355;-0.3998564,-0.06531533;0.845805;-0.07217681,-0.04834113;0.948824;-0.08166398,-0.02199665;1.062834;-0.07826421,0.02486414;1.174443;-0.04980999,0.0785519;0.6596648;0.06703171,0.07775944;0.712669;0.127355,0.01581345;0.6861984;0.1622728,0.01629541;0.7027311;-0.2996181,0.05064763;0.7646559;-0.3374913,0.0146564;0.756224;-0.4037546,-0.52912;0.01477003;0.262947,-0.6104684;0.01535022;0.2793047,0.3738227;0.05115867;-0.365152,0.3634609;0.1064026;-0.4258661,-0.09224316;0;-0.06555793,0.39816406,1.338514,0.08902227,0.37441926,1.379435,0.12286374,0.37011795999999997,1.382384,0.063090819,0.28472836,1.387326,0.17487823,0.27397506,1.394698,0.02544599,0.04220572,1.233908,0.18859773000000002,0.28019556,1.230049,-0.09515976999999999,-0.11011454,0.9411854,0.20411983,0.100811104,1.087988,-0.33148827000000003,0.07613001,0.7759624,0.19245453,0.06693942,0.8427237,-0.30284467000000004,-0.059223540000000005,0.7453194,0.058497976,0.05922335000000001,0.7115467,-0.058497969999999996,-0.21700774,0.3607643,0.25884403,0.44918726,0.4679347,-0.019794709999999993,-0.52452284,0.1292591,0.20895713,0.33525176,0.1799939,-0.25379847,-0.45783224,0.007150769,0.37350653,0.50031976,0.06318355,-0.33429847,0.02692783,0.845805,-0.006618879999999994,0.04390203,0.948824,-0.016106049999999997,0.07024651000000001,1.062834,-0.01270628,0.1171073,1.174443,0.015747940000000002,0.17079506,0.6596648,0.13258964,0.1700026,0.712669,0.19291292999999998,0.10805661,0.6861984,0.22783072999999998,0.10853857,0.7027311,-0.23406017,0.14289079,0.7646559,-0.27193337,0.10689956,0.756224,-0.33819667000000003,-0.43687684000000004,0.01477003,0.32850493,-0.51822524,0.01535022,0.34486263,0.46606586,0.05115867,-0.29959407,0.45570405999999997,0.1064026,-0.36030817000000004
8,0.3417481;1.309554;-0.00802885,0.3208436;1.348447;0.02983842,0.3120771;1.354903;-0.02916564,0.2353623;1.353378;0.08883762,0.2134463;1.369516;-0.05867254,0.003856964;1.214522;0.1272479,0.2013047;1.196935;-0.1852649,-0.09409294;0.9018068;0.1793136,0.009488061;1.058881;-0.4112464,0.1313852;0.8004275;0.1476328,-0.06882859;0.824715;-0.4452336,-0.1303619;0.7244482;-0.01051082,-0.02682159;0.6945713;-0.1418313,-0.2934355;0.3470966;0.1990837,0.3597043;0.4430062;-0.1266822,-0.6164322;0.1369998;0.1523778,0.2234915;0.1254104;-0.3033967,-0.5521538;0.01366276;0.3166111,0.3931482;0.03447217;-0.404637,-0.05157549;0.8269233;-0.08158257,-0.03440863;0.9300528;-0.08937039,-0.005178981;1.043342;-0.08550165,0.048388;1.152565;-0.05975339,0.2608634;0.7227038;0.09049404,0.2429557;0.7822515;0.141311,0.2020332;0.7409649;0.1900759,-0.0298386;0.6685398;-0.4574334,-0.008832216;0.7392951;-0.4890808,-0.0761127;0.7561159;-0.519865,-0.5304331;0.02181244;0.2720674,-0.6120692;0.02169532;0.2869351,0.368517;0.0199278;-0.3633564,0.3367282;0.06512672;-0.4249358,-0.07859165;0;-0.0761711,0.42033975,1.309554,0.06814225,0.39943525,1.348447,0.10600952000000001,0.39066875,1.354903,0.047005460000000006,0.31395395,1.353378,0.16500872,0.29203795,1.369516,0.017498560000000003,0.082448614,1.214522,0.20341900000000002,0.27989635,1.196935,-0.1090938,-0.015501290000000001,0.9018068,0.2554847,0.088079711,1.058881,-0.3350753,0.20997685,0.8004275,0.2238039,0.009763060000000004,0.824715,-0.3690625,-0.051770250000000004,0.7244482,0.06566028,0.05177006,0.6945713,-0.06566019999999999,-0.21484385,0.3470966,0.2752548,0.43829595,0.4430062,-0.05051109999999999,-0.53784055,0.1369998,0.2285489,0.30208315,0.1254104,-0.22722560000000003,-0.47356215,0.01366276,0.39278219999999997,0.47173985,0.03447217,-0.32846590000000003,0.027016159999999997,0.8269233,-0.005411469999999988,0.044183019999999996,0.9300528,-0.013199289999999989,0.073412669,1.043342,-0.009330549999999993,0.12697965,1.152565,0.016417710000000002,0.33945505000000004,0.7227038,0.16666514,0.32154735,0.7822515,0.2174821,0.28062485,0.7409649,0.266247,0.04875305,0.6685398,-0.3812623,0.069759434,0.7392951,-0.4129097,0.0024789499999999937,0.7561159,-0.44369390000000003,-0.45184145,0.02181244,0.3482385,-0.53347755,0.02169532,0.3631062,0.44710865,0.0199278,-0.28718530000000003,0.41531985,0.06512672,-0.3487647
9,0.400169;1.289874;-0.0477995,0.3802343;1.327691;-0.008351579,0.3678899;1.33443;-0.06667989,0.2981693;1.329242;0.05548549,0.267308;1.34609;-0.0903354,0.09122454;1.213707;0.1204916,0.2346124;1.162142;-0.216039,0.01195358;0.8934143;0.1836603,0.02742349;1.052529;-0.4369287,0.2544507;0.849909;0.1459214,-0.06950078;0.829382;-0.4910902,-0.1006219;0.7114192;-0.01590031,-0.01823114;0.6864108;-0.1623402,-0.2819506;0.3407454;0.1905889,0.371038;0.4391863;-0.1786568,-0.616506;0.1455872;0.1653929,0.2100042;0.1145548;-0.3176948,-0.54927;0.022273;0.3284349,0.3757479;0.008089185;-0.4094658,-0.02627178;0.8148656;-0.0902677,-0.004184507;0.9172549;-0.09469701,0.03175903;1.028625;-0.09177501,0.0943904;1.134552;-0.0739194,0.4062743;0.8302304;0.09461141,0.3652024;0.8732634;0.1485578,0.3393228;0.814809;0.1894306,-0.0378823;0.6754913;-0.5282072,-0.01330486;0.7493124;-0.5480952,-0.07948014;0.7740651;-0.5757614,-0.5281833;0.0306868;0.2836365,-0.6096177;0.02996111;0.2995548,0.3554238;0.003098845;-0.3638113,0.3161543;0.03069389;-0.4312049,-0.05942645;0;-0.08912025,0.45959545,1.289874,0.041320749999999996,0.43966075000000004,1.327691,0.080768671,0.42731635,1.33443,0.022440359999999993,0.35759575000000005,1.329242,0.14460573999999998,0.32673445,1.34609,-0.0012151499999999982,0.15065099,1.213707,0.20961185,0.29403885,1.162142,-0.12691875000000002,0.07138003,0.8934143,0.27278055,0.08684994,1.052529,-0.34780845,0.31387715,0.849909,0.23504165,-0.01007433,0.829382,-0.40196994999999996,-0.04119545,0.7114192,0.07321994,0.04119531,0.6864108,-0.07321994999999999,-0.22252415,0.3407454,0.27970915,0.43046445,0.4391863,-0.08953655,-0.55707955,0.1455872,0.25451315,0.26943065,0.1145548,-0.22857455,-0.48984355,0.022273,0.41755515,0.43517435000000004,0.008089185,-0.32034555,0.03315467,0.8148656,-0.0011474500000000082,0.055241943,0.9172549,-0.00557676,0.09118548,1.028625,-0.002654760000000006,0.15381685,1.134552,0.015200850000000002,0.46570075,0.8302304,0.18373166000000002,0.42462885,0.8732634,0.23767804999999997,0.39874925,0.814809,0.27855085,0.021544149999999998,0.6754913,-0.43908695,0.04612159,0.7493124,-0.45897495,-0.020053690000000006,0.7740651,-0.48664114999999997,-0.46875685,0.0306868,0.37275675,-0.55019125,0.02996111,0.38867505,0.41485025000000003,0.003098845,-0.27469105,0.37558075,0.03069389,-0.34208465
