Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.01779804;1.269376;0.3107253,-0.0189242;1.309513;0.2901302,0.04042908;1.318153;0.2885372,-0.06873627;1.322546;0.1997911,0.07964696;1.344146;0.1958087,-0.1667952;1.196894;0.05543894,0.2026975;1.187764;0.07740819,-0.2100181;0.9155166;-0.1308428,0.2589912;0.8652256;-0.003959741,-0.2630224;0.6880825;-0.2179404,0.3104568;0.6234257;-0.03568294,-0.1042285;0.6981869;-0.04092863,0.06441982;0.6793353;-0.04871679,-0.1718605;0.3338906;0.2340825,0.126837;0.3973694;0.3111664,-0.2279916;0.1425531;-0.09891641,0.2089011;0.1151044;0.05770821,-0.3088743;0.009912789;0.06576663,0.2765415;0.01248133;0.2374911,-0.007869317;0.8063403;-0.06880987,0.002236223;0.9090502;-0.08723848,0.01269539;1.024548;-0.07127668,0.01762688;1.128466;-0.003169019,-0.2806167;0.5390733;-0.1791776,-0.3021899;0.5841414;-0.23986,-0.2305364;0.6007437;-0.2584984,0.3026643;0.5060526;0.06520993,0.3484861;0.5244629;0.00405151,0.2905142;0.5241985;-0.04490229,-0.2619404;0.01759857;0.04962731,-0.3310837;0.03018683;0.005511079,0.231772;0.01181173;0.2147409,0.3042674;0.02694142;0.1778492,-0.01990428;0;-0.04482276
1,0.01831161;1.247298;0.338223,-0.01853138;1.28649;0.3160842,0.04073251;1.295827;0.3152917,-0.06694046;1.29682;0.2246396,0.08121924;1.32016;0.2226583,-0.1624446;1.171383;0.08093409,0.2061094;1.156914;0.1119417,-0.203328;0.8932295;-0.110798,0.261271;0.8329139;0.03432443,-0.2582541;0.6620416;-0.1860111,0.3096747;0.5902829;0.00416683,-0.1111614;0.6691224;-0.001539011,0.05694518;0.6453215;-0.007194478,-0.1898157;0.3027788;0.2677618,0.1280952;0.3509315;0.3409275,-0.2369325;0.1748185;-0.09563209,0.2116148;0.1087663;0.04932909,-0.3086599;0.02030468;0.04599999,0.2836148;-0.006675363;0.2191717,-0.01140446;0.77412;-0.02953322,0.001790181;0.8762149;-0.0493722,0.01505978;0.9917377;-0.03587307,0.0213555;1.097566;0.02910952,-0.2937463;0.5164655;-0.1464664,-0.3043126;0.5614495;-0.2100564,-0.2298262;0.5709442;-0.2209604,0.3007711;0.4754201;0.1078192,0.3455587;0.4910214;0.04513272,0.2863623;0.4915758;-0.002330583,-0.2620925;0.03200227;0.03126954,-0.3313299;0.04365975;-0.01295469,0.2386886;-0.006726563;0.1967225,0.3104152;0.01348555;0.1607744,-0.02710808;0;-0.004366797
2,0.01141102;1.231543;0.3627773,-0.02529404;1.270916;0.3407286,0.03398591;1.280169;0.3402039,-0.07335578;1.281837;0.2491696,0.07484418;1.304969;0.2478578,-0.1680664;1.152119;0.1065888,0.2006185;1.140332;0.1386304,-0.200396;0.8754026;-0.08909968,0.2544374;0.8146194;0.06586462,-0.2527826;0.640003;-0.1520633,0.302736;0.5716485;0.03839481,-0.1122518;0.6462701;0.04192933,0.05630422;0.6251758;0.04341134,-0.2042874;0.2868478;0.3162689,0.1289639;0.3182772;0.3802356,-0.2384448;0.2060778;-0.06182966,0.2128089;0.123855;0.05493708,-0.3049907;0.03440589;0.03703335,0.2931225;-0.009338677;0.2086882,-0.0131988;0.7517098;0.01310896,-0.0006111562;0.8530483;-0.01062085,0.01154178;0.9691342;-0.00166491,0.01663746;1.077553;0.05901073,-0.2964794;0.4953701;-0.1175989,-0.300236;0.5414227;-0.181191,-0.2248208;0.5483367;-0.1858826,0.3009667;0.4630621;0.1489498,0.3398837;0.4737663;0.08149734,0.2764212;0.4734955;0.03990731,-0.2579945;0.04898179;0.02697209,-0.3240205;0.06103158;-0.02182212,0.2477088;-0.008176446;0.1872739,0.3177693;0.01948106;0.1530381,-0.02797373;0;0.04267028
3,0.001012847;1.2286;0.374345,-0.03518194;1.267755;0.3510974,0.02420252;1.276304;0.3504665,-0.08290413;1.276637;0.2591411,0.06555706;1.29801;0.2575638,-0.1724635;1.129942;0.119581,0.1954594;1.131277;0.1635686,-0.1989046;0.854787;-0.07636875,0.2551378;0.8044705;0.09310314,-0.2491293;0.6128383;-0.1089281,0.293606;0.5585797;0.07968196,-0.1131094;0.6247599;0.1040989,0.05464766;0.5995102;0.1129486,-0.2299016;0.2573683;0.3576737,0.1332905;0.2819723;0.438374,-0.2255072;0.2313752;-0.0295653,0.2135887;0.164556;0.07724421,-0.2969809;0.05325627;0.02639955,0.2955696;0.01686883;0.2020528,-0.01024185;0.7254682;0.07191588,0.00457973;0.8245766;0.04111222,0.01542278;0.9411272;0.03961524,0.0154308;1.055712;0.08791036,-0.301812;0.4703515;-0.078302,-0.2950017;0.5149778;-0.1426528,-0.2195104;0.5196457;-0.1366082,0.29801;0.4537749;0.1937569,0.3324307;0.4616852;0.1235318,0.2663198;0.4609047;0.08630234,-0.248997;0.06743443;0.02205631,-0.3103999;0.08743989;-0.03004897,0.2506122;0.01821971;0.1797072,0.3201852;0.05162752;0.1498908,-0.02923081;0;0.1085237
4,-0.005011134;1.224712;0.4090588,-0.0407924;1.263387;0.3844104,0.01869282;1.271144;0.3832566,-0.08873572;1.269275;0.2923289,0.05997737;1.288668;0.2894444,-0.1734984;1.116904;0.1471416,0.1908666;1.116676;0.2149544,-0.1879437;0.8388697;-0.04556927,0.2606627;0.793065;0.1391802,-0.2355907;0.5943857;-0.05446537,0.2939041;0.5461162;0.1333895,-0.1148152;0.6088781;0.1616158,0.05221923;0.5837853;0.1797303,-0.2527928;0.2470908;0.4125924,0.144958;0.2642312;0.4994199,-0.2086901;0.2236586;0.02768356,0.2124879;0.1965108;0.1232513,-0.3084731;0.05458975;0.08227134,0.2903112;0.04411989;0.2168187,-0.0101704;0.7081608;0.1307609,0.006521478;0.8059056;0.09672596,0.01785676;0.9222475;0.09040663,0.01545206;1.039202;0.1325717,-0.2909054;0.4532084;-0.02244771,-0.2773686;0.4946054;-0.08788419,-0.2029654;0.5001555;-0.07407728,0.2918175;0.4436076;0.2495969,0.3301469;0.4501391;0.1812805,0.2662401;0.4485753;0.1404057,-0.2589959;0.06320673;0.08257154,-0.3124668;0.08949459;0.02481946,0.2461989;0.04610032;0.1928914,0.3164462;0.08154452;0.1673078,-0.03129794;0;0.170673
5,-0.009652559;1.226999;0.4545992,-0.04598191;1.264255;0.4286039,0.01346037;1.271889;0.4257153,-0.09593077;1.264995;0.3374074,0.0526748;1.284079;0.3301859,-0.1757802;1.110127;0.1847491,0.1827203;1.103275;0.2787028,-0.1762333;0.8248158;0.001339063,0.2690422;0.7870565;0.1942613,-0.2281402;0.5811836;0.009750783,0.3057301;0.5406262;0.1873115,-0.1182412;0.5952024;0.2168484,0.0464482;0.575446;0.2535278,-0.2987062;0.2924426;0.51465,0.1726262;0.2532513;0.5587922,-0.217729;0.1970276;0.1472435,0.2323455;0.2329178;0.175818,-0.3327078;0.03637677;0.2235533,0.2915212;0.06920618;0.2359616,-0.01341497;0.6964644;0.1941085,0.005194806;0.7933882;0.1587462,0.01718577;0.9094705;0.1495284,0.01296422;1.027925;0.1871152,-0.2906059;0.443893;0.04532014,-0.26656;0.4791305;-0.02070259,-0.1949575;0.4853204;0.003628522,0.3029387;0.4417008;0.3065697,0.3426337;0.4468523;0.2389184,0.2796773;0.4428468;0.1967554,-0.2833339;0.04482973;0.2271734,-0.3313758;0.06488556;0.1625573,0.248731;0.07820737;0.2112573,0.3228675;0.1095322;0.1920732,-0.03589642;0;0.235188
6,-0.02256639;1.229361;0.5198442,-0.06052344;1.265094;0.4940364,-0.001402404;1.272211;0.4866852,-0.1164997;1.260335;0.4065364,0.0313028;1.27813;0.3881581,-0.1848326;1.105099;0.2350043,0.1568715;1.08937;0.3767077,-0.19046;0.8026223;0.08067811,0.2680855;0.7849945;0.2834186,-0.2538637;0.5624192;0.1007825,0.3163225;0.5404669;0.2821252,-0.1150367;0.572493;0.2699659,0.03752672;0.5671897;0.3444948,-0.3766541;0.3713834;0.5925002,0.221887;0.2343568;0.6055508,-0.2483874;0.1329976;0.3143477,0.2710836;0.2930688;0.2250489,-0.3769106;-0.01796001;0.427872,0.3391306;0.09716424;0.1991339,-0.01719814;0.6828825;0.2711457,0.002462745;0.780888;0.239532,0.01301907;0.8971463;0.2307927,0.003063686;1.016573;0.2639634,-0.3378802;0.4399573;0.145057,-0.2962064;0.4592481;0.08125994,-0.2313609;0.4652347;0.1202018,0.3119595;0.439822;0.3998881,0.3565556;0.4492896;0.3358532,0.2978714;0.4407302;0.2885225,-0.3301615;-0.001489937;0.435971,-0.3708983;0.001722872;0.3637512,0.2952368;0.1175178;0.1856655,0.3677898;0.1571806;0.1885671,-0.03875493;0;0.3072303
7,-0.0437299;1.218665;0.5781197,-0.08234818;1.254896;0.5540459,-0.02358833;1.260802;0.543444,-0.1430607;1.250447;0.4697461,0.003838863;1.265212;0.4432415,-0.1977722;1.095076;0.2797163,0.122423;1.075131;0.4628676,-0.2146781;0.7813227;0.1503506,0.2639176;0.7916442;0.350381,-0.2970406;0.5472941;0.1742012,0.3253297;0.5502175;0.3583741,-0.09791571;0.5454473;0.3218812,0.03562108;0.5579112;0.4261447,-0.4225108;0.4254698;0.6271031,0.2351452;0.2166969;0.6642195,-0.2847733;0.1009171;0.4647985,0.3089556;0.308981;0.2945105,-0.4668564;-0.01526845;0.5367278,0.4004477;0.1232018;0.2382616,-0.01643387;0.6668531;0.3413998,-0.000481043;0.7664574;0.3128424,0.005194839;0.8830593;0.304145,-0.01198888;1.002918;0.3324407,-0.4009457;0.4433357;0.223316,-0.3517326;0.4488826;0.1622735,-0.2902107;0.4512185;0.2066227,0.3195984;0.4429814;0.4701066,0.3695607;0.460932;0.4121369,0.3177621;0.4488698;0.3580193,-0.4209818;-0.01006591;0.5564963,-0.4410384;0.001341939;0.47679,0.3559481;0.1423897;0.225073,0.4230951;0.1862088;0.2454852,-0.03114728;0;0.3740129
8,-0.04990809;1.200735;0.6076705,-0.08849994;1.237588;0.5845165,-0.02991424;1.24259;0.5725709,-0.1511951;1.234175;0.5016315,-0.004730856;1.24668;0.4717676,-0.1967561;1.075289;0.3040618,0.1099755;1.058514;0.5078414,-0.2261759;0.7555588;0.1936244,0.2687936;0.7979282;0.3677543,-0.3418647;0.5368727;0.2238617,0.3445983;0.5613608;0.3880464,-0.07937518;0.517557;0.370901,0.03360852;0.5443242;0.494903,-0.4500518;0.4219982;0.6285526,0.2363528;0.1978947;0.7224948,-0.2930755;0.101022;0.4769557,0.3505807;0.3005458;0.3660347,-0.4727235;-0.02220839;0.5504491,0.4713228;0.1302271;0.3155476,-0.01112132;0.6456082;0.3974325,0.003499063;0.7448508;0.3669662,0.006806331;0.8611176;0.3537397,-0.01415696;0.9819439;0.3743213,-0.4648788;0.4539693;0.2686999,-0.4108578;0.4479026;0.2119211,-0.3533952;0.443072;0.261236,0.3479271;0.4486289;0.4943334,0.3972154;0.475092;0.4391132,0.3488346;0.4599621;0.3826539,-0.4277817;-0.01338297;0.571057,-0.4468206;-0.004939556;0.4907344,0.4281968;0.1461781;0.295348,0.4849627;0.1941702;0.3316782,-0.0228833;0;0.432902
9,-0.02424455;1.177567;0.6394938,-0.06229396;1.214794;0.6160412,-0.003716049;1.218467;0.603586,-0.1256779;1.211293;0.5336854,0.02076687;1.220476;0.5025474,-0.1584134;1.043004;0.3310548,0.1310566;1.040642;0.5586687,-0.2269751;0.7242299;0.246971,0.3045853;0.7954957;0.4079559,-0.3932949;0.5415913;0.2801771,0.3970131;0.5680215;0.45079,-0.05854851;0.492421;0.4091569,0.0391729;0.508891;0.5471336,-0.4710038;0.4195921;0.6027896,0.2307533;0.1383666;0.7444283,-0.2900364;0.1050042;0.465188,0.3924125;0.2839716;0.4230024,-0.4689654;-0.01987374;0.5359217,0.5375962;0.1302576;0.4016964,0.01132341;0.6159098;0.449506,0.03295448;0.7151165;0.4234071,0.03993916;0.831081;0.4090087,0.01736322;0.9527376;0.4213392,-0.5363321;0.4947362;0.3170668,-0.4801713;0.4700316;0.2679287,-0.4305437;0.4578077;0.3240084,0.4087882;0.4553638;0.5565544,0.4570875;0.4880613;0.5038574,0.4135161;0.4679013;0.4451002,-0.424536;-0.01038539;0.5573305,-0.4419777;-0.003172874;0.4765266,0.4995459;0.1427177;0.3713774,0.5408608;0.1948005;0.4206315,-0.009687755;0;0.4781452
