Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.04326923;1.653967;0.2274913,0.01059338;1.68662;0.1921403,0.07045945;1.687094;0.1881608,-0.04027136;1.668526;0.1032716,0.1093936;1.669712;0.09332281,-0.1464595;1.494982;0.04124023,0.2190939;1.497786;0.04488437,-0.2378235;1.174601;-0.02705057,0.3083444;1.174994;-0.01890488,-0.285726;0.9376183;0.03350104,0.3418301;0.9390457;0.05409608,-0.05779678;0.9260959;0.006985929,0.1117043;0.9195034;-0.002190668,-0.1771472;0.4861411;-0.06451462,0.1748704;0.4624305;-0.00553051,-0.2878344;0.1313799;-0.1765051,0.198595;0.1046041;-0.1540111,-0.3323139;0.0178259;0.005635988,0.2795185;-0.009684026;-0.01655774,0.03213369;1.042925;0.01178238,0.03523675;1.147607;0.006968081,0.03721192;1.26461;0.003748687,0.03719305;1.388039;0.01882154,-0.2064383;0.8098694;0.07104594,-0.2786787;0.8372874;0.08548544,-0.2973484;0.838981;0.01196117,0.263911;0.8120515;0.0967298,0.3344972;0.8426034;0.1129503,0.3571812;0.8394905;0.04061065,-0.2889359;0.02426207;-0.01884379,-0.3645459;0.02534932;-0.05301144,0.2330536;-0.0125103;-0.03540858,0.3014915;0.004896462;-0.07852195,0.02695377;0;0.00239765
1,0.05095011;1.647658;0.2397561,0.0170387;1.679744;0.2050548,0.07678644;1.681006;0.1997056,-0.03559276;1.660651;0.1174325,0.1137766;1.663808;0.1040594,-0.1415736;1.486242;0.05274442,0.2243956;1.492313;0.05629433,-0.2345051;1.166849;-0.01523877,0.3131543;1.170084;-0.01179441,-0.2804512;0.9287663;0.04244401,0.3433271;0.9325225;0.0573171,-0.05207635;0.9212763;0.001958875,0.1175945;0.9147627;-0.003301288,-0.1746819;0.4808283;-0.06041494,0.1964832;0.4624139;0.04223797,-0.2884959;0.1253397;-0.1668256,0.2133732;0.118929;-0.1377115,-0.3334881;0.004398584;0.01056363,0.2874872;0.0006362796;-0.01321832,0.03773802;1.037905;0.01148573,0.04094011;1.142668;0.009121919,0.04289722;1.259714;0.008751241,0.04271528;1.382721;0.02695076,-0.1998705;0.8009238;0.07678007,-0.2715725;0.828265;0.09381496,-0.2927884;0.830197;0.02099057,0.2681343;0.8039575;0.1001379,0.3373367;0.8368864;0.1176208,0.3619741;0.8332665;0.04594688,-0.2900092;0.01201355;-0.0133931,-0.3654411;0.01419753;-0.04790018,0.241358;-0.001556158;-0.03295667,0.3108325;0.01497698;-0.07473511,0.0327591;0;-0.0006711781
2,0.04686278;1.640532;0.2587813,0.01291788;1.672273;0.2237969,0.07268492;1.673966;0.2187933,-0.03905612;1.652559;0.1359202,0.1103615;1.656792;0.123411,-0.1432881;1.47722;0.06850462,0.2225454;1.489356;0.07630894,-0.2321922;1.156541;0.001757173,0.3071054;1.168419;-0.006248223,-0.2796551;0.9180332;0.05637389,0.3319741;0.9282388;0.05553421,-0.04748321;0.9173017;-0.004963564,0.1223064;0.9119204;-0.004059384,-0.18185;0.4773809;-0.04146498,0.2162077;0.4678076;0.07878381,-0.2922922;0.121259;-0.1493014,0.2324856;0.1331472;-0.117141,-0.340243;0.002310395;0.01928384,0.2986613;0.007281899;-0.004999103,0.04111923;1.034179;0.01081355,0.04361483;1.138985;0.01151876,0.04452546;1.255985;0.01526096,0.0427477;1.37813;0.03848943,-0.2000912;0.7886943;0.08730762,-0.2713255;0.8164284;0.1056221,-0.2932494;0.8200507;0.0330722,0.2544186;0.7993643;0.09285839,0.3229374;0.8316396;0.1138921,0.3506609;0.8290921;0.04330733,-0.2963344;0.007770956;-0.004476281,-0.3712951;0.009749234;-0.04000744,0.2527984;0.0075109;-0.02546549,0.3234715;0.02301913;-0.06559417,0.03741162;0;-0.004511436
3,0.04311452;1.626261;0.2651201,0.008911826;1.65722;0.2296897,0.06867261;1.659633;0.2249118,-0.04243778;1.635985;0.1418003,0.1069641;1.642017;0.1298555,-0.1431203;1.45937;0.0716801,0.2210341;1.481678;0.08982943,-0.2291359;1.138202;0.005339142,0.3079161;1.166419;-0.01415891,-0.2749739;0.8991638;0.05902028,0.3275912;0.9227045;0.03419962,-0.03801236;0.9059741;-0.02610626,0.1314242;0.9014294;-0.01475451,-0.1864698;0.470951;0.01429651,0.2334853;0.4696392;0.1119636,-0.2800086;0.125542;-0.1360103,0.2561695;0.1466096;-0.1020139,-0.3428257;0.01063329;0.02175141,0.305765;0.009456873;0.007071044,0.04862093;1.02277;-0.001347587,0.05025533;1.127512;0.002832878,0.0498453;1.244305;0.01078247,0.04564902;1.365404;0.03869945,-0.1965632;0.7694317;0.09122619,-0.2675938;0.7979239;0.1091632,-0.2893531;0.8011009;0.03654307,0.2439366;0.7949742;0.06072202,0.3122933;0.823656;0.08686882,0.3435831;0.8236983;0.01774421,-0.2971517;0.01323146;0.001027759,-0.369257;0.01664227;-0.03989521,0.2619163;0.01383299;-0.0170216,0.3365141;0.0278551;-0.04994625,0.04670596;0;-0.02043034
4,0.03021329;1.602701;0.2730016,-0.003492914;1.632892;0.2364502,0.05632587;1.635062;0.2323262,-0.05385271;1.609707;0.1484809,0.09569418;1.615133;0.1381711,-0.1520467;1.435161;0.06837309,0.2113349;1.454111;0.1042372,-0.244549;1.124981;-0.02944695,0.3044409;1.143411;-0.006538277,-0.28534;0.8822718;0.009922424,0.3243036;0.8974555;0.02858732,-0.03354459;0.8831333;-0.04439424,0.1356913;0.8839449;-0.02966868,-0.2021872;0.4620791;0.04040051,0.2577099;0.475477;0.1469157,-0.2544619;0.1308507;-0.1550581,0.2828;0.175312;-0.09787079,-0.3412363;0.02098727;-0.009751653,0.3371046;0.005869865;-0.001080116,0.04849368;1.001877;-0.01391029,0.04702439;1.106397;-0.005883887,0.04440227;1.222727;0.006937431,0.03836809;1.342333;0.04040423,-0.2007788;0.756984;0.04410201,-0.2731981;0.7821749;0.06141523,-0.2947868;0.7833375;-0.01131596,0.2386592;0.7686121;0.03758659,0.3045444;0.7946309;0.07166139,0.3416152;0.7999674;0.005672434,-0.2932501;0.02068961;-0.02456947,-0.3593555;0.02684474;-0.07434585,0.2933094;0.01646549;-0.02326172,0.3678119;0.04073793;-0.04982685,0.05107336;0;-0.03703141
5,0.05114578;1.582159;0.2852453,0.01770096;1.612388;0.2484857,0.07754206;1.614252;0.2445399,-0.03250028;1.589146;0.1604411,0.1171025;1.593804;0.1505765,-0.1305781;1.416604;0.07434163,0.2328667;1.431618;0.114924,-0.2285466;1.116347;-0.04423528,0.3357379;1.125854;0.002358099,-0.2678595;0.8720846;-0.01403415,0.3611116;0.8793111;0.02872286,-0.01360499;0.8659368;-0.04338294,0.1558134;0.8665297;-0.03091971,-0.200271;0.4519488;0.03839014,0.2738598;0.462319;0.157748,-0.2495937;0.1290126;-0.1712011,0.2965575;0.1732526;-0.1002723,-0.3418437;0.02016264;-0.02634967,0.3614165;0.002198458;-0.00456273,0.06888155;0.9842812;-0.01255794,0.06760296;1.088673;-0.002981594,0.0653029;1.204733;0.01214175,0.05949423;1.323493;0.04853196,-0.187418;0.744257;0.02068082,-0.2593974;0.7713428;0.03693473,-0.2796846;0.7735978;-0.03614461,0.2786089;0.7481263;0.02935216,0.3425024;0.7743537;0.06688479,0.3818011;0.7832998;0.002597427,-0.2934196;0.01980174;-0.03966577,-0.3579317;0.02613246;-0.09146931,0.316499;0.0118382;-0.02485603,0.3890412;0.03998899;-0.05297466,0.07110423;0;-0.03715126
6,0.08825064;1.566543;0.2981815,0.05491263;1.597033;0.2615404,0.1147562;1.598563;0.2574903,0.004422143;1.574246;0.173542,0.1540311;1.578072;0.1634167,-0.09495174;1.40311;0.08398194,0.2690599;1.414686;0.1229713,-0.1969828;1.110548;-0.0479063,0.3837355;1.114596;0.01104159,-0.2368645;0.8657461;-0.02334796,0.4180554;0.8686112;0.03192446,0.01237912;0.8534623;-0.03173919,0.1820976;0.8509597;-0.02483497,-0.188261;0.4425234;0.02982236,0.2835452;0.4404554;0.1598575,-0.2553504;0.1251795;-0.1833462,0.3009254;0.1569598;-0.1046745,-0.3422297;0.01624036;-0.03011175,0.3788279;-2.831221E-05;-0.0009664502,0.09798524;0.9703096;-0.003848057,0.09868843;1.074698;0.005827157,0.09815048;1.19069;0.02162101,0.09378292;1.309121;0.05926366,-0.1732105;0.7289318;0.01194921,-0.241664;0.7644888;0.02707271,-0.2601384;0.7695292;-0.04634764,0.3415397;0.7338737;0.02914617,0.4035995;0.762311;0.0681184,0.4434464;0.7740657;0.004625747,-0.2941499;0.01755726;-0.044566,-0.3600463;0.02154839;-0.09483748,0.3325552;0.005162358;-0.01978721,0.4020339;0.03394896;-0.05427673,0.09723837;0;-0.02828703
7,0.1341684;1.554771;0.3139208,0.1008868;1.58582;0.2777004,0.160724;1.587032;0.2734531,0.04995309;1.564205;0.1896617,0.1995461;1.567236;0.1790433,-0.05127434;1.394441;0.09727591,0.3132868;1.403304;0.1317499,-0.1570888;1.109001;-0.04534606,0.4384788;1.111679;0.01346299,-0.1985802;0.8641177;-0.02455822,0.4806983;0.8662757;0.02427598,0.04374267;0.8461267;-0.01481582,0.2134814;0.8392901;-0.01425147,-0.1663543;0.4363617;0.01466016,0.2939306;0.4182388;0.1565123,-0.2652019;0.124211;-0.1937624,0.3051185;0.1367109;-0.1104445,-0.3430527;0.01324147;-0.03120339,0.3946956;0.001888633;0.0008069836,0.1332915;0.9608592;0.00920636,0.1366467;1.065229;0.0185198,0.1383614;1.181187;0.03447614,0.13581;1.299437;0.07285011,-0.1587986;0.7186292;0.01102873,-0.2208264;0.7648239;0.0250825,-0.2367672;0.7730676;-0.04864118,0.4101107;0.7284147;0.01895383,0.471315;0.7585937;0.05796939,0.509876;0.7736293;-0.005624983,-0.2957554;0.01669127;-0.04773777,-0.363945;0.01898706;-0.09496486,0.3474501;0.001228571;-0.01621491,0.4134222;0.02793932;-0.05840165,0.128612;0;-0.0145336
8,0.1825714;1.548621;0.3300433,0.1492682;1.580218;0.2943203,0.2090895;1.581187;0.2897956,0.09780683;1.559798;0.2063031,0.2473601;1.56222;0.1949913,-0.004805073;1.391222;0.1111779,0.3597303;1.399261;0.1418239,-0.1138978;1.113309;-0.04204306,0.4914339;1.117882;0.009446528,-0.1556701;0.8682984;-0.02342222,0.5346594;0.8724844;0.003651734,0.08027545;0.8441901;0.002963644,0.2497675;0.8333282;-0.0006067492,-0.1362217;0.4367942;-0.005669821,0.3085676;0.402783;0.1546032,-0.2710263;0.128068;-0.1984516,0.3127529;0.1200597;-0.1112897,-0.34435;0.01200259;-0.03223774,0.4073334;0.006619573;0.001944628,0.1730734;0.956914;0.02397548,0.1787421;1.061234;0.03270958,0.1823034;1.177166;0.04854831,0.1810266;1.29531;0.08730862,-0.1382412;0.7185987;0.01266268,-0.1932016;0.7733215;0.02545631,-0.2061268;0.7837436;-0.04858131,0.4665178;0.7335853;-0.005312357,0.5283993;0.7633081;0.03297838,0.5645601;0.7817877;-0.03111676,-0.2976037;0.01697278;-0.04991299,-0.3671573;0.02050596;-0.09502751,0.3597886;0.0009891987;-0.01322472,0.4233076;0.02332866;-0.06130553,0.1650215;0;0.001178498
9,0.2266952;1.548453;0.3472031,0.1932734;1.580389;0.3118944,0.2530705;1.581235;0.307037,0.1412614;1.560727;0.2240286,0.2907541;1.562843;0.2118851,0.0386485;1.393013;0.1253252,0.4023272;1.403067;0.1561692,-0.07168917;1.124048;-0.04102126,0.5387664;1.133861;0.005602568,-0.1092469;0.8782827;-0.02339306,0.5752764;0.8887959;-0.02145702,0.1208021;0.8470133;0.01816803,0.2901559;0.8340523;0.01507037,-0.102695;0.4451261;-0.01994663,0.3345888;0.3987818;0.1616377,-0.2646736;0.1385021;-0.1942843,0.331158;0.1140932;-0.1021608,-0.3462832;0.01266944;-0.03614271,0.4225876;0.01138842;0.006850541,0.2149289;0.9586593;0.03902299,0.2216131;1.062932;0.04759352,0.2257057;1.178819;0.06364129,0.2243075;1.296772;0.1029737,-0.1021317;0.7280334;0.01389569,-0.1539136;0.7861394;0.0249064,-0.1641577;0.7968507;-0.04950845,0.5053497;0.7511849;-0.03524217,0.5692755;0.778136;0.001718044,0.6025588;0.800074;-0.06284368,-0.2989983;0.01783711;-0.0522601,-0.3672966;0.0273568;-0.09841421,0.3750156;0.003819466;-0.007360131,0.4380902;0.02152044;-0.05789495,0.205479;0;0.01661925
