Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.02855062;1.53789;0.3372985,-0.01273067;1.553721;0.2994984,0.04534968;1.555903;0.2846017,-0.07420055;1.501968;0.2335037,0.07100033;1.507422;0.196262,-0.1809217;1.338893;0.1772696,0.1875044;1.307386;0.1773667,-0.3237712;1.038095;0.1588989,0.2039194;1.037548;0.3555996,-0.1588856;0.8582436;0.2097725,0.01989813;1.054716;0.5228231,-0.1433803;0.8037801;0.03738724,0.02356427;0.7744084;0.02620205,-0.1631572;0.4218443;0.2955555,0.07076231;0.3348758;-0.1060857,-0.1976219;0.1463473;0.02433153,0.1278658;0.2560891;-0.4818261,-0.2117792;-0.0119285;0.1698898,0.1858876;0.1186042;-0.5089509,-0.03793342;0.9056214;0.05378667,-0.02146635;1.008754;0.0629309,-0.007954154;1.123531;0.08156769,-0.0007709935;1.239651;0.1254614,-0.005523808;0.8364846;0.2050238,-0.05780464;0.855145;0.2606779,-0.09632607;0.790324;0.2522176,-0.1283947;1.088984;0.5520027,-0.05966181;1.102515;0.5876625,-0.044923;1.028625;0.5966215,-0.1721037;0.004284322;0.1437111,-0.2509631;0.005333126;0.1179121,0.1417951;0.1340792;-0.5273547,0.2144864;0.1720545;-0.5382791,-0.05990793;0;0.0317947
1,-0.02127521;1.530547;0.3949362,-0.06319429;1.546086;0.3577213,-0.005389266;1.54793;0.3417471,-0.1260015;1.493796;0.2934307,0.01851108;1.498406;0.2534951,-0.2295621;1.324329;0.2435031,0.1389159;1.302147;0.2258654,-0.3552533;1.015026;0.2506824,0.1711407;1.010179;0.3704929,-0.1807832;0.8408638;0.287418,-0.01204193;0.9978959;0.5390619,-0.1654176;0.7847849;0.1060907,0.002986148;0.7647656;0.09620633,-0.1833782;0.3734608;0.3144344,0.040681;0.3096338;0.03024563,-0.1859768;0.125807;0.01558694,0.08524098;0.2767623;-0.3539197,-0.2207969;-0.01160491;0.1747215,0.1005073;0.1105096;-0.5062056,-0.06599805;0.8926321;0.1217222,-0.05524647;0.9966308;0.1294502,-0.04766407;1.112242;0.1461938,-0.04588854;1.229371;0.1879054,-0.02822595;0.81795;0.2726837,-0.07664695;0.8368134;0.3316624,-0.1161432;0.7723189;0.3255182,-0.1603892;1.027547;0.5726838,-0.09192225;1.033878;0.6107776,-0.07774773;0.9594655;0.6064013,-0.1784683;-0.001888573;0.1494981,-0.2552964;0.0010162;0.118281,0.06233504;0.1408775;-0.4942483,0.142203;0.155405;-0.4782622,-0.08121568;0;0.1011486
2,-0.05931015;1.526969;0.4467679,-0.1014869;1.542584;0.4098776,-0.04390483;1.54302;0.3930218,-0.1662256;1.490273;0.3475506,-0.02227055;1.491362;0.305411,-0.2668723;1.316284;0.3044655,0.09839489;1.30153;0.2606549,-0.3734949;1.001792;0.3424665,0.1446966;0.9931098;0.3688739,-0.1954276;0.8302656;0.3739675,-0.02871883;0.9527134;0.5432798,-0.1899592;0.7768552;0.1769767,-0.02129055;0.7569686;0.1732788,-0.2085466;0.3495243;0.3500657,0.007937402;0.2975154;0.2043458,-0.1892733;0.1347005;0.02737674,0.03235328;0.3047996;-0.1829523,-0.2297376;-0.003190696;0.1803796,0.05969422;0.1174308;-0.3065435,-0.09131438;0.886063;0.1870996,-0.08178623;0.9904565;0.1886027,-0.07740328;1.106734;0.2014187,-0.08069561;1.224164;0.2421779,-0.04480218;0.8011545;0.3520502,-0.089142;0.824622;0.412566,-0.131054;0.7613751;0.4118947,-0.1750275;0.9741647;0.5896493,-0.1045759;0.9742899;0.6245131,-0.090572;0.902047;0.6060163,-0.1864681;0.006148815;0.1566551,-0.2620695;0.008940279;0.1225651,0.01878014;0.1449178;-0.296909,0.09700212;0.1708286;-0.2894629,-0.1056248;0;0.1751278
3,-0.1038624;1.52268;0.5329398,-0.1455879;1.538895;0.4957958,-0.08785988;1.538973;0.4794414,-0.210207;1.487546;0.4325505,-0.0658869;1.487741;0.3916645,-0.3021594;1.312369;0.4035846,0.05477554;1.309961;0.3265465,-0.389112;1.001526;0.4884702,0.1229332;0.9851322;0.3662531,-0.2032933;0.836942;0.5109487,-0.03319182;0.9082851;0.5446957,-0.2091117;0.7725774;0.2738836,-0.04075057;0.7519266;0.2831767,-0.2334945;0.3243518;0.3807306,-0.01568031;0.3317794;0.4722916,-0.189465;0.1547183;0.03441465,-0.01044866;0.2833804;0.08722116,-0.2239726;0.007923424;0.175923,0.05069533;0.07030356;0.06031275,-0.1105945;0.8818483;0.284553,-0.1020136;0.9862869;0.2813904,-0.1027065;1.103;0.2904087,-0.1142106;1.220622;0.329072,-0.05942427;0.7978898;0.4686112,-0.092437;0.8293175;0.5326531,-0.1362403;0.7686182;0.5450678,-0.1733624;0.9141884;0.6105279,-0.09932892;0.9097865;0.6365777,-0.08659276;0.8434846;0.6019495,-0.1808849;0.02048647;0.1533853,-0.2559134;0.02029651;0.1179427,0.005609035;0.09215862;0.05686311,0.07844311;0.1305795;0.04883009,-0.1249311;0;0.2785302
4,-0.1511709;1.519093;0.6206197,-0.1929225;1.535752;0.583702,-0.1352386;1.535687;0.5671927,-0.2579391;1.485133;0.5202762,-0.1137292;1.48497;0.479003,-0.3453397;1.311161;0.5035694,0.002065837;1.316909;0.4007046,-0.4107258;1.006981;0.6229631,0.08931731;0.9931076;0.3877239,-0.2091234;0.8606255;0.6306047,-0.0481236;0.8982056;0.5727261,-0.229782;0.7631648;0.3640075,-0.06037292;0.7543039;0.3729706,-0.2535072;0.3046083;0.4096149,-0.05825656;0.3998741;0.6684223,-0.1962012;0.1702381;0.05001843,-0.07694049;0.2146931;0.327823,-0.2298926;0.01924813;0.1817536,-0.04676892;0.01414561;0.3970948,-0.1390893;0.8790509;0.3742488,-0.1372492;0.9838137;0.3707273,-0.1440624;1.100375;0.3791449,-0.1594338;1.217773;0.4171376,-0.06919894;0.8263177;0.5735086,-0.09614566;0.8630456;0.6375697,-0.13287;0.8015426;0.662589,-0.1825463;0.8949465;0.6497747,-0.1066075;0.8892179;0.6692537,-0.0961076;0.8270056;0.6271031,-0.1865724;0.03299642;0.1603835,-0.2607957;0.03200912;0.123297,-0.08883647;0.03676206;0.3815662,-0.0121935;0.05525094;0.3564762,-0.1450774;0;0.3684891
5,-0.1890617;1.521855;0.6974943,-0.2307167;1.538325;0.6603836,-0.1730371;1.537708;0.6438704,-0.2960541;1.48735;0.5975763,-0.1518551;1.485806;0.5562933,-0.3807482;1.317441;0.5977544,-0.04416935;1.319535;0.4698891,-0.4279125;1.025697;0.7506424,0.0572167;1.00512;0.4146225,-0.211907;0.901361;0.7486289,-0.06423479;0.8964218;0.6031867,-0.258918;0.7567995;0.4609706,-0.08904636;0.7559209;0.4620417,-0.2760036;0.2963118;0.4369661,-0.1135604;0.4584523;0.8139341,-0.2104754;0.1896026;0.06958604,-0.1550966;0.1455483;0.5880692,-0.2380453;0.03395367;0.1865062,-0.1799171;-0.02881384;0.7189102,-0.1733861;0.876886;0.4657835,-0.1759914;0.9815658;0.4606468,-0.1857434;1.098073;0.4665544,-0.2010855;1.2165;0.5012185,-0.0764266;0.8677146;0.6813322,-0.09951989;0.912946;0.7413298,-0.1276268;0.8542398;0.7803276,-0.1943376;0.8878177;0.6869467,-0.11755;0.8796751;0.7016536,-0.1102464;0.8212512;0.6537936,-0.1951235;0.04942751;0.1655154,-0.2692525;0.04711115;0.1282996,-0.2142541;-0.0005424619;0.6955861,-0.1357717;-0.01063389;0.6714168,-0.1739822;0;0.4615061
6,-0.2106297;1.527233;0.7754763,-0.2516978;1.543456;0.7376102,-0.1938076;1.542333;0.7218794,-0.3164654;1.492042;0.6745708,-0.1717398;1.489233;0.6352438,-0.3998485;1.328921;0.6948889,-0.07523224;1.321087;0.5425312,-0.4296031;1.056312;0.881046,0.03473067;1.013507;0.4731969,-0.200636;0.95786;0.8792984,-0.07505791;0.9113791;0.6722915,-0.2941712;0.7556009;0.5620983,-0.1243317;0.755343;0.5585256,-0.3037446;0.2995249;0.4926706,-0.1541688;0.4779698;0.9260724,-0.2424925;0.2147956;0.1188818,-0.2290921;0.1035691;0.8563604,-0.246665;0.057419;0.2065375,-0.286187;-0.03949106;1.013728,-0.2090405;0.8760675;0.5616486,-0.2118173;0.9805741;0.5537952,-0.2203982;1.097295;0.5563489,-0.2316452;1.217237;0.5871634,-0.06527266;0.9226776;0.8125541,-0.08990286;0.9762563;0.8645307,-0.111718;0.9237305;0.9147542,-0.1970813;0.9082383;0.7677745,-0.1193492;0.8997768;0.7758404,-0.1169371;0.8391656;0.7302582,-0.2067926;0.07721734;0.1832877,-0.2828132;0.069314;0.1509781,-0.3145351;-0.009168506;0.9854568,-0.2396155;-0.03778279;0.9651154,-0.2092514;0;0.5603119
7,-0.2137217;1.536638;0.8666462,-0.2542211;1.553363;0.8283881,-0.1962836;1.550832;0.8129987,-0.3197411;1.502729;0.7654948,-0.1748972;1.496401;0.7270211,-0.4076507;1.351974;0.8110079,-0.1012245;1.31369;0.6270924,-0.4080249;1.129899;1.050116,0.02291846;1.00813;0.5971895,-0.1672477;1.066457;1.06122,-0.07049362;0.9512765;0.821163,-0.3532619;0.7613411;0.692898,-0.1853352;0.7525585;0.6687778,-0.3309996;0.3081333;0.6090878,-0.2253274;0.4518519;1.016474,-0.3019888;0.212465;0.2340479,-0.3201188;0.07762277;1.056677,-0.256791;0.05417085;0.2440039,-0.4047231;-0.0582031;1.208125,-0.2627677;0.877365;0.6824629,-0.2608398;0.9818161;0.673671,-0.2621509;1.098863;0.6721666,-0.261247;1.221101;0.6949495,-0.02697174;1.024554;1.0104,-0.0577222;1.088929;1.043402,-0.07752305;1.052172;1.106759,-0.1858615;0.9665969;0.9234962,-0.1073604;0.9651825;0.9273051,-0.1030248;0.8948459;0.8991763,-0.2268206;0.09140229;0.2285795,-0.301125;0.07260418;0.1967838,-0.4273955;-0.02592969;1.177033,-0.3535079;-0.06098282;1.164487,-0.2692986;0;0.6808379
8,-0.2061798;1.546728;0.9192985,-0.2462125;1.564272;0.8809162,-0.1883335;1.560275;0.8656178,-0.312859;1.514983;0.8181385,-0.1681615;1.504989;0.7798925,-0.4041032;1.376641;0.8740541,-0.1092122;1.306217;0.6809199,-0.3854001;1.208951;1.147262,0.02749524;1.009881;0.7153792,-0.1405473;1.175038;1.179179,-0.04844543;1.008258;0.9527663,-0.3945314;0.7770165;0.7895381,-0.2322558;0.7543177;0.7447086,-0.3597709;0.3232285;0.7134765,-0.2896963;0.4452211;1.082461,-0.3207582;0.2409026;0.3361844,-0.4063103;0.07514238;1.092052,-0.2330659;0.087506;0.2008296,-0.4349576;-0.06175983;1.261096,-0.2966993;0.8851091;0.7670774,-0.2875958;0.9889638;0.7560145,-0.2809275;1.105641;0.749247,-0.2711147;1.22881;0.7632142,0.006078482;1.131889;1.153587,-0.03095073;1.200131;1.165866,-0.05546796;1.179347;1.234598,-0.1490066;1.057619;1.059853,-0.07074317;1.052559;1.054545,-0.0719077;0.9771068;1.046617,-0.2126018;0.1284363;0.2215239,-0.293168;0.1176135;0.2048669,-0.4683369;-0.04237384;1.228966,-0.387783;-0.05354851;1.213745,-0.3133935;0;0.7671233
9,-0.2104279;1.569376;0.9617901,-0.2498946;1.587049;0.9228842,-0.1920177;1.581684;0.9080017,-0.3171244;1.538018;0.8605278,-0.1724323;1.524606;0.8233215,-0.4112667;1.41066;0.9145513,-0.1204621;1.299403;0.7307888,-0.3719258;1.331536;1.212538,0.03244421;1.05318;0.8657088,-0.1390159;1.333209;1.301262,-0.009822875;1.136706;1.096705,-0.4255538;0.8114705;0.8863597,-0.2685091;0.7742544;0.8333483,-0.444376;0.3519674;0.9240398,-0.3320397;0.4448808;1.150198,-0.4150268;0.3722945;0.5375501,-0.4298796;0.07494754;1.085191,-0.3562313;0.2095723;0.3887848,-0.4327604;-0.05530095;1.261403,-0.3246259;0.910274;0.843803,-0.3113841;1.011748;0.8210261,-0.2997306;1.127134;0.8050889,-0.2845339;1.250259;0.8135403,0.01075068;1.298057;1.319974,-0.0300841;1.363723;1.305854,-0.06918609;1.358421;1.370663,-0.086878;1.222024;1.200627,-0.01223713;1.216996;1.176494,-0.005724907;1.144509;1.197952,-0.3283318;0.241344;0.4158866,-0.4082096;0.2517797;0.3959835,-0.469596;-0.04286093;1.229612,-0.3887659;-0.04290491;1.211948,-0.3470314;0;0.8598539
