Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.08784034;1.63363;0.2754209,-0.06519417;1.649179;0.2241473,-0.03079233;1.644756;0.2731059,-0.03182358;1.596706;0.1408091,0.05418109;1.585648;0.2632056,-0.1890827;1.411203;0.1338112,0.1750167;1.436159;0.1703753,-0.2610992;1.101613;0.02139872,0.3875706;1.231729;0.02148715,-0.26195;0.8551128;0.05825987,0.5394188;1.040357;-0.02792028,-0.07333405;0.8928615;-0.04567509,0.09606428;0.9024528;-0.05407096,-0.1543506;0.4827944;0.1497688,0.2195296;0.4606099;-0.004595995,-0.2353007;0.2112278;-0.1154625,0.2265693;0.1591357;-0.248958,-0.2577437;0.057666;-0.03410247,0.3008222;0.01726842;-0.1198523,0.006036728;1.015144;-0.02315944,0.001799558;1.118811;-0.008118946,-0.0005908171;1.232144;0.02109899,-0.001876781;1.341725;0.07985578,-0.2104307;0.7142102;0.01942636,-0.2537709;0.7439108;0.07789356,-0.3079098;0.7687081;0.03086895,0.5965897;0.9429842;-0.1340643,0.593932;0.9450433;-0.0555301,0.6333779;1.009745;-0.05165532,-0.2222969;0.06767988;-0.06824309,-0.3035683;0.08189952;-0.07708918,0.2531714;0.02567387;-0.1333085,0.3193644;0.03557199;-0.1819501,0.01136512;0;-0.04987298
1,-0.07466951;1.64468;0.2936101,-0.05220663;1.659289;0.2419804,-0.01748968;1.654964;0.290725,-0.0202327;1.605349;0.1590321,0.06655961;1.594538;0.2808936,-0.1781531;1.420619;0.1509995,0.1849669;1.451017;0.1874669,-0.2490487;1.139896;-0.0224061,0.4085679;1.277977;0.01977328,-0.250006;0.8908918;-0.03326523,0.5769823;1.107617;-0.04904934,-0.06473926;0.8993263;-0.01756592,0.104739;0.9072502;-0.02608741,-0.1494482;0.4882618;0.1741826,0.2350804;0.4704971;0.04584691,-0.2254318;0.2210623;-0.09688903,0.244287;0.1857181;-0.2177156,-0.2601512;0.06345969;-0.02682806,0.3032196;0.03389382;-0.1113639,0.01572337;1.021266;0.002830839,0.01220811;1.125193;0.01616926,0.01016083;1.238942;0.04375098,0.008857771;1.349253;0.1011262,-0.2051531;0.7601641;-0.1033676,-0.2462631;0.7778688;-0.03875008,-0.3000301;0.814469;-0.07782418,0.6374364;1.02686;-0.1666934,0.6398375;1.022006;-0.08827385,0.6719708;1.090333;-0.0807859,-0.2227687;0.07363397;-0.0587869,-0.3026196;0.09341228;-0.06965686,0.2562577;0.04525876;-0.1250656,0.3235166;0.05328268;-0.1725773,0.01999988;0;-0.02182661
2,-0.06077329;1.653998;0.311327,-0.03753109;1.668493;0.2600114,-0.003281247;1.662509;0.3089106,-0.006735295;1.614545;0.1766238,0.07888941;1.599585;0.2988718,-0.1693135;1.427378;0.1689748,0.1929689;1.463627;0.201283,-0.2223382;1.194727;-0.06906405,0.4239756;1.327976;0.01559654,-0.2218142;0.9566249;-0.1427433,0.6077766;1.186695;-0.075941,-0.05626896;0.9034979;0.009744853,0.1130351;0.9116733;-0.001550265,-0.1593419;0.4926341;0.192731,0.2455802;0.4829269;0.1058043,-0.2254886;0.2325064;-0.0876386,0.2553261;0.2131717;-0.1730974,-0.2535791;0.05387479;-0.03018844,0.304337;0.05773205;-0.1086097,0.02421055;1.025885;0.02718445,0.02042041;1.129976;0.03908935,0.01785314;1.244121;0.06493911,0.01666815;1.355375;0.1204654,-0.1805182;0.8545106;-0.2517534,-0.2205776;0.8512766;-0.1841984,-0.2739319;0.8993937;-0.208597,0.6699285;1.117462;-0.1998782,0.6784797;1.111202;-0.1219898,0.7017379;1.183036;-0.1144982,-0.2152404;0.07111764;-0.05766861,-0.2953641;0.08920103;-0.06944527,0.2575755;0.07038438;-0.1218611,0.3255363;0.08292758;-0.1673526,0.02838307;0;0.004097342
3,-0.05150671;1.658794;0.3268587,-0.02673486;1.673227;0.2762459,0.006083004;1.666945;0.3260808,0.006062541;1.619223;0.1936612,0.08810732;1.603518;0.3182485,-0.1590629;1.431041;0.1840798,0.2025413;1.469949;0.2186118,-0.2021995;1.237956;-0.08632299,0.4347499;1.358166;0.0216791,-0.1983079;1.014474;-0.1966059,0.6229029;1.230768;-0.08074382,-0.04784564;0.9078233;0.02849082,0.1214604;0.9155039;0.01688233,-0.1633015;0.5019149;0.2151064,0.2411121;0.485849;0.1351908,-0.1984162;0.2445024;-0.07325915,0.2514481;0.2294348;-0.1560032,-0.1996184;0.03370315;-0.03727883,0.3125723;0.06167173;-0.1092107,0.03299522;1.030044;0.04541617,0.02954204;1.13418;0.05703044,0.02742227;1.248394;0.08261281,0.02667078;1.359754;0.1379334,-0.161158;0.9390658;-0.3267953,-0.1966944;0.9201922;-0.2592688,-0.2528683;0.9700682;-0.269952,0.6841633;1.162953;-0.2059033,0.694647;1.157161;-0.128215,0.716034;1.229643;-0.1214142,-0.1642741;0.06242365;-0.05845073,-0.2461625;0.07505882;-0.06293812,0.2650071;0.07443315;-0.1190602,0.3311429;0.09765995;-0.1630154,0.03680739;0;0.02268662
4,-0.04510789;1.658164;0.3426373,-0.01961494;1.672101;0.2922441,0.01248822;1.666307;0.3426009,0.01434901;1.617292;0.2106679,0.09460691;1.602807;0.33656,-0.1502787;1.431136;0.1963287,0.2102653;1.4681;0.2411471,-0.1831494;1.276137;-0.09601563,0.4436639;1.375505;0.03767994,-0.1771046;1.069435;-0.235155,0.6334557;1.255723;-0.0707345,-0.04212855;0.9084163;0.04186888,0.1276321;0.9132706;0.03786546,-0.1579199;0.5087218;0.2412522,0.2392752;0.4824987;0.1598821,-0.1477294;0.2471263;-0.04530134,0.2564416;0.2302133;-0.1345774,-0.1553603;0.03086865;-0.001297358,0.3657445;0.05315614;-0.09687763,0.03989375;1.029303;0.06232413,0.03782665;1.133487;0.07382938,0.0369884;1.247665;0.09964585,0.03626923;1.358753;0.1555122,-0.1382832;1.009737;-0.3727951,-0.1732606;0.9826856;-0.3078048,-0.2306535;1.032043;-0.3130181,0.6951992;1.189653;-0.1965874,0.7056082;1.18301;-0.1189572,0.7266442;1.255507;-0.1112882,-0.1171137;0.05975252;-0.01630564,-0.19741;0.07354838;-0.03204296,0.3160593;0.06002706;-0.09942481,0.3728092;0.103124;-0.1414677,0.0427518;0;0.03986722
5,-0.04314977;1.64624;0.3756186,-0.01751683;1.659063;0.325001,0.01455938;1.653536;0.375405,0.01554079;1.602573;0.2442027,0.09573117;1.588756;0.3702129,-0.1472963;1.422314;0.2156624,0.2100622;1.449594;0.2860374,-0.1578965;1.30422;-0.09245962,0.4437815;1.358417;0.08057287,-0.1550771;1.117853;-0.2579329,0.6345657;1.239182;-0.02669606,-0.03956582;0.9009659;0.05474506,0.1296286;0.9033795;0.06976801,-0.1721983;0.5237708;0.2850698,0.2476611;0.4749544;0.1940133,-0.1203844;0.2411882;0.02408829,0.3151916;0.2086299;-0.08013976,-0.1493986;0.03845185;0.1054919,0.4239616;0.04661232;-0.0001679063,0.04125357;1.020394;0.085807,0.04014747;1.124421;0.09876978,0.04075127;1.237987;0.1271655,0.03995492;1.347369;0.1863014,-0.1012174;1.062611;-0.3923324,-0.1475409;1.035269;-0.3350134,-0.1993227;1.089819;-0.3450233,0.6971632;1.168497;-0.1495854,0.7055894;1.163304;-0.07160485,0.7286093;1.235305;-0.06503049,-0.1073362;0.0625993;0.09245367,-0.1826379;0.07535386;0.06001206,0.3749455;0.05002511;-0.01056418,0.4355561;0.0891794;-0.05104601,0.04503143;0;0.06225659
6,-0.03253384;1.629678;0.4072338,-0.005963229;1.641552;0.356869,0.02531173;1.635781;0.407747,0.02699962;1.58373;0.2769794,0.105187;1.569302;0.4041744,-0.1357963;1.406771;0.2363148,0.2174302;1.42503;0.328966,-0.1245818;1.306747;-0.07684691,0.4502772;1.319427;0.1262208,-0.1165872;1.125465;-0.2477111,0.6363051;1.188783;0.02400412,-0.0334368;0.8887852;0.07170302,0.1341269;0.8869355;0.09958263,-0.1819475;0.5268139;0.3163219,0.2514673;0.454374;0.2093027,-0.1127414;0.2128164;0.09891686,0.3616671;0.1884167;-0.05102728,-0.1494397;0.02832067;0.2123203,0.4305398;0.04382366;0.06657876,0.04751489;1.005844;0.1104788,0.04828782;1.109674;0.1249643,0.05085255;1.222635;0.1555767,0.05053675;1.330681;0.217123,-0.04938853;1.069124;-0.3754838,-0.1030407;1.043141;-0.3242463,-0.1513191;1.099613;-0.3396552,0.6949961;1.106196;-0.0932612,0.702067;1.105271;-0.01497905,0.7302639;1.175668;-0.0124443,-0.106267;0.05003858;0.1986535,-0.178414;0.05572867;0.1580586,0.3852191;0.0473451;0.04522575,0.4567086;0.07024157;0.01043384,0.05034505;0;0.08564288
7,-0.01349473;1.606178;0.4384413,0.01449275;1.617257;0.3886662,0.04442044;1.611269;0.4403234,0.0483506;1.558348;0.3099537,0.1231698;1.543377;0.4390969,-0.1141794;1.38343;0.2586815,0.2348585;1.39156;0.3704202,-0.09385692;1.282131;-0.05314571,0.4624171;1.26449;0.1706087,-0.08251828;1.083913;-0.2038201,0.6328943;1.108437;0.07729696,-0.03743228;0.8768063;0.09025902,0.1273034;0.858497;0.1274776,-0.2044436;0.5356433;0.3522364,0.2516913;0.4212314;0.206491,-0.1349148;0.1801677;0.2127668,0.3944117;0.1753591;-0.0577567,-0.1848528;0.02156699;0.3555472,0.4333493;0.0309341;0.0808019,0.05192278;0.9850284;0.1356823,0.06061498;1.088199;0.152155,0.06853642;1.200261;0.185065,0.06954077;1.307098;0.2486807,-0.009334639;1.011893;-0.3198938,-0.06496884;0.9922705;-0.2679449,-0.1129794;1.045492;-0.2928387,0.6798896;1.007844;-0.0308188,0.6861416;1.013109;0.04736107,0.724236;1.078652;0.04415559,-0.1402074;0.0400058;0.3417949,-0.2084017;0.03776801;0.2945718,0.3914735;0.03816342;0.05403476,0.4685751;0.05210286;0.02745401,0.04493558;0;0.1088684
8,-0.03193939;1.578128;0.4763877,-0.003016934;1.588124;0.4269189,0.02599803;1.582523;0.4791372,0.03135085;1.527647;0.3496298,0.1038882;1.513644;0.4801759,-0.1236173;1.351874;0.2850365,0.218703;1.348012;0.4221128,-0.1067131;1.201818;-0.009088114,0.4269185;1.153927;0.2498216,-0.08524728;0.974456;-0.1089241,0.575931;0.9647496;0.1855602,-0.0322551;0.8512015;0.1141934,0.1270637;0.8318646;0.1698881,-0.2093218;0.5153484;0.3764281,0.2548347;0.3903799;0.210907,-0.1684563;0.1319818;0.331605,0.4009277;0.1652923;-0.06952386,-0.2376787;0.01217866;0.5013681,0.4367994;0.02968204;0.08591218,0.05193594;0.9588116;0.1697952,0.05941879;1.061826;0.1877723,0.06476624;1.173398;0.2227989,0.06065224;1.278962;0.2883832,-0.006512895;0.8761463;-0.1992123,-0.06366429;0.8695565;-0.1456475,-0.1116848;0.9128779;-0.1853279,0.6108059;0.8416464;0.09811942,0.6170979;0.8598796;0.1743224,0.6630862;0.9187009;0.1608168,-0.1911267;0.02483511;0.4874021,-0.2560945;0.01530933;0.4366681,0.3960043;0.03482264;0.05707388,0.4738491;0.0498749;0.03342839,0.0474043;0;0.1420408
9,-0.06683625;1.548562;0.5123711,-0.03710973;1.558877;0.4634469,-0.008924272;1.552605;0.5160421,-0.001900539;1.498961;0.3860988,0.068563;1.483283;0.5175867,-0.1493061;1.321197;0.311035,0.1852956;1.305851;0.4682354,-0.1411763;1.113853;0.05042991,0.3510229;1.045551;0.3359357,-0.1214818;0.8679953;0.01454531,0.467758;0.8277528;0.3033945,-0.02823622;0.8189397;0.1430107,0.1266499;0.8075378;0.2118478,-0.2095566;0.4889814;0.4097828,0.257071;0.3652197;0.2280232,-0.2072331;0.1008632;0.4125555,0.4041675;0.1595709;-0.06646001,-0.2691247;0.003908634;0.598961,0.4388924;0.02878338;0.09408507,0.04535436;0.9304631;0.2055134,0.04687681;1.033616;0.2241756,0.04643316;1.145107;0.2598609,0.03617063;1.250245;0.3254551,-0.04310838;0.7465178;-0.0412816,-0.1015026;0.7566329;0.0103583,-0.1476939;0.7873214;-0.0414279,0.4835314;0.6867055;0.2411576,0.4936004;0.717907;0.3126001,0.5471575;0.7660425;0.2886861,-0.2232031;0.01403987;0.5813289,-0.2906844;-0.0006369948;0.5353252,0.3987641;0.03232265;0.06409314,0.4768455;0.04862529;0.04211551,0.04920687;0;0.1774293
