Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.01867553;1.616269;0.2388712,-0.04037054;1.655209;0.2014997,0.01884716;1.649329;0.2091606,-0.07371524;1.650409;0.1031263,0.07432897;1.635708;0.1222785,-0.1868291;1.478164;0.01990254,0.1818095;1.451702;0.04085727,-0.2659869;1.159686;0.08433923,0.2538665;1.12673;0.02036413,-0.2540052;1.172101;0.3329838,0.304647;0.928457;0.1626009,-0.09015417;0.9276052;-0.0489545,0.07896937;0.9274017;-0.06493805,-0.1326674;0.5045902;0.1304002,0.1259027;0.4709359;-0.0164308,-0.1811679;0.1634628;-0.04828614,0.1114917;0.1032761;-0.1399932,-0.2128042;0.02930397;0.1183736,0.1918065;-0.01370746;0.02351746,-0.004563184;1.047738;-0.04758351,-0.004408324;1.152543;-0.05022556,-0.003194544;1.269529;-0.04613391,-0.001779153;1.390691;-0.01820925,-0.1540631;1.181248;0.4863211,-0.2214407;1.201247;0.437427,-0.256047;1.134475;0.4273684,0.2806005;0.7842456;0.2730987,0.3173762;0.8581686;0.2504429,0.3516552;0.8411601;0.1849224,-0.1712126;0.03840172;0.09173334,-0.2489957;0.04236472;0.06310493,0.1442279;-0.007201374;0.008811232,0.2108031;-0.002220154;-0.04006035,-0.005592383;0;-0.05694626
1,-0.02798049;1.632886;0.2395824,-0.05079044;1.672538;0.2036517,0.008630082;1.666646;0.2095239,-0.08687807;1.669695;0.1061743,0.06167333;1.654965;0.1208548,-0.1982386;1.499911;0.01564109,0.170002;1.473364;0.04438803,-0.2902459;1.184312;0.07640925,0.2499703;1.150494;0.02101241,-0.2791215;1.224746;0.3220981,0.3084221;0.9524009;0.1605281,-0.09553947;0.9446712;-0.0442971,0.07333274;0.9458172;-0.06271301,-0.1329928;0.5193383;0.1306492,0.1173844;0.4865173;-0.06715615,-0.166787;0.1726403;-0.04054475,0.1156829;0.1060745;-0.1440281,-0.1899756;0.03119725;0.1202763,0.1869871;-0.01553476;0.02027586,-0.01078357;1.065397;-0.04309268,-0.01158203;1.170208;-0.04531462,-0.0117213;1.287222;-0.04191139,-0.0121477;1.40882;-0.01591749,-0.1778075;1.2555;0.4716779,-0.2457661;1.268211;0.4211766,-0.2800396;1.200518;0.4207922,0.2965547;0.8088296;0.2738036,0.3292511;0.8836442;0.2480344,0.35971;0.86698;0.1805671,-0.1490322;0.0436011;0.09396818,-0.2269303;0.04367065;0.06537835,0.1400448;-0.005997717;0.005183488,0.2071824;-0.005425036;-0.04316631,-0.01110335;0;-0.05350503
2,-0.03735578;1.644969;0.233277,-0.06270646;1.685265;0.1998525,-0.002956789;1.680731;0.2029229,-0.1029923;1.684954;0.1039921,0.04638173;1.673621;0.1116684,-0.2110473;1.521381;0.005177367,0.1564232;1.492417;0.03995245,-0.3135501;1.206857;0.06012522,0.2448067;1.171898;0.0165682,-0.3012363;1.271319;0.3005725,0.3116478;0.9756711;0.1549505,-0.1021527;0.9571204;-0.03530044,0.06647564;0.9602099;-0.05562789,-0.1403848;0.528739;0.1318664,0.1168371;0.5033274;-0.09610885,-0.1575171;0.1772186;-0.03180657,0.1259126;0.1215152;-0.1652904,-0.1862583;0.02505249;0.1162492,0.1796432;-0.003046155;0.00288387,-0.01886193;1.078866;-0.0356819,-0.02103192;1.183625;-0.03914633,-0.02274264;1.300675;-0.03871933,-0.02481573;1.423178;-0.01748541,-0.1968343;1.319869;0.4431468,-0.2662176;1.325942;0.3933534,-0.2993206;1.258134;0.4013239,0.3069639;0.831799;0.2683692,0.3372701;0.9071938;0.2413975,0.365186;0.8911282;0.1726961,-0.1440661;0.04034489;0.09370369,-0.2197208;0.03951979;0.05962778,0.1343366;0.01053894;-0.01400034,0.2027659;0.003704607;-0.06000281,-0.01783853;0;-0.04546415
3,-0.04986806;1.647587;0.2285645,-0.07611151;1.689467;0.197889,-0.01630366;1.684809;0.1990419,-0.1190915;1.69385;0.1033069,0.03042805;1.682205;0.1061892,-0.2280438;1.533992;0.0006173961,0.1389606;1.501228;0.03291298,-0.3410723;1.221801;0.05221955,0.2338745;1.183228;0.01021823,-0.3259254;1.31114;0.2844068,0.3161571;0.9917564;0.1469311,-0.1054301;0.9593129;-0.02675447,0.06202926;0.9707518;-0.05292295,-0.1430361;0.525723;0.1265513,0.1261972;0.5158073;-0.09563778,-0.1584359;0.1698861;-0.02769482,0.1330335;0.1495898;-0.2240399,-0.1929025;0.007808447;0.1106388,0.1756464;0.02094519;-0.05526482,-0.02807097;1.084904;-0.02820462,-0.03467229;1.18949;-0.03125169,-0.03958945;1.306435;-0.03309178,-0.04263735;1.429693;-0.01695594,-0.2177045;1.373095;0.4186983,-0.2879093;1.375112;0.3697337,-0.3223076;1.309455;0.3859569,0.3187795;0.8453155;0.2570811,0.3472912;0.9213512;0.2299518,0.3707203;0.9069036;0.1592438,-0.1498975;0.02499866;0.09121226,-0.2239436;0.02620745;0.05377976,0.1316024;0.03694195;-0.0733355,0.2010079;0.02728593;-0.1173258,-0.02170044;0;-0.03983869
4,-0.06471592;1.640436;0.2185347,-0.09315433;1.682598;0.190298,-0.03325113;1.679445;0.1890069,-0.1398911;1.688931;0.0976276,0.009866897;1.68105;0.09439979,-0.2505831;1.53468;-0.002195254,0.1161442;1.493565;0.01527916,-0.3764685;1.226986;0.04869209,0.216208;1.178828;-0.004642159,-0.3542575;1.341697;0.2688508,0.322254;0.9971243;0.1290002,-0.1088367;0.949022;-0.01650807,0.05632667;0.9726278;-0.04847845,-0.1383759;0.5090861;0.1195101,0.1522071;0.5213066;-0.05420163,-0.1694304;0.1524976;-0.03058706,0.144941;0.2206855;-0.2996059,-0.1943217;-0.0008127689;0.1165759,0.1871727;0.06535709;-0.1546953,-0.04121895;1.080016;-0.02179033,-0.05440581;1.18392;-0.02639423,-0.06353661;1.300507;-0.03167947,-0.06680052;1.424332;-0.02077829,-0.2429127;1.41679;0.3935419,-0.3130057;1.415243;0.3444002,-0.3505754;1.354336;0.3696231,0.337981;0.8537751;0.2420868,0.364064;0.9280095;0.2083334,0.3755487;0.9108201;0.1353271,-0.153048;0.01343942;0.09176265,-0.2305529;0.01545703;0.06219192,0.1431515;0.0836212;-0.1705344,0.2134068;0.08275962;-0.2142259,-0.02625504;0;-0.03249324
5,-0.07135393;1.624332;0.2028967,-0.1000999;1.667794;0.1770443,-0.04028928;1.664128;0.1740017,-0.1492454;1.678057;0.08598581,0.000280939;1.668891;0.07837947,-0.2655856;1.528821;-0.006149933,0.09988049;1.477143;-0.01090248,-0.404613;1.227952;0.05168818,0.2009415;1.16444;-0.03453313,-0.372058;1.367408;0.2556833,0.3344162;0.9923788;0.08671732,-0.1220933;0.9347097;-0.01137252,0.04222177;0.9621346;-0.04464027,-0.1396408;0.4910205;0.1141225,0.1659124;0.5191615;-0.007328227,-0.1731235;0.1361516;-0.03948706,0.1553487;0.3327712;-0.3476166,-0.1843953;-0.004775584;0.1206962,0.2139836;0.1449285;-0.2576112,-0.05810967;1.06736;-0.01972079,-0.07344481;1.170826;-0.02683996,-0.08338707;1.287113;-0.03590646,-0.08498131;1.411314;-0.03011199,-0.2557095;1.452612;0.3687658,-0.3265204;1.448009;0.3208602,-0.3663408;1.392562;0.3539836,0.3748202;0.8551575;0.2012717,0.3929266;0.9268861;0.1581732,0.387123;0.9054907;0.08560725,-0.1452358;0.008060455;0.09198909,-0.2245812;0.006165981;0.06777735,0.1682193;0.1629105;-0.2678379,0.2377081;0.1823587;-0.308317,-0.03993577;0;-0.02800637
6,-0.06686009;1.6028;0.1748752,-0.09511999;1.648046;0.1516853,-0.03549632;1.643152;0.1470965,-0.1460042;1.663585;0.06234549,0.003055081;1.651349;0.05087362,-0.2703465;1.518226;-0.02163028,0.0926071;1.456595;-0.05030442,-0.4211921;1.230098;0.06015521,0.1933379;1.146147;-0.08313403,-0.3767549;1.393376;0.2431512,0.3483291;0.981137;0.02113264,-0.1388314;0.920292;-0.01483132,0.02667104;0.9451022;-0.04401498,-0.1442604;0.4767527;0.1122924,0.1722984;0.5141107;0.03315812,-0.1672561;0.124813;-0.04975301,0.1637746;0.4549257;-0.3503436,-0.1776849;-0.008384526;0.1214746,0.2531787;0.2594497;-0.3276887,-0.07356799;1.052004;-0.02716824,-0.087635;1.15519;-0.03924195,-0.09566012;1.271137;-0.0532358,-0.09397216;1.395469;-0.05233949,-0.2534526;1.487225;0.340994,-0.3253725;1.47984;0.295132,-0.3676091;1.432339;0.3365674,0.4096723;0.8460084;0.1286601,0.41947;0.9162368;0.08067772,0.3982961;0.8931565;0.01156738,-0.1390098;0.002606153;0.09137851,-0.2190218;0.002271354;0.06939048,0.2049967;0.2724011;-0.3334391,0.2700124;0.3153411;-0.3612707,-0.0560802;0;-0.02942315
7,-0.04994302;1.577906;0.1445892,-0.07826985;1.624623;0.1246207,-0.01876324;1.619668;0.1187548,-0.1304956;1.645781;0.03723037,0.01827093;1.633392;0.02256566,-0.2620035;1.508281;-0.03684204,0.09554671;1.436708;-0.09685858,-0.4171559;1.232522;0.07057694,0.1934108;1.127808;-0.1400616,-0.3643162;1.410944;0.2363944,0.3631476;0.9639856;-0.05960128,-0.1513796;0.909476;-0.02093333,0.01400456;0.9281015;-0.05498407,-0.15272;0.4691791;0.1171019,0.1906074;0.5221577;0.07516056,-0.172478;0.1200143;-0.05125054,0.1697493;0.5558941;-0.3109429,-0.1772759;-0.008860409;0.1233535,0.2920879;0.3797563;-0.3407899,-0.08317531;1.038417;-0.04288868,-0.09475227;1.141164;-0.06021074,-0.09955967;1.25673;-0.07824282,-0.09279397;1.38088;-0.08005053,-0.2351332;1.509813;0.3207799,-0.3079413;1.500468;0.2767122,-0.3519652;1.460792;0.3240926,0.4343417;0.8226779;0.03285589,0.4396952;0.8938782;-0.01438976,0.4061587;0.8740833;-0.07951063,-0.1396888;0.001112819;0.09157196,-0.2204653;0.0007451177;0.072585,0.2424008;0.3856537;-0.3451181,0.2990029;0.4450757;-0.3556399,-0.06868753;0;-0.03795871
8,-0.03070705;1.555241;0.1257041,-0.06077833;1.602106;0.1088814,-0.001238868;1.59942;0.1019653,-0.1149298;1.626628;0.02356705,0.03391889;1.619911;0.006276909,-0.2476487;1.504802;-0.03643537,0.0975273;1.42505;-0.1411639,-0.4065534;1.237023;0.08311754,0.1891255;1.114564;-0.1888663,-0.3463362;1.420512;0.240684,0.3651708;0.9481781;-0.1301627,-0.1563233;0.9054501;-0.02156817,0.00641299;0.9183924;-0.06855412,-0.1554466;0.4672531;0.1229989,0.2115998;0.5540692;0.1265961,-0.1764277;0.1188627;-0.04680374,0.1572391;0.6199048;-0.2520327,-0.1798888;-0.008047044;0.1277289,0.3072451;0.4708131;-0.3091842,-0.08843167;1.030962;-0.05894616,-0.09953672;1.132673;-0.081807,-0.1024256;1.247955;-0.1019458,-0.09031808;1.37171;-0.1021309,-0.2157435;1.524071;0.3168779,-0.2895493;1.512199;0.2751399,-0.3321519;1.474688;0.3254908,0.4401585;0.799847;-0.05296412,0.4431062;0.8726307;-0.09795505,0.4003845;0.8572272;-0.1587403,-0.1425744;0.001343191;0.09545206,-0.2235086;0.0006177425;0.07715958,0.2571178;0.4690687;-0.3117409,0.302973;0.5379308;-0.3126373,-0.07495518;0;-0.04506118
9,-0.02104977;1.53626;0.1161212,-0.05279554;1.582709;0.1013452,0.006848693;1.582645;0.09482165,-0.1072759;1.609298;0.01686348,0.0418348;1.609139;0.0005544797,-0.2348925;1.503619;-0.02738344,0.09230462;1.42195;-0.1769673,-0.4104672;1.255502;0.1037824,0.1710215;1.107483;-0.2327906,-0.33009;1.438131;0.2531411,0.3432792;0.9337816;-0.1850682,-0.1614895;0.908251;-0.01936289,-0.002578713;0.9147483;-0.07905746,-0.1577742;0.4664347;0.113684,0.2418442;0.647544;0.2069075,-0.1771705;0.1144887;-0.04881754,0.1407408;0.6264375;-0.1672337,-0.1816739;-0.01165408;0.1273204,0.308419;0.4897405;-0.2163669,-0.09591398;1.028836;-0.07338725,-0.1076616;1.128976;-0.1021119,-0.1094761;1.244116;-0.1231674,-0.0925296;1.367226;-0.118841,-0.1950282;1.545246;0.3153426,-0.2719164;1.531379;0.2803248,-0.3095748;1.4947;0.3350399,0.4093258;0.7760234;-0.1192271,0.4162281;0.8507969;-0.1603562,0.3700764;0.8421676;-0.2199618,-0.1440263;-0.001908302;0.09553976,-0.2247036;-0.003360808;0.07618637,0.259064;0.4810471;-0.2130775,0.2941004;0.5545581;-0.2277083,-0.0820341;0;-0.04921023
