Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.06165344;1.395212;0.4190872,-0.0897823;1.441384;0.3976277,-0.03207793;1.445006;0.4136617,-0.1119608;1.474473;0.3015785,0.03230006;1.483528;0.3416636,-0.1980842;1.322635;0.1995527,0.1698227;1.314566;0.1803353,-0.3896503;1.091331;0.2765681,0.2358909;1.02812;0.02232556,-0.3833888;0.9930834;0.5055438,0.3230934;0.8214683;-0.08636267,-0.06883344;0.8357209;-0.06173383,0.09811535;0.8409216;-0.03076059,-0.06036292;0.4240056;-0.2699061,0.07041299;0.4111348;0.1348674,-0.01832457;0.1780998;-0.5672477,0.1765834;0.168456;-0.1488294,-0.0663819;0.04343504;-0.4235978,0.163456;0.007242084;-0.01176016,0.003958823;0.9521247;-0.007779596,-0.002133482;1.05379;0.01708302,-0.006783593;1.164416;0.05508392,-0.01052408;1.270262;0.1202358,-0.2930167;0.9177532;0.6460525,-0.3485201;0.9729446;0.6113595,-0.4014727;0.9277169;0.581231,0.3094079;0.6423602;-0.1226653,0.3425249;0.7100153;-0.08196644,0.3740379;0.7502972;-0.1380162,-0.02166459;0.05173188;-0.4449016,-0.09490605;0.05271113;-0.4838917,0.1290095;0.02477336;-0.0438291,0.2109405;0.02739179;-0.05505194,0.01464095;0;-0.04624712
1,-0.05824852;1.38623;0.4570665,-0.08661252;1.43272;0.4366275,-0.02922195;1.436527;0.4537103,-0.1076714;1.468593;0.3413281,0.03580521;1.47811;0.3840353,-0.1931567;1.330744;0.2342216,0.1741097;1.304495;0.222532,-0.412989;1.134713;0.316248,0.235329;1.015887;0.06780554,-0.4714624;1.035387;0.5372385,0.3187325;0.8069485;-0.03948236,-0.06999675;0.8424944;-0.04069202,0.0968345;0.8452747;-0.008787706,-0.07431597;0.4153031;-0.2150653,0.08050086;0.3969796;0.09929285,-0.02680636;0.2029347;-0.5364551,0.1767896;0.1403499;-0.1755137,-0.0752105;0.06502271;-0.4139713,0.1739224;0.002681434;-0.01530287,0.003447138;0.9563704;0.01759934,-0.001576682;1.057205;0.04585267,-0.004315971;1.166633;0.08734598,-0.005930935;1.270559;0.1556024,-0.4168048;0.9455572;0.6873304,-0.4563875;1.009512;0.6464246,-0.5113112;0.9741163;0.6078529,0.3012431;0.6278893;-0.07436464,0.3353448;0.6951013;-0.03374512,0.368748;0.7340639;-0.08963255,-0.02990675;0.07318991;-0.4340511,-0.1020637;0.07444078;-0.475006,0.1387455;0.012061;-0.04989953,0.2204109;0.01902717;-0.06120072,0.01341887;0;-0.02473977
2,-0.06251574;1.38307;0.4958009,-0.09095288;1.42998;0.4764528,-0.03381307;1.433644;0.4943866,-0.1110572;1.468663;0.3820512,0.03179231;1.477823;0.4268854,-0.1959772;1.345963;0.2688719,0.1696118;1.299071;0.2662647,-0.4366252;1.182937;0.3535012,0.2236826;1.005161;0.1203324,-0.5707286;1.097914;0.5456188,0.3048564;0.7896734;0.0249496,-0.08058885;0.8531921;-0.01508883,0.08612794;0.8528367;0.01752506,-0.0899328;0.4052742;-0.1255384,0.07692399;0.3976889;0.0928395,-0.04001545;0.2402251;-0.4732681,0.1815124;0.1366647;-0.1746988,-0.08891582;0.0950613;-0.3837912,0.1770252;0.006077468;-0.01109175,-0.005973598;0.9641969;0.04712132,-0.00954714;1.064205;0.0783717,-0.01013381;1.172568;0.1226559,-0.009573307;1.275043;0.1930873,-0.5623564;1.008147;0.7051687,-0.5822207;1.07534;0.6559667,-0.6331864;1.046911;0.6074741,0.284064;0.6107646;-0.008877434,0.3176915;0.6774688;0.0329565,0.3555553;0.7146825;-0.0212538,-0.04328354;0.1037576;-0.4028804,-0.1151277;0.1107399;-0.443809,0.1423373;0.01363653;-0.0466154,0.2241536;0.0200637;-0.05711628,0.002769538;0;0.001218221
3,-0.07998593;1.387426;0.5307541,-0.1080048;1.435374;0.5134451,-0.05094137;1.437813;0.5318249,-0.1273333;1.478508;0.420827,0.01532526;1.484607;0.4667762,-0.2121742;1.371584;0.2986678,0.1500556;1.30176;0.3060803,-0.4578969;1.246224;0.4124584,0.1969823;1.003068;0.1698914,-0.6734723;1.182309;0.5199937,0.2791819;0.7777168;0.1022001,-0.09908559;0.8667761;0.01620553,0.06731819;0.8675882;0.05037299,-0.1070287;0.4068711;-0.0204205,0.0751953;0.4069952;0.07699552,-0.05208042;0.2789547;-0.3827285,0.1816444;0.1346101;-0.1781986,-0.1098299;0.09600586;-0.3417203,0.174453;0.007436395;-0.01195949,-0.02596504;0.9780183;0.07975222,-0.02998379;1.077809;0.1116368,-0.02970573;1.185798;0.1568282,-0.02737059;1.287547;0.228269,-0.7138155;1.110091;0.6835217,-0.7133948;1.173082;0.6255369,-0.754375;1.144441;0.5684618,0.2626123;0.597528;0.07317704,0.292577;0.6660137;0.1149161,0.3337241;0.7018626;0.06219944,-0.06365459;0.1116738;-0.3537489,-0.1341952;0.1364061;-0.3897742,0.1400704;0.01474786;-0.04783005,0.2220239;0.01986152;-0.05797681,-0.0158837;0;0.03328937
4,-0.09607647;1.404711;0.5668127,-0.1247817;1.452868;0.5513065,-0.06756599;1.455357;0.5691998,-0.1455024;1.498693;0.4602956,-0.00246314;1.504915;0.5050288,-0.229251;1.406364;0.3281925,0.1271871;1.312022;0.3489675,-0.5045429;1.311669;0.3961016,0.1675621;1.009367;0.2226064,-0.7419726;1.27106;0.4601319,0.2448712;0.7745036;0.1912224,-0.128878;0.8915612;0.04765265,0.03742234;0.8886558;0.08220771,-0.1426623;0.4312559;0.07674014,0.07601626;0.4306159;0.04187652,-0.07329464;0.3080444;-0.2847236,0.1791847;0.1324664;-0.1842034,-0.1373541;0.1030169;-0.275377,0.1690969;0.00754559;-0.01434103,-0.05420403;0.9995346;0.1149219,-0.05639352;1.098573;0.1492385,-0.05340759;1.206097;0.1954296,-0.04806776;1.308171;0.2662417,-0.823269;1.214446;0.6143073,-0.8066075;1.271929;0.5530829,-0.8334808;1.238782;0.4903425,0.2289551;0.5922326;0.1807894,0.2578295;0.6647737;0.2159233,0.3004194;0.6949914;0.1608754,-0.09101199;0.1221191;-0.2785146,-0.1596024;0.1556329;-0.3110365,0.1349406;0.01515716;-0.05036506,0.2169913;0.01907152;-0.0602566,-0.04572781;0;0.0649303
5,-0.1222934;1.434582;0.592926,-0.1524457;1.48236;0.5790802,-0.09496649;1.485844;0.5959325,-0.1760416;1.529701;0.4895575,-0.0323436;1.538412;0.5316884,-0.2549734;1.451444;0.3461307,0.09284294;1.333564;0.3855706,-0.549158;1.38748;0.3529159,0.127653;1.026648;0.2709414,-0.7975377;1.376942;0.3707546,0.1941287;0.7864851;0.2759545,-0.1611278;0.9169492;0.08460695,0.005515389;0.9155415;0.1175671,-0.1844928;0.4681548;0.1892721,0.09587758;0.4833769;-0.01654151,-0.1057276;0.3084047;-0.1555828,0.1724056;0.1482955;-0.196855,-0.1726716;0.1015881;-0.1274585,0.157685;0.0224306;-0.03128022,-0.08680226;1.025558;0.1512371,-0.08911686;1.124775;0.1850238,-0.08523345;1.233078;0.2292878,-0.07839979;1.337168;0.2969678,-0.9172258;1.348637;0.5066146,-0.8827525;1.39464;0.4431672,-0.8953938;1.351834;0.381807,0.1742224;0.6045681;0.2856926,0.2028678;0.6801662;0.3138833,0.24929;0.70296;0.2583613,-0.1262743;0.1206548;-0.1299272,-0.1935654;0.1517956;-0.1671784,0.1236535;0.03189415;-0.066982,0.205691;0.03114569;-0.0776962,-0.0778062;0;0.1010871
6,-0.1485121;1.467679;0.6095146,-0.1815441;1.514052;0.5975974,-0.1239641;1.52028;0.6132743,-0.2097701;1.562255;0.509893,-0.06582019;1.577824;0.5490851,-0.2799975;1.496263;0.3538298,0.05650487;1.359706;0.4193544,-0.5761217;1.459352;0.2996452,0.08800074;1.047263;0.32242,-0.8228539;1.473232;0.2672057,0.1370847;0.8060184;0.361329,-0.1950281;0.9367322;0.1316495,-0.02810878;0.9366488;0.1632126,-0.230535;0.5082844;0.2992468,0.08350871;0.5351721;-0.03496574,-0.1429982;0.2818732;-0.003613159,0.158522;0.2154323;-0.2418196,-0.2109517;0.0851388;0.06821197,0.1672426;0.0609464;-0.09594132,-0.1202098;1.047845;0.1934225,-0.1220942;1.148429;0.2229227,-0.117243;1.258854;0.2614789,-0.1093529;1.366827;0.3226475,-0.9746387;1.481408;0.3695723,-0.9215988;1.509912;0.3087066,-0.9221551;1.453889;0.2575367,0.1097784;0.6258049;0.3803667,0.1366215;0.7025314;0.4072523,0.1913215;0.7201463;0.3577053,-0.1645711;0.1037949;0.06340376,-0.2304917;0.125342;0.01784417,0.1280228;0.07772231;-0.1224496,0.2068524;0.07827896;-0.147571,-0.1115684;0;0.1474312
7,-0.176086;1.489759;0.6256793,-0.2099351;1.536257;0.6169749,-0.151822;1.542398;0.6305822,-0.2420457;1.587668;0.5324878,-0.09676287;1.603019;0.5665061,-0.306714;1.525021;0.3611332,0.01882957;1.378516;0.4539518,-0.5921632;1.51181;0.2583649,0.05008639;1.063048;0.3680573,-0.8274132;1.543467;0.182358,0.08642441;0.8237743;0.4276361,-0.2309524;0.945437;0.1820931,-0.06556951;0.9436154;0.2208675,-0.2881237;0.5381025;0.3912034,0.07471126;0.5783811;-0.02375837,-0.1940506;0.229174;0.1758841,0.1706929;0.3434474;-0.3174294,-0.2683073;0.0641129;0.3018523,0.1870015;0.1483268;-0.220902,-0.1565053;1.057831;0.241966,-0.1573156;1.159845;0.2661237,-0.1510583;1.2724;0.297685,-0.1421293;1.384531;0.3506836,-0.9955726;1.590418;0.2380576,-0.9269841;1.597132;0.1872555,-0.9237779;1.529338;0.153331,0.05024186;0.6458572;0.4525604,0.07468256;0.723546;0.4789695,0.1375726;0.7366382;0.4385872,-0.2216532;0.0813784;0.2949504,-0.2836316;0.0857538;0.2399503,0.1466135;0.1726478;-0.2382113,0.2241008;0.1825745;-0.2654631,-0.148261;0;0.2014804
8,-0.2037908;1.497013;0.6383045,-0.2405095;1.541643;0.6317087,-0.1822608;1.550867;0.6427549,-0.2792295;1.592017;0.5493952,-0.133608;1.615077;0.5770107,-0.3352583;1.529999;0.3666198,-0.01868568;1.384054;0.4868102,-0.6050012;1.538295;0.2303334,0.01529017;1.068365;0.3975331,-0.8229735;1.585382;0.1190109,0.05579948;0.8288245;0.453224,-0.259576;0.93049;0.2420267,-0.09646798;0.9326263;0.2894556,-0.3449391;0.5373282;0.4679779,0.06374927;0.6108084;0.0001801252,-0.2592781;0.173174;0.3645236,0.191084;0.5101681;-0.3523909,-0.3506503;0.06045884;0.5299599,0.169372;0.2948021;-0.3286218,-0.188785;1.047396;0.2975365,-0.1906749;1.150958;0.3137339,-0.1846245;1.26578;0.3357124,-0.1756752;1.382355;0.378048,-0.9903057;1.658831;0.1327775,-0.9142408;1.647935;0.09501845,-0.9145191;1.574414;0.07626247,0.02458097;0.6486217;0.4649375,0.04688588;0.7248011;0.4970233,0.1093512;0.742568;0.4577843,-0.3030874;0.07490325;0.5227859,-0.3585016;0.05904979;0.4630913,0.134824;0.3299442;-0.3383064,0.2152044;0.3349819;-0.3572565,-0.178022;0;0.2657412
9,-0.2275453;1.488054;0.6481987,-0.2645747;1.53279;0.6448666,-0.2057357;1.541816;0.6523834,-0.3083999;1.584828;0.5662305,-0.1613027;1.607395;0.5850227,-0.3615161;1.514368;0.3745407,-0.04845549;1.380387;0.5158168,-0.6221801;1.547316;0.2329974,-0.005100057;1.066932;0.4159943,-0.8285434;1.609745;0.1079431,0.0485715;0.8244355;0.4368935,-0.2831168;0.9016331;0.3059073,-0.1221385;0.9092095;0.3596371,-0.3850587;0.5162289;0.5382617,0.03263786;0.6138866;0.04066184,-0.3220578;0.1343504;0.5091314,0.1768204;0.6698042;-0.315335,-0.433239;0.06107002;0.6842965,0.1241864;0.4680964;-0.3762081,-0.2159496;1.022993;0.3561058,-0.2191583;1.127463;0.3642757,-0.2136459;1.243817;0.3759103,-0.2049695;1.364169;0.4059455,-0.9865568;1.702482;0.1039455,-0.9106047;1.67904;0.07213202,-0.9186295;1.604384;0.06120864,0.03263298;0.6454737;0.4007885,0.04457289;0.7124125;0.4528172,0.1089012;0.7432527;0.4269711,-0.3847266;0.0730319;0.6792175,-0.4344532;0.04537684;0.6188192,0.09533358;0.5088857;-0.3711028,0.1762931;0.5090473;-0.3881619,-0.2026277;0;0.3327723
