Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.002531007;1.513609;0.4201995,-0.03114554;1.557274;0.3945448,0.02798802;1.560469;0.4041891,-0.06193499;1.576306;0.2970664,0.08589896;1.584294;0.3211772,-0.1629409;1.427927;0.2399558,0.1989731;1.402907;0.1762031,-0.299899;1.154916;0.3557075,0.2690544;1.110525;0.02739685,-0.2092836;1.176816;0.5868589,0.3226402;0.8709378;0.0703919,-0.1235666;0.8881836;0.04946634,0.04315056;0.8625327;0.06960817,-0.1850818;0.4521697;-0.08846455,-0.02087549;0.46267;0.290803,-0.1581266;0.1899388;-0.3733459,0.006724328;0.1944197;0.01164509,-0.2091652;0.03137863;-0.2411214,0.05821593;0.03752941;0.1277196,-0.02611557;0.9911153;0.09030727,-0.01300213;1.094157;0.1045011,-0.0008725151;1.209139;0.122826,0.009462558;1.327077;0.1608514,-0.1337228;1.124247;0.7453248,-0.1722534;1.180716;0.6937789,-0.2394103;1.148349;0.679651,0.331735;0.7023081;0.1415692,0.365887;0.775801;0.1139509,0.3473245;0.7770265;0.04039008,-0.1639079;0.04751909;-0.2557359,-0.2328415;0.04803538;-0.3019244,0.01364176;0.04753894;0.1068563,0.08735476;0.06303108;0.07262368,-0.040208;0;0.05953732
1,-0.02759923;1.51797;0.5511949,-0.0582055;1.560814;0.5264711,0.00110244;1.565619;0.5341834,-0.09265535;1.578888;0.430041,0.05561452;1.590901;0.4493216,-0.1911601;1.439404;0.3783372,0.1665283;1.411814;0.3001339,-0.3410148;1.194363;0.5246726,0.2531954;1.130578;0.1425911,-0.3015231;1.232458;0.7678,0.3308587;0.8941846;0.1570451,-0.1482303;0.8946102;0.1637177,0.02060675;0.8773326;0.171054,-0.1963761;0.4798294;-0.03263874,-0.02796865;0.4777815;0.3967001,-0.1870737;0.222756;-0.3232858,-0.02613806;0.1420664;0.2019157,-0.2195045;0.04909265;-0.2171405,-0.0004745945;-0.01582342;0.3482289,-0.05371918;1.000312;0.2043913,-0.04427863;1.102948;0.2235691,-0.03430701;1.217363;0.2462358,-0.02351412;1.334229;0.287319,-0.2608893;1.184362;0.9399047,-0.2823984;1.240657;0.8790897,-0.3500783;1.215751;0.8555021,0.3617939;0.7232389;0.2154013,0.3863933;0.8014352;0.1906926,0.3622258;0.8053707;0.1188753,-0.1761577;0.06806237;-0.2339794,-0.2490666;0.07116473;-0.2734782,-0.04248987;0.004312038;0.3294781,0.03063431;0.000975132;0.290914,-0.06381173;0;0.167386
2,-0.04463055;1.518755;0.6731196,-0.07563342;1.561862;0.6493667,-0.01614381;1.566395;0.6557261,-0.1122422;1.580643;0.5538716,0.03648177;1.591975;0.5697699,-0.2106613;1.450963;0.5006048,0.1447493;1.413758;0.4220854,-0.3920437;1.256202;0.6708738,0.243513;1.13727;0.2655028,-0.4209529;1.295949;0.9152222,0.3316714;0.9041609;0.2687449,-0.178719;0.8997195;0.2822979,-0.009739645;0.8839997;0.2747381,-0.2164315;0.4908481;0.07177705,-0.03006585;0.4754716;0.4882991,-0.2105569;0.2621814;-0.2417927,-0.05184451;0.112694;0.3520382,-0.2270445;0.08173859;-0.1778637,-0.01481299;-0.02579272;0.5175106,-0.08191715;1.004947;0.3185776,-0.07158374;1.107008;0.3402048,-0.06032013;1.220877;0.364919,-0.04747335;1.337057;0.4073374,-0.4301883;1.257806;1.094231,-0.4308246;1.310842;1.027022,-0.4917441;1.2884;0.9877479,0.3701965;0.7328434;0.3211951,0.3912535;0.8129976;0.2996956,0.3677404;0.8184406;0.2277596,-0.1860608;0.1036189;-0.1969403,-0.262934;0.1095083;-0.2276213,-0.05754989;-0.004474103;0.5019737,0.008896545;-0.01896054;0.4548516,-0.09422927;0;0.2785181
3,-0.08508742;1.516577;0.7815647,-0.1165229;1.559565;0.758166,-0.05690924;1.564061;0.7632651,-0.1550737;1.57775;0.6633222,-0.006039664;1.588992;0.67607,-0.2509604;1.458087;0.6007636,0.1043845;1.408408;0.5369697,-0.4642798;1.329321;0.7829995,0.2105215;1.129134;0.3917219,-0.5766112;1.364466;1.0027,0.2983689;0.8966338;0.4103957,-0.1928018;0.8839964;0.4009025,-0.02404833;0.8870232;0.3816307,-0.2320621;0.4574696;0.2292911,-0.01333974;0.468043;0.5746533,-0.2126958;0.3228273;-0.1342269,-0.04556142;0.108767;0.4313648,-0.244195;0.1136767;-0.1643778,0.001588449;-0.02100962;0.5971305,-0.1061449;0.9999657;0.4292107,-0.1041941;1.102833;0.4493501,-0.09852787;1.217305;0.4731802,-0.0877156;1.333718;0.5155261,-0.6336663;1.339146;1.175002,-0.6151144;1.387309;1.10669,-0.664167;1.36275;1.054269,0.3322639;0.726297;0.4688887,0.3551017;0.8060677;0.4477837,0.3376243;0.8102175;0.3740641,-0.2019407;0.1405801;-0.167999,-0.2783494;0.1676366;-0.1857514,-0.04207414;0.0001804233;0.5842123,0.0191303;-0.01949281;0.532131,-0.108425;0;0.3912667
4,-0.1241844;1.51557;0.8676667,-0.154059;1.559534;0.8440389,-0.09433276;1.561963;0.8492222,-0.1918002;1.578665;0.7490554,-0.0424843;1.584737;0.7620137,-0.2865154;1.465916;0.6726703,0.06868045;1.397343;0.636334,-0.5153074;1.418577;0.8612716,0.170644;1.10788;0.5095516,-0.7108179;1.42858;1.015536,0.2393456;0.8771834;0.574216,-0.2078309;0.8683026;0.5152373,-0.03846889;0.8797252;0.5085809,-0.23551;0.4211894;0.4045997,-0.01704756;0.4465082;0.666,-0.2174139;0.3863592;0.01845425,-0.05534103;0.1199306;0.4597728,-0.2545492;0.1891882;-0.07531965,0.0124324;-0.01028413;0.6190196,-0.1300284;0.9914601;0.5384454,-0.133781;1.095621;0.5497392,-0.1314983;1.211397;0.5668992,-0.1222731;1.329157;0.6057529,-0.8078265;1.411856;1.170112,-0.7723241;1.456633;1.106356,-0.808135;1.430551;1.044756,0.254441;0.7120736;0.6522916,0.2848983;0.7880005;0.627037,0.2771633;0.7856039;0.5515937,-0.211911;0.2150992;-0.06957918,-0.2881002;0.2475747;-0.07468379,-0.03385669;0.005717278;0.6079023,0.028245;-0.003130198;0.5539524,-0.1231499;0;0.5119092
5,-0.1567143;1.513657;0.9605478,-0.1853976;1.558621;0.9373273,-0.1256214;1.559367;0.942451,-0.2227044;1.579574;0.8425571,-0.07326394;1.58144;0.8553665,-0.3148066;1.471659;0.7493935,0.03771113;1.382457;0.7449608,-0.5821123;1.455271;0.8842728,0.1264533;1.078892;0.644006,-0.8056262;1.481682;0.9913513,0.1648517;0.8624431;0.76147,-0.2294846;0.8588269;0.6254555,-0.06042363;0.8752804;0.6230164,-0.2468631;0.3986251;0.5966564,-0.02998292;0.4254564;0.7212428,-0.2497827;0.4137949;0.2088287,-0.06220388;0.1348277;0.4660061,-0.2717526;0.2203102;0.1027496,0.01084115;0.002050579;0.6197772,-0.1560897;0.9848958;0.6473513,-0.1623587;1.089226;0.6555274,-0.1609791;1.205485;0.6691601,-0.1518326;1.324358;0.7044833,-0.9341937;1.478786;1.121913,-0.8835682;1.517931;1.065035,-0.9066987;1.489394;0.9986436,0.1538897;0.7084138;0.8601601,0.1942853;0.7780095;0.8309202,0.1971698;0.7662424;0.7560171,-0.231516;0.249679;0.1091388,-0.3105061;0.2750875;0.1084619,-0.03629889;0.01408106;0.607311,0.02863613;0.01453477;0.5560399,-0.1449541;0;0.624236
6,-0.1929048;1.516042;1.066575,-0.2206838;1.561613;1.043441,-0.1608384;1.560734;1.047654,-0.2588443;1.582897;0.9490853,-0.1092307;1.580698;0.9596187,-0.3449765;1.478954;0.8373915,-0.0001607835;1.369059;0.8705687,-0.639892;1.478049;0.9008486,0.06470633;1.051688;0.7947801,-0.8813146;1.518698;0.947587,0.06625469;0.86091;0.955166,-0.2612485;0.85444;0.7424021,-0.09254553;0.8737136;0.7372928,-0.2674994;0.4004947;0.824934,-0.05431007;0.4142216;0.7552314,-0.2950106;0.3995205;0.4377763,-0.06469351;0.1492984;0.4717585,-0.3144583;0.1940407;0.3614972,0.004055977;0.01377004;0.6228213,-0.1896343;0.9817288;0.7631042,-0.1970179;1.086022;0.7708081,-0.1957261;1.202461;0.7828226,-0.1865222;1.322052;0.815614,-1.038342;1.532388;1.041072,-0.973835;1.56404;0.9945172,-0.9806947;1.527637;0.9282979,0.03006506;0.7239092;1.071381,0.08013156;0.7846375;1.03768,0.08846521;0.7622918;0.9656492,-0.2755588;0.2257716;0.3599746,-0.3556694;0.2472981;0.3620676,-0.0428226;0.026106;0.6096858,0.02292305;0.02658278;0.5594586,-0.176897;0;0.7398475
7,-0.2302811;1.52511;1.180535,-0.2576094;1.570946;1.157387,-0.1977082;1.568712;1.160006,-0.2978201;1.591593;1.063744,-0.1480671;1.586008;1.07029,-0.3738714;1.489935;0.9312935,-0.04439174;1.361844;1.011733,-0.6775061;1.498327;0.916124,-0.007505655;1.034542;0.9566736,-0.9218118;1.544356;0.8982931,-0.03632931;0.8718976;1.143323,-0.3050165;0.8555422;0.8726705,-0.1362813;0.8735334;0.8647316,-0.3120563;0.4320793;1.055828,-0.07965767;0.4244601;0.7750446,-0.3488006;0.3557286;0.6770545,-0.07156417;0.1684911;0.4833882,-0.3776391;0.1382028;0.6706525,-0.003977075;0.03099626;0.6276546,-0.2320985;0.9822783;0.892178,-0.2384025;1.08669;0.8992172,-0.2354383;1.20332;0.9088352,-0.2250683;1.323832;0.9376671,-1.098076;1.567899;0.9425786,-1.022841;1.593851;0.911009,-1.012061;1.547781;0.8516913,-0.09335542;0.7512522;1.268932,-0.03569832;0.8039618;1.233894,-0.02365911;0.7735162;1.165444,-0.3380406;0.1661413;0.6574717,-0.4173447;0.1904964;0.6556903,-0.05099459;0.04360008;0.6152927,0.01377955;0.04302835;0.5638196,-0.2206489;0;0.8687011
8,-0.2727108;1.53691;1.29885,-0.3006624;1.58304;1.277071,-0.2407216;1.580377;1.277149,-0.3446392;1.604391;1.185298,-0.1947872;1.597733;1.185492,-0.4102982;1.499342;1.032978,-0.09890293;1.363292;1.157584,-0.7020552;1.50814;0.9416579,-0.08369325;1.030936;1.121255,-0.9340816;1.550769;0.8612319,-0.1318692;0.8840503;1.316769,-0.3570565;0.8609522;1.010937,-0.1881424;0.8778672;1.004596,-0.3731884;0.4770565;1.266438,-0.1017719;0.4735335;0.7997274,-0.4079526;0.2777157;0.9352229,-0.07748747;0.204387;0.5211247,-0.4406282;0.0776673;1.022387,-0.0106709;0.05897987;0.6422465,-0.2834498;0.9869789;1.03236,-0.2889353;1.091461;1.03903,-0.2844287;1.208262;1.045426,-0.2724558;1.329939;1.068087,-1.115954;1.57015;0.8497775,-1.035197;1.593861;0.8340819,-1.007879;1.536304;0.7928726,-0.1966357;0.7727791;1.447187,-0.1370309;0.8232834;1.41216,-0.1201584;0.7878066;1.347245,-0.4003222;0.09708124;0.9995647,-0.4791148;0.1193619;0.986119,-0.05822256;0.07106358;0.6315159,0.005220085;0.07364285;0.57847,-0.2725995;0;1.007767
9,-0.3238368;1.541008;1.421983,-0.3535361;1.58733;1.403121,-0.2936881;1.585313;1.399361,-0.4034203;1.610346;1.314837,-0.2538001;1.605302;1.305438,-0.4577385;1.500683;1.145293,-0.1607689;1.368499;1.304483,-0.7277138;1.501946;0.999513,-0.1570871;1.033726;1.279336,-0.9396134;1.539483;0.8737702,-0.2118156;0.8828985;1.470066,-0.4154385;0.8653923;1.144838,-0.2461654;0.8765659;1.153785,-0.4421389;0.5126158;1.441069,-0.1401539;0.5233747;0.8764149,-0.4619655;0.1937442;1.220668,-0.09359613;0.271629;0.5846865,-0.4903073;0.04793572;1.384422,-0.004902959;0.1110661;0.6602727,-0.3398764;0.988679;1.174,-0.3430623;1.093295;1.180027,-0.3370854;1.21014;1.18397,-0.3258719;1.332703;1.201707,-1.111123;1.556467;0.8114762,-1.027438;1.574556;0.8115197,-0.9952425;1.507915;0.7947941,-0.2769319;0.7654649;1.594782,-0.2190679;0.8208081;1.564463,-0.1948896;0.7874923;1.500724,-0.4494296;0.05923998;1.357523,-0.5279891;0.06684047;1.331908,-0.05383223;0.1179795;0.6513036,0.008123428;0.1451359;0.6036642,-0.330802;0;1.149312
