Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.08638161;1.592819;0.1293419,-0.09128653;1.624838;0.08102681,-0.04214946;1.627899;0.1153223,-0.07460608;1.606569;-0.01996934,0.04823667;1.614221;0.06576924,-0.1820524;1.425613;-0.01490102,0.1850471;1.430408;-0.06660016,-0.1207453;1.172001;0.1929643,0.2605616;1.115674;-0.1584035,0.0372206;1.144168;0.3837363,0.3131475;0.903314;-0.03898842,-0.08836267;0.8772821;-0.03953553,0.08149546;0.8774493;-0.03699009,-0.2221467;0.4437109;0.04433877,0.1296657;0.5121783;0.2408109,-0.1496312;0.1366023;-0.1816587,0.2228184;0.1527969;0.1276002,-0.2902222;0.02046943;-0.08516003,0.1600138;0.00938189;0.274857,-0.003448242;0.9977683;-0.04521418,-0.003344082;1.101143;-0.062673,-0.003295271;1.217367;-0.07666126,-0.001756427;1.341492;-0.069406,0.1882578;1.080952;0.4660527,0.1218202;1.134403;0.458341,0.06174624;1.088561;0.4651903,0.308922;0.7655945;0.08184354,0.3480245;0.827638;0.03766294,0.339934;0.8053834;-0.03442417,-0.2403252;0.02075243;-0.07945545,-0.2810287;0.03101534;-0.1510333,0.1340256;0.03054565;0.2374533,0.2156658;0.01711875;0.2377361,-0.003433601;0;-0.03826282
1,-0.08208455;1.58817;0.1162429,-0.0876247;1.61949;0.06754004,-0.03787048;1.622722;0.1009177,-0.07285315;1.599582;-0.03344376,0.05153249;1.607663;0.05000033,-0.1793433;1.4165;-0.006463274,0.1796625;1.426017;-0.09661663,-0.09772402;1.2012;0.2283446,0.2582923;1.12009;-0.2092104,0.05998712;1.202299;0.4213415,0.3481284;0.9073595;-0.1154164,-0.08867753;0.8691273;-0.04101172,0.08102706;0.8702372;-0.04858854,-0.2161983;0.4362673;0.05536088,0.1381899;0.5329296;0.2610446,-0.1499515;0.1350876;-0.180332,0.2254072;0.1805984;0.123549,-0.2926231;0.02086651;-0.08357789,0.1673009;0.02753967;0.2650601,-0.004978564;0.9900007;-0.05300025,-0.006478249;1.093178;-0.07152482,-0.007743863;1.209242;-0.08674018,-0.005811031;1.333441;-0.08100195,0.2139841;1.156538;0.5095191,0.1466129;1.207067;0.4940847,0.08739653;1.162677;0.5108246,0.3747494;0.764578;-0.003659092,0.4010669;0.8314648;-0.05017676,0.3823118;0.8118146;-0.1210243,-0.2427;0.02019882;-0.0781398,-0.2835851;0.03190994;-0.1493911,0.1399249;0.05160898;0.2305122,0.2214001;0.03784084;0.2263029,-0.003825215;0;-0.04480014
2,-0.07966737;1.580942;0.0994669,-0.08621018;1.611502;0.0504066,-0.03572577;1.615135;0.08262649,-0.07371047;1.589962;-0.05054887,0.05250054;1.599045;0.0300009,-0.1755762;1.405832;-0.001876514,0.1709435;1.42002;-0.1296406,-0.08490659;1.232086;0.2554048,0.2545366;1.122551;-0.2567913,0.05960157;1.251272;0.4575709,0.3800835;0.9168133;-0.1932912,-0.08681989;0.85839;-0.04031985,0.08240693;0.8605213;-0.05501774,-0.2064547;0.424121;0.05975481,0.1481985;0.5485801;0.2785701,-0.1467095;0.1272477;-0.1830326,0.2224065;0.2093024;0.1052701,-0.2940676;0.01695704;-0.08194765,0.1938234;0.05421162;0.2562819,-0.004636072;0.9795716;-0.05822174,-0.007854401;1.08232;-0.07879706,-0.01110227;1.197995;-0.0964818,-0.01009251;1.322309;-0.09380966,0.2088725;1.219068;0.5588899,0.1439809;1.267612;0.5312694,0.08262913;1.229228;0.5540706,0.4378623;0.7726413;-0.0960238,0.4498297;0.8440388;-0.141735,0.4221475;0.8258162;-0.2099912,-0.2441284;0.01540887;-0.07684767,-0.285273;0.02851921;-0.1477048,0.160754;0.0755794;0.2251024,0.2421172;0.06883383;0.2116852,-0.002206471;0;-0.04766881
3,-0.07605653;1.570434;0.07928721,-0.08381644;1.600305;0.02998061,-0.03262008;1.60452;0.06098322,-0.07356094;1.577429;-0.07093399,0.05443002;1.587967;0.006572463,-0.1685476;1.395155;-0.002604,0.1627089;1.410778;-0.163754,-0.0834439;1.256558;0.2713348,0.255058;1.122566;-0.3015643,0.03264572;1.280979;0.4905347,0.4112174;0.9307289;-0.2709861,-0.08270267;0.8461156;-0.03732499,0.08622899;0.8479332;-0.05513176,-0.1962156;0.411926;0.06996513,0.1521995;0.5460922;0.2875875,-0.1433045;0.1238735;-0.1847408,0.21473;0.2204433;0.08586539,-0.293351;0.01575774;-0.08005839,0.2436813;0.07102853;0.2433407,-0.001046978;0.9667272;-0.06066656,-0.005258751;1.068715;-0.08457867,-0.01049026;1.183669;-0.1060733,-0.0113578;1.308001;-0.1077978,0.1706047;1.259969;0.6093217,0.111426;1.305949;0.5679201,0.04609437;1.275097;0.5910978,0.4993451;0.7909188;-0.1917931,0.4959113;0.8650494;-0.2344921,0.4604971;0.8463559;-0.2989408,-0.2433777;0.01361692;-0.07553943,-0.2851574;0.02828515;-0.1457163,0.2022931;0.08379471;0.2179171,0.2800003;0.09274596;0.1909551,0.001763166;0;-0.04622841
4,-0.07195071;1.556448;0.06004412,-0.08095012;1.585051;0.01019919,-0.02906898;1.590195;0.03989582,-0.07293876;1.559685;-0.09032246,0.05676401;1.572544;-0.01608098,-0.1611441;1.382443;-0.006277263,0.1561703;1.394969;-0.1917699,-0.1039498;1.263361;0.2797188,0.2623495;1.118715;-0.3383892,-0.009599081;1.295836;0.5081155,0.44187;0.9458156;-0.339029,-0.07455269;0.8294525;-0.03192832,0.09405215;0.8319105;-0.05253521,-0.1887072;0.4013165;0.09685593,0.1627666;0.5260302;0.2860386,-0.1448428;0.1316811;-0.1788641,0.2332189;0.2068513;0.07672925,-0.2957437;0.01938856;-0.07642693,0.2717708;0.05857217;0.2302364,0.005727769;0.9497579;-0.06093266,-5.28032E-05;1.050769;-0.08840002,-0.007681998;1.164799;-0.1137509,-0.01079581;1.288962;-0.1197444,0.1126336;1.276086;0.6432208,0.06131435;1.322053;0.592391,-0.007921039;1.296302;0.6097291,0.5565065;0.8171728;-0.276624,0.5381283;0.8905015;-0.3168171,0.4959094;0.8679401;-0.3756883,-0.245731;0.01694024;-0.07254637,-0.2881923;0.0356704;-0.1413338,0.2295518;0.068712;0.2049965,0.3064331;0.08213395;0.1775264,0.009749735;0;-0.0422318
5,-0.06751043;1.534768;0.04567781,-0.07782894;1.562182;-0.004577599,-0.02519053;1.568025;0.02361899,-0.07243966;1.534441;-0.1046457,0.05915641;1.549048;-0.03415411,-0.1558775;1.361975;-0.01121349,0.1523265;1.369667;-0.2108542,-0.1370755;1.256139;0.2818726,0.2814997;1.108557;-0.3598597,-0.06961161;1.285862;0.5199627,0.4796057;0.9587908;-0.380982,-0.06026768;0.8046585;-0.0257489,0.1073763;0.8100511;-0.05266894,-0.1775448;0.3903617;0.1401464,0.1758461;0.4976078;0.2799083,-0.1481175;0.150667;-0.1637112,0.2393231;0.1793841;0.06694495,-0.2973756;0.03815454;-0.0698581,0.280442;0.03364593;0.223135,0.01623289;0.9257306;-0.06108775,0.007249133;1.025776;-0.09110749,-0.003715158;1.138893;-0.1191834,-0.009341255;1.262774;-0.1283469,0.02598089;1.255448;0.6733298,-0.01283321;1.305689;0.615887,-0.08548561;1.284261;0.620331,0.6162188;0.8480074;-0.3295161,0.5842137;0.9174722;-0.3679949,0.5400677;0.8883969;-0.4224286,-0.2475001;0.03260601;-0.06786098,-0.2909535;0.05726725;-0.1341115,0.2378681;0.04332525;0.1983139,0.3143433;0.05669028;0.1697063,0.02355432;0;-0.03920896
6,-0.06777661;1.507107;0.03018652,-0.07921036;1.53327;-0.02049264,-0.02599325;1.539864;0.006422967,-0.07590662;1.503093;-0.1199446,0.05713614;1.519579;-0.05265555,-0.1551769;1.335232;-0.01869026,0.1477848;1.337555;-0.2259114,-0.184677;1.235192;0.2736993,0.3045443;1.093673;-0.3702193,-0.1512918;1.255;0.5199002,0.5213882;0.9726709;-0.3916546,-0.04836182;0.7760119;-0.01598479,0.11804;0.7825573;-0.04953884,-0.1596323;0.3760036;0.1853342,0.2080736;0.4658473;0.2737341,-0.1571662;0.1681335;-0.1424354,0.2394563;0.1451307;0.05738906,-0.2990662;0.05612606;-0.05123527,0.2827967;0.01286936;0.2217902,0.0249929;0.8966544;-0.05869459,0.01317267;0.9953784;-0.09193462,-0.001333959;1.107192;-0.1234165,-0.01034081;1.230533;-0.1363752,-0.097013;1.207232;0.6882935,-0.1116907;1.263675;0.6256111,-0.1866796;1.258855;0.6150905,0.6770393;0.8884178;-0.3441248,0.6319503;0.949762;-0.3832937,0.5904997;0.9112613;-0.4338588,-0.2496872;0.04748189;-0.05429031,-0.2973752;0.07830864;-0.1147971,0.2396787;0.02065247;0.1972427,0.315498;0.03007507;0.1654914,0.0348391;0;-0.03276187
7,-0.07347294;1.482346;0.01890711,-0.08609258;1.507394;-0.0320536,-0.03258706;1.515321;-0.006085917,-0.08380976;1.475458;-0.1309837,0.04995397;1.495276;-0.06606455,-0.1591567;1.311583;-0.02348907,0.1399156;1.307707;-0.237067,-0.2470883;1.199094;0.2522113,0.3361581;1.084851;-0.3562538,-0.2537813;1.198844;0.5013636,0.569333;0.9969022;-0.3603407,-0.03474084;0.752193;-0.004681654,0.1288849;0.7602647;-0.04962309,-0.1272085;0.3662615;0.2307404,0.2266778;0.4375106;0.2653101,-0.1603685;0.191586;-0.1142782,0.2342618;0.1147306;0.04989266,-0.2946645;0.08394682;-0.02693911,0.2772029;-0.009464502;0.2209127,0.0334795;0.872604;-0.05573855,0.0175423;0.9700494;-0.09097248,-0.001660753;1.080495;-0.1246901,-0.01476434;1.203108;-0.1407049,-0.245701;1.127041;0.6697778,-0.2364466;1.190386;0.6129266,-0.3071504;1.201661;0.5878052,0.7321646;0.9370461;-0.3012813,0.6813406;0.9900455;-0.3453074,0.6485674;0.9443622;-0.3962605,-0.2471285;0.07118225;-0.03692539,-0.2988026;0.1102095;-0.08881141,0.2338427;-0.001769006;0.1967676,0.3092546;0.003755629;0.1631815,0.04707204;0;-0.02715244
8,-0.07959396;1.472696;0.01011574,-0.09365503;1.496539;-0.04104461,-0.03950339;1.505208;-0.0167043,-0.09390248;1.462364;-0.1392499,0.0414766;1.484036;-0.07839908,-0.168913;1.3012;-0.02966359,0.1296694;1.290604;-0.2444852,-0.3145407;1.162751;0.2096158,0.3661854;1.093975;-0.3194091,-0.3643239;1.136071;0.452374,0.6090059;1.042943;-0.2958257,-0.01850235;0.7408458;0.00533,0.1409609;0.7546338;-0.05158794,-0.08530099;0.3732524;0.2761253,0.2369866;0.4229677;0.2545056,-0.1553915;0.2402984;-0.08172872,0.2242642;0.09647268;0.04501068,-0.2887208;0.1232594;0.0008254722,0.2722265;-0.01965261;0.2224132,0.04074996;0.8628764;-0.05261241,0.01879528;0.9588987;-0.0885114,-0.005627699;1.067863;-0.1236412,-0.02215327;1.189636;-0.1426237,-0.3935572;1.039999;0.6056715,-0.3724205;1.110814;0.5624415,-0.4357822;1.12734;0.5241084,0.7700361;1.009314;-0.2150594,0.7184725;1.05206;-0.2683914,0.6978204;0.9991629;-0.3187171,-0.2428987;0.1108121;-0.01553708,-0.296526;0.1605861;-0.05467968,0.2284988;-0.01385564;0.1984005,0.3034881;-0.007198453;0.1640816,0.06122922;0;-0.02312903
9,-0.08348142;1.480969;-0.008343477,-0.09853262;1.503832;-0.05966963,-0.04376069;1.51255;-0.03677801,-0.1013424;1.467563;-0.1570809,0.03558739;1.489359;-0.09985191,-0.181102;1.307997;-0.05188926,0.1266608;1.291742;-0.2531086,-0.3698748;1.132439;0.1319592,0.3967952;1.134197;-0.270697,-0.4655122;1.07684;0.3553065,0.6384721;1.124026;-0.2106055,-0.0071069;0.7523096;0.01879789,0.1485898;0.7666593;-0.04761671,-0.040467;0.4108429;0.3273503,0.2453784;0.4236533;0.2454628,-0.1408674;0.3127896;-0.03452571,0.2181929;0.09375495;0.04278795,-0.2784374;0.1714418;0.04401154,0.2668718;-0.02245647;0.2201272,0.04606049;0.8727131;-0.04780417,0.02035918;0.9665356;-0.08689179,-0.007257663;1.073272;-0.126243,-0.02623534;1.193684;-0.1507949,-0.5180345;0.9622619;0.4883386,-0.4969876;1.039253;0.4573594,-0.5505558;1.052244;0.405216,0.7876805;1.119574;-0.1042949,0.7398379;1.150977;-0.1679756,0.7350028;1.09277;-0.2164095,-0.23212;0.1643189;0.02594788,-0.2864191;0.2210845;-0.0007872172,0.2229979;-0.01641423;0.1964441,0.2977628;-0.0101788;0.1615612,0.07074142;0;-0.01440949
