Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.008843102;1.683524;0.2647038,-0.02370451;1.698912;0.2190149,0.03616495;1.702244;0.2168847,-0.06865836;1.646589;0.1412093,0.08101539;1.65492;0.1358839,-0.172145;1.449558;0.1011055,0.1972169;1.453254;0.1331101,-0.3178513;1.165694;0.02921505,0.3220704;1.147392;0.1605656,-0.331304;0.9568955;0.1646553,0.203601;1.053176;0.3585821,-0.08517232;0.9047714;0.1021679,0.08464662;0.9003239;0.1023233,-0.1220947;0.5021599;0.3245587,0.07770605;0.4405;0.06450164,-0.1004168;0.3346218;-0.02488373,0.04726;0.1316895;-0.1686465,-0.2073574;0.1452398;-0.01684897,0.08800376;0.002796233;-0.001461573,0.002892567;1.023098;0.1038685,0.005862786;1.127336;0.0930616,0.009608367;1.244054;0.08489978,0.01226087;1.36782;0.09660421,-0.2433219;0.834237;0.221866,-0.3063954;0.8791705;0.2431202,-0.3517033;0.8595436;0.1855074,0.05929261;1.016887;0.4212663,0.1274583;1.053725;0.4423716,0.1732144;0.9936318;0.4351323,-0.1585076;0.1545445;-0.02388093,-0.2210688;0.2042792;-0.04619822,0.04549283;0.009381652;-0.02738012,0.1220334;0.01956397;-0.05710143,-0.0002628353;0;0.1022456
1,0.006975717;1.701303;0.3802193,-0.02529415;1.717415;0.3345832,0.03457818;1.720966;0.3329428,-0.06952907;1.666371;0.2555261,0.08015187;1.675248;0.2514249,-0.1683721;1.46651;0.2098183,0.1985826;1.476666;0.2611687,-0.3139212;1.190401;0.1177983,0.3190195;1.168896;0.3015836,-0.3287731;0.9807289;0.251734,0.1742434;1.093437;0.4899132,-0.09402369;0.9272895;0.2270763,0.0754129;0.9151981;0.2252511,-0.1265098;0.5292444;0.4582079,0.0661585;0.4785789;0.0762724,-0.108997;0.2411262;0.1987273,0.04252207;0.1626995;-0.1480278,-0.2102736;0.06816339;0.2835404,0.08169248;0.01342219;-0.001572743,-0.000696904;1.041515;0.2285757,0.006031357;1.145583;0.2178224,0.01222168;1.26209;0.2082458,0.0151059;1.386114;0.2167178,-0.237869;0.859292;0.306948,-0.3027877;0.9014704;0.3282924,-0.3463238;0.882167;0.2692227,0.02354284;1.069317;0.5426265,0.09241872;1.102143;0.5676798,0.1342204;1.038849;0.5657228,-0.1617707;0.07505912;0.2724835,-0.2259263;0.1102481;0.233352,0.03956931;0.02273035;-0.02728882,0.1164979;0.03714794;-0.05411461,-0.009305362;0;0.2261637
2,-0.006841473;1.716246;0.4950125,-0.03927121;1.732599;0.4495756,0.02056029;1.736808;0.4480023,-0.08294216;1.682106;0.3698536,0.06663658;1.692629;0.3659204,-0.1771919;1.479356;0.3219843,0.1876025;1.493327;0.3860093,-0.3187315;1.20965;0.2114804,0.3079008;1.187252;0.4380559,-0.3365024;0.9993115;0.3440088,0.1413652;1.130113;0.6144737,-0.09967032;0.9411184;0.3548434,0.06985962;0.9304692;0.3527275,-0.1302687;0.5296055;0.5613331,0.06012126;0.5289761;0.1255159,-0.1130245;0.1601651;0.4435818,0.03777983;0.2117715;-0.09703979,-0.2041132;0.02500522;0.5878075,0.07654494;0.0342266;0.003111035,-0.00731477;1.056131;0.3563352,-0.001429604;1.160196;0.3450743,0.004014581;1.276561;0.3335214,0.005980838;1.400799;0.3383274,-0.2447989;0.8773609;0.3967116,-0.3112437;0.9172339;0.4177895,-0.3524804;0.8997332;0.3565482,-0.01521371;1.111623;0.6492915,0.05105171;1.143677;0.6813928,0.09096146;1.07936;0.6866708,-0.1560895;0.0299924;0.5739805,-0.2221692;0.04490155;0.5260569,0.034779;0.04850441;-0.02084878,0.1119648;0.06939811;-0.04209265,-0.01490532;0;0.3537855
3,-0.03140627;1.724645;0.6120681,-0.06389331;1.741151;0.5667275,-0.004083733;1.745684;0.5652229,-0.1072506;1.690998;0.4866205,0.04227344;1.702331;0.4828591,-0.1976868;1.48577;0.4401388,0.1658188;1.5019;0.5108895,-0.3315616;1.219396;0.3146687,0.2896191;1.200326;0.5742381,-0.3506277;1.009209;0.4472576,0.1075111;1.158659;0.7392313,-0.1022617;0.9445291;0.489718,0.06758909;0.9421693;0.4915726,-0.1247899;0.5054381;0.6297489,0.05599651;0.5626577;0.2293644,-0.1113061;0.120848;0.6803219,0.02905358;0.2585946;-0.01036203,-0.1922207;0.04304266;0.8667771,0.06410833;0.04483771;5.00679E-05,-0.01567329;1.063936;0.4917485,-0.01405888;1.167944;0.4786794,-0.01213794;1.284057;0.463923,-0.01301149;1.408401;0.4640489,-0.2596213;0.8855764;0.4971747,-0.3267572;0.9242875;0.518228,-0.3664064;0.9091386;0.4553336,-0.05187391;1.14227;0.7592041,0.011054;1.176069;0.7959027,0.04983556;1.112137;0.8087867,-0.1448228;0.04466105;0.8502499,-0.2125873;0.0386492;0.8027387,0.02227303;0.07019299;-0.01131827,0.09958786;0.09750211;-0.0223698,-0.01733626;0;0.4906453
4,-0.05025612;1.722023;0.7244173,-0.08275211;1.738667;0.6791337,-0.02293845;1.743138;0.6776038,-0.1262117;1.688744;0.5989389,0.02332234;1.699922;0.5951141,-0.2148548;1.483133;0.5535471,0.1478605;1.49929;0.6275719,-0.3443382;1.219547;0.4183968,0.2767012;1.20197;0.6964216,-0.3632632;1.011035;0.5536233,0.0863229;1.172616;0.8545882,-0.105926;0.9386843;0.6153975,0.06377172;0.9427262;0.6220784,-0.1272984;0.4995172;0.7553705,0.05021245;0.5406793;0.3960447,-0.1217068;0.131541;0.8787042,0.03383948;0.3073716;0.08628929,-0.1834536;0.1210499;1.087136,0.06915323;0.0979861;0.03816223,-0.02392214;1.061273;0.6180531,-0.02541467;1.165043;0.6031995,-0.02608799;1.280823;0.5859305,-0.0290927;1.405094;0.5828047,-0.2731848;0.8855065;0.6003952,-0.3400339;0.9241714;0.6224238,-0.3797863;0.9109119;0.5591688,-0.07378849;1.155749;0.8668737,-0.01311961;1.191789;0.9052073,0.02533646;1.12888;0.9231192,-0.1374543;0.1211029;1.066976,-0.2060686;0.09115314;1.031191,0.02719978;0.1253712;0.03465879,0.1043931;0.1549122;0.03091466,-0.02107714;0;0.6187379
5,-0.05908491;1.712992;0.8379796,-0.0916376;1.729665;0.7927477,-0.03181478;1.733957;0.7910711,-0.1354326;1.679754;0.7127286,0.01412444;1.690483;0.7085373,-0.2254326;1.474825;0.6687716,0.1378709;1.488669;0.7400053,-0.3526265;1.211686;0.529893,0.2672774;1.190206;0.8021988,-0.3698711;1.002528;0.6643449,0.07702828;1.16527;0.9612764,-0.1107122;0.9275183;0.7310504,0.05879296;0.9355442;0.7389159,-0.1340161;0.493177;0.8850685,0.04538234;0.5086395;0.5643044,-0.1297099;0.1293693;1.020252,0.03220663;0.3647912;0.2040503,-0.1834981;0.1474647;1.230361,0.06830826;0.1646675;0.1265011,-0.03161575;1.051997;0.7339466,-0.03497129;1.155674;0.7187492,-0.03670557;1.271377;0.701039,-0.03964015;1.395637;0.6974653,-0.2803393;0.875677;0.7085258,-0.3463053;0.9149399;0.7321042,-0.3874223;0.9025617;0.669547,-0.08335859;1.151153;0.973435,-0.02212639;1.186259;1.011739,0.01523862;1.122754;1.029856,-0.1382901;0.1448891;1.208636,-0.2079449;0.1100821;1.179963,0.02568914;0.1910902;0.1292895,0.1018743;0.2230172;0.1246021,-0.02595961;0;0.7349831
6,-0.05959108;1.700217;0.9493637,-0.09252785;1.716512;0.9042718,-0.03272546;1.720855;0.9020777,-0.1369132;1.665946;0.824992,0.01259276;1.676803;0.8195068,-0.2289948;1.461796;0.7827439,0.1360326;1.473148;0.8444291,-0.3562082;1.19641;0.6469654,0.2621915;1.169802;0.8901695,-0.372357;0.9852408;0.7783753,0.08062653;1.139447;1.058202,-0.1171288;0.9149028;0.8441894,0.05254114;0.9218149;0.8489456,-0.1344916;0.4850237;1.010981,0.05030677;0.4752896;0.7326406,-0.123577;0.1102452;1.111335,0.03213163;0.4122347;0.3500928,-0.1800795;0.1095742;1.321509,0.08294014;0.2250397;0.2513856,-0.03711856;1.038829;0.843596,-0.04000128;1.14234;0.8272238,-0.04125374;1.258018;0.8093057,-0.0433551;1.38232;0.8067641,-0.283037;0.85829;0.8226971,-0.3485337;0.8981149;0.8466383,-0.3903875;0.8854208;0.7846355,-0.07919779;1.127764;1.077971,-0.01551267;1.160787;1.114064,0.0215239;1.096193;1.128663,-0.1351046;0.1032497;1.300071,-0.2081588;0.08266824;1.266531,0.03825869;0.2469286;0.2582232,0.1109861;0.2861903;0.2543839,-0.03229382;0;0.8465675
7,-0.0505667;1.685734;1.058472,-0.08422393;1.701276;1.013648,-0.02449392;1.706091;1.010624,-0.12921;1.649507;0.935491,0.02011511;1.661544;0.927933,-0.2235726;1.445412;0.8952829,0.1434442;1.456133;0.9423527,-0.3531823;1.174947;0.7713753,0.2658991;1.148106;0.9656857,-0.3686897;0.9614337;0.8990212,0.1014221;1.097591;1.146012,-0.1264178;0.9047045;0.9568752,0.04343452;0.9031801;0.959358,-0.1410558;0.4676663;1.104186,0.06506789;0.4452152;0.9072355,-0.1209731;0.08669752;1.175659,0.03165365;0.4347768;0.520682,-0.1810379;-0.00833571;1.362012,0.1044968;0.2579935;0.4167199,-0.04031248;1.02435;0.9513541,-0.03904643;1.127488;0.9325939,-0.03756622;1.243034;0.9138612,-0.03830264;1.367369;0.912405,-0.2803596;0.8341018;0.9442257,-0.3449103;0.8752539;0.96849,-0.3879523;0.8620018;0.9074242,-0.05470675;1.082997;1.184508,0.0124497;1.116107;1.213538,0.0517622;1.051752;1.221917,-0.1359134;-0.005664587;1.340126,-0.208968;-0.006054103;1.300777,0.05753762;0.2743788;0.4236967,0.1252988;0.321824;0.4220023,-0.0414916;0;0.9581167
8,-0.0478709;1.672196;1.163091,-0.08184815;1.686449;1.11808,-0.02211451;1.690655;1.114311,-0.1280272;1.632369;1.042217,0.02130684;1.642884;1.032796,-0.2236771;1.422027;1.005496,0.1444437;1.437956;1.031371,-0.3520304;1.141697;0.9038967,0.2613505;1.126608;1.034473,-0.3652182;0.9268317;1.029518,0.1266478;1.044066;1.227253,-0.1377085;0.8943461;1.060087,0.03182186;0.8835028;1.060497,-0.1602693;0.4638576;1.22467,0.0707993;0.4247597;1.091355,-0.1222999;0.08024913;1.179373,0.03327897;0.4229446;0.7050414,-0.1877448;-0.03418934;1.352584,0.1274323;0.2449403;0.6224817,-0.04524804;1.008861;1.050239,-0.03983948;1.111538;1.029763,-0.03657402;1.227121;1.011495,-0.03790376;1.351451;1.013063,-0.2784903;0.7979436;1.073394,-0.3412856;0.8408499;1.099179,-0.386503;0.8279724;1.039624,-0.02074192;1.015282;1.286573,0.04750843;1.051867;1.307843,0.09196838;0.9904004;1.306286,-0.1419511;-0.02905059;1.332612,-0.2136801;-0.02552485;1.291043,0.07891174;0.2576466;0.6250553,0.1424711;0.3105788;0.6230878,-0.05294328;0;1.060292
9,-0.05105237;1.662172;1.26373,-0.08544692;1.676543;1.219075,-0.0257194;1.679917;1.214466,-0.1333742;1.622522;1.144263,0.01594466;1.630955;1.13274,-0.2316115;1.410083;1.11659,0.1372591;1.425608;1.117775,-0.3604993;1.11884;1.047974,0.2377681;1.107723;1.101617,-0.3706779;0.9041574;1.174186,0.1396966;0.9935551;1.300288,-0.1445767;0.8856937;1.164627,0.02492383;0.8743943;1.164189,-0.1665694;0.4507098;1.317016,0.06401221;0.4298344;1.281472,-0.1190957;0.094634;1.170029,0.03503104;0.3790607;0.8977647,-0.1923447;-0.01755542;1.34152,0.1420914;0.1919032;0.868156,-0.05189322;0.9995891;1.150582,-0.04651652;1.101744;1.127638,-0.04360233;1.217165;1.108311,-0.0450612;1.34148;1.110671,-0.2897469;0.7701629;1.213616,-0.3479545;0.8170978;1.242908,-0.3975306;0.8069018;1.186379,0.01052662;0.9389708;1.38033,0.0766115;0.9826061;1.393664,0.1271028;0.9283959;1.377258,-0.1459332;-0.01388055;1.322684,-0.216468;-0.008147657;1.279355,0.09318313;0.2023009;0.8634452,0.1549897;0.2565725;0.8544995,-0.05982639;0;1.164408
