Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.0006386561;1.636857;0.1710974,-0.03091076;1.67001;0.1341099,0.02908826;1.670146;0.1337908,-0.07636216;1.652985;0.04215028,0.07363536;1.653324;0.04135245,-0.1794057;1.467976;-0.03964545,0.1745958;1.476989;-0.03912381,-0.2946774;1.200135;0.1175883,0.2968442;1.19955;0.1000985,-0.09909931;1.245313;0.2653379,0.1314089;1.25816;0.277068,-0.08820359;0.9002295;0.003870081,0.08166876;0.9004555;0.002595399,-0.2151131;0.4567024;-0.005859692,0.2203408;0.460452;-0.006547291,-0.2823063;0.1126014;-0.1723786,0.2812772;0.116287;-0.1753258,-0.3490046;-0.01131594;-0.008560959,0.3196049;-0.01214147;-0.005976949,-0.003401249;1.020893;0.006809045,-0.003209647;1.125125;-0.004440268,-0.002950484;1.241421;-0.01781949,-0.002428854;1.365761;-0.01662516,-0.03362697;1.339588;0.3694604,-0.106655;1.327216;0.3431408,-0.107277;1.254924;0.3661799,0.04807838;1.322712;0.3906707,0.1222168;1.328609;0.365222,0.1370863;1.255399;0.3785022,-0.3028854;-0.004797637;-0.02734548,-0.3737887;-0.0005253553;-0.07024032,0.2769862;-0.004014432;-0.03127349,0.3533916;0.002875328;-0.06226126,-0.003267403;0;0.003232748
1,-0.000779476;1.637503;0.1706298,-0.03135034;1.670454;0.133707,0.02864494;1.670683;0.1329875,-0.07738547;1.652973;0.04212399,0.07260267;1.653546;0.04032529,-0.1805055;1.46764;-0.03948737,0.1736477;1.477308;-0.03916153,-0.2957823;1.199445;0.1170209,0.2954993;1.199377;0.09966848,-0.1004896;1.243973;0.265344,0.1298833;1.257415;0.2766577,-0.08917361;0.9003134;0.003461853,0.08069701;0.9004977;0.00197009,-0.2152237;0.4565258;-0.005531944,0.2200223;0.460692;-0.006745554,-0.2823284;0.1123513;-0.1719347,0.2812529;0.1163693;-0.1750957,-0.3489277;-0.01124442;-0.007736943,0.3190884;-0.01202613;-0.005605004,-0.004337429;1.020954;0.00635558,-0.004135491;1.125192;-0.004839777,-0.003886454;1.241496;-0.01814795,-0.003384104;1.365835;-0.01686594,-0.03518532;1.338178;0.3696359,-0.1081948;1.325704;0.3433125,-0.1086581;1.253365;0.3662075,0.04651734;1.321522;0.3904862,0.1206256;1.327622;0.3649971,0.1356421;1.254406;0.3780802,-0.302819;-0.004732251;-0.02654948,-0.3737402;-0.0005751252;-0.06942599,0.276529;-0.003855228;-0.0309872,0.3530027;0.002920568;-0.06183117,-0.004238288;0;0.002715981
2,-0.001808978;1.63757;0.1699339,-0.03250847;1.670448;0.1330533,0.02748495;1.670805;0.1322388,-0.07865115;1.652852;0.04154667,0.0713324;1.653744;0.03951037,-0.181677;1.46736;-0.03992957,0.1726135;1.477589;-0.03980995,-0.2971407;1.198937;0.1159116,0.2937406;1.199031;0.09870642,-0.1021374;1.242625;0.2648639,0.128062;1.255574;0.2761205,-0.09018925;0.90041;0.002934384,0.07967681;0.9005523;0.0009885305,-0.2156355;0.4564168;-0.004162771,0.2197758;0.4609781;-0.006972892,-0.2823079;0.112141;-0.1705293,0.2816581;0.1166428;-0.1750587,-0.3485808;-0.01094508;-0.005674837,0.3191187;-0.01139861;-0.005233077,-0.005316777;1.021032;0.005519338,-0.005119151;1.125265;-0.005725769,-0.004894745;1.24157;-0.01902931,-0.004422287;1.365908;-0.01767812,-0.03693706;1.337047;0.3690245,-0.1099377;1.32443;0.3427448,-0.1102794;1.252117;0.3657202,0.04448318;1.31942;0.3899399,0.118602;1.325679;0.3645203,0.1337394;1.252477;0.3775449,-0.3025054;-0.004431605;-0.02456832,-0.3734891;-0.0004862547;-0.06736133,0.2766174;-0.003289759;-0.03073206,0.3531619;0.003435731;-0.06141117,-0.005256202;0;0.001961471
3,-0.002933395;1.637451;0.1685896,-0.03374318;1.670276;0.1317536,0.02624851;1.670794;0.1309032,-0.07989394;1.652629;0.04026081,0.07008547;1.653924;0.03813484,-0.1826856;1.467138;-0.04130123,0.1717337;1.477789;-0.04109298,-0.2985176;1.198599;0.1139031,0.2920218;1.198575;0.09711296,-0.1036454;1.241655;0.2632105,0.1267219;1.254438;0.2750947,-0.09111419;0.9004741;0.001378193,0.0787461;0.9005681;-0.001022093,-0.2161337;0.4563327;-0.00368046,0.219691;0.4612554;-0.008474268,-0.2828244;0.1124536;-0.1708588,0.2805449;0.1165891;-0.1762569,-0.3489914;-0.01091754;-0.006106757,0.3184871;-0.01181924;-0.006611906,-0.006201101;1.021072;0.003716249,-0.006001974;1.125306;-0.007526923,-0.005790426;1.241617;-0.02077285,-0.005340768;1.365954;-0.01930069,-0.03845029;1.336011;0.3674336,-0.1114475;1.323422;0.3411315,-0.1118079;1.251097;0.3640699,0.04328697;1.318464;0.3889184,0.1174065;1.324594;0.3634694,0.1324312;1.251373;0.3765184,-0.3029309;-0.004366755;-0.02502375,-0.3739489;-0.0003299713;-0.06775137,0.2759043;-0.003588736;-0.03193542,0.3523462;0.003133357;-0.06286978,-0.006184028;0;0.0001780614
4,-0.004445977;1.637205;0.168289,-0.03529448;1.670024;0.1314799,0.02469672;1.67065;0.1306624,-0.08136486;1.652416;0.03993914,0.0686131;1.65398;0.03789534,-0.1840892;1.466911;-0.04148638,0.1704563;1.477801;-0.04145753,-0.3002673;1.198471;0.1134596,0.2902085;1.198125;0.09647438,-0.1051561;1.241199;0.2625491,0.124752;1.254961;0.2740023,-0.0923708;0.9004149;0.0008761494,0.07748614;0.9005442;-0.00174948,-0.2168164;0.456094;-0.002176376,0.2195508;0.4615838;-0.008679928,-0.2831381;0.1128751;-0.1708512,0.2809519;0.1171792;-0.1768002,-0.3495445;-0.01045078;-0.006154837,0.3187349;-0.0113315;-0.007163169,-0.007479368;1.02103;0.003123525,-0.007313231;1.125265;-0.008100951,-0.007127387;1.241581;-0.02131425,-0.006674302;1.365917;-0.01979482,-0.03976797;1.335502;0.3666996,-0.1128123;1.322934;0.3405181,-0.1131432;1.250599;0.3634262,0.04143074;1.31905;0.3878736,0.1155345;1.325139;0.3623689,0.1305342;1.251915;0.3754224,-0.303464;-0.003941238;-0.02503732,-0.3744469;0.0001690388;-0.06781614,0.2761635;-0.003037632;-0.03248516,0.3526152;0.003608227;-0.06341168,-0.007442321;0;-0.0004366559
5,-0.006115207;1.636988;0.1673671,-0.0369669;1.669835;0.1305859,0.02302423;1.670517;0.129813,-0.08295466;1.652325;0.03898478,0.06702319;1.65403;0.03705251,-0.1856195;1.46666;-0.04224818,0.1690453;1.477873;-0.04248111,-0.3021033;1.198342;0.1125127,0.2885783;1.197818;0.09505043,-0.1070502;1.240342;0.2618848,0.1230958;1.253347;0.2729667,-0.09363082;0.9004402;0.0006251433,0.07621604;0.9005684;-0.00258634,-0.2175781;0.4559696;0.0008423426,0.2193179;0.4619308;-0.008549025,-0.283229;0.1131061;-0.1688147,0.2807639;0.1175549;-0.1767117,-0.3498011;-0.009828031;-0.003825416,0.3181368;-0.01073402;-0.006839146,-0.008734996;1.02106;0.002386902,-0.00860529;1.12528;-0.008983973,-0.00848101;1.241584;-0.02229821,-0.008090422;1.365921;-0.02082031,-0.04165517;1.33468;0.3659987,-0.1147045;1.322086;0.3398435,-0.1150064;1.249755;0.3627633,0.0395925;1.31701;0.3869442,0.1136924;1.323315;0.3614809,0.1288463;1.250095;0.3743823,-0.303708;-0.00337714;-0.02269729,-0.3746678;0.0006904006;-0.06551843,0.2756079;-0.00241363;-0.03222369,0.3521054;0.004048169;-0.0630761,-0.008707365;0;-0.0009805863
6,-0.007670393;1.636571;0.1671805,-0.03851699;1.669522;0.130488,0.02147425;1.670194;0.1297144,-0.08451197;1.652264;0.03884257,0.06546617;1.653944;0.03690867,-0.1872071;1.466435;-0.04251572,0.1675886;1.477796;-0.04259741,-0.3042203;1.198297;0.1120027,0.2865451;1.197462;0.09501081,-0.1091345;1.240317;0.2613264,0.120591;1.253685;0.272269,-0.09494451;0.9003429;0.0003716988,0.07490021;0.9005521;-0.002946283,-0.2180977;0.4556586;0.002856408,0.2192276;0.4623089;-0.008347418,-0.282681;0.1136231;-0.1688688,0.2808205;0.1181961;-0.1769943,-0.3494159;-0.009441733;-0.004001658,0.3177879;-0.01008117;-0.007115822,-0.01010481;1.021003;0.002098654,-0.01002624;1.125225;-0.009250065,-0.009957315;1.241528;-0.02257493,-0.009614872;1.365865;-0.02114618,-0.04382157;1.334608;0.3655342,-0.1168602;1.321975;0.3393683,-0.1170962;1.24962;0.3622146,0.03687825;1.317408;0.3860589,0.1110243;1.323702;0.3607272,0.126157;1.250489;0.3736966,-0.3033038;-0.002962291;-0.02281721,-0.3742176;0.001125216;-0.06571261,0.2753079;-0.001738727;-0.03257505,0.3518613;0.004631102;-0.06330768,-0.01002214;0;-0.001287282
7,-0.008982311;1.63587;0.1675538,-0.03970454;1.669037;0.1309515,0.02028915;1.66961;0.1302921,-0.08555825;1.652267;0.03914496,0.06442588;1.653699;0.03749643,-0.1883909;1.466377;-0.04249422,0.1663556;1.477652;-0.04287232,-0.306005;1.198509;0.1118968,0.2847775;1.197395;0.09536263,-0.1112887;1.239766;0.2619141,0.118893;1.253028;0.2728721,-0.0961852;0.9003154;0.0005229327,0.07365552;0.9004865;-0.002997102,-0.2188018;0.455504;0.005520596,0.2188326;0.4625174;-0.007827328,-0.2830362;0.1144772;-0.168329,0.2807319;0.1188069;-0.1771808,-0.350141;-0.008675694;-0.00368488,0.3174413;-0.009513259;-0.00733316,-0.01131681;1.020957;0.00212988,-0.01122282;1.125177;-0.009239399,-0.0111455;1.241478;-0.02257801,-0.01080022;1.365816;-0.02115404,-0.04615492;1.334022;0.3662658,-0.119138;1.321452;0.3399151,-0.1195014;1.249103;0.3627791,0.03508211;1.316636;0.3866536,0.1092459;1.322966;0.3613831,0.1243833;1.249746;0.374301,-0.3039967;-0.002238154;-0.0224354,-0.3748507;0.00198859;-0.06541607,0.2749946;-0.001155913;-0.03284311,0.3515867;0.005180895;-0.06348601,-0.01126482;0;-0.001237079
8,-0.009964273;1.635356;0.1684912,-0.04061886;1.668664;0.1319602,0.01937592;1.669156;0.1313383,-0.08644012;1.652205;0.04008124,0.06354673;1.653435;0.03852647,-0.1893759;1.466278;-0.0418335,0.1652727;1.477531;-0.04258537,-0.3072918;1.198608;0.1125572,0.2833032;1.197473;0.0963454,-0.1127005;1.239784;0.2627589,0.1174896;1.253861;0.2736827,-0.09709366;0.9002085;0.0009148659,0.07274598;0.9003953;-0.002655341,-0.2191864;0.4552828;0.008083025,0.2188034;0.462715;-0.00710932,-0.2825998;0.1152732;-0.1680448,0.2814535;0.1196482;-0.1774885,-0.3501739;-0.007947922;-0.003719082,0.3178046;-0.008853972;-0.007727792,-0.01223479;1.020856;0.002552635,-0.01214658;1.12508;-0.008777457,-0.01208987;1.241388;-0.02205984,-0.01177367;1.365725;-0.02056252,-0.04772107;1.334152;0.367106,-0.1206716;1.32152;0.3406951,-0.1210143;1.249187;0.3636095,0.03374346;1.317543;0.3874703,0.1078809;1.323889;0.3621269,0.1230723;1.250691;0.3751102,-0.3039771;-0.001527965;-0.02234613,-0.3747153;0.0027439;-0.06551253,0.2754103;-0.0004687309;-0.03331562,0.3520648;0.005889297;-0.06379779,-0.01217382;0;-0.0008702299
9,-0.01079615;1.635088;0.1692446,-0.04139633;1.668485;0.1327494,0.01859913;1.66887;0.1321191,-0.08726036;1.652194;0.04086171,0.06272829;1.653157;0.03928611,-0.1903643;1.466151;-0.04122522,0.1642687;1.477464;-0.04198637,-0.3083793;1.198615;0.1132467,0.2820959;1.197452;0.09720898,-0.1137735;1.240329;0.2632809,0.1163057;1.255353;0.2740797,-0.09798771;0.9000723;0.001180797,0.07185453;0.900304;-0.002260492,-0.2196146;0.4550584;0.01048172,0.2187243;0.4628914;-0.006284066,-0.2823555;0.1160284;-0.1677629,0.2818367;0.1203542;-0.1775561,-0.3503561;-0.007253647;-0.003698104,0.3180656;-0.008133054;-0.007796251,-0.01316061;1.020741;0.002950525,-0.01308364;1.12497;-0.008330361,-0.01304625;1.241284;-0.02155445,-0.01275445;1.365621;-0.01999111,-0.04897801;1.334986;0.3674799,-0.1219052;1.322164;0.3410959,-0.1220957;1.249865;0.3641182,0.03262509;1.319344;0.387743,0.1067284;1.325673;0.3622958,0.1220038;1.252535;0.3755112,-0.3041128;-0.0008470416;-0.02221435,-0.3747478;0.003471434;-0.0655451,0.2756868;0.0002532601;-0.03340929,0.3523589;0.006585956;-0.06385236,-0.01306657;0;-0.0005398385
