Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.06986079;1.56818;0.2969193,-0.09767652;1.606828;0.2635089,-0.03819931;1.609492;0.2709494,-0.1307385;1.606812;0.1649231,0.01795451;1.613475;0.1835244,-0.2230911;1.40192;0.08535358,0.1393911;1.425337;0.05978966,-0.3275599;1.099441;0.1533549,0.2238145;1.138299;0.1959198,-0.1648113;1.203274;0.3110047,0.05213809;1.168843;0.3740111,-0.09096016;0.8749006;0.00131005,0.07840086;0.8771572;0.01435,-0.148586;0.4173811;0.01780953,0.1592031;0.4792615;0.2335911,-0.1276302;0.116793;-0.2268466,0.1728031;0.2982417;-0.1094773,-0.1772335;-0.01830554;-0.06430453,0.1905243;0.08055478;-0.07253623,-0.008175113;0.9965586;0.01158628,-0.0152807;1.100413;0.02402881,-0.02214533;1.216089;0.04063392,-0.03161024;1.337409;0.06620635,-0.09662807;1.335719;0.4103354,-0.1638047;1.303864;0.3629566,-0.1845213;1.242589;0.4026242,-0.01504944;1.309096;0.470965,0.04847385;1.263147;0.4365585,0.04224736;1.196047;0.4714321,-0.132495;-0.005623162;-0.08327702,-0.2039309;-0.008721173;-0.1253817,0.1508368;0.1082805;-0.08589678,0.2300689;0.1283585;-0.09872773,-0.006279641;0;0.007830042
1,-0.08806889;1.573366;0.3659889,-0.1160194;1.611703;0.3323335,-0.05640736;1.613879;0.3387889,-0.150644;1.610283;0.234296,-0.00161398;1.615725;0.2504344,-0.244833;1.405135;0.1616198,0.1158137;1.431944;0.1226994,-0.3418511;1.101686;0.2391973,0.2121517;1.140513;0.2425018,-0.1688483;1.207749;0.3839125,0.05199239;1.174005;0.4305164,-0.1010225;0.8756654;0.06613951,0.06807184;0.8831101;0.08062933,-0.1497123;0.4175527;0.0400797,0.1114694;0.4837689;0.3076975,-0.1330616;0.1307772;-0.2209404,0.1264204;0.2121067;0.03088483,-0.1740521;-0.0145964;-0.07344824,0.1334958;0.01723272;0.1330514,-0.02223863;0.9997309;0.07880703,-0.03223319;1.10319;0.09249248,-0.04143171;1.218587;0.1098961,-0.05228584;1.339729;0.1357599,-0.0966754;1.340527;0.4799251,-0.1662845;1.307796;0.4368497,-0.1830388;1.245704;0.4771133,-0.01133801;1.310738;0.5348155,0.05065028;1.266851;0.4952962,0.04801457;1.198907;0.5289686,-0.1298918;-2.8193E-05;-0.09242097,-0.2015747;-0.004148245;-0.1340153,0.09509666;0.04120237;0.1112963,0.1750669;0.05183578;0.09293351,-0.01647535;0;0.07338443
2,-0.09761006;1.576421;0.4347631,-0.1254405;1.614507;0.4007256,-0.06577456;1.616271;0.4067966,-0.1606664;1.611976;0.3029249,-0.01150136;1.616386;0.3181024,-0.2566537;1.407701;0.2339559,0.1028578;1.436621;0.1881685,-0.3521874;1.10063;0.3023583,0.202401;1.138098;0.290383,-0.17417;1.201195;0.4449009,0.04739443;1.166842;0.4834347,-0.1109951;0.8770949;0.1288719,0.05814696;0.885815;0.142033,-0.159086;0.4211583;0.07665996,0.08029559;0.4870353;0.3731192,-0.1437213;0.1467783;-0.1974357,0.09320025;0.1558787;0.1710848,-0.1761603;-0.006485045;-0.0665141,0.1037014;-0.007358372;0.3173743,-0.033206;1.001631;0.1429832,-0.04382747;1.1048;0.1582994,-0.05342389;1.219948;0.1770755,-0.06425409;1.34087;0.2039584,-0.09925067;1.3304;0.5436454,-0.1701536;1.299088;0.5016389,-0.1853682;1.235384;0.5399485,-0.01460465;1.298437;0.594897,0.04680065;1.256848;0.5521181,0.04553193;1.187517;0.5829226,-0.1325933;0.009954035;-0.08532898,-0.2043838;0.004752934;-0.1266154,0.06445201;0.01113331;0.2920787,0.1434704;0.01505756;0.2678676,-0.02642406;0;0.1354524
3,-0.1052451;1.578699;0.4986384,-0.1328597;1.616504;0.4641157,-0.07317728;1.617958;0.470107,-0.1682008;1.612885;0.3663908,-0.0189947;1.616518;0.3813691,-0.2657034;1.409628;0.3000701,0.09327347;1.44011;0.2518004,-0.36347;1.102129;0.3645716,0.1891311;1.136026;0.3454282,-0.1837199;1.198085;0.508113,0.03795557;1.163521;0.5416736,-0.1213747;0.8781129;0.1871206,0.04783086;0.8867071;0.199526,-0.1754132;0.424306;0.1234321,0.05618176;0.487213;0.4302886,-0.1552168;0.1667672;-0.1662485,0.06132914;0.1181232;0.3103084,-0.1808958;0.008909166;-0.05570039,0.07540731;-0.0005822182;0.4940539,-0.04359992;1.002404;0.2033212,-0.05411837;1.105298;0.2204419,-0.06340866;1.220253;0.2405154,-0.07366495;1.341085;0.2680205,-0.1073665;1.325099;0.6085862,-0.1789409;1.294582;0.5671371,-0.1932631;1.229915;0.6041554,-0.02314174;1.291757;0.6574644,0.03787233;1.251641;0.612762,0.03734049;1.181501;0.6416991,-0.1376261;0.0268569;-0.07380933,-0.2089846;0.02084696;-0.1157299,0.03536621;0.01183558;0.4663984,0.1131399;0.006354928;0.4387087,-0.03677195;0;0.1933233
4,-0.1076901;1.583112;0.5641141,-0.1348761;1.620698;0.529017,-0.07520881;1.621771;0.5352345,-0.1698525;1.616146;0.4311999,-0.02068405;1.618828;0.4467435,-0.2698724;1.413355;0.3676123,0.089446;1.445875;0.3220392,-0.3733876;1.106751;0.4275554,0.1736647;1.134051;0.4096381,-0.1952201;1.197019;0.576652,0.0253924;1.160468;0.6082323,-0.1352266;0.8812748;0.2498509,0.03386297;0.8858079;0.2655501,-0.203778;0.431855;0.1708597,0.03779373;0.4707492;0.4671129,-0.1692654;0.1928052;-0.1329709,0.04843045;0.08488625;0.426546,-0.1863347;0.03414524;-0.05011988,0.05203445;0.002006412;0.6295583,-0.05505712;1.003414;0.2702095,-0.06360751;1.106219;0.2888963,-0.07078246;1.221239;0.3094567,-0.07894096;1.34242;0.3361153,-0.1187957;1.321548;0.6801373,-0.1902936;1.292247;0.6376905,-0.2051219;1.226898;0.6732832,-0.03455848;1.286498;0.7270069,0.02610353;1.246861;0.6814063,0.02485239;1.176059;0.7086583,-0.1432951;0.05479026;-0.06573111,-0.2123442;0.0464974;-0.1109964,0.01346291;0.009931386;0.5983854,0.09206695;-0.00216198;0.5755678,-0.0506818;0;0.2577005
5,-0.1094069;1.585303;0.6190771,-0.1363302;1.622787;0.5836696,-0.07667238;1.623611;0.5900156,-0.1711087;1.617756;0.4858056,-0.02196425;1.619815;0.5016706,-0.2731098;1.415531;0.4211617,0.08734414;1.448821;0.3850912,-0.3821082;1.110245;0.4780266,0.1613111;1.132765;0.4728644,-0.2085907;1.198228;0.6338233,0.01073975;1.161785;0.6693543,-0.1512239;0.8831342;0.3067169,0.01743004;0.88178;0.3270222,-0.2263528;0.4365941;0.2179781,0.005868167;0.4621689;0.5186195,-0.1788917;0.2160805;-0.09788597,0.02743092;0.07564771;0.4905955,-0.1890985;0.05361962;-0.03884032,0.009849414;-0.0002114773;0.695671,-0.06754918;1.002311;0.330278,-0.07325942;1.105278;0.3491513,-0.07763041;1.220546;0.3691022,-0.08334212;1.342202;0.3941875,-0.1349414;1.32142;0.7408598,-0.2053007;1.292655;0.6962011,-0.2210054;1.226844;0.7305461,-0.05292873;1.286225;0.7878704,0.009128943;1.247248;0.7435981,0.007189877;1.176106;0.7699082,-0.1465782;0.07756591;-0.05071196,-0.2133414;0.07021379;-0.09943679,-0.02540507;0.00746429;0.6607349,0.05468063;-0.00707674;0.6458915,-0.06689691;0;0.3168696
6,-0.1126041;1.586107;0.6590335,-0.1395024;1.623425;0.6234317,-0.07983695;1.62419;0.6297131,-0.174388;1.617871;0.5256341,-0.02522439;1.619781;0.5413373,-0.2769563;1.417071;0.4555468,0.08496676;1.446834;0.434682,-0.3907797;1.113328;0.5120494,0.1466117;1.130282;0.5320495,-0.2255677;1.201776;0.6763777,-0.008756399;1.166791;0.7234917,-0.1644957;0.8820567;0.3566875,0.003535308;0.8767636;0.3810976,-0.2455198;0.4355491;0.2731222,-0.02005701;0.4625447;0.583045,-0.188529;0.2482069;-0.06199563,0.01577294;0.07966262;0.5304469,-0.1844757;0.06495279;-0.03831267,-0.02055272;-0.02269131;0.7208702,-0.0783384;0.9994649;0.3801794,-0.08199508;1.102863;0.3971038,-0.08429023;1.218535;0.414955,-0.08817384;1.340703;0.4377996,-0.1576353;1.325629;0.7863903,-0.225596;1.296513;0.7383718,-0.2429097;1.230841;0.7722048,-0.07848477;1.291552;0.8381976,-0.01421668;1.252474;0.7972975,-0.01748537;1.181409;0.8236859,-0.144768;0.09535331;-0.04294375,-0.2119311;0.09551185;-0.09167361,-0.05196776;-0.01223826;0.6831059,0.03002466;-0.02108467;0.676437,-0.08048017;0;0.3688926
7,-0.1122418;1.584826;0.6943126,-0.139253;1.622005;0.6586516,-0.07958625;1.622932;0.6648986,-0.1741776;1.616169;0.5608844,-0.02501082;1.618485;0.5765018,-0.2756836;1.419041;0.4796737,0.08760579;1.435635;0.479944,-0.3991895;1.118897;0.5346881,0.1240788;1.128827;0.6106431,-0.2528556;1.207593;0.7159095,-0.04220386;1.17423;0.7906734,-0.1824166;0.8813447;0.4108239,-0.01569588;0.8684595;0.4407649,-0.2941989;0.4362001;0.3632002,-0.04826216;0.4567597;0.6465788,-0.2208563;0.3069191;0.004652917,0.007307649;0.08970475;0.533302,-0.1941763;0.0957725;-0.03922909,-0.01515125;-0.02505606;0.7186111,-0.09054784;0.9951257;0.4301539,-0.0895914;1.099328;0.4416441,-0.0879441;1.215566;0.45542,-0.08911198;1.338208;0.4759082,-0.1963841;1.331964;0.8316678,-0.2587934;1.303029;0.7765313,-0.2806219;1.237939;0.8088424,-0.1224532;1.301698;0.8950608,-0.05460376;1.261292;0.8619831,-0.06147271;1.190754;0.8890829,-0.1602693;0.1308635;-0.02734351,-0.2314977;0.1439747;-0.06784186,-0.04728968;-0.01804942;0.6806593,0.03516181;-0.01373971;0.6753041,-0.0990562;0;0.4257944
8,-0.1220018;1.583543;0.7354333,-0.1488838;1.620717;0.6996698,-0.08923886;1.621636;0.7061222,-0.1834723;1.614861;0.6017842,-0.03435979;1.617157;0.6179151,-0.2828569;1.419021;0.5087246,0.08044676;1.412446;0.5297827,-0.4083456;1.119185;0.5622939,0.09402996;1.123637;0.691811,-0.2832739;1.207106;0.7591411,-0.0825145;1.178977;0.8588192,-0.196428;0.8790832;0.4668913,-0.03138492;0.86584;0.504887,-0.3310137;0.4379095;0.4538741,-0.06157537;0.448307;0.6989782,-0.2386522;0.3541551;0.08630982,0.005233496;0.1030194;0.5347769,-0.2130542;0.1406381;0.01911917,-0.01087371;-0.01319277;0.7198308,-0.1035661;0.9925819;0.4828395,-0.1014153;1.097227;0.4888157,-0.09851077;1.213814;0.4989693,-0.09855159;1.336677;0.5181196,-0.239241;1.330599;0.8810742,-0.2956676;1.301969;0.8196855,-0.3203741;1.236521;0.8490673,-0.1697742;1.308013;0.9553609,-0.09986879;1.266538;0.928466,-0.1100488;1.196228;0.9551158,-0.1798403;0.173665;0.03724065,-0.2511507;0.1924769;-0.0007914007,-0.04349892;-0.007593572;0.6820608,0.03863189;0.0005870461;0.6763074,-0.1139065;0;0.4858891
9,-0.1383179;1.580784;0.7887953,-0.1648443;1.618199;0.7530169,-0.1052359;1.618864;0.759828,-0.1988698;1.612853;0.6549051,-0.04984874;1.614516;0.6719326,-0.2953955;1.419396;0.5498902,0.06611766;1.40243;0.5936733,-0.4209731;1.117964;0.5961738,0.07248601;1.119516;0.7611848,-0.3124699;1.200315;0.804901,-0.1150622;1.173876;0.916081,-0.2072247;0.8770094;0.5170785,-0.04272774;0.8669745;0.5582893,-0.3666681;0.4455697;0.5538844,-0.05785082;0.4426767;0.7390082,-0.2559611;0.3640319;0.1909182,0.005894929;0.1129704;0.5443821,-0.2427368;0.148036;0.1330869,-0.009752944;-0.003906965;0.729076,-0.1161889;0.9921335;0.531862,-0.1152724;1.09688;0.5361519,-0.1127767;1.213458;0.5465091,-0.1125344;1.335968;0.5677986,-0.2785612;1.318836;0.9347487,-0.3304651;1.292105;0.8686906,-0.355695;1.224988;0.8935082,-0.2112312;1.296647;1.01233,-0.138782;1.258085;0.9879488,-0.1485084;1.186521;1.011214,-0.2076197;0.1797103;0.1499943,-0.276971;0.2011415;0.1097876,-0.04270042;0.002291739;0.6916814,0.03946309;0.009452939;0.6850958,-0.1249762;0;0.5376839
