Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.0532789;1.601789;0.05037754,-0.08342915;1.630699;0.009895671,-0.02354317;1.633772;0.01195225,-0.124028;1.604969;-0.08231007,0.02568682;1.612651;-0.07716854,-0.2134302;1.411776;-0.1552002,0.1466916;1.424235;-0.1373564,-0.2772326;1.095409;-0.05299862,0.2600699;1.157554;0.02359394,-0.1444065;1.098004;0.1578858,0.07774658;1.14271;0.1928868,-0.08334374;0.861827;-0.03145778,0.08597328;0.8712262;-0.04154166,-0.1519908;0.4432338;0.150158,0.2069559;0.4870247;0.1835562,-0.1660217;0.1159154;-0.0579639,0.1620273;0.2082556;-0.08274861,-0.1677559;-0.02058369;0.1108703,0.2494596;0.02220756;-0.01961276,-0.006735116;0.984116;-0.0620544,-0.01370826;1.083672;-0.09416342,-0.02055497;1.197189;-0.1219268,-0.02831262;1.321211;-0.1264564,-0.07518259;1.172566;0.274781,-0.1492061;1.163985;0.2497654,-0.148109;1.088683;0.2590181,-0.01167294;1.209387;0.3004733,0.06281804;1.217375;0.2766779,0.0806317;1.145787;0.2944297,-0.130253;-0.007848382;0.07998876,-0.2107695;-0.0103333;0.06007866,0.2024359;0.03905499;-0.01439351,0.2545627;0.05994314;-0.07515515,0.001314767;0;-0.03649977
1,-0.04946133;1.612623;0.01948151,-0.07902248;1.641575;-0.02140292,-0.01912463;1.644052;-0.01893102,-0.1192171;1.61566;-0.1137343,0.03052757;1.621853;-0.1075544,-0.2112142;1.423966;-0.1882924,0.1485985;1.429312;-0.1638076,-0.2777822;1.10602;-0.09142503,0.2569749;1.161725;-0.001298591,-0.1508756;1.109069;0.1230679,0.06845738;1.147964;0.1611638,-0.08866945;0.8709399;-0.05841556,0.08059523;0.8804702;-0.06922876,-0.154411;0.4551977;0.1306704,0.2015271;0.4844198;0.1343303,-0.1694217;0.1160019;-0.05739819,0.1434161;0.2283579;-0.1515097,-0.1700677;-0.02047116;0.1116437,0.2198738;0.03494114;-0.1023681,-0.01228923;0.9932832;-0.08936385,-0.01900914;1.092809;-0.1216203,-0.02447736;1.206278;-0.1498822,-0.02944897;1.330409;-0.1552609,-0.08500312;1.184855;0.2411068,-0.1582784;1.176043;0.2140516,-0.1575131;1.100845;0.2241455,-0.02652602;1.215485;0.2633187,0.04909227;1.223382;0.2433577,0.0660491;1.151994;0.2626857,-0.1327258;-0.007605076;0.0806216,-0.2133127;-0.01031995;0.06102912,0.1735115;0.05344188;-0.09683955,0.2277649;0.0761739;-0.1550231,-0.004037108;0;-0.06382222
2,-0.03538669;1.627417;-0.02118424,-0.06454264;1.656337;-0.06238094,-0.004636616;1.658334;-0.05968298,-0.1045821;1.630136;-0.1546988,0.04518297;1.635129;-0.1479541,-0.1984444;1.442336;-0.233268,0.1596912;1.436676;-0.1964484,-0.2757822;1.122739;-0.148707,0.2575492;1.166699;-0.03095149,-0.1570801;1.117437;0.07038985,0.06079734;1.15009;0.1211509,-0.09474169;0.8849359;-0.09273759,0.07459772;0.8910604;-0.1047769,-0.1429588;0.4696237;0.102475,0.1913584;0.4769922;0.0620496,-0.1748678;0.1144423;-0.05074687,0.1284952;0.2327794;-0.2330054,-0.1710768;-0.02518457;0.1148246,0.1793367;0.04416519;-0.184935,-0.01608529;1.005914;-0.1233488,-0.02050396;1.105665;-0.1553061,-0.0222295;1.219062;-0.1843247,-0.02229318;1.343192;-0.1916612,-0.0943899;1.189856;0.1922146,-0.1668094;1.182472;0.1625536,-0.1671776;1.107066;0.1709823,-0.0415389;1.21579;0.2172099,0.03526234;1.224282;0.2027738,0.05117655;1.152706;0.2222911,-0.1343726;-0.01123881;0.08350933,-0.215166;-0.01495558;0.06495936,0.1337651;0.06525761;-0.1841241,0.1929407;0.08068907;-0.2398521,-0.01007199;0;-0.09875731
3,-0.02518898;1.6417;-0.04784386,-0.05419072;1.670347;-0.08933918,0.005714032;1.672228;-0.08653061,-0.09409687;1.643478;-0.1815229,0.05566495;1.64818;-0.1745016,-0.1879788;1.458856;-0.2628319,0.1684991;1.447123;-0.2168708,-0.2769444;1.139437;-0.1900011,0.2576753;1.173709;-0.05105941,-0.1674276;1.121214;0.03314851,0.05570996;1.152147;0.09339598,-0.09797793;0.8979526;-0.1209106,0.07152529;0.90118;-0.1317052,-0.1373193;0.4849916;0.0811602,0.1769599;0.4758735;0.01291354,-0.1810896;0.1201471;-0.04382612,0.1265499;0.2202173;-0.2747457,-0.1733558;-0.02273643;0.1155681,0.1538268;0.04185617;-0.2235422,-0.01690508;1.018024;-0.1486529,-0.01918741;1.118284;-0.1792122,-0.01832448;1.231811;-0.2077557,-0.01560083;1.355868;-0.2157862,-0.1068278;1.187325;0.1595323,-0.1784186;1.18304;0.1273563,-0.181046;1.107413;0.1329103,-0.0525046;1.215696;0.1843231,0.02506787;1.224363;0.1750327,0.0396515;1.152292;0.1937497,-0.1372753;-0.008001268;0.08389156,-0.2182482;-0.01271999;0.06638102,0.1097465;0.06559426;-0.2275108,0.1723744;0.07110357;-0.2812964,-0.01322631;0;-0.126308
4,-0.01170684;1.654646;-0.07441926,-0.04052651;1.683018;-0.1162293,0.01937982;1.684698;-0.1133305,-0.08037168;1.65545;-0.2082327,0.06939428;1.659652;-0.2009859,-0.1738087;1.475118;-0.2938734,0.1801367;1.459056;-0.2366495,-0.2779665;1.157539;-0.236344,0.2605104;1.1793;-0.07484008,-0.1778619;1.127175;-0.01011655,0.05353102;1.154164;0.06172468,-0.1016392;0.9089828;-0.1617763,0.06819539;0.9085535;-0.1655586,-0.1489418;0.49936;0.04531944,0.1542257;0.4759229;-0.03011017,-0.1996451;0.1266178;-0.050291,0.1302938;0.1889958;-0.2903968,-0.1784608;-0.02937627;0.09738351,0.1402839;0.02233088;-0.2328908,-0.01680903;1.028103;-0.1811085,-0.01570024;1.129373;-0.2082065,-0.01145882;1.24339;-0.234397,-0.005808489;1.367396;-0.2416483,-0.1196084;1.185713;0.121016,-0.1901533;1.185161;0.08634578,-0.1953113;1.109488;0.08842804,-0.05866849;1.215874;0.1490154,0.01942515;1.223569;0.1444195,0.03185127;1.150565;0.1609507,-0.1441811;-0.009092629;0.06679253,-0.2250035;-0.01776469;0.05011861,0.09795383;0.04696321;-0.2440142,0.1659245;0.04439807;-0.2911195,-0.0167219;0;-0.1636675
5,-0.004680302;1.661512;-0.1002507,-0.03337848;1.689565;-0.1423585,0.02653233;1.691058;-0.1394482,-0.07328278;1.661215;-0.2340983,0.07649423;1.664947;-0.2268226,-0.1663521;1.483394;-0.3228936,0.1860864;1.467314;-0.2573317,-0.2770796;1.166997;-0.27278,0.262475;1.182852;-0.1003564,-0.181595;1.132873;-0.04509605,0.05288516;1.158488;0.03231126,-0.1045681;0.9141939;-0.2052675,0.06523612;0.9114565;-0.201106,-0.1664167;0.5025801;-0.006104305,0.1340224;0.4783115;-0.05768144,-0.2170485;0.1274347;-0.09184419,0.1215761;0.1696604;-0.2926888,-0.1931566;-0.02437109;0.06334639,0.1361926;0.006733358;-0.2185408,-0.01740701;1.032665;-0.2165431,-0.0138779;1.134671;-0.2404872,-0.007406024;1.249189;-0.2638901,-0.0002679341;1.373223;-0.2690488,-0.1248273;1.187921;0.08818185,-0.1947997;1.188929;0.0523805,-0.2008459;1.113295;0.05275297,-0.05921046;1.220428;0.1195723,0.01907211;1.22667;0.1161359,0.02984877;1.153078;0.1311486,-0.1588351;-0.002129376;0.03419733,-0.2380998;-0.01594704;0.01390776,0.09367514;0.02811998;-0.2345781,0.1651987;0.02616996;-0.2761241,-0.01966596;0;-0.2031868
6,0.001255009;1.660943;-0.126297,-0.02744426;1.688488;-0.1687376,0.0324718;1.689925;-0.1659096,-0.06749023;1.659006;-0.2600576,0.08230001;1.662597;-0.2529876,-0.1601316;1.482273;-0.3502245,0.1916231;1.467675;-0.2788537,-0.2727295;1.166293;-0.302504,0.2654839;1.179976;-0.1255238,-0.1801709;1.133384;-0.07343704,0.05532467;1.159968;0.006971613,-0.1058404;0.9128695;-0.2449043,0.0636467;0.9069785;-0.2350199,-0.1881427;0.4970731;-0.06254013,0.1219035;0.4765307;-0.07933603,-0.2302047;0.1220891;-0.1534618,0.1125722;0.1599394;-0.3036837,-0.2355584;-0.01707608;0.01548488,0.1330907;0.002606213;-0.203167,-0.01631218;1.029974;-0.2504622,-0.01052008;1.132394;-0.2720866,-0.002315853;1.24724;-0.2932259,0.005479705;1.371301;-0.2964115,-0.123922;1.188521;0.06002413,-0.1935735;1.190112;0.02362286,-0.2004661;1.114552;0.02434756,-0.05465828;1.22418;0.09527324,0.02373364;1.228485;0.09138782,0.03275821;1.154562;0.1059174,-0.1965475;0.0008699894;-0.01056181,-0.2733798;-0.01034909;-0.03982614,0.09069185;0.01972097;-0.2239453,0.1651928;0.01940548;-0.2599314,-0.02109683;0;-0.2399621
7,0.010265;1.655117;-0.1624382,-0.01836014;1.682203;-0.2052237,0.0415624;1.683461;-0.2024469,-0.05856431;1.65166;-0.296125,0.09124187;1.654807;-0.2891829,-0.1517129;1.474098;-0.3845618,0.2005509;1.458166;-0.3134163,-0.2653081;1.158992;-0.3348683,0.2679096;1.168985;-0.1594991,-0.1742552;1.128049;-0.1049254,0.05769574;1.155967;-0.02622163,-0.1075963;0.9087114;-0.2834173,0.06126091;0.8968707;-0.2690879,-0.1984931;0.4896957;-0.1128868,0.1077316;0.4674231;-0.1068169,-0.2405144;0.1207323;-0.2257988,0.09909398;0.1515021;-0.3321353,-0.2853278;-0.01328772;-0.05843085,0.1296428;0.001632452;-0.2005236,-0.01392593;1.022633;-0.2861325,-0.004687963;1.124903;-0.3072642,0.005778074;1.239631;-0.328041,0.01415003;1.363657;-0.3311436,-0.1168253;1.184601;0.02743638,-0.1864277;1.18697;-0.009016275,-0.1949483;1.111606;-0.006794125,-0.04958256;1.22455;0.06212032,0.02886555;1.226487;0.05753022,0.03583691;1.152526;0.0729706,-0.2412891;-0.0006101727;-0.0789787,-0.3142521;-0.003249764;-0.1184112,0.08655526;0.01590729;-0.2220182,0.1609489;0.01666963;-0.2582193,-0.02316765;0;-0.2762526
8,0.01865274;1.643522;-0.2229587,-0.009856205;1.670619;-0.2658143,0.05007544;1.671537;-0.2631012,-0.0503304;1.639983;-0.356564,0.09949864;1.642277;-0.3497813,-0.1437314;1.46064;-0.4426929,0.2093055;1.439002;-0.3757283,-0.2554662;1.146931;-0.3804026,0.2671157;1.152449;-0.2143681,-0.16123;1.122058;-0.1510063,0.0585441;1.149548;-0.07794344,-0.1078513;0.9018205;-0.3267321,0.0604239;0.8847102;-0.3109531,-0.21449;0.4845367;-0.1611438,0.09698486;0.4563253;-0.1434229,-0.2547253;0.1390393;-0.3333694,0.0791198;0.1345631;-0.3597535,-0.3264199;-0.006491482;-0.1861528,0.1265825;-0.0001506805;-0.2013791,-0.01021796;1.012169;-0.333835,0.002021274;1.113253;-0.3588028,0.01429463;1.227175;-0.3827794,0.02277516;1.351113;-0.38823,-0.1009407;1.180952;-0.02095795,-0.1710591;1.183467;-0.05639789,-0.1806325;1.108314;-0.0521985,-0.04513389;1.222229;0.01141465,0.03317411;1.222776;0.004595757,0.03944147;1.149159;0.0218749,-0.2799078;0.002722859;-0.2027077,-0.3498826;0.01400775;-0.2458547,0.08200479;0.01104778;-0.2216213,0.1546749;0.01314646;-0.2611201,-0.02371367;0;-0.3188426
9,0.02110357;1.628571;-0.2775203,-0.007331856;1.656165;-0.3201068,0.05260745;1.65676;-0.3174763,-0.04809175;1.626486;-0.4110465,0.1017567;1.627974;-0.4044703,-0.1424473;1.445403;-0.4955876,0.2116415;1.42167;-0.4372161,-0.249664;1.13344;-0.4181121,0.267476;1.140256;-0.2677673,-0.1501641;1.113042;-0.190504,0.0638551;1.145439;-0.1241224,-0.1052991;0.8918049;-0.3643038,0.06307674;0.8734534;-0.3512237,-0.2242468;0.4774005;-0.1998729,0.09451697;0.44808;-0.1751962,-0.2635982;0.1679322;-0.4308053,0.07098611;0.1171955;-0.3767177,-0.3407068;0.01158637;-0.3041221,0.1228824;-0.007047236;-0.2042042,-0.006598329;1.000391;-0.3793665,0.005954076;1.100156;-0.4090391,0.01797364;1.213377;-0.4362487,0.02564093;1.337306;-0.4429441,-0.0868699;1.172884;-0.06232968,-0.1578238;1.175054;-0.09608954,-0.1671628;1.099915;-0.09117073,-0.03496005;1.219393;-0.03040519,0.04281407;1.220244;-0.04178065,0.05058483;1.147045;-0.02337477,-0.29397;0.01944757;-0.3207414,-0.3637576;0.03910482;-0.3610994,0.0780357;0.00395298;-0.2239549,0.149938;0.003925085;-0.2648884,-0.02111114;0;-0.3577638
