Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.03254468;1.612397;0.2559097,-0.06464783;1.645311;0.220277,-0.004705973;1.64752;0.2188289,-0.1112924;1.628802;0.1288222,0.03856216;1.634325;0.1252019,-0.2123661;1.42523;0.01182829,0.1454378;1.430076;0.01009266,-0.3028192;1.120544;-0.0686287,0.2044123;1.123482;-0.103818,-0.3276868;0.9370427;0.09819609,0.1787539;0.9421036;0.06519571,-0.1097996;0.9037486;-0.04252422,0.05931839;0.9106004;-0.05703152,-0.2091082;0.4580998;0.02419932,0.1797718;0.4912479;0.09313886,-0.2359679;0.1216123;-0.1673828,0.1961955;0.1663889;-0.1186297,-0.3149148;0.008391142;0.001104061,0.3274879;0.0237059;-0.01619729,-0.02915417;1.027205;-0.03870641,-0.03270394;1.131982;-0.03854398,-0.0344618;1.248589;-0.02836472,-0.03404063;1.367227;0.008876536,-0.285832;0.8504337;0.2196991,-0.3495848;0.891818;0.1996531,-0.3624228;0.8500515;0.1376208,0.1344404;0.839994;0.173022,0.2032427;0.867362;0.1466369,0.1912172;0.8418422;0.07619962,-0.2677462;0.01307619;-0.01549451,-0.3362281;0.01710916;-0.06217917,0.2774363;0.02783185;-0.01583966,0.3274184;0.05375063;-0.07646555,-0.02524058;0;-0.04977784
1,-0.04765264;1.619466;0.2484669,-0.07979137;1.652536;0.2130111,-0.01984919;1.654578;0.2113494,-0.1268137;1.636326;0.1216961,0.02304178;1.641433;0.1175421,-0.2277556;1.431058;0.006147791,0.1300787;1.43912;0.001542334,-0.3217502;1.12822;-0.0748039,0.1884781;1.129633;-0.1059705,-0.3480165;0.9421865;0.0889751,0.1628744;0.9507799;0.06572209,-0.1268928;0.9113103;-0.0433356,0.04196195;0.9161703;-0.06130099,-0.2192643;0.4631989;0.01650486,0.1454794;0.4946957;0.09541525,-0.2410504;0.1220572;-0.1673337,0.1222687;0.1743679;-0.1225306,-0.3196056;0.008432209;0.0009596236,0.2225136;0.01023871;-0.01853625,-0.04491787;1.033946;-0.04284744,-0.04766067;1.138743;-0.04388585,-0.04902066;1.255435;-0.03466749,-0.0488647;1.37426;0.001976095,-0.3068158;0.8531868;0.2089645,-0.3702233;0.895453;0.1896784,-0.3834739;0.8548487;0.1269651,0.1175392;0.8502966;0.1746458,0.1865937;0.8771758;0.1484175,0.1750826;0.8506673;0.07826,-0.2724308;0.0134021;-0.01553769,-0.340831;0.0169366;-0.06238223,0.1740811;0.02351689;-0.01908449,0.2289978;0.03937268;-0.07890292,-0.0424654;0;-0.05231827
2,-0.06209259;1.624219;0.2422213,-0.09448704;1.657177;0.2068944,-0.03455934;1.659422;0.2049888,-0.1418251;1.640801;0.1157725,0.007994045;1.646415;0.1110087,-0.2411223;1.433203;0.0009343475,0.11665;1.44646;-0.0044958,-0.335786;1.131712;-0.08236715,0.1790504;1.1368;-0.1095372,-0.3595608;0.9435951;0.07940003,0.154983;0.9597435;0.06422682,-0.1354979;0.9154776;-0.0533884,0.03390006;0.9208471;-0.06495429,-0.2199612;0.4664251;0.01091395,0.1177951;0.4942658;0.08966337,-0.2411662;0.1227395;-0.1681937,0.07917532;0.1746566;-0.1271485,-0.3186831;0.008569062;0.0001234561,0.1206995;0.002260149;-0.008819133,-0.05389976;1.03828;-0.04881699,-0.05698387;1.143072;-0.04931656,-0.05930696;1.259736;-0.03993783,-0.06084755;1.378646;-0.003607273,-0.3163991;0.8532633;0.1976929,-0.3802157;0.8955295;0.1798063,-0.3941818;0.8556596;0.1167779,0.1097608;0.8605135;0.17434,0.1787748;0.8873607;0.1479727,0.1676114;0.8598651;0.07813986,-0.2715632;0.01386863;-0.01642831,-0.3400381;0.01688349;-0.06320006,0.07720588;0.02622187;-0.01633331,0.1398769;0.0222398;-0.0702033,-0.05079893;0;-0.05917133
3,-0.07099351;1.627404;0.2359853,-0.1033863;1.660288;0.2005878,-0.04346118;1.662768;0.1989043,-0.1503284;1.643862;0.1092703,-0.0005156398;1.650062;0.1050614,-0.2495973;1.431104;-0.001097694,0.1086659;1.449736;-0.009859324,-0.344741;1.13294;-0.09099777,0.1713685;1.137821;-0.1083495,-0.3722954;0.94086;0.0654241,0.1425109;0.9639896;0.06792313,-0.1486397;0.9199587;-0.05993778,0.02102477;0.9223248;-0.06810235,-0.2289895;0.4708109;0.008816287,0.08965413;0.4887291;0.07402959,-0.2424455;0.1260551;-0.1689793,0.05209793;0.1636549;-0.1346936,-0.3193826;0.01031417;-0.001247495,0.03069373;0.004604042;-0.0108761,-0.06500094;1.041321;-0.05398695,-0.06657151;1.146145;-0.05475667,-0.06808318;1.262843;-0.04564254,-0.0694524;1.381835;-0.009571582,-0.3306534;0.8473981;0.1818145,-0.39411;0.8903961;0.164398,-0.4076577;0.8521803;0.1002633,0.09419481;0.8674414;0.1791013,0.163974;0.8929611;0.153439,0.1536874;0.8642565;0.08395877,-0.2722546;0.01630884;-0.01753694,-0.3405287;0.01863396;-0.06464031,-0.00461781;0.03624421;-0.02743879,0.06090307;0.01030165;-0.07079189,-0.06380746;0;-0.06402005
4,-0.07626965;1.628097;0.234511,-0.108528;1.6609;0.1989161,-0.048605;1.663714;0.1977723,-0.154566;1.644468;0.1071406,-0.004758343;1.651503;0.1042811,-0.254003;1.431802;-0.002738893,0.1045777;1.449328;-0.01076089,-0.3492594;1.135583;-0.09759776,0.1640471;1.134411;-0.1021218,-0.3779118;0.9383718;0.05209692,0.1280481;0.9638815;0.07605195,-0.1642297;0.9243805;-0.06362583,0.005517058;0.9213231;-0.06953934,-0.2504185;0.4760598;0.003433898,0.05097487;0.479742;0.05638255,-0.2441429;0.1282606;-0.1687441,0.01666462;0.155416;-0.1540564,-0.3186728;0.009893715;-0.001995973,0.02100212;0.008943737;-0.01184686,-0.07685698;1.043045;-0.05697241,-0.07555194;1.147871;-0.05794923,-0.0749678;1.264567;-0.04869685,-0.07505117;1.383413;-0.01212209,-0.3372104;0.8411333;0.1656927,-0.4003303;0.8850706;0.149435,-0.4139615;0.8489156;0.08413383,0.07593331;0.86977;0.1876029,0.1466179;0.8938667;0.1630678,0.1373842;0.864253;0.09382157,-0.2716402;0.01720923;-0.01801934,-0.3397002;0.01776618;-0.06548533,-0.01885907;0.02947694;-0.0344698,0.05477821;0.01594764;-0.06968363,-0.07935631;0;-0.06658257
5,-0.08327139;1.629083;0.2343867,-0.1153816;1.661721;0.1985079,-0.05547266;1.664991;0.1980353,-0.1602736;1.64515;0.1061913,-0.01050123;1.653326;0.10501,-0.2589703;1.435583;-0.006995868,0.09975854;1.447723;-0.006390687,-0.3547811;1.139595;-0.1024638,0.1572511;1.131007;-0.09288926,-0.3889315;0.9431672;0.04710804,0.1136723;0.9617975;0.08484997,-0.184289;0.9286887;-0.06430399,-0.01469006;0.919079;-0.06576289,-0.2771856;0.4819936;0.004621368,0.008108176;0.4680007;0.02871059,-0.2491289;0.134724;-0.1664502,-0.01790696;0.1357091;-0.1701727,-0.3194589;0.01141506;-0.002010409,0.02755483;0.01947212;-0.007559996,-0.09260643;1.043904;-0.05539432,-0.08751697;1.148613;-0.05645393,-0.08360843;1.26527;-0.04751786,-0.08155882;1.384266;-0.01149582,-0.3519389;0.8456931;0.1617651,-0.414122;0.8903991;0.1440579,-0.426814;0.8542618;0.07855798,0.05760706;0.8684907;0.1951546,0.1291607;0.8919497;0.1726001,0.1217045;0.8621632;0.1032139,-0.272677;0.02072424;-0.01773046,-0.3404918;0.01909506;-0.06552149,-0.01630346;0.02405125;-0.03159746,0.05847255;0.02757221;-0.06683441,-0.09948952;0;-0.06503341
6,-0.1008289;1.629612;0.2292541,-0.1325016;1.661708;0.1925072,-0.07260661;1.665228;0.1929415,-0.1758613;1.643908;0.09968818,-0.0261236;1.65271;0.1007739,-0.2719623;1.438911;-0.02086084,0.08626914;1.442503;-0.0002701059,-0.3648109;1.142194;-0.1194378,0.1443399;1.1249;-0.08234087,-0.405467;0.947256;0.03045589,0.09058265;0.9558622;0.09275495,-0.2085299;0.9294084;-0.07206848,-0.03948089;0.9155865;-0.06259885,-0.3268595;0.4936332;0.02287956,-0.01393978;0.4618335;0.0172293,-0.2620044;0.1552418;-0.1558214,-0.01106922;0.1230055;-0.1720755,-0.3233358;0.01364529;-0.005131692,0.05403215;0.0126937;2.483279E-05,-0.1147417;1.042362;-0.05775678,-0.1068208;1.146894;-0.0589268,-0.1000627;1.263442;-0.05028138,-0.09636275;1.382549;-0.01475682,-0.3743749;0.8505585;0.1474977,-0.4354429;0.8953896;0.1265271,-0.445209;0.8587758;0.06079052,0.0288033;0.862707;0.2000954,0.1014931;0.8856738;0.1809209,0.09700996;0.8561226;0.1111792,-0.2772447;0.0266161;-0.02028785,-0.3453929;0.02563286;-0.06762018,0.008347392;0.01609403;-0.0205582,0.08007143;0.02366006;-0.06110343,-0.1240053;0;-0.06733364
7,-0.1226387;1.628184;0.229708,-0.1544284;1.659598;0.1924756,-0.09457313;1.663703;0.1931792,-0.1971316;1.64044;0.09962282,-0.04749352;1.650704;0.1013818,-0.290057;1.440274;-0.0285085,0.0667692;1.435787;0.009325892,-0.3770516;1.14306;-0.1337804,0.1274202;1.118031;-0.06747112,-0.4222978;0.9476476;0.01416744,0.06719257;0.9478145;0.1043465,-0.2318635;0.927904;-0.07743134,-0.06366291;0.9129389;-0.05891429,-0.3878056;0.5097857;0.03994037,-0.03634605;0.4591428;0.02007645,-0.2951434;0.1809644;-0.1442854,0.001117021;0.1207103;-0.1662269,-0.3277128;0.01504791;-0.01336217,0.06852694;0.007606089;0.007206723,-0.138166;1.040253;-0.05850671,-0.1291037;1.144694;-0.05944803,-0.1208364;1.26111;-0.05034551,-0.1161809;1.380002;-0.01421849,-0.395641;0.8506556;0.1320568,-0.4561573;0.8949308;0.1084691,-0.4624251;0.8585733;0.04216617,0.002047703;0.8534975;0.2086392,0.0752537;0.8770517;0.1923596,0.073569;0.8479844;0.1222916,-0.2846748;0.03647828;-0.02788106,-0.3536719;0.03039712;-0.07357472,0.02257435;0.0123077;-0.01250534,0.09374537;0.02016115;-0.05396001,-0.1477632;0;-0.06817279
8,-0.1454188;1.626582;0.2322846,-0.177608;1.657436;0.1949288,-0.1178157;1.66237;0.1956671,-0.2199649;1.637401;0.1021025,-0.07048433;1.649736;0.1039482,-0.3096101;1.442531;-0.03329028,0.04531676;1.430218;0.0186996,-0.3874478;1.144823;-0.147738,0.1105254;1.113091;-0.05231017,-0.4351714;0.947524;-0.003110304,0.04745732;0.9401179;0.115693,-0.2535164;0.9267186;-0.08135968,-0.08602577;0.9124187;-0.05685125,-0.4409276;0.5263494;0.05092263,-0.04393041;0.4596128;0.0213242,-0.3406643;0.2021265;-0.1374273,0.002226442;0.1205991;-0.1619469,-0.3245366;0.0180794;-0.02368883,0.06910886;0.00725466;0.01143081,-0.1609831;1.039444;-0.05922156,-0.1518398;1.143882;-0.05976291,-0.1428538;1.260181;-0.04988713,-0.1374812;1.378722;-0.01272281,-0.4112968;0.8494497;0.1144794,-0.4717427;0.892751;0.08898085,-0.4744554;0.8572193;0.02199288,-0.0186964;0.8428585;0.2165933,0.05434163;0.8686751;0.2032557,0.056069;0.8403248;0.1328956,-0.2895568;0.05236083;-0.03480314,-0.3553964;0.03330749;-0.08157488,0.02322645;0.01190984;-0.008455202,0.09454711;0.0199396;-0.04961796,-0.1697711;0;-0.06910544
9,-0.1689136;1.62661;0.2294221,-0.2013104;1.657365;0.1921642,-0.141545;1.662622;0.1928481,-0.243659;1.63729;0.09934279,-0.09424566;1.650432;0.1010525,-0.3313106;1.446205;-0.0413735,0.02152401;1.426906;0.02189996,-0.3991348;1.147501;-0.1631204,0.09122209;1.110246;-0.04192895,-0.4466273;0.9483722;-0.02094453,0.02762347;0.934651;0.1231288,-0.277216;0.9259901;-0.08448531,-0.110043;0.9130228;-0.05722152,-0.4858443;0.5396094;0.05729381,-0.04200074;0.4627139;0.01700001,-0.3873242;0.2152448;-0.1317307,0.003149852;0.1202319;-0.1599647,-0.3473435;0.03209299;-0.01971442,0.07056807;0.007333159;0.01345762,-0.1859095;1.039469;-0.06113493,-0.1770431;1.14393;-0.06179129,-0.1674615;1.260193;-0.05205314,-0.1611079;1.378758;-0.01512015,-0.424632;0.8494954;0.09633914,-0.4850732;0.8918723;0.06932177,-0.4848841;0.8570365;0.001914941,-0.03777547;0.8342053;0.221364,0.03454499;0.8630478;0.2105573,0.03973584;0.8351942;0.1401691,-0.3168538;0.07025236;-0.03140108,-0.3820227;0.04480892;-0.07602331,0.02463363;0.01188463;-0.006331988,0.09584801;0.01991004;-0.04767919,-0.1936295;0;-0.07085339
