Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.03069518;1.612388;0.2556051,0.002856394;1.647511;0.2185242,0.06279825;1.645302;0.2199722,-0.04041181;1.634316;0.1248973,0.1094427;1.628793;0.1285174,-0.1472882;1.430069;0.00978905,0.2105156;1.425218;0.01152253,-0.2062625;1.123472;-0.1041232,0.3009688;1.120537;-0.06893291,-0.1806036;0.9420941;0.06489027,0.3258372;0.9370339;0.097892,-0.06116833;0.9105916;-0.05733597,0.1079496;0.903739;-0.04282901,-0.1816207;0.4912386;0.09283489,0.2072591;0.4580908;0.02389427,-0.198045;0.1663799;-0.1189336,0.2341184;0.1216033;-0.1676881,-0.3293372;0.02369654;-0.01650032,0.3130659;0.00838244;0.0007981509,0.02730423;1.027195;-0.03901106,0.03085398;1.131973;-0.03884864,0.03261181;1.24858;-0.02866939,0.03219067;1.367218;0.008571856,-0.136289;0.8399867;0.1727153,-0.2050916;0.867354;0.1463309,-0.1930658;0.8418347;0.07589379,0.2839836;0.8504236;0.2193968,0.3477361;0.8918081;0.1993501,0.3605747;0.8500416;0.1373178,-0.2792854;0.02782291;-0.01614334,-0.329356;0.05011117;-0.07844625,0.2658972;0.01306736;-0.01579981,0.3341396;0.02104938;-0.06189482,0.02339067;0;-0.05008247
1,0.0457777;1.619417;0.2482235,0.01797416;1.654529;0.211106,0.07791635;1.652487;0.2127676,-0.02491694;1.641384;0.1172988,0.1249386;1.636278;0.1214526,-0.1319546;1.439073;0.001299974,0.2258796;1.431007;0.005903389,-0.1903538;1.129582;-0.1062146,0.3198745;1.128172;-0.07504676,-0.1647496;0.9507307;0.06547792,0.3461414;0.9421381;0.0887323,-0.04383727;0.9161218;-0.06154419,0.1250174;0.9112609;-0.0435791,-0.1473537;0.4946467;0.09517261,0.21739;0.4631503;0.01626116,-0.1241435;0.174319;-0.1227732,0.2391756;0.1220085;-0.1675776,-0.2243881;0.01018953;-0.01877831,0.3177315;0.008383632;0.0007151626,0.04304254;1.033897;-0.04309082,0.04578529;1.138694;-0.04412923,0.04714525;1.255386;-0.03491089,0.04698929;1.374211;0.001732696,-0.1194133;0.8502494;0.1744004,-0.1884681;0.8771281;0.1481726,-0.1769565;0.85062;0.07801534,0.3049418;0.8531371;0.2087237,0.3683492;0.8954037;0.1894367,0.3816004;0.8547993;0.1267234,-0.1759556;0.02346814;-0.01932706,-0.2303182;0.03572786;-0.08080782,0.2705565;0.01335341;-0.01578156,0.3387441;0.02083927;-0.06204066,0.04059011;0;-0.05256162
2,0.06017691;1.624161;0.2420232,0.03264355;1.659365;0.2047908,0.09257119;1.65712;0.2066962,-0.009910002;1.646358;0.1108107,0.1399092;1.640744;0.1155743,-0.1185666;1.446405;-0.004692815,0.2392055;1.433143;0.0007351115,-0.1809669;1.136741;-0.1097359,0.3338692;1.131656;-0.08256485,-0.156899;0.959686;0.06402799,0.3576448;0.9435382;0.07920244,-0.03581617;0.9207902;-0.06515228,0.1335818;0.9154199;-0.05358668,-0.1197101;0.4942083;0.08946589,0.2180462;0.4663679;0.0107154,-0.08109079;0.1745989;-0.127346,0.2392507;0.1226823;-0.1683923,-0.1226145;0.002202392;-0.009016082,0.3167685;0.008511961;-7.588416E-05,0.05198361;1.038223;-0.04901513,0.05506762;1.143014;-0.04951471,0.05739067;1.259678;-0.04013599,0.05893132;1.378589;-0.003805429,-0.1116758;0.860458;0.1741398,-0.1806901;0.8873047;0.1477731,-0.1695262;0.8598093;0.07794038,0.3144842;0.8532051;0.1974971,0.3783006;0.8954716;0.1796098,0.3922673;0.8556015;0.1165813,-0.0791209;0.02616423;-0.01653069,-0.1405492;0.01865017;-0.07180813,0.2696485;0.01381141;-0.01662705,0.3379385;0.02077943;-0.06281588,0.04888286;0;-0.05936946
3,0.06906439;1.627305;0.2359044,0.04153201;1.662668;0.1988234,0.1014571;1.660189;0.200507,-0.001413621;1.649962;0.1049806,0.1483991;1.643763;0.1091895,-0.1105958;1.44964;-0.009939112,0.247667;1.431002;-0.001179434,-0.1732985;1.137721;-0.108431,0.3428109;1.132842;-0.09107793,-0.1444404;0.9638904;0.06784145,0.3703658;0.9407613;0.06534389,-0.02295449;0.9222261;-0.06818299,0.14671;0.9198592;-0.06001875,-0.09158284;0.48863;0.07394927,0.2270606;0.4707119;0.008735083,-0.0540273;0.163556;-0.134774,0.2405161;0.1259559;-0.1690607,-0.03262246;0.004504979;-0.01095625,0.3174539;0.0102154;-0.001329415,0.06307119;1.041222;-0.05406775,0.06464174;1.146045;-0.05483747,0.06615347;1.262744;-0.04572333,0.06752275;1.381736;-0.009652384,-0.09612337;0.8673442;0.1790182,-0.1659029;0.8928633;0.1533565,-0.1556158;0.864159;0.08387639,0.3287249;0.8472978;0.181736,0.3921813;0.8902962;0.1643189,0.4057295;0.8520804;0.1001841,0.002688862;0.03614521;-0.02751938,-0.06094178;0.006865919;-0.07200925,0.2703258;0.01620996;-0.01761829,0.3384703;0.0224877;-0.06412014,0.06187775;0;-0.06410085
4,0.0743644;1.627954;0.23454,0.04669961;1.66357;0.1978014,0.1066227;1.660756;0.1989451,0.002852887;1.65136;0.1043102,0.1526605;1.644325;0.1071695,-0.1064838;1.449187;-0.01073083,0.2520967;1.431657;-0.002710849,-0.1659528;1.134266;-0.1020933,0.3473534;1.135441;-0.09756829,-0.1299532;0.9637379;0.07608026,0.3760067;0.9382291;0.05212642,-0.007422492;0.9211802;-0.06951015,0.1623243;0.9242368;-0.06359698,-0.05287904;0.4795986;0.056412,0.2485141;0.4759167;0.003462464,-0.01856928;0.1552728;-0.1540268,0.2422383;0.1281173;-0.1687154,-0.02290603;0.008800507;-0.01181698,0.3167689;0.009750724;-0.001967981,0.07495148;1.042902;-0.05694338,0.07364636;1.147728;-0.0579202,0.07306218;1.264423;-0.04866782,0.07314552;1.383269;-0.01209307,-0.07783726;0.8696285;0.1876297,-0.1485223;0.8937244;0.1630953,-0.139288;0.8641112;0.09384921,0.3353064;0.8409891;0.1657239,0.398426;0.8849267;0.1494655,0.4120578;0.8487716;0.08416434,0.01695492;0.02933371;-0.03444046,-0.0557311;0.01201904;-0.07052965,0.2697363;0.01706618;-0.01799072,0.3377779;0.02157629;-0.0648468,0.07745092;0;-0.06655354
5,0.08137959;1.628914;0.2344787,0.05358081;1.664823;0.1981274,0.1134897;1.661553;0.1985999,0.008609205;1.653157;0.1051021,0.1583816;1.644982;0.1062832,-0.1016512;1.447556;-0.006297555,0.2570773;1.435412;-0.006904807,-0.1591435;1.130837;-0.09279768,0.3528883;1.139428;-0.1023712,-0.1155643;0.9616288;0.0849414,0.3870395;0.9429991;0.04720064,0.01279786;0.9189109;-0.06567065,0.1823969;0.9285198;-0.06421204,-0.009999305;0.4678321;0.0288032,0.2752944;0.4818252;0.004713077,0.01601538;0.1355407;-0.1700799,0.2472373;0.1345554;-0.1663585,-0.02944575;0.0193035;-0.007466678,0.317568;0.01124662;-0.001919206,0.0907142;1.043735;-0.05530224,0.08562467;1.148445;-0.05636185,0.08171613;1.265101;-0.04742579,0.0796665;1.384098;-0.01140377,-0.05949812;0.868324;0.1952444,-0.1310519;0.8917825;0.1726907,-0.1235953;0.8619963;0.1033046,0.3500481;0.8455236;0.1618595,0.4122309;0.8902299;0.1441517,0.4249236;0.8540925;0.07865162,0.01441239;0.02388269;-0.03150468,-0.06056938;0.02342033;-0.06704351,0.270786;0.02055585;-0.01763866,0.33874;0.0228712;-0.06478076,0.09759737;0;-0.06494132
6,0.09896249;1.629431;0.229444,0.07073996;1.665047;0.1931313,0.130635;1.661526;0.192697,0.02425686;1.652528;0.1009638,0.1739945;1.643727;0.09987789,-0.08813656;1.442324;-7.916242E-05,0.2700948;1.438727;-0.02067196,-0.1462072;1.124717;-0.08215155,0.3629436;1.142014;-0.1192474,-0.09244939;0.9556803;0.09294415,0.4036004;0.9470748;0.03064621,0.03761397;0.9154053;-0.06240886,0.206663;0.9292263;-0.07187878,0.01207393;0.4616519;0.01741951,0.3249936;0.4934517;0.0230689,0.00920292;0.1228238;-0.171885,0.2601381;0.1550601;-0.1556319,-0.05589776;0.01251179;0.0002158657,0.32147;0.01346385;-0.004942648,0.1128748;1.042181;-0.05756693,0.1049539;1.146713;-0.05873695,0.09819569;1.263261;-0.05009153,0.09449576;1.382367;-0.01456698,-0.03066918;0.8625271;0.200283,-0.1033591;0.8854933;0.1811093,-0.09887559;0.8559425;0.1113677,0.3725096;0.8503757;0.1476897,0.4335772;0.8952073;0.1267183,0.4433439;0.8585934;0.06098176,-0.01021314;0.01591223;-0.02036772,-0.08227632;0.01951635;-0.06134818,0.2753789;0.02643448;-0.02009823,0.3438562;0.0293141;-0.06644546,0.1221385;0;-0.06714381
7,0.1208048;1.627995;0.2300309,0.09273918;1.663513;0.1935022,0.1525944;1.659408;0.1927984,0.04565945;1.650514;0.1017047,0.1952976;1.64025;0.09994557,-0.06860414;1.4356;0.009649873,0.288222;1.440082;-0.0281865,-0.1292551;1.117839;-0.06714869,0.3752167;1.142871;-0.1334569,-0.06902711;0.9476244;0.1046688,0.4204636;0.9474579;0.01449081,0.06182827;0.9127494;-0.05859119,0.2300289;0.9277136;-0.07710858,0.03451222;0.4589529;0.02039978,0.3859717;0.5095958;0.04026258,-0.002951473;0.1205204;-0.1659033,0.293309;0.1807741;-0.1439627,-0.07036079;0.007416129;0.007530943,0.3258789;0.01485795;-0.01303987,0.1363315;1.040063;-0.05818379,0.1272691;1.144504;-0.05912511,0.1190019;1.26092;-0.0500226,0.1143464;1.379812;-0.01389558,-0.003881663;0.8533093;0.2089601,-0.07708763;0.876863;0.1926812,-0.07540251;0.847796;0.1226131,0.3938081;0.8504643;0.1323818,0.4543243;0.89474;0.1087934,0.4605925;0.8583823;0.04249045,-0.02440822;0.01211786;-0.01218173,-0.09585367;0.01602119;-0.05420311,0.2828408;0.0362882;-0.02755821,0.3527;0.03384155;-0.07182103,0.1459286;0;-0.06784987
8,0.1436288;1.626391;0.2327624,0.1160257;1.66218;0.1961449,0.1758179;1.657246;0.1954066,0.06869413;1.649546;0.1044261,0.2181747;1.637211;0.1025802,-0.04710765;1.43003;0.01917864,0.307819;1.442338;-0.03281324,-0.1123163;1.112898;-0.05183271,0.3856569;1.144634;-0.1472594,-0.04924777;0.9399268;0.1161704,0.4333811;0.9473336;-0.002631694,0.08423524;0.9122282;-0.05637317,0.251726;0.9265273;-0.08088185,0.04214081;0.4594218;0.02180255,0.4391378;0.5261586;0.05139998,-0.004016489;0.1204081;-0.1614682,0.3388741;0.2019354;-0.1369496,-0.07089826;0.007063448;0.0119102,0.3227471;0.01788861;-0.02321121,0.1591926;1.039253;-0.05874361,0.1500493;1.143691;-0.05928496,0.1410632;1.25999;-0.0494092,0.1356907;1.378531;-0.01224489,0.01690665;0.8426694;0.217069,-0.05613151;0.8684853;0.2037321,-0.05785844;0.8401355;0.133372,0.409508;0.8492576;0.1149596,0.4699537;0.8925594;0.08946028,0.472667;0.8570275;0.02247226,-0.02501598;0.01171881;-0.007976279,-0.0966197;0.01579964;-0.04971057,0.2877671;0.05216974;-0.03432512,0.3554037;0.0361473;-0.0792034,0.1679806;0;-0.06862748
9,0.1671777;1.626423;0.2300463,0.139809;1.662435;0.1934723,0.1995743;1.657178;0.1927883,0.09250959;1.650245;0.1016769,0.2419229;1.637103;0.09996691,-0.0232608;1.426721;0.02252544,0.3295736;1.446015;-0.04075003,-0.09295873;1.110057;-0.04130492,0.3973981;1.147315;-0.1624954,-0.02935964;0.9344634;0.1237526,0.4448913;0.9481853;-0.0203197,0.1083067;0.9128359;-0.05659691,0.2754798;0.9258025;-0.08386099,0.04026558;0.4625265;0.01762492,0.484109;0.5394227;0.05791754,-0.004885286;0.1200444;-0.1593393,0.3855887;0.2150576;-0.1311065,-0.0723028;0.007145524;0.01408362,0.3456087;0.03190601;-0.01909032,0.1841731;1.039282;-0.06051049,0.1753066;1.143742;-0.06116686,0.165725;1.260006;-0.05142874,0.1593715;1.378571;-0.01449579,0.0360402;0.8340198;0.2219863,-0.03628059;0.8628618;0.2111804,-0.04147084;0.8350084;0.1407921,0.4228973;0.8493069;0.09696549,0.4833381;0.8916842;0.06994745,0.4831497;0.8568483;0.002540469,-0.02636845;0.01169723;-0.005706593,-0.09786959;0.0157727;-0.04761675,0.3151188;0.07006502;-0.03077654,0.3823307;0.04739922;-0.07337135,0.1918932;0;-0.07022893
