Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.06473807;1.572806;0.2663905,-0.0961469;1.604151;0.2287791,-0.03619472;1.606535;0.2285583,-0.1407126;1.583834;0.1370545,0.009167872;1.589795;0.1365027,-0.246708;1.388532;0.05353992,0.1232846;1.400875;0.0613817,-0.2986267;1.070804;-0.04406091,0.2450305;1.115376;-0.05803197,-0.3018041;0.8513106;0.07398181,0.2809589;0.8917447;0.04599005,-0.177677;0.8701414;-0.0417067,-0.008833893;0.8524567;-0.03558,-0.4279786;0.4865981;0.0145132,0.1278582;0.4299254;0.08971658,-0.5572234;0.1778713;-0.1820384,0.09033864;0.1122639;-0.1301298,-0.7188439;0.05740339;-0.1028926,0.2220928;0.0007679462;-0.005740758,-0.08129301;0.9804559;-0.02437266,-0.07201665;1.08486;-0.02217193,-0.06545465;1.201237;-0.0113524,-0.06297354;1.320175;0.0248362,-0.2459326;0.7353698;0.2044438,-0.2941158;0.7994043;0.174306,-0.33445;0.7663475;0.1191912,0.1832399;0.7846083;0.1580518,0.2532879;0.8284794;0.1357147,0.276086;0.793688;0.07225552,-0.6718245;0.04446161;-0.1148932,-0.7164882;0.1041858;-0.1512752,0.1719109;0.002778471;-0.005495187,0.220158;0.01322681;-0.07189199,-0.09325541;0;-0.03864332
1,-0.1696121;1.55636;0.2618381,-0.2009468;1.587471;0.2239721,-0.1410046;1.590102;0.2240664,-0.2449349;1.56672;0.1320663,-0.09507929;1.573297;0.1323021,-0.3482637;1.370862;0.04766013,0.02156051;1.383334;0.06277119,-0.3968869;1.051749;-0.04801089,0.1437042;1.090237;-0.03705067,-0.3973472;0.8313152;0.06830882,0.1727818;0.8693203;0.07463094,-0.2746577;0.8505173;-0.03981373,-0.1060579;0.8331208;-0.02842166,-0.547106;0.4788092;-0.01696385,0.05650498;0.4208555;0.1001372,-0.7128854;0.161632;-0.1671797,0.07850461;0.1119286;-0.1338056,-0.8771288;0.05671465;-0.07477755,0.2133849;0.004834354;-0.001583049,-0.1789461;0.9611402;-0.02080115,-0.1699342;1.065584;-0.01961952,-0.1641127;1.182137;-0.01038496,-0.1632569;1.301713;0.02371644,-0.342257;0.7160117;0.1996648,-0.3908876;0.7792882;0.1686572,-0.4294739;0.7456875;0.1126274,0.07051153;0.7656268;0.1858673,0.1413178;0.8090938;0.165193,0.1671336;0.7722228;0.1041083,-0.8317552;0.03997689;-0.08832056,-0.8743932;0.1004039;-0.1259515,0.1632293;0.007423997;-0.001396844,0.2116426;0.01674581;-0.06784046,-0.1903578;0;-0.03411767
2,-0.2746376;1.538053;0.2583554,-0.3054605;1.570185;0.220924,-0.2454801;1.571717;0.2209357,-0.3499762;1.551347;0.1288604,-0.2000251;1.555176;0.1288897,-0.4539645;1.356668;0.04144378,-0.08432987;1.364579;0.06380765,-0.5018877;1.035802;-0.05083973,0.0361146;1.067033;-0.02448807,-0.4980949;0.8154863;0.06564303,0.06024095;0.8472499;0.09055766,-0.373975;0.8302967;-0.04116008,-0.2058143;0.8154575;-0.02218432,-0.6595892;0.4683402;-0.02301693,0.001288444;0.4205676;0.09650499,-0.8341953;0.1474039;-0.1540194,0.08032432;0.1183707;-0.1338848,-1.004214;0.05173773;-0.0640454,0.2132891;0.01081234;0.0002594851,-0.2808023;0.9424406;-0.01874964,-0.2729876;1.046985;-0.01812354,-0.2680076;1.163667;-0.01009368,-0.2680018;1.28376;0.02215001,-0.4399889;0.7003892;0.1958759,-0.4898535;0.7630895;0.1656681,-0.5285122;0.7291891;0.1098692,-0.04374665;0.745666;0.202148,0.02727741;0.788953;0.1818461,0.05439723;0.7508202;0.1221161,-0.9591962;0.03284353;-0.07582459,-0.9985683;0.09342498;-0.1166317,0.1631479;0.01364166;-0.0001689531,0.2124186;0.02278155;-0.06600478,-0.2898946;0;-0.03167217
3,-0.370263;1.522389;0.2547038,-0.4001842;1.555657;0.2175349,-0.3401843;1.555616;0.217625,-0.4450575;1.538832;0.1252552,-0.2950577;1.538728;0.1254803,-0.5526099;1.346634;0.03680823,-0.1831708;1.346315;0.06335098,-0.6044313;1.02413;-0.04955377,-0.06674665;1.046973;-0.02418129,-0.5945512;0.8060254;0.07067353,-0.04923311;0.8264791;0.09070023,-0.4741681;0.8138334;-0.04383146,-0.3070101;0.7994192;-0.01720983,-0.7655699;0.4588015;0.0003773477,-0.05454317;0.4243066;0.07481005,-0.9199091;0.1355083;-0.1489877,0.07403168;0.1230165;-0.1333769,-1.0881;0.0355984;-0.0641785,0.2080235;0.01569116;-0.0002212916,-0.3823495;0.9262404;-0.01749486,-0.3743678;1.030773;-0.01703125,-0.3685364;1.147475;-0.009923629,-0.3672456;1.268011;0.02059634,-0.5298396;0.6919674;0.1986866,-0.5816832;0.7539428;0.1703737,-0.6220552;0.7194229;0.1161914,-0.1528629;0.7280664;0.2054211,-0.08157128;0.7700359;0.1833669,-0.05592045;0.7306281;0.1238157,-1.041579;0.01858759;-0.07246805,-1.082008;0.07400191;-0.119161,0.1578396;0.01749998;-0.001016835,0.2074338;0.02883244;-0.06626616,-0.390589;0;-0.03052061
4,-0.4608611;1.513324;0.2518893,-0.4893318;1.547097;0.2140416,-0.4293612;1.545548;0.2151057,-0.5331261;1.530817;0.1211477,-0.3831997;1.526944;0.1238081,-0.6453988;1.34177;0.03699113,-0.2759437;1.33173;0.06212411,-0.7085297;1.019374;-0.04250697,-0.1642832;1.032345;-0.03042728,-0.6919228;0.8052514;0.08397347,-0.151917;0.8115488;0.08454325,-0.5684426;0.8010576;-0.0421547,-0.4011564;0.7890271;-0.01515649,-0.8556541;0.4455508;0.02141906,-0.124248;0.4264084;0.05373567,-0.9725256;0.1296337;-0.1714188,0.0502089;0.1256357;-0.1187449,-1.123448;0.02326459;-0.06758679,0.2035749;0.02937955;0.001821332,-0.478332;0.9147395;-0.01539398,-0.4712179;1.019335;-0.01499273,-0.4649053;1.136052;-0.008581601,-0.4615095;1.256889;0.02055462,-0.6209102;0.6938288;0.2109634,-0.6742664;0.7550843;0.1839228,-0.7169331;0.7194186;0.1323014,-0.253325;0.7172646;0.2045932,-0.1820629;0.757423;0.1793077,-0.1592634;0.7164571;0.1196483,-1.074945;0.01185828;-0.07388676,-1.123062;0.05120981;-0.1288562,0.1538082;0.02264184;0.001375668,0.1993237;0.04930818;-0.06236393,-0.4847994;0;-0.02865556
5,-0.5543705;1.512551;0.2514589,-0.5811458;1.546182;0.2122716,-0.5212699;1.543251;0.2147776,-0.6231655;1.528993;0.1187243,-0.4734758;1.521663;0.1249893,-0.7408373;1.342498;0.04357591,-0.3711862;1.323346;0.05955935,-0.8167288;1.021069;-0.0280693,-0.2632836;1.02528;-0.03873981,-0.7929599;0.811367;0.1045276,-0.249267;0.8053259;0.07764807,-0.6577504;0.7918299;-0.03024661,-0.4887811;0.7880442;-0.01311998,-0.9273083;0.4235727;0.03788649,-0.1991802;0.4295937;0.01057201,-0.99898;0.1252562;-0.1998515,0.01870251;0.1243871;-0.08955295,-1.126112;0.01972812;-0.06573553,0.1940496;0.03614867;0.00613015,-0.5717818;0.909944;-0.009799152,-0.5685789;1.01473;-0.01058096,-0.5638445;1.131576;-0.005242978,-0.5586383;1.252555;0.02302626,-0.7168532;0.7036608;0.2317728,-0.7712386;0.7641788;0.2051246,-0.8160143;0.7270642;0.1563916,-0.3458881;0.7144908;0.2041328,-0.27547;0.7533234;0.1747451,-0.2559843;0.7109934;0.114864,-1.076656;0.01517713;-0.07319648,-1.132847;0.03472561;-0.1310406,0.1464828;0.02011222;0.004530957,0.1827837;0.06873024;-0.05171878,-0.5732657;0;-0.02168326
6,-0.6443902;1.518493;0.2487103,-0.6700644;1.551671;0.2084156,-0.6102914;1.547544;0.2116034,-0.7115381;1.532992;0.1149102,-0.5621057;1.522675;0.1228797,-0.8353746;1.348409;0.05063046,-0.4658573;1.321942;0.04982545,-0.9213977;1.027585;-0.01133435,-0.3623871;1.025398;-0.05443534,-0.8947427;0.8209376;0.1254428,-0.3406099;0.8053859;0.06064162,-0.7441572;0.789634;-0.02051677,-0.5744513;0.7952696;-0.015374,-0.97646;0.398927;0.05885846,-0.2783982;0.4418863;0.004361995,-1.005546;0.1215686;-0.2110958,-0.04951465;0.1391943;-0.07711732,-1.119805;0.01974136;-0.06052416,0.1334066;0.05465001;0.008304305,-0.6635873;0.9125897;-0.008268446,-0.6650154;1.017391;-0.01063923,-0.6623676;1.134341;-0.006198032,-0.6552491;1.255226;0.02205288,-0.8158704;0.7136365;0.251339,-0.8698865;0.7749959;0.2258912,-0.9175664;0.7381454;0.1797835,-0.4303987;0.7146084;0.1921044,-0.3616854;0.7535708;0.1590779,-0.3451339;0.711136;0.09839357,-1.070314;0.01934683;-0.06905826,-1.12942;0.02758431;-0.1267138,0.08761597;0.03461742;0.003381856,0.1192807;0.09452766;-0.04409038,-0.6593043;0;-0.01794536
7,-0.731077;1.531996;0.2470798,-0.7566334;1.564857;0.2064516,-0.6969001;1.559908;0.2091786,-0.7992265;1.545201;0.1136524,-0.6498932;1.532827;0.1204699,-0.9280292;1.362021;0.05696155,-0.5592495;1.331525;0.03972957,-1.018809;1.040926;0.003852621,-0.4612048;1.037014;-0.07342806,-0.9901418;0.8380362;0.1457528,-0.4311107;0.8149952;0.03576943,-0.8302484;0.7993141;-0.01993659,-0.6608523;0.812085;-0.02034044,-0.9974214;0.3791882;0.07206573,-0.3677293;0.4635436;0.05391902,-0.996366;0.1143452;-0.21167,-0.1505148;0.1734376;-0.08502454,-1.113959;0.01795101;-0.05968094,0.02623647;0.07928842;0.002441108,-0.7545758;0.9256755;-0.01180598,-0.7595345;1.030352;-0.01485708,-0.7584454;1.147313;-0.01009816,-0.7497029;1.267764;0.01952253,-0.9082621;0.7296077;0.2687291,-0.9616196;0.7923466;0.2453382,-1.012671;0.7565274;0.2021184,-0.5138712;0.7210609;0.1696056,-0.4470881;0.7611703;0.1340868,-0.4331757;0.7200173;0.07187629,-1.064353;0.01689744;-0.06745753,-1.122523;0.02409464;-0.1261936,-0.01963609;0.06064266;-0.005946934,0.01544046;0.1227824;-0.04782504,-0.7455503;0;-0.02013849
8,-0.8160843;1.548369;0.2524158,-0.8419;1.581417;0.2121044,-0.7821587;1.576306;0.2143086,-0.8853306;1.562147;0.1196126,-0.7359773;1.549372;0.1251231,-1.015799;1.380415;0.06403223,-0.6475662;1.349066;0.03840195,-1.108592;1.05939;0.01490982,-0.5527762;1.059104;-0.08783965,-1.07561;0.8595856;0.1602099,-0.520058;0.8341355;0.01434176,-0.9134926;0.8172982;-0.02219959,-0.7444437;0.834028;-0.02312758,-1.014561;0.3773823;0.07359404,-0.4669414;0.4900131;0.1093975,-0.9878865;0.1096981;-0.2061962,-0.2879885;0.2061262;-0.08562334,-1.110078;0.01249558;-0.06157674,-0.1251382;0.0870896;-0.004002942,-0.840776;0.9454194;-0.01465596,-0.8476508;1.049994;-0.01748795,-0.8474375;1.166898;-0.0113939,-0.8380941;1.286677;0.02066459,-0.9893374;0.7514488;0.2804082,-1.043116;0.8144805;0.2588406,-1.096349;0.778772;0.2182395,-0.5994498;0.737471;0.1482747,-0.5334486;0.777935;0.1117117,-0.5218468;0.7382815;0.04806991,-1.060306;0.0104599;-0.06797223,-1.11665;0.01912951;-0.1282687,-0.1730422;0.07475239;-0.01268209,-0.1303393;0.1331003;-0.05289991,-0.8289682;0;-0.02266356
9,-0.8981983;1.565697;0.2656432,-0.9239595;1.599493;0.2259217,-0.8641972;1.594825;0.2285071,-0.9664609;1.582102;0.1326295,-0.8170552;1.570432;0.1390931,-1.096091;1.402385;0.07460579,-0.7280478;1.37136;0.04572065,-1.190557;1.082582;0.02188978,-0.635205;1.087619;-0.09499711,-1.151509;0.8826202;0.1654602,-0.6062838;0.8595681;0.001327248,-0.9928319;0.8408544;-0.02176145,-0.8238958;0.8585317;-0.02428578,-1.059114;0.3935871;0.07030169,-0.5656464;0.5144185;0.1424775,-0.9987515;0.1174495;-0.1956932,-0.4350969;0.216332;-0.06906527,-1.10988;0.00184685;-0.06445828,-0.2888666;0.0725311;0.0002464373,-0.9207401;0.9692969;-0.01370429,-0.9280916;1.073867;-0.01516805,-0.9280559;1.190647;-0.007032256,-0.9185328;1.309675;0.02766215,-1.060138;0.7764617;0.2836375,-1.115615;0.8384291;0.2633227,-1.169228;0.8016233;0.2242302,-0.6872926;0.7625266;0.1340133,-0.6204053;0.8016052;0.09755403,-0.6108938;0.7630718;0.03288576,-1.060067;0.003511906;-0.07064544,-1.116695;0.01045775;-0.1308994,-0.3385062;0.06776446;-0.005712835,-0.2896971;0.119404;-0.04809818,-0.9083639;0;-0.0230236
