Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.06276547;1.573116;0.2662071,0.03422204;1.606845;0.228375,0.09417427;1.604461;0.2285957,-0.01114066;1.590105;0.1363193,0.1387399;1.584145;0.1368711,-0.1252576;1.401188;0.06119928,0.2447348;1.38884;0.05335562,-0.2470043;1.115685;-0.05821601,0.2966533;1.071116;-0.04424371,-0.282932;0.8920547;0.04580623,0.2998313;0.8516213;0.07379898,0.00686086;0.8527675;-0.03576333,0.1757041;0.8704515;-0.04189026,-0.1298302;0.4302354;0.08953355,0.4260064;0.4869091;0.01432922,-0.09231097;0.1125741;-0.1303131,0.5552511;0.1781822;-0.1822226,-0.2240649;0.001077712;-0.005923271,0.7168719;0.05771488;-0.1030774,0.07931995;0.9807664;-0.02455608,0.07004353;1.08517;-0.02235534,0.06348152;1.201548;-0.01153581,0.06100048;1.320486;0.02465282,-0.1852124;0.7849199;0.1578662,-0.2552606;0.8287908;0.1355298,-0.2780585;0.7939997;0.07207042,0.2439606;0.7356793;0.2042629,0.2921435;0.7997139;0.1741245,0.3324784;0.7666571;0.1190098,-0.1738829;0.003088295;-0.005678236,-0.2223676;0.009593546;-0.07270372,0.6698525;0.04477274;-0.1150776,0.7127475;0.1069472;-0.148839,0.09128245;0;-0.03882676
1,0.1676675;1.556613;0.2618228,0.1390599;1.590355;0.2240512,0.1990021;1.587724;0.2239569,0.0931346;1.57355;0.1322869,0.2429902;1.566973;0.132051,-0.02350521;1.38359;0.06275678,0.3463186;1.371112;0.0476441,-0.1456496;1.090488;-0.03706665,0.3949419;1.052004;-0.04802544,-0.1747263;0.8695731;0.07461511,0.3954028;0.8315687;0.06829415,0.1041131;0.8333744;-0.02843684,0.2727129;0.8507701;-0.03982919,-0.05844909;0.4211086;0.1001223,0.5451616;0.4790629;-0.01697988,-0.08044937;0.1121819;-0.1338204,0.7109407;0.1618857;-0.1671961,-0.2153294;0.005087256;-0.001597205,0.8751844;0.05696887;-0.07479454,0.1770013;0.9613934;-0.02081645,0.1679893;1.065837;-0.01963481,0.1621678;1.18239;-0.01040022,0.161312;1.301966;0.02370119,-0.07245564;0.7658812;0.1858494,-0.1432623;0.809348;0.165176,-0.1690776;0.7724773;0.1040911,0.3403133;0.7162639;0.1996521,0.3889436;0.7795405;0.1686438,0.4275306;0.7459398;0.1126142,-0.1651738;0.007677197;-0.001411567,-0.2137796;0.01304799;-0.06844971,0.8298108;0.04023099;-0.08833719,0.8703872;0.1031288;-0.1235922,0.1884129;0;-0.03413299
2,0.2727196;1.538275;0.2584218,0.2435619;1.571939;0.2210021,0.3035424;1.570408;0.2209904,0.1981069;1.555398;0.1289561,0.348058;1.551569;0.1289268,0.08241163;1.364804;0.06387487,0.4520461;1.356888;0.04150948,-0.03803366;1.067254;-0.02442228,0.499969;1.036026;-0.05077257,-0.06215933;0.8474717;0.09062354,0.4961767;0.8157086;0.06570999,0.2038959;0.81568;-0.02211776,0.3720566;0.8305185;-0.04109375,-0.003206074;0.4207895;0.096572,0.6576713;0.468563;-0.02295109,-0.08224234;0.1185929;-0.1338176,0.8322772;0.1476267;-0.1539536,-0.2152069;0.01103413;0.0003271513,1.002296;0.05196118;-0.06398027,0.278884;0.9426628;-0.0186832,0.2710692;1.047207;-0.01805709,0.2660891;1.163889;-0.01002724,0.2660834;1.283982;0.02221645,0.04182851;0.7458895;0.2022119,-0.02919576;0.7891763;0.1819109,-0.05631509;0.7510437;0.1221805,0.4380713;0.7006103;0.1959447,0.4879355;0.7633108;0.1657363,0.526595;0.7294102;0.1099376,-0.1650655;0.01386356;-0.0001017936,-0.2145174;0.01905203;-0.06653289,0.9572785;0.03306675;-0.07575898,0.9945546;0.09612435;-0.1142261,0.2879763;0;-0.03160572
3,0.3683515;1.522599;0.2547278,0.3382728;1.555827;0.217649,0.3982727;1.555868;0.2175589,0.2931461;1.538939;0.1255043,0.4431459;1.539043;0.1252791,0.1812591;1.346529;0.06337573,0.550698;1.346842;0.03683149,0.06483433;1.047183;-0.02415788,0.6025192;1.024342;-0.04952917,0.04732153;0.82669;0.09072378,0.5926396;0.8062364;0.0706979,0.3050981;0.7996306;-0.01718576,0.4722562;0.8140439;-0.04380758,0.05263183;0.4245173;0.07483438,0.7636583;0.4590129;0.0004007276,-0.07594338;0.1232274;-0.1333525,0.9179974;0.1357197;-0.1489645,-0.209935;0.0159018;-0.0001962427,1.086189;0.03581011;-0.06415596,0.3804376;0.9264514;-0.01747087,0.3724559;1.030984;-0.01700726,0.3666245;1.147686;-0.009899633,0.3653338;1.268222;0.02062033,0.1509516;0.7282789;0.2054427,0.07965955;0.7702481;0.1833892,0.05400923;0.7308407;0.1238379,0.5279285;0.6921772;0.1987129,0.5797717;0.7541527;0.1703993,0.6201444;0.7196327;0.1162174,-0.1597511;0.01771063;-0.0009922627,-0.2096125;0.02510774;-0.06690588,1.039667;0.01879919;-0.07244494,1.078261;0.07695395;-0.116875,0.3886772;0;-0.03049664
4,0.4588951;1.513523;0.2518022,0.4273952;1.545746;0.2150187,0.4873658;1.547295;0.2139545,0.3812336;1.527143;0.1237211,0.5311599;1.531015;0.1210606,0.2739774;1.331932;0.06203782,0.6434324;1.341966;0.03690333,0.1623162;1.032543;-0.03051499,0.706563;1.019575;-0.04259347,0.1499508;0.8117475;0.08445558,0.6899565;0.8054504;0.08388677,0.3991899;0.7892265;-0.01524359,0.5664761;0.8012562;-0.04224193,0.122282;0.4266071;0.05364874,0.8536879;0.4457503;0.02133134,-0.05217513;0.1258345;-0.1188317,0.9705592;0.1298331;-0.1715066,-0.2055407;0.02957791;0.001735177,1.121481;0.02346444;-0.06767526,0.4763655;0.9149384;-0.01548113,0.4692515;1.019534;-0.01507985,0.4629388;1.136251;-0.008668695,0.4595431;1.257088;0.02046754,0.2513591;0.7174647;0.2045034,0.1800967;0.757623;0.1792188,0.1572976;0.7166573;0.1195591,0.6189444;0.6940268;0.2108788,0.6723005;0.7552822;0.1838373,0.7149676;0.7196165;0.1322161,-0.1557738;0.02284038;0.001288977,-0.202207;0.04577082;-0.06354657,1.072978;0.01205802;-0.0739747,1.11968;0.05475843;-0.1272774,0.482833;0;-0.02874273
5,0.5523236;1.512743;0.2512356,0.519223;1.543443;0.2145543,0.5790989;1.546375;0.2120483,0.4714288;1.521855;0.124766,0.6211186;1.529185;0.1185009,0.369139;1.323541;0.05933678,0.7387903;1.342688;0.04335184,0.2612361;1.02547;-0.03896375,0.8146813;1.021263;-0.02829212,0.24722;0.8055177;0.07742418,0.790913;0.8115595;0.1043047,0.486734;0.7882369;-0.01334319,0.6557034;0.7920218;-0.03047008,0.1971338;0.4297855;0.01034932,0.9252619;0.4237654;0.03766246,-0.02074903;0.1245789;-0.08977522,0.9969331;0.1254488;-0.2000756,-0.1960958;0.03634012;0.005908774,1.124066;0.019921;-0.06596042,0.5697348;0.9101363;-0.01002249,0.5665318;1.014923;-0.0108043,0.5617974;1.131768;-0.005466314,0.5565912;1.252747;0.02280294,0.3438417;0.7146841;0.2039069,0.2734232;0.7535166;0.17452,0.2539381;0.711187;0.1146386,0.7148067;0.7038521;0.2315519,0.769192;0.76437;0.2049032,0.8139682;0.7272556;0.1561704,-0.1485289;0.02030379;0.004309045,-0.186375;0.06577891;-0.05387326,1.074609;0.01537001;-0.07342078,1.12991;0.03871256;-0.1303629,0.5712187;0;-0.0219066
6,0.6422901;1.518686;0.2483248,0.6081914;1.547737;0.2112179,0.6679643;1.551864;0.2080301,0.5600057;1.522868;0.1224942,0.7094381;1.533185;0.1145246,0.4637567;1.322137;0.0494406,0.8332744;1.348599;0.0502442,0.3602858;1.025589;-0.05482155,0.9192967;1.027779;-0.01171937,0.3385094;0.8055782;0.06025564,0.8926421;0.8211302;0.125058,0.5723508;0.7954625;-0.01575943,0.7420566;0.7898261;-0.02090239,0.2762981;0.4420784;0.003977034,0.9743601;0.3991198;0.05847246,0.04741448;0.1393864;-0.07750189,1.003445;0.1217613;-0.211482,-0.1355066;0.05484164;0.007920507,1.117704;0.01993436;-0.06091088,0.6614867;0.9127822;-0.008653979,0.6629148;1.017584;-0.01102477,0.6602671;1.134533;-0.006583577,0.6531486;1.255418;0.02166734,0.4282988;0.7148021;0.1917164,0.3595852;0.7537644;0.1586908,0.343034;0.7113297;0.09800632,0.8137702;0.7138281;0.2509561,0.8677862;0.7751875;0.2255076,0.9154664;0.7383369;0.1794001,-0.08971572;0.03480941;0.002997521,-0.1232294;0.09207207;-0.04683536,1.068214;0.01953971;-0.06944445,1.126796;0.03170991;-0.1265893,0.6572037;0;-0.01833089
7,0.728981;1.532205;0.2465156,0.6948041;1.560116;0.2086144,0.7545374;1.565066;0.2058874,0.6477972;1.533036;0.1199058,0.7971305;1.545409;0.1130882,0.557153;1.331735;0.03916603,0.9259332;1.362227;0.0563966,0.4591081;1.037221;-0.07399309,1.016712;1.041136;0.003288852,0.4290148;0.8152029;0.03520453,0.9880458;0.8382446;0.1451888,0.6587561;0.8122937;-0.02090472,0.8281521;0.799522;-0.02050105,0.3656336;0.4637513;0.0533551,0.9953258;0.3793967;0.07150084,0.1484188;0.1736454;-0.08558819,0.99427;0.1145534;-0.212235,-0.02833205;0.07949573;0.001878353,1.111863;0.01815963;-0.06024653,0.7524796;0.9258837;-0.01237032,0.7574382;1.03056;-0.0154214,0.7563491;1.147522;-0.01066245,0.7476066;1.267972;0.01895829,0.5117761;0.7212702;0.1690387,0.4449925;0.7613794;0.1335207,0.4310806;0.7202268;0.07130997,0.9061664;0.7298148;0.268167,0.9595237;0.7925537;0.2447756,1.010576;0.7567346;0.2015562,0.01754045;0.06085002;-0.006510345,-0.01944655;0.1204603;-0.05082813,1.062257;0.017106;-0.06802261,1.119876;0.02824336;-0.1263456,0.7434541;0;-0.02070286
8,0.8139989;1.548616;0.2516887,0.7800732;1.576553;0.2135815,0.8398145;1.581664;0.2113772,0.7338917;1.549618;0.1243961,0.8832451;1.562394;0.1188855,0.6454802;1.349316;0.03767561,1.013714;1.38066;0.06330431,0.5506902;1.059349;-0.08856756,1.106506;1.059639;0.01418317,0.5179729;0.834382;0.01361408,1.073525;0.859833;0.1594833,0.7423582;0.8342755;-0.02385465,0.9114071;0.817545;-0.02292685,0.4648567;0.4902598;0.1086709,1.012476;0.3776298;0.0728664,0.2859035;0.2063731;-0.08634958,0.9858013;0.1099455;-0.2069238,0.1230536;0.08733594;-0.004728565,1.107994;0.01274312;-0.06230504,0.8386905;0.9456665;-0.01538313,0.8455651;1.050241;-0.01821511,0.8453518;1.167145;-0.01212106,0.8360084;1.286924;0.01993745,0.5973655;0.7377193;0.147545,0.5313638;0.778183;0.1109828,0.5197625;0.7385298;0.04734091,0.9872523;0.751695;0.2796836,1.041031;0.8147267;0.2581153,1.094264;0.7790184;0.2175145,0.1709576;0.07499903;-0.01340813,0.1266897;0.1306673;-0.05615021,1.058221;0.01070744;-0.06870011,1.113945;0.02330315;-0.1285472,0.8268827;0;-0.02339073
9,0.8961155;1.565989;0.2648145,0.8621144;1.595117;0.2276785,0.9218765;1.599786;0.2250929,0.8149723;1.570725;0.1382644,0.9643779;1.582395;0.1318007,0.7259642;1.371655;0.04489273,1.094009;1.402675;0.07377619,0.633121;1.087911;-0.09582663,1.188473;1.082875;0.02106144,0.6042005;0.8598604;0.0004982669,1.149426;0.8829129;0.164632,0.8218126;0.8588246;-0.02511442,0.9907487;0.8411465;-0.02259031,0.5635638;0.5147105;0.1416495,1.057032;0.3938797;0.06947269,0.4330141;0.2166241;-0.06989306,0.9966687;0.1177419;-0.1965223,0.2867841;0.07282257;-0.000580756,1.107797;0.00213933;-0.06528807,0.9186569;0.9695894;-0.01453305,0.9260083;1.074159;-0.01599683,0.9259726;1.19094;-0.007861046,0.9164495;1.309968;0.02683336,0.6852102;0.7628205;0.1331824,0.6183224;0.8018988;0.09672374,0.6088111;0.7633657;0.0320555,1.058055;0.7767532;0.2828114,1.113532;0.8387206;0.2624958,1.167145;0.8019149;0.2234038,0.3364237;0.06805617;-0.006540595,0.2866228;0.1168404;-0.05154574,1.057985;0.003804207;-0.07147464,1.114269;0.0146907;-0.1311329,0.9062807;0;-0.02385234
