Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.0327284;1.589822;0.2614981,-0.06029286;1.62588;0.2251164,-0.0004826412;1.621142;0.224581,-0.1072009;1.613994;0.1330804,0.04232474;1.602149;0.1317422,-0.2387593;1.438342;0.05859328,0.1295963;1.402281;0.0468478,-0.3655289;1.147456;-0.04752402,0.1497598;1.095229;-0.09361082,-0.3852168;0.9418998;0.09204899,0.1618887;0.891483;0.04943676,-0.1642594;0.8790505;-0.04172411,0.005282566;0.8859347;-0.04987502,-0.2222167;0.4307196;0.05078166,0.207692;0.5029837;0.1091711,-0.2496952;0.1372221;-0.2017122,0.2713977;0.2113742;-0.1389308,-0.3333621;-0.006131232;-0.07360075,0.433422;0.07644725;-0.1109626,-0.08345735;1.001664;-0.02769917,-0.08412954;1.106395;-0.02301024,-0.07787032;1.22277;-0.01199346,-0.06387643;1.341613;0.02181089,-0.3354264;0.8197216;0.2192401,-0.3811328;0.886178;0.1905209,-0.4211999;0.8563293;0.1334163,0.09764989;0.7904637;0.1881939,0.1585991;0.8344294;0.147175,0.1675829;0.7955896;0.08261473,-0.2857874;-0.001125455;-0.08889505,-0.3533061;0.01545417;-0.1341923,0.3839777;0.06802434;-0.1083847,0.4206737;0.1249559;-0.1558999,-0.0794884;0;-0.04579952
1,-0.07948834;1.626995;0.2697989,-0.108722;1.662123;0.2338117,-0.04881216;1.659198;0.2323084,-0.1567382;1.648622;0.1425734,-0.006963521;1.641311;0.1388151,-0.2851797;1.470957;0.07279493,0.08346437;1.443416;0.05165619,-0.4122103;1.182196;-0.03737416,0.09796198;1.136993;-0.09306115,-0.4249397;0.9743361;0.09957133,0.1132473;0.9318718;0.04770105,-0.2127783;0.9166358;-0.03471651,-0.04337601;0.9209831;-0.04664374,-0.2749805;0.4701593;0.06380594,0.1088127;0.5113779;0.1016088,-0.2801047;0.1592131;-0.1684335,0.1282982;0.2103643;-0.1426455,-0.3381075;0.001385272;-0.07130225,0.255162;0.04022938;-0.1192119,-0.129697;1.037677;-0.02035711,-0.1292112;1.14233;-0.01415429,-0.122887;1.25863;-0.002401583,-0.1097297;1.377635;0.03116618,-0.3687533;0.8515505;0.2234704,-0.4175155;0.9166337;0.1966982,-0.4568545;0.8864028;0.1392894,0.05692475;0.8308863;0.1898797,0.1156197;0.874323;0.1451751,0.1198785;0.8357332;0.07998344,-0.2919086;0.01168031;-0.08809537,-0.362525;0.02349806;-0.1300376,0.2051317;0.04353821;-0.1163226,0.2539566;0.09180534;-0.1624952,-0.1280771;0;-0.04068008
2,-0.1253176;1.661586;0.2809305,-0.1556597;1.695659;0.244847,-0.09571356;1.694093;0.2428448,-0.2041346;1.680115;0.1541783,-0.05426922;1.6762;0.1491727,-0.3295262;1.501856;0.08729793,0.0391859;1.479703;0.06308165,-0.4531301;1.213182;-0.02750274,0.04735243;1.172529;-0.0829671,-0.4619028;1.004749;0.1088811,0.0639268;0.9679371;0.05841699,-0.2623651;0.95127;-0.02463454,-0.09303258;0.9514148;-0.03822766,-0.3253351;0.5023202;0.06136344,0.01083487;0.5235189;0.09973332,-0.3301581;0.1706864;-0.140242,0.01166672;0.2107918;-0.1301582,-0.3525013;0.00627929;-0.06042451,0.09305489;0.01299459;-0.1096064,-0.1759941;1.069815;-0.008928871,-0.1734314;1.174343;-0.001280405,-0.1662849;1.290533;0.01107446,-0.1537041;1.40972;0.04421504,-0.4029235;0.8836945;0.2331847,-0.4536982;0.9470124;0.2059246,-0.4910709;0.9155448;0.1478701,0.01504785;0.8699868;0.2053921,0.07147335;0.9119002;0.1565068,0.07127053;0.8722352;0.09182358,-0.3106583;0.0233385;-0.0823443,-0.3871112;0.0268411;-0.1144095,0.04522128;0.02829117;-0.1090816,0.1072302;0.0656026;-0.1491845,-0.1776988;0;-0.03143106
3,-0.1725489;1.688697;0.2926292,-0.2036214;1.72208;0.2565228,-0.1436756;1.721323;0.2540874,-0.2525395;1.705198;0.1663327,-0.102675;1.703305;0.1602442,-0.3751638;1.526503;0.09927665,-0.006287977;1.50952;0.07743345,-0.4928375;1.237562;-0.02206251,-0.001521274;1.200507;-0.06731471,-0.4985823;1.028983;0.1142597,0.01631284;0.9972451;0.07582483,-0.3117744;0.9787421;-0.01423491,-0.1424036;0.9746581;-0.02669011,-0.3705643;0.526417;0.05549947,-0.07784806;0.5349389;0.09739198,-0.3882047;0.1834987;-0.125456,-0.09716484;0.2123179;-0.1175303,-0.390003;-0.003378034;-0.06545444,-0.0651812;-0.001718402;-0.1077311,-0.222458;1.094745;0.003809923,-0.2179277;1.199117;0.01257861,-0.210076;1.315225;0.02527698,-0.1984577;1.434669;0.05783626,-0.4393772;0.9112716;0.2416288,-0.491586;0.9723365;0.2120375,-0.5256098;0.9389913;0.1529805,-0.02697596;0.9028398;0.2268174,0.02764274;0.9431291;0.1746266,0.02416606;0.9021654;0.1108524,-0.3522165;0.02154469;-0.08721175,-0.4320851;0.02554452;-0.1093591,-0.1079573;0.02459115;-0.1071495,-0.03714752;0.04865503;-0.1425389,-0.227089;0;-0.02046246
4,-0.2160099;1.708613;0.2989775,-0.2477026;1.741498;0.262953,-0.1877795;1.741202;0.259931,-0.2973668;1.723605;0.1733676,-0.147559;1.722865;0.1658124,-0.417077;1.542903;0.1041085,-0.04793897;1.532264;0.08783568,-0.5269083;1.252316;-0.02118653,-0.0471058;1.219355;-0.05123608,-0.5304363;1.045041;0.1171828,-0.02629919;1.018242;0.09451328,-0.3594596;0.999752;-0.003419407,-0.1902327;0.9888642;-0.01351822,-0.4360136;0.5515837;0.0753309,-0.1574333;0.5417436;0.09567899,-0.4692357;0.216674;-0.1180099,-0.1985265;0.2167863;-0.112559,-0.4930453;0.003623486;-0.08553173,-0.2078169;-0.0004816055;-0.1014854,-0.2658589;1.112273;0.01495449,-0.2582993;1.216534;0.02292145,-0.2492401;1.332651;0.0347019,-0.2389581;1.452482;0.06627146,-0.4720283;0.933159;0.2500555,-0.5257912;0.9906505;0.2163716,-0.554581;0.9543861;0.1562611,-0.06602998;0.9267961;0.2482798,-0.01258573;0.9656566;0.193838,-0.01833993;0.9236802;0.1308925,-0.4518263;0.03026038;-0.09619878,-0.5290713;0.04868841;-0.1202636,-0.2447659;0.03353441;-0.101546,-0.1699451;0.04370832;-0.1353668,-0.2748461;0;-0.00846876
5,-0.2562008;1.719864;0.3002447,-0.288524;1.752233;0.2643134,-0.2286335;1.752414;0.2606949,-0.3389242;1.733306;0.1753539,-0.1891979;1.733757;0.1663074,-0.4559565;1.550206;0.1042806,-0.08670266;1.54534;0.09361312,-0.5612206;1.257253;-0.01893613,-0.09108864;1.22745;-0.03649967,-0.5647662;1.053104;0.1240061,-0.06690606;1.029251;0.1126799,-0.4071422;1.012471;0.007830385,-0.2385852;0.9937742;-0.002031755,-0.518692;0.5756888;0.1062927,-0.2275595;0.5434386;0.09793302,-0.5701045;0.2553933;-0.1068188,-0.2629032;0.2154966;-0.1066493,-0.6194563;0.04045212;-0.0860602,-0.2871546;-0.001101375;-0.08956738,-0.3085479;1.12097;0.0241606,-0.2973208;1.225024;0.03032003,-0.2864158;1.341145;0.04036147,-0.27688;1.461439;0.07036936,-0.5077262;0.9461792;0.2614749,-0.561909;1.001289;0.2246305,-0.5876832;0.9627752;0.1645501,-0.1023498;0.9400617;0.2688018,-0.05047372;0.9783374;0.2124619,-0.05751139;0.9353282;0.1503494,-0.5751727;0.06334305;-0.09216695,-0.6486202;0.0921312;-0.1178996,-0.3216583;0.03533107;-0.09168464,-0.2451799;0.03961706;-0.1229603,-0.3228636;0;0.002899365
6,-0.2931546;1.722247;0.3011802,-0.3259767;1.754115;0.2652531,-0.2661147;1.754758;0.2612367,-0.3768042;1.734192;0.1767551,-0.2271493;1.735801;0.166714,-0.492032;1.549164;0.1055415,-0.1228014;1.547515;0.09935961,-0.5962675;1.254563;-0.01346296,-0.1327885;1.224858;-0.02042153,-0.6013327;1.053865;0.1342402,-0.1066691;1.030941;0.1339687,-0.4557006;1.017036;0.02050319,-0.2883582;0.9898877;0.00964921,-0.5975615;0.5899252;0.1223322,-0.2936368;0.5364666;0.0950783,-0.6699768;0.2740116;-0.09121768,-0.3316258;0.2048504;-0.103004,-0.7354696;0.06429762;-0.06630348,-0.3549402;-0.01333404;-0.08814561,-0.3517247;1.120665;0.03498324,-0.3362914;1.224249;0.03978498,-0.3228021;1.340245;0.0479591,-0.3129492;1.461084;0.07558147,-0.5466033;0.9505113;0.275332,-0.6002343;1.004528;0.236137,-0.6247583;0.9644768;0.1765408,-0.1383438;0.945096;0.2927527,-0.08790275;0.982572;0.2346013,-0.09558022;0.9380373;0.1736507,-0.6895657;0.08357036;-0.07291591,-0.7606117;0.1172867;-0.0993952,-0.3895278;0.02304542;-0.08974466,-0.3128015;0.02822828;-0.1202686,-0.3720294;0;0.01507624
7,-0.3272952;1.71181;0.305104,-0.3605436;1.743137;0.2690934,-0.3007085;1.744232;0.2647853,-0.4116263;1.72213;0.180994,-0.2620385;1.724867;0.1702239,-0.5263306;1.536094;0.1118606,-0.1571698;1.535458;0.1063516,-0.6311578;1.242858;-0.008826677,-0.1718343;1.208894;-0.003355268,-0.6380662;1.043157;0.1401485,-0.1437564;1.021721;0.1588181,-0.5042049;1.010329;0.02890981,-0.3384202;0.9750075;0.01767798,-0.6795307;0.5957133;0.1302608,-0.3460902;0.5189426;0.08741033,-0.7852359;0.2761293;-0.06297849,-0.3948178;0.1870849;-0.1078973,-0.8620557;0.07332981;-0.02376903,-0.3693322;0.001404762;-0.07065889,-0.3952003;1.10848;0.04452567,-0.375503;1.211308;0.04994937,-0.3591008;1.326963;0.05762564,-0.3480758;1.448101;0.08343124,-0.5865814;0.9414675;0.2836504,-0.6393453;0.9949408;0.2425783,-0.6623472;0.9541888;0.1828503,-0.1726677;0.942207;0.3213809,-0.1232625;0.9774569;0.2609914,-0.1317553;0.9305045;0.2019945,-0.815214;0.08933401;-0.03225773,-0.8845683;0.1251617;-0.06039781,-0.4128405;0.02486682;-0.07954025,-0.3418721;0.03818864;-0.1199323,-0.4213125;0;0.02329394
8,-0.3632466;1.689096;0.3107411,-0.3968168;1.719831;0.2745193,-0.3370062;1.721227;0.2699653,-0.4481141;1.697559;0.1868564,-0.2985876;1.701049;0.1754714,-0.563173;1.511945;0.119714,-0.1940938;1.510214;0.1135748,-0.6711482;1.222141;-0.005169179,-0.2118812;1.180323;0.01391106,-0.6792341;1.0236;0.1452902,-0.1828096;1.001402;0.1849798,-0.5528656;0.9911057;0.03399253,-0.3884238;0.9496648;0.02400171,-0.7564548;0.5902451;0.1378153,-0.3849804;0.4915774;0.07932508,-0.895876;0.2682595;-0.0281243,-0.438431;0.1687257;-0.1293824,-0.9774463;0.07223308;0.02848693,-0.3663938;0.02015936;-0.06887385,-0.4404057;1.084918;0.05164668,-0.4174398;1.187014;0.05796205,-0.3985048;1.302264;0.06589463,-0.3859654;1.423363;0.09118672,-0.6297493;0.9228942;0.2901823,-0.6817791;0.9763298;0.2481363,-0.7044917;0.9351839;0.188568,-0.2103282;0.9300381;0.351518,-0.1614296;0.9621497;0.2890031,-0.1705946;0.9123819;0.2324661,-0.9303799;0.08595014;0.01758148,-0.9993302;0.1214857;-0.01189021,-0.4147134;0.02632642;-0.08110079,-0.3500694;0.04946411;-0.1272666,-0.4706447;0;0.02899717
9,-0.3987689;1.660127;0.3170538,-0.4325021;1.690372;0.2805714,-0.3727089;1.691794;0.2758022,-0.484057;1.666961;0.1933573,-0.3345739;1.670518;0.1814345,-0.600248;1.482147;0.1242469,-0.2311895;1.476271;0.1236069,-0.7131297;1.194478;0.0007280596,-0.2521107;1.143912;0.03311561,-0.7211735;0.9998208;0.1561817,-0.2230841;0.9727472;0.211952,-0.6035503;0.9672874;0.03413746,-0.4406396;0.9192588;0.03072228,-0.8259478;0.5788198;0.1461611,-0.4237638;0.4601419;0.07365818,-0.9901177;0.2614894;-0.00549167,-0.4546489;0.1540679;-0.1630142,-1.080931;0.07400304;0.06288198,-0.3591136;0.01602018;-0.07804467,-0.488212;1.056493;0.05647589,-0.4617059;1.15766;0.0638103,-0.4393838;1.272246;0.07250446,-0.4243469;1.392974;0.09821171,-0.672456;0.9021618;0.3034011,-0.7238711;0.9553089;0.2602477,-0.747586;0.9129876;0.2019061,-0.2495553;0.9091591;0.3817781,-0.2010655;0.9384452;0.3175798,-0.2103779;0.8860707;0.2634736,-1.033418;0.08441287;0.05037235,-1.10091;0.1219749;0.02005002,-0.4079824;0.0161159;-0.08962657,-0.3469141;0.04319936;-0.1384387,-0.5220948;0;0.03242993
