Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.04018689;1.553769;0.2783433,-0.07016599;1.587267;0.2414284,-0.01017297;1.586571;0.2408364,-0.1162687;1.570698;0.1497101,0.03371394;1.568958;0.1482299,-0.2319459;1.380141;0.06547256,0.1383879;1.382341;0.06343006,-0.2962138;1.071593;-0.05242005,0.2143956;1.089073;-0.08241817,-0.304804;0.8499365;0.06123103,0.2054273;0.8740376;0.04328606,-0.1690537;0.8585725;-0.04793245,0.000138402;0.843531;-0.05040013,-0.412865;0.4807619;0.05566373,0.1902756;0.4518368;0.1023749,-0.5177866;0.1750929;-0.1592944,0.1520832;0.1338457;-0.1168787,-0.6738684;0.04564011;-0.08158019,0.2491238;-0.01512045;-0.0149183,-0.0736386;0.969944;-0.03205797,-0.06485207;1.074287;-0.02691422,-0.05701877;1.190153;-0.01217088,-0.05081461;1.307441;0.02865954,-0.2511191;0.7304944;0.1894329,-0.2981978;0.7958902;0.1604968,-0.3389159;0.7646081;0.1046334,0.1099152;0.7691179;0.1592789,0.1791404;0.8133678;0.135193,0.2022853;0.7768496;0.07283914,-0.6263623;0.03511703;-0.09402055,-0.6737635;0.09370691;-0.128746,0.2000403;-0.004521668;-0.01581088,0.2523809;0.004537046;-0.07924506,-0.08445759;0;-0.04916625
1,-0.1195493;1.520775;0.2912323,-0.148477;1.555673;0.2547783,-0.08853079;1.553197;0.2542153,-0.1949546;1.541791;0.1628036,-0.04508904;1.5356;0.1613961,-0.3154689;1.353774;0.07625619,0.05484487;1.348789;0.07459326,-0.3884101;1.050189;-0.04844141,0.1193935;1.050707;-0.06856455,-0.4017561;0.8274432;0.06259039,0.1050254;0.8404133;0.06444794,-0.2642915;0.8329209;-0.0434995,-0.0955123;0.8137358;-0.04544984,-0.5124906;0.4682167;0.0917967,0.1354441;0.4475474;0.1141805,-0.6309912;0.1645913;-0.1189593,0.1491409;0.1388107;-0.1206452,-0.7951076;0.03693521;-0.04273718,0.2457284;-0.01265609;-0.02108881,-0.166232;0.9416955;-0.02583432,-0.1549555;1.045723;-0.0193381,-0.1445759;1.16121;-0.003248792,-0.1359486;1.277916;0.03879022,-0.3493682;0.705938;0.1893822,-0.3961328;0.7718179;0.161041,-0.4363277;0.7414568;0.1042975,0.0110794;0.741669;0.1869583,0.08032838;0.7837391;0.1592994,0.1010932;0.7444835;0.09777632,-0.747342;0.02574283;-0.05348467,-0.7918946;0.08656728;-0.08813936,0.1966119;-0.002261996;-0.02244624,0.2499125;0.008993983;-0.0847185,-0.1799018;0;-0.04447463
2,-0.2122545;1.493141;0.3057263,-0.2402757;1.529247;0.2697432,-0.1803931;1.525512;0.2693861,-0.2866237;1.517887;0.1773579,-0.1369174;1.508548;0.176465,-0.4095573;1.333119;0.08578953,-0.03948377;1.320026;0.09195821,-0.4881257;1.030634;-0.0380795,0.01305708;1.020526;-0.05487682,-0.5075;0.8077291;0.07173865,-0.007643342;0.8127041;0.0811511,-0.3597772;0.8079054;-0.03451362,-0.1909876;0.7890368;-0.03100168,-0.6053225;0.4504324;0.1230859,0.0757747;0.4422227;0.1155402,-0.7204109;0.1538317;-0.09924635,0.1434508;0.1433975;-0.1227294,-0.8751063;0.03210348;-0.01544819,0.2413122;-0.00940758;-0.02545971,-0.2625674;0.9167695;-0.01310153,-0.2512657;1.020745;-0.005866842,-0.2401667;1.13612;0.01054661,-0.2305069;1.252805;0.05241814,-0.4579173;0.6827176;0.196229,-0.5034128;0.7499482;0.1690166,-0.543743;0.7214645;0.1114023,-0.1009669;0.7190106;0.2080262,-0.03126749;0.7583543;0.1776223,-0.01365554;0.7174856;0.1161661,-0.8280736;0.01994079;-0.02818829,-0.8754773;0.07657397;-0.06601751,0.1921122;0.0005764961;-0.02686435,0.2456701;0.0138005;-0.08852601,-0.2753824;0;-0.0327576
3,-0.3085836;1.477134;0.3192661,-0.3357864;1.513856;0.2832779,-0.2759751;1.509101;0.2832329,-0.381809;1.503655;0.190595,-0.2322807;1.491769;0.1904824,-0.5076505;1.324412;0.09773161,-0.1383666;1.298769;0.1096388,-0.5935713;1.022318;-0.02356478,-0.09725571;1.000146;-0.04317316,-0.6183733;0.7996769;0.08569426,-0.1182328;0.7939591;0.09527975,-0.450154;0.7864734;-0.02170977,-0.2806827;0.7756943;-0.01706696,-0.7025026;0.4245648;0.1134178,0.006367177;0.4409611;0.1188477,-0.7938511;0.1417854;-0.1362625,0.13228;0.149938;-0.1049837,-0.8945968;0.004903138;-0.004511259,0.2733418;0.01452839;-0.03643777,-0.3584891;0.8994743;0.002538325,-0.3509056;1.003681;0.01116597,-0.3409787;1.119148;0.0276844,-0.3298211;1.23618;0.06819415,-0.5717375;0.6726041;0.2092329,-0.6163794;0.7404662;0.1821745,-0.655782;0.7130399;0.1234167,-0.2117473;0.7036977;0.224481,-0.141608;0.7410443;0.1926055,-0.126009;0.6992241;0.1312458,-0.847084;0.004797518;-0.0207858,-0.912775;0.03280634;-0.06304323,0.223258;0.01081097;-0.03611746,0.2682711;0.04941452;-0.09381553,-0.3654183;0;-0.01938832
4,-0.39689;1.477372;0.3226084,-0.4228902;1.514408;0.2860575,-0.3632492;1.507856;0.2862403,-0.4689819;1.50435;0.1933933,-0.3198794;1.487971;0.1938505,-0.6011912;1.329048;0.1064692,-0.2329609;1.290324;0.111835,-0.6974293;1.027804;-0.0103191,-0.2043082;0.9894519;-0.03885238,-0.7269679;0.8086346;0.1046323,-0.2216967;0.7884525;0.1075003,-0.5418363;0.7788087;-0.004965849,-0.372009;0.77538;-0.007254079,-0.7726179;0.3986588;0.118091,-0.0853681;0.4335743;0.1107398,-0.842963;0.1324165;-0.1554333,0.09809095;0.1472481;-0.0763673,-0.9149768;-0.001129389;0.00290741,0.2733386;0.03643364;-0.04487191,-0.4542439;0.8958419;0.01479343,-0.4496704;1.00031;0.02231874,-0.4402152;1.116039;0.03719135,-0.4262022;1.233461;0.07563245,-0.6834149;0.681987;0.2297232,-0.726902;0.7501566;0.2015789,-0.765877;0.7227393;0.1425325,-0.3120339;0.702077;0.2415283,-0.242702;0.7384563;0.2068876,-0.228547;0.6948293;0.1464427,-0.8689325;0.004595816;-0.01631425,-0.9402889;0.01770175;-0.0565881,0.2256497;0.02073807;-0.04619502,0.2566885;0.08403718;-0.08949988,-0.4569227;0;-0.006109917
5,-0.4717767;1.493911;0.3193433,-0.4969547;1.530932;0.2822069,-0.4375578;1.52245;0.2819506,-0.5443305;1.520275;0.1902601,-0.3958383;1.499069;0.1896192,-0.6842006;1.346869;0.1119839,-0.3173247;1.297426;0.107581,-0.7943801;1.047174;0.004486326,-0.3034452;0.994696;-0.04141409,-0.825894;0.8332704;0.1284774,-0.3133073;0.7942039;0.1063283,-0.6341847;0.78912;0.01234728,-0.4645582;0.7867724;0.003425378,-0.8203744;0.3850917;0.1348689,-0.1849337;0.4311202;0.09419045,-0.8776434;0.1295177;-0.1515766,0.02834052;0.1540861;-0.07437772,-0.9492236;0.0004270673;0.01080555,0.2210208;0.06962818;-0.04584753,-0.5467528;0.9071023;0.02632712,-0.542062;1.011705;0.03155662,-0.5308693;1.127609;0.04359315,-0.5128729;1.245481;0.07886596,-0.7833545;0.7077458;0.2550403,-0.825752;0.776378;0.2263629,-0.8661122;0.7488614;0.1683014,-0.3927119;0.7083901;0.2474522,-0.326436;0.7449199;0.2074095,-0.3165522;0.7008726;0.1464224,-0.9032406;0.005620301;-0.008711498,-0.9747241;0.01767367;-0.04908859,0.1768295;0.04679203;-0.05277329,0.197952;0.1208817;-0.08294028,-0.5493714;0;0.007886369
6,-0.5485817;1.522022;0.3142772,-0.5745885;1.558852;0.2775238,-0.5152479;1.550152;0.2757916,-0.6243724;1.54767;0.1869214,-0.4760205;1.525922;0.1825911,-0.7671863;1.375181;0.1133602,-0.4007071;1.323851;0.100367,-0.8882726;1.077118;0.01517157,-0.3892332;1.019949;-0.0461043,-0.9162565;0.8698557;0.1507485,-0.3830528;0.8160087;0.09704792,-0.7130456;0.812375;0.02120856,-0.543512;0.8145548;0.01063041,-0.8281668;0.380636;0.1363851,-0.2839783;0.4534341;0.1337193,-0.8857446;0.1244786;-0.1494771,-0.09575444;0.1806257;-0.06826167,-0.9649073;-0.0007796884;0.01205687,0.09047717;0.08336014;-0.03628097,-0.6289074;0.9331796;0.03051739,-0.6264548;1.037964;0.03280205,-0.616045;1.154158;0.04252126,-0.5968676;1.272255;0.07639503,-0.8722817;0.7468854;0.2793127,-0.9146866;0.8151947;0.2498851,-0.9563591;0.7867011;0.1932391,-0.448704;0.7232137;0.2407979,-0.3868153;0.7630228;0.1970331,-0.3805778;0.7213418;0.1339374,-0.9185107;0.00224781;-0.006930441,-0.9888986;0.01732409;-0.0482067,0.04479623;0.06356961;-0.04290698,0.07126182;0.1352248;-0.07469718,-0.6282788;0;0.01591952
7,-0.6170776;1.552492;0.3190986,-0.6447526;1.58919;0.2834488,-0.5852762;1.581935;0.2802991,-0.6962532;1.578066;0.193804,-0.5475623;1.559927;0.1859298,-0.8370062;1.404564;0.1238424,-0.47034;1.358896;0.09952512,-0.9653034;1.109348;0.0290231,-0.457247;1.052768;-0.04222937,-0.9841926;0.9051561;0.1706935,-0.4404669;0.8492262;0.1006385,-0.7749186;0.8418767;0.02757673,-0.6058792;0.8476155;0.01173203,-0.8444173;0.3971415;0.1290538,-0.3691556;0.4804688;0.1603318,-0.904134;0.1264062;-0.1425806,-0.2493901;0.1997364;-0.07944863,-0.9845303;0.001902044;0.01644259,-0.07203794;0.08569574;-0.05419217,-0.693001;0.9643145;0.03520261,-0.6925619;1.069113;0.03806946,-0.6840114;1.18545;0.04788648,-0.6659809;1.303856;0.0813069,-0.9330839;0.784784;0.2990784,-0.9780976;0.8516882;0.2703045,-1.020832;0.8215317;0.2153351,-0.5000044;0.7502062;0.2428896,-0.4403161;0.7930599;0.1989442,-0.4345301;0.7535583;0.1344197,-0.9381008;0.004088283;-0.002579954,-1.008279;0.01977247;-0.04398639,-0.1199442;0.07062292;-0.0545517,-0.08957326;0.1354024;-0.09610562,-0.6903989;0;0.01965441
8,-0.6732321;1.584234;0.3278382,-0.7030587;1.620414;0.2934154,-0.6434571;1.615344;0.2887331,-0.7563107;1.608714;0.2048739,-0.6073064;1.596038;0.1931682,-0.893519;1.433369;0.1394359,-0.5269501;1.395963;0.1026635,-1.02714;1.141954;0.04328826,-0.5163114;1.088886;-0.03849165,-1.037736;0.9367362;0.184339,-0.4943627;0.8853461;0.1036777,-0.8267337;0.8734602;0.03523827,-0.6581721;0.8804278;0.01532076,-0.8786938;0.4252168;0.1316493,-0.4400958;0.5006317;0.1606287,-0.9273013;0.134704;-0.1211125,-0.3860304;0.210452;-0.09140632,-1.00337;-0.005630195;0.01722201,-0.2194503;0.07943016;-0.07441875,-0.7452593;0.9961694;0.04323903,-0.745615;1.100912;0.04770558,-0.7384563;1.217291;0.05812409,-0.7218471;1.336086;0.09089313,-0.9797853;0.8148668;0.30833,-1.027098;0.8813993;0.2825377,-1.071122;0.8514888;0.2284592,-0.5492764;0.7844852;0.2464946,-0.4911754;0.8283994;0.2014817,-0.4864879;0.7894881;0.1365108,-0.9569608;-0.001237333;-0.001465712,-1.027382;0.01548076;-0.0420466,-0.2684195;0.06978559;-0.06882259,-0.2361414;0.127785;-0.1182158,-0.7424529;0;0.02527955
9,-0.720506;1.621308;0.3390916,-0.7520663;1.656594;0.3052919,-0.6924266;1.65342;0.2995446,-0.8064843;1.643388;0.2176761,-0.6573851;1.635453;0.2033079,-0.9401911;1.465966;0.1568446,-0.5740078;1.437266;0.1099794,-1.075094;1.177009;0.05694848,-0.5690702;1.130802;-0.03492609,-1.078688;0.9694496;0.1948906,-0.5438807;0.9257885;0.1045626,-0.8751683;0.9109116;0.0452657,-0.7070321;0.9157783;0.02149966,-0.9292998;0.464291;0.1478176,-0.5361844;0.5099188;0.1593611,-0.9540538;0.1561702;-0.08691174,-0.5293995;0.2103315;-0.0873176,-1.009374;-0.0001264811;0.01855064,-0.3946632;0.0455029;-0.07321876,-0.7917036;1.032262;0.05346781,-0.7910338;1.13693;0.05940879,-0.7839456;1.253245;0.07056196,-0.7682669;1.372229;0.1031062,-1.014394;0.8466297;0.3147476,-1.064561;0.9119629;0.2913997,-1.108182;0.8818384;0.2371134,-0.5909479;0.8245976;0.2499248,-0.5352724;0.8682013;0.2016621,-0.5350055;0.829652;0.1363081,-0.9641262;0.009224772;-0.001134753,-1.03698;0.02207422;-0.03872147,-0.4444168;0.04687119;-0.06650841,-0.4012236;0.09666651;-0.1165109,-0.7911002;0;0.03338272
