Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.04846614;1.476642;0.2891358,-0.07640958;1.513391;0.2537485,-0.01662023;1.508557;0.2523817,-0.1244845;1.503231;0.1621089,0.02498887;1.491145;0.158692,-0.2526314;1.324296;0.07221733,0.1167701;1.297872;0.07586035,-0.3417345;1.022223;-0.04691736,0.1537578;0.9992347;-0.07797591,-0.3643476;0.7996813;0.06301801,0.1359973;0.793222;0.06118436,-0.1974981;0.7855812;-0.04824947,-0.02793466;0.7752826;-0.04755536,-0.4464355;0.4229843;0.09128812,0.26266;0.4407345;0.08108754,-0.5419197;0.1410822;-0.1578362,0.3870795;0.1501858;-0.1441905,-0.6368942;0.004060924;-0.02171607,0.5320089;0.01613569;-0.08090152,-0.1056148;0.8988321;-0.02608321,-0.09805051;1.003053;-0.01760763,-0.08781235;1.11853;-0.001355439,-0.07562624;1.235584;0.0387917,-0.3151169;0.6725646;0.1855001,-0.3603065;0.740447;0.1594197,-0.4009672;0.7130471;0.101513,0.04547851;0.7031592;0.1926383,0.1148765;0.7404221;0.1590863,0.1290001;0.6985288;0.09741975,-0.5898292;0.004575491;-0.03923629,-0.6570703;0.0310359;-0.08002822,0.4820132;0.01159245;-0.07944955,0.5250046;0.05178297;-0.137604,-0.1127163;0;-0.04790236
1,-0.135939;1.477908;0.2938357,-0.1626911;1.514945;0.2578333,-0.103073;1.508286;0.2566793,-0.210879;1.504856;0.1662452,-0.06183363;1.488209;0.1633602,-0.3453959;1.32969;0.08276707,0.0227825;1.290302;0.07939728,-0.4449039;1.028494;-0.03138809,0.04730713;0.9892743;-0.07168086,-0.4720555;0.8096067;0.08468409,0.03354917;0.7884988;0.07536362,-0.2887051;0.7788718;-0.02931597,-0.1189821;0.7757128;-0.03582792,-0.5147405;0.3973908;0.09834462,0.1699065;0.4332494;0.07452993,-0.5901985;0.1320691;-0.1747109,0.351582;0.1472692;-0.1148331,-0.6578655;-0.001195431;-0.0140232,0.5288664;0.03804064;-0.08865036,-0.2008382;0.8960642;-0.01185206,-0.1961963;1.000544;-0.004543604,-0.1863878;1.11629;0.009969264,-0.1713291;1.233741;0.04792177,-0.4258398;0.6830376;0.2088961,-0.4698809;0.7512214;0.1816622,-0.5101888;0.7237845;0.1235268,-0.05336791;0.702276;0.2117313,0.01505965;0.7386334;0.175315,0.02771494;0.6949273;0.1145951,-0.612319;0.004674792;-0.03435533,-0.684674;0.01736397;-0.07294591,0.4813357;0.02182466;-0.08909573,0.5106654;0.08605516;-0.1322198,-0.2038436;0;-0.0325719
2,-0.2103274;1.495246;0.292011,-0.236324;1.532261;0.2554364,-0.1769589;1.52371;0.2538014,-0.2858461;1.52157;0.1646316,-0.1374335;1.500193;0.160544,-0.4277462;1.348243;0.0899177,-0.06113239;1.298416;0.07677791,-0.5410329;1.048657;-0.01453347,-0.05115312;0.9956083;-0.07236806,-0.5697231;0.8350868;0.110712,-0.05708753;0.7950138;0.07544541,-0.3802484;0.7901682;-0.01023779,-0.2108819;0.7879137;-0.02320711,-0.5604663;0.3846756;0.1163098,0.06996208;0.4316794;0.06129356,-0.6238211;0.1294001;-0.1691188,0.2796548;0.1548492;-0.1120354,-0.6920658;0.000531733;-0.005171632,0.4732394;0.07098836;-0.08746428,-0.2925846;0.9082242;0.001486883,-0.2878069;1.012835;0.00646661,-0.2762972;1.128749;0.01809844,-0.2573554;1.246639;0.05281316,-0.5243461;0.7096608;0.2363839,-0.5673375;0.778304;0.2086321,-0.6090782;0.7507634;0.1515664,-0.1325932;0.709031;0.2185919,-0.06745012;0.745648;0.1768078,-0.05917105;0.7016521;0.1155453,-0.6465137;0.005614817;-0.02570204,-0.7188451;0.01779503;-0.06450016,0.429002;0.04801655;-0.09360225,0.4492586;0.1222945;-0.1239001,-0.2955651;0;-0.01672241
3,-0.287137;1.523711;0.2888768,-0.3140333;1.560533;0.2527606,-0.2547454;1.55187;0.2496149,-0.3659524;1.549339;0.1633662,-0.2177326;1.527682;0.155502,-0.51039;1.376853;0.09321444,-0.1443026;1.325645;0.07151619,-0.634131;1.07891;-0.001848411,-0.1360026;1.021662;-0.07498132,-0.6587;0.8719651;0.1348692,-0.1257812;0.8176069;0.06777439,-0.4578994;0.8138972;1.195818E-06,-0.2886589;0.8163365;-0.01449036,-0.5668272;0.3810521;0.1170348,-0.0276607;0.4550325;0.104908,-0.6309221;0.1244068;-0.1669968,0.1533505;0.1821738;-0.1034956,-0.706753;-0.0006951094;-0.003819507,0.3396608;0.08381361;-0.07568248,-0.3737644;0.9348452;0.00724598,-0.3714023;1.039635;0.009385244,-0.3608661;1.155843;0.01879888,-0.3409433;1.273953;0.05219305,-0.6116341;0.7491559;0.2624894,-0.6547545;0.8174152;0.2340008,-0.6977473;0.7888417;0.1783913,-0.1875788;0.7244019;0.2129601,-0.1268975;0.764412;0.1677129,-0.1221986;0.7228703;0.1043925,-0.6607784;0.002235174;-0.02382142,-0.7320256;0.01743466;-0.06354915,0.293702;0.06429839;-0.08109219,0.3198455;0.1356339;-0.1138526,-0.3732792;0;-0.00724455
4,-0.3546567;1.554056;0.2957081,-0.3832241;1.590744;0.2607578,-0.3238261;1.583593;0.256203,-0.4367994;1.579623;0.1723369,-0.2883044;1.561746;0.1609498,-0.5788977;1.406035;0.1057305,-0.2128741;1.360781;0.07257232,-0.7096038;1.111002;0.01384413,-0.2029376;1.054551;-0.06925391,-0.7248183;0.9068534;0.1560182,-0.1825721;0.8510649;0.0732276,-0.5186104;0.8434517;0.007699847,-0.3500069;0.8493209;-0.01221739,-0.5842252;0.3983236;0.1100362,-0.1111822;0.4816997;0.1317758,-0.6497642;0.1266003;-0.1592592,-0.0009420514;0.2004351;-0.1119173,-0.7265067;0.001732945;0.001010805,0.1763632;0.08543462;-0.09107855,-0.4366127;0.9659372;0.0134695,-0.4361851;1.070733;0.0164117,-0.4275127;1.187074;0.02607435,-0.4088246;1.305499;0.05906468,-0.6704431;0.786534;0.2831039,-0.7162382;0.8533763;0.255441,-0.7602433;0.8231663;0.2015138,-0.2386879;0.7518188;0.2167068,-0.1800803;0.7947855;0.171437,-0.1757546;0.7553644;0.1067491,-0.6805125;0.003956079;-0.0190371,-0.7516006;0.01964259;-0.05886045,0.1283761;0.07065672;-0.0899978,0.1579458;0.1350266;-0.1327488,-0.4343087;0;-0.002258734
5,-0.4100977;1.586097;0.3058193,-0.4407942;1.622237;0.2721258,-0.3813098;1.617281;0.2660394,-0.4960934;1.610476;0.1848565,-0.3473824;1.598086;0.1696407,-0.6345296;1.435026;0.1227486,-0.2689034;1.398075;0.07717949,-0.7704645;1.143795;0.02946547,-0.2616732;1.091;-0.06429079,-0.777521;0.9384618;0.1705689,-0.2363648;0.8873982;0.07722963,-0.5700076;0.8753201;0.01664451,-0.4019589;0.8822702;-0.007221896,-0.6194668;0.42704;0.1141936,-0.1821139;0.5014644;0.1326773,-0.6727792;0.1355065;-0.1364352,-0.1366459;0.210797;-0.1204908,-0.7451773;-0.005859077;0.002059314,0.02936634;0.07855529;-0.1075462,-0.4883364;0.9980018;0.02285894,-0.4885871;1.10274;0.02742059,-0.4812395;1.219119;0.03771479,-0.4639687;1.337931;0.07007787,-0.7164881;0.8164779;0.292958,-0.7644818;0.8829902;0.2684014,-0.8097447;0.8531065;0.2153402,-0.2877679;0.7864891;0.2213134,-0.2307865;0.8304219;0.1749091,-0.2276835;0.7915309;0.1098312,-0.6992186;-0.001268923;-0.01766534,-0.7705911;0.01542974;-0.05655771,-0.01950952;0.06929398;-0.1006399,0.01189089;0.1269419;-0.1510009,-0.4859833;0;0.004711346
6,-0.45665;1.623224;0.3182489,-0.489032;1.658458;0.285179,-0.429536;1.655368;0.2780596,-0.545435;1.645154;0.1988426,-0.396695;1.637432;0.1810443,-0.6802876;1.467644;0.1412185,-0.3152725;1.439347;0.08579697,-0.8173418;1.178758;0.04412002,-0.3139178;1.132903;-0.05935041,-0.8175484;0.9710915;0.1819478,-0.2855066;0.9278454;0.0794538,-0.6179971;0.9128436;0.0279015,-0.4504567;0.9175373;0.000216309,-0.6701008;0.4662979;0.1318206,-0.2794148;0.510371;0.1339209,-0.6990483;0.157243;-0.1011948,-0.2799436;0.2103019;-0.1122648,-0.7505283;0.0004132986;0.003904674,-0.147103;0.04364961;-0.1011366,-0.5342218;1.034091;0.03424956,-0.5333292;1.138754;0.04024225,-0.5259683;1.255064;0.05127002,-0.5096036;1.374055;0.08344924,-0.7503206;0.848278;0.3001912,-0.8011408;0.9135264;0.2780486,-0.8458985;0.8833673;0.2247155,-0.3288802;0.826714;0.2260016,-0.2744361;0.8702641;0.176307,-0.2758935;0.8317057;0.110974,-0.7058585;0.01007718;-0.01691733,-0.779731;0.02258611;-0.05258068,-0.1966806;0.04567504;-0.09337249,-0.1538894;0.09496212;-0.1442171,-0.5342269;0;0.01405895
7,-0.501281;1.658525;0.3336288,-0.5348247;1.692693;0.3005979,-0.4753386;1.691013;0.2929447,-0.591673;1.677332;0.2148973,-0.4429575;1.673132;0.1957645,-0.7231666;1.499108;0.160121,-0.3584358;1.476462;0.1009885,-0.8575792;1.210472;0.05820262,-0.3637282;1.169405;-0.04520772,-0.853688;1.002062;0.194848,-0.3339427;0.9647042;0.09383396,-0.6664237;0.9481919;0.0425626,-0.4991445;0.9487754;0.01297214,-0.7208638;0.4995545;0.1357175,-0.3780331;0.5223638;0.1411204,-0.7444035;0.1696233;-0.06735934,-0.3975411;0.2108154;-0.08954393,-0.7617779;0.006246626;0.01615124,-0.3097936;0.01526469;-0.07670907,-0.5792937;1.066999;0.04983781,-0.5762406;1.171541;0.05709817,-0.568042;1.287741;0.06867577,-0.5522935;1.406908;0.1005103,-0.7833343;0.8807447;0.3128169,-0.8362796;0.9442668;0.2906341,-0.8792599;0.9129606;0.2365059,-0.3693485;0.866396;0.2443895,-0.3175739;0.908468;0.190727,-0.3235527;0.8689394;0.1262366,-0.7217014;0.02261806;-0.009308197,-0.8004839;0.02661651;-0.03505359,-0.3576934;0.02940571;-0.07142115,-0.3009898;0.06792206;-0.1177536,-0.5827841;0;0.02776741
8,-0.547268;1.686351;0.349915,-0.5815749;1.719788;0.3169207,-0.5221276;1.718973;0.3088369,-0.6388063;1.703011;0.2317424,-0.4901879;1.700972;0.2115328,-0.7675054;1.524403;0.1768013,-0.4024381;1.506891;0.1195734,-0.8967996;1.235527;0.06786498,-0.4111496;1.198129;-0.02527689,-0.8898106;1.026917;0.2040803,-0.379959;0.9947145;0.1153356,-0.7148065;0.9763311;0.0576214,-0.5474086;0.972735;0.02892841,-0.7664214;0.5241141;0.1334676,-0.467772;0.5339555;0.1474492,-0.7999276;0.1816179;-0.04603912,-0.5055503;0.2119825;-0.0659875,-0.7964269;-0.002701521;0.01611914,-0.4681779;-0.001126409;-0.05884108,-0.6245149;1.092607;0.06694073,-0.6193948;1.196993;0.07521395,-0.6104522;1.313105;0.08712429,-0.5956753;1.43252;0.118491,-0.8187512;0.9087925;0.3248341,-0.8733753;0.9701176;0.3006312,-0.9132485;0.9369926;0.2452227,-0.4091761;0.8999927;0.2694758,-0.359594;0.9404324;0.2125849,-0.3688533;0.8995799;0.1493187,-0.760765;0.02160645;-0.009565189,-0.8422911;0.02505982;-0.02463389,-0.5112613;0.02425653;-0.05416769,-0.4448088;0.04963076;-0.09642518,-0.6311075;0;0.04327496
9,-0.5903734;1.707063;0.3611681,-0.6252928;1.739998;0.3283113,-0.5659208;1.739662;0.319659,-0.6831869;1.722208;0.243789,-0.5347571;1.721369;0.2221582,-0.8091953;1.541735;0.1864669,-0.4433538;1.530493;0.1345838,-0.931087;1.251352;0.07236311,-0.4554068;1.218044;-0.004730619,-0.921587;1.043864;0.2101322,-0.4211967;1.016675;0.138107,-0.7614962;0.9981083;0.07302658,-0.5939822;0.987928;0.04668842,-0.8278866;0.5492552;0.1569331,-0.5483448;0.541156;0.1526539,-0.8775495;0.213137;-0.03070246,-0.6078783;0.2165529;-0.05164388,-0.8950694;0.001667619;0.006074101,-0.6131598;-0.0007702112;-0.04072145,-0.6670064;1.110985;0.08252454,-0.6590279;1.215258;0.08990476,-0.6490141;1.331371;0.1009202,-0.6356479;1.451159;0.1314841,-0.8507441;0.931408;0.3363036,-0.9073216;0.9892273;0.3082631,-0.9421499;0.9532349;0.2512651,-0.4464856;0.9249621;0.2947408,-0.398326;0.9639362;0.2356477,-0.409871;0.9220588;0.1734363,-0.8555471;0.02846444;-0.009490438,-0.9351219;0.04546088;-0.02575315,-0.6503987;0.03272969;-0.03707004,-0.579356;0.04402506;-0.07794577,-0.6777391;0;0.05985755
