Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.03044079;1.662977;0.2694704,-0.05865986;1.697007;0.2316651,0.001302488;1.695493;0.2331569,-0.101761;1.681381;0.1383358,0.04814491;1.677596;0.142065,-0.2228862;1.503103;0.06429224,0.1466171;1.481189;0.06170924,-0.3392881;1.214413;-0.05781474,0.1631269;1.173959;-0.08362244,-0.355863;1.005965;0.07781903,0.1714658;0.9694191;0.05856081,-0.1494982;0.9526707;-0.04366124,0.02033959;0.9526138;-0.04732539,-0.2173032;0.5035802;0.03780799,0.1139123;0.5240432;0.09581125,-0.2107422;0.1712174;-0.162544,0.1272996;0.210793;-0.1329772,-0.236443;0.006226838;-0.08490457,0.2051346;0.01198262;-0.1081277,-0.06405091;1.071096;-0.02282988,-0.06184661;1.175616;-0.01497916,-0.05539941;1.291801;-0.002201863,-0.04481492;1.410998;0.03159503,-0.3041968;0.8850368;0.2054559,-0.3533686;0.9482557;0.1751932,-0.3871438;0.9167108;0.1150152,0.1143621;0.8716346;0.2026526,0.1734644;0.9134754;0.1569733,0.1768752;0.8737471;0.0924187,-0.1935895;0.02361083;-0.1044928,-0.2682645;0.02694571;-0.1405206,0.1575308;0.02781802;-0.1104616,0.222282;0.06455344;-0.1465627,-0.06457927;0;-0.04549326
1,-0.07819302;1.68977;0.2782912,-0.1071253;1.723128;0.2404263,-0.04713912;1.722398;0.2414853,-0.150702;1.706197;0.1475465,-0.0007364973;1.704371;0.1501942,-0.2690593;1.527454;0.07336856,0.1004612;1.510725;0.07336077,-0.3790817;1.238475;-0.0549054,0.1135228;1.201587;-0.07072808,-0.3926828;1.029917;0.0808896,0.1230245;0.9983991;0.07330914,-0.1993414;0.9798499;-0.03615946,-0.02953662;0.9755233;-0.03858725,-0.2623231;0.5275141;0.02973944,0.02608404;0.5353764;0.08827378,-0.269981;0.1844805;-0.1516945,0.01841279;0.2124946;-0.1269878,-0.2751339;-0.003578544;-0.09294242,0.04771771;-0.001925588;-0.1157902,-0.111081;1.095719;-0.01283447,-0.1069635;1.200086;-0.003796987,-0.0998266;1.316192;0.00933205,-0.09018447;1.43565;0.04247842,-0.3410703;0.9124076;0.2117024,-0.3915142;0.9733441;0.1789533,-0.4218231;0.9398912;0.1179655,0.07116785;0.9041374;0.221669,0.1286879;0.9443585;0.1726381,0.1288233;0.9033444;0.1088016,-0.2361859;0.02159834;-0.1122168,-0.3146776;0.02591103;-0.1387866,0.005240135;0.02480167;-0.1176958,0.07827408;0.04825354;-0.1487045,-0.114439;0;-0.0373733
2,-0.1217036;1.709318;0.2817578,-0.1512586;1.742179;0.2439389,-0.0912611;1.741902;0.244406,-0.1956247;1.724236;0.1516245,-0.04563085;1.723544;0.1527922,-0.3109412;1.543428;0.07538897,0.05850926;1.533065;0.08102866,-0.4129573;1.252745;-0.05613454,0.06725974;1.219936;-0.05739898,-0.424547;1.045576;0.08195411,0.07964627;1.018947;0.08947572,-0.2474668;1.000497;-0.02817936,-0.07796041;0.9892786;-0.02827552,-0.3297405;0.5526625;0.04659996,-0.05275761;0.5419986;0.08227833,-0.3523079;0.2183011;-0.1492115,-0.08206698;0.21689;-0.1277084,-0.3791811;0.004633427;-0.1193137,-0.09329326;-0.0003449917;-0.116989,-0.1548929;1.112852;-0.00438294,-0.1476589;1.217107;0.003955118,-0.1392343;1.333225;0.01618277,-0.1308658;1.453078;0.0482343,-0.3740885;0.933955;0.2182586,-0.4258216;0.9913011;0.1813067,-0.4508401;0.9549141;0.1196033,0.0311438;0.9276252;0.2407797,0.08763003;0.9664356;0.1894633,0.08548743;0.9244117;0.1263233,-0.3372658;0.03118312;-0.1270944,-0.4127754;0.05022979;-0.1557476,-0.1299677;0.03389096;-0.1192724,-0.05320492;0.04358506;-0.148581,-0.1627136;0;-0.02822738
3,-0.1617099;1.720147;0.2806197,-0.1918983;1.752495;0.2428586,-0.1318987;1.752696;0.2427319,-0.2370287;1.733525;0.1511219,-0.08702988;1.734027;0.1508053,-0.3495948;1.550328;0.07327266,0.01963837;1.545666;0.08447327,-0.4473641;1.257278;-0.05571529,0.02260856;1.227568;-0.04528154,-0.4593267;1.053282;0.08698794,0.03811195;1.029507;0.105229,-0.2956977;1.012837;-0.0196901,-0.1268916;0.9937898;-0.01968639,-0.4143802;0.5765886;0.07260887,-0.1224901;0.5433241;0.08020338,-0.4539871;0.2567818;-0.1437331,-0.1455306;0.2152276;-0.1258812,-0.5053952;0.04200745;-0.1260706,-0.17095;-0.001353621;-0.1100725,-0.1979999;1.121146;0.002306983,-0.1869796;1.225185;0.009051373,-0.1765822;1.341304;0.01964241,-0.1688268;1.461619;0.05007632,-0.4105234;0.9465376;0.2277289,-0.4624432;1.001576;0.1876609,-0.4845721;0.9629833;0.1261941,-0.006248221;0.9404155;0.2591121,0.04877858;0.9786694;0.2058297,0.04534791;0.9356138;0.143446,-0.4607323;0.06471777;-0.129505,-0.5323959;0.09382993;-0.1595431,-0.2052328;0.03510696;-0.1142717,-0.1270208;0.03930217;-0.1409318,-0.2112946;0;-0.0196882
4,-0.1984662;1.722093;0.2794407,-0.2291453;1.753942;0.241651,-0.1691512;1.754603;0.2411344,-0.2747161;1.733981;0.1503431,-0.1247307;1.735634;0.1490517,-0.3855307;1.54888;0.0725376,-0.01658174;1.54732;0.08812235,-0.482603;1.254262;-0.05228765,-0.01977496;1.224484;-0.03162658,-0.4963966;1.053665;0.09499586,-0.00268662;1.030792;0.1243024,-0.3448854;1.017012;-0.009916747,-0.1772532;0.9895053;-0.01099035,-0.4937429;0.590319;0.08331423,-0.1879508;0.535966;0.07329735,-0.554664;0.2743261;-0.1336791,-0.2146166;0.2042215;-0.1264116,-0.6220719;0.06488639;-0.1122207,-0.2379084;-0.01375926;-0.1125506,-0.2417101;1.120419;0.01061122,-0.2264001;1.223977;0.01629454,-0.2132876;1.339963;0.02519335,-0.2050282;1.460821;0.05325123,-0.4501561;0.95042;0.2391711,-0.5013592;1.004407;0.1968162,-0.522301;0.9643103;0.135899,-0.04347782;0.9451412;0.2810986,0.01023492;0.9825609;0.2259168,0.006113976;0.9379441;0.1646825,-0.5758059;0.08401561;-0.1162049,-0.6450986;0.1178615;-0.1468391,-0.2724983;0.02246249;-0.1162698,-0.1941829;0.02785444;-0.1424064,-0.2610692;0;-0.0104535
5,-0.2327226;1.711085;0.2814879,-0.2638196;1.742387;0.2435831,-0.2038353;1.743498;0.242777,-0.309663;1.721328;0.1526592,-0.1597023;1.724105;0.1506442,-0.4201245;1.53529;0.07702935,-0.05127704;1.534639;0.09313701,-0.5177742;1.242174;-0.04976903,-0.0596741;1.207927;-0.01683588,-0.5334802;1.042487;0.09855612,-0.04110056;1.021079;0.1470705,-0.3937212;1.009756;-0.004576277,-0.2276269;0.9741365;-0.006064761,-0.5759917;0.5957003;0.0862654,-0.2391304;0.5179728;0.06248506,-0.6717116;0.2759493;-0.1118405,-0.2766802;0.1862842;-0.1355598,-0.7510811;0.07345033;-0.07650442,-0.2513718;0.002583385;-0.09587874,-0.2856466;1.107697;0.01749339,-0.2661456;1.210493;0.02411596,-0.250108;1.326131;0.03274806,-0.2405534;1.447275;0.05910802,-0.4906239;0.9408305;0.2448898,-0.5408492;0.9942965;0.2007407,-0.5602633;0.9535309;0.1397611,-0.07941796;0.9418806;0.3078326,-0.02658302;0.9770118;0.2503468,-0.03164169;0.9299455;0.191047,-0.7037935;0.08933449;-0.08232692,-0.7713299;0.125195;-0.1145504,-0.2946081;0.02529782;-0.107583,-0.2216535;0.03894174;-0.1441473,-0.310674;0;-0.005320466
6,-0.2689836;1.688056;0.2850415,-0.3003833;1.718768;0.2469044,-0.2404089;1.72017;0.245853,-0.3464669;1.696445;0.1564043,-0.1965309;1.699952;0.153776,-0.4574294;1.510856;0.08266847,-0.08862722;1.509035;0.09819008,-0.5580559;1.221173;-0.04842201,-0.1006709;1.179024;-0.001955222,-0.5749615;1.022722;0.1014213,-0.08166611;1.000424;0.1708534,-0.4425601;0.9902054;-0.002476636,-0.2778702;0.9485464;-0.002706241,-0.6528476;0.5898737;0.08934154,-0.2770553;0.4903995;0.0522247,-0.7835616;0.2679284;-0.08361521,-0.3179823;0.1680827;-0.1601097,-0.8685248;0.07217383;-0.03130486,-0.2481812;0.02062482;-0.09452242,-0.3312215;1.083863;0.02184782,-0.3085492;1.18593;0.02953816,-0.2900099;1.301162;0.03859125,-0.2789008;1.422253;0.06457953,-0.5340923;0.9220812;0.24902,-0.5835464;0.9755136;0.2039688,-0.6027501;0.9343418;0.1431959,-0.1188552;0.929377;0.3356392,-0.06639147;0.9613687;0.2760204,-0.07225171;0.9114938;0.2191397,-0.8208888;0.08579999;-0.03951838,-0.8879758;0.1213384;-0.07301266,-0.2957578;0.02622902;-0.1096014,-0.2287445;0.0497418;-0.1520496,-0.360215;0;-0.00259138
7,-0.3047745;1.658971;0.2892068,-0.3363136;1.689203;0.2508026,-0.2763437;1.690619;0.2495372,-0.3826834;1.665763;0.1607325,-0.2327585;1.669302;0.157569,-0.4947011;1.480955;0.084861,-0.1262478;1.474873;0.1060111,-0.6003383;1.193317;-0.0449084,-0.1419468;1.142403;0.01491133,-0.6174818;0.9987996;0.1099807,-0.1234427;0.9714904;0.1953793,-0.4931189;0.9662569;-0.005408965,-0.3303398;0.9180787;0.0009246841,-0.7224318;0.5782457;0.09348413,-0.3152773;0.4589519;0.04442576,-0.878461;0.2610247;-0.06674863,-0.330971;0.1535838;-0.1946415,-0.973628;0.07395101;-0.003401987,-0.2401364;0.01565039;-0.1031094,-0.3792402;1.05536;0.02377748,-0.3531243;1.156503;0.0326765,-0.3312472;1.271067;0.04268686,-0.3176402;1.391779;0.06925163,-0.5775161;0.9012456;0.2598815,-0.6262799;0.9543942;0.2137549,-0.6465943;0.9120351;0.1541708,-0.1597914;0.9081517;0.3634626,-0.1076353;0.9373584;0.3021679,-0.1137485;0.8848978;0.2476906,-0.9254396;0.08419847;-0.01315827,-0.9909495;0.121883;-0.04741918,-0.2882544;0.0157069;-0.1174962,-0.2244783;0.04275638;-0.1627337,-0.4117293;0;-0.00224208
8,-0.3453728;1.631213;0.28869,-0.3767557;1.661354;0.2500864,-0.3167794;1.662287;0.2486847,-0.4235002;1.637489;0.1603221,-0.2735592;1.639821;0.1568178,-0.5397424;1.450254;0.08766916,-0.1707178;1.438644;0.1035058,-0.6476171;1.161533;-0.03645401,-0.1863786;1.101674;0.03575405,-0.6664193;0.9667994;0.1179711,-0.1645195;0.935066;0.2198362,-0.5379514;0.9330805;0.003061004,-0.3737004;0.8897761;0.005210601,-0.7955382;0.5554393;0.06593581,-0.32667;0.432171;0.04129989,-0.9869208;0.2376527;-0.0482282,-0.3173701;0.1464339;-0.2212202,-1.096484;0.0619902;0.02282521,-0.2256479;0.01386511;-0.1045138,-0.4259908;1.025785;0.02816705,-0.4017963;1.127529;0.03549956,-0.3801621;1.242241;0.04427357,-0.3643601;1.362831;0.0701685,-0.6292309;0.8684421;0.2680614,-0.676351;0.9230373;0.2219161,-0.6982555;0.8811901;0.1625338,-0.1999779;0.8757523;0.3895702,-0.1483153;0.9044836;0.3276362,-0.1528489;0.8503149;0.2746979,-1.047707;0.06776929;0.01235129,-1.110189;0.1092985;-0.02309991,-0.2738152;0.0144701;-0.1187221,-0.2094492;0.03624105;-0.1659294,-0.4558258;0;0.00413586
9,-0.3855943;1.60032;0.2937896,-0.4165887;1.631186;0.2554454,-0.3566053;1.631364;0.2540459,-0.4636332;1.60868;0.1654868,-0.3136747;1.609124;0.1619882,-0.5868109;1.424716;0.09800372,-0.2176259;1.403038;0.0990795,-0.6923657;1.136112;-0.03147292,-0.2349325;1.06392;0.05136052,-0.7100891;0.9343588;0.1137972,-0.208555;0.8971288;0.234683,-0.5833315;0.9003047;0.005105563,-0.4172078;0.8652437;-0.0005445108,-0.8535722;0.5293456;0.05281729,-0.3284334;0.413253;0.02666375,-1.062462;0.2115017;-0.02457425,-0.3217594;0.1349115;-0.2437626,-1.184531;0.04559481;0.04938522,-0.2218808;0.01731348;-0.1053135,-0.4750876;0.9981343;0.02683677,-0.4542847;1.100582;0.03476198,-0.4333898;1.21535;0.04453088,-0.4142568;1.335122;0.07192817,-0.6758417;0.8272401;0.258493,-0.7210937;0.8858413;0.215499,-0.744936;0.8478953;0.1542708,-0.2449143;0.8340355;0.4028566,-0.1932265;0.8655981;0.3423378,-0.1947096;0.8120804;0.2885703,-1.135381;0.04773551;0.03928234,-1.194525;0.09261215;0.002220601,-0.2701949;0.01587212;-0.1189516,-0.2068314;0.03567392;-0.1683324,-0.5002696;0;0.002280579
