Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.02852893;1.609464;0.2354962,-0.002315398;1.650892;0.2087386,0.05723734;1.647574;0.2022231,-0.05709767;1.654768;0.1204429,0.09178432;1.646472;0.104154,-0.1818316;1.484996;0.03602733,0.1863699;1.46882;0.04587538,-0.2431382;1.151306;0.05955692,0.2753391;1.150046;-0.01698316,-0.2121702;0.9234377;0.1556764,0.2521056;0.91281;0.0558278,-0.07349594;0.9219051;-0.04428709,0.09572148;0.924534;-0.02956152,-0.1691781;0.4815266;0.05485298,0.1480366;0.4754968;0.06287979,-0.2011121;0.1171706;-0.07504637,0.1675168;0.1148096;-0.07915675,-0.2496174;-0.01342463;0.09207755,0.2779177;-0.005068123;0.06499075,0.008885372;1.043733;-0.03284638,0.007540938;1.148402;-0.03864185,0.005734812;1.265434;-0.03658834,0.003540934;1.386723;-0.009270823,-0.126761;0.7864513;0.1524629,-0.1675489;0.8317018;0.204786,-0.2354227;0.8257614;0.1713929,0.1881533;0.7647774;0.06332739,0.2387088;0.8115361;0.104642,0.2910421;0.8191013;0.05022456,-0.2053879;-0.00378561;0.07032501,-0.2793204;-0.002258718;0.03267985,0.228491;-0.001853049;0.05668537,0.2877227;0.01280659;0.000808768,0.01111278;0;-0.0369243
1,0.03083338;1.57245;0.2583202,-0.0007276554;1.615279;0.2347989,0.05866705;1.61259;0.226734,-0.05754518;1.624199;0.1481706,0.09094161;1.617478;0.1280086,-0.174755;1.470033;0.04298511,0.1893613;1.449119;0.07409248,-0.2763962;1.148233;0.0541745,0.3031378;1.151242;-0.03280453,-0.2129492;0.9385579;0.1730558,0.2555017;0.9156432;0.03312339,-0.06180906;0.9069794;-0.06411759,0.106953;0.908651;-0.04475597,-0.1744444;0.4783148;0.06424507,0.1531897;0.4713576;0.0950772,-0.230935;0.1214374;-0.07751584,0.1813668;0.1235337;-0.07484511,-0.249682;-0.01396161;0.09165144,0.2774031;-0.007225394;0.0699632,0.02063974;1.028231;-0.04799366,0.01942252;1.133038;-0.05020338,0.01691639;1.249753;-0.04153243,0.01215691;1.368443;-0.00476151,-0.1160837;0.8094884;0.1783979,-0.1554773;0.858318;0.2285254,-0.2254866;0.8425351;0.203891,0.1827649;0.7739775;0.05958015,0.2359704;0.8227342;0.09480926,0.2887506;0.8198794;0.04037251,-0.2097754;-0.003146768;0.0631412,-0.2889385;-0.001793981;0.03830443,0.228757;-0.00137198;0.05893554,0.2918373;0.01276261;0.007296517,0.02257197;0;-0.05443676
2,0.03539467;1.528301;0.281798,0.003134333;1.572175;0.2613553,0.0623994;1.57044;0.2521554,-0.05522198;1.585684;0.1763594,0.09294072;1.581345;0.15336,-0.1653816;1.447657;0.05233024,0.1938134;1.424193;0.1001869,-0.3039313;1.142828;0.04121741,0.3317148;1.157537;-0.05084198,-0.2193321;0.9530795;0.1789137,0.2745964;0.9196752;-0.003079586,-0.04915052;0.8893196;-0.08059514,0.119668;0.8888339;-0.06166484,-0.1729729;0.4679456;0.06092867,0.16262;0.469375;0.1257548,-0.2524784;0.1163394;-0.08294935,0.1934486;0.1369044;-0.07213878,-0.2503036;-0.01091069;0.09359256,0.2849417;-0.0021469;0.06800766,0.03462693;1.009363;-0.06241186,0.033848;1.114188;-0.06099685,0.0306029;1.230156;-0.04535035,0.02295739;1.345164;0.001304604,-0.1095436;0.8363257;0.1985459,-0.1529276;0.8873504;0.2428547,-0.2213331;0.8614057;0.2227346,0.1964639;0.7846119;0.03830882,0.2534031;0.8333849;0.06708821,0.3035628;0.8232914;0.01105783,-0.2138065;-0.000636816;0.06065714,-0.2950952;-0.002192318;0.04406752,0.2365992;0.004997849;0.05641992,0.3008246;0.02065223;0.006665058,0.03525876;0;-0.07112997
3,0.04637287;1.478278;0.3062551,0.0135169;1.522927;0.288633,0.07253632;1.521803;0.2778887,-0.04698009;1.540078;0.2058187,0.1005686;1.537268;0.1789581,-0.1519316;1.414384;0.06372558,0.2029765;1.38876;0.1268269,-0.3209913;1.131942;0.02354269,0.3581971;1.159305;-0.06281663,-0.2254934;0.9612553;0.1780352,0.3019548;0.9170956;-0.04568766,-0.03337209;0.8696936;-0.09756207,0.1353342;0.8652196;-0.0781598,-0.1607929;0.4543698;0.05796021,0.1780553;0.4673769;0.1516506,-0.2493707;0.1073439;-0.09162553,0.2035998;0.1458628;-0.06427808,-0.251849;-0.00839293;0.09267335,0.2987006;0.004338503;0.07091366,0.05284998;0.9875025;-0.07643279,0.05334626;1.092193;-0.07089319,0.04966939;1.206852;-0.04757664,0.03890043;1.316821;0.009457752,-0.1097799;0.8556612;0.2171583,-0.1573931;0.9098483;0.2524527,-0.2235273;0.8770517;0.2349055,0.2283809;0.7777576;-0.01059391,0.2836242;0.8270704;0.02047974,0.3341381;0.8212004;-0.03583328,-0.2146103;-0.0005124807;0.05990884,-0.2955604;-0.002517343;0.04178308,0.2500834;0.01155657;0.06058954,0.3130973;0.02841216;0.009691373,0.05098109;0;-0.0878609
4,0.04725268;1.421002;0.3333447,0.01432581;1.46616;0.3172142,0.07300577;1.464648;0.3047893,-0.04832283;1.484891;0.2363655,0.09837711;1.481112;0.2053033,-0.1465248;1.370447;0.07916678,0.2055824;1.341506;0.1517841,-0.3401675;1.116481;0.003991403,0.3727973;1.155733;-0.07138809,-0.2446933;0.96175;0.1744749,0.3250159;0.9121626;-0.09402416,-0.01335809;0.8444524;-0.1176795,0.1550466;0.8406542;-0.09568579,-0.1427082;0.445569;0.07487639,0.2009103;0.4657187;0.1693362,-0.2483318;0.109697;-0.08847154,0.2180762;0.1553535;-0.06310274,-0.2553511;-0.009499133;0.09349,0.3156251;0.01257122;0.06898869,0.0715094;0.9621468;-0.0911247,0.07044349;1.066406;-0.08017792,0.06380691;1.178737;-0.04790205,0.04813666;1.281573;0.02022473,-0.1285004;0.8654814;0.2319377,-0.1794665;0.9218224;0.2579589,-0.2436011;0.8849707;0.2410489,0.260056;0.7645735;-0.08644628,0.313314;0.8098673;-0.04693451,0.3626104;0.8182697;-0.1040005,-0.2174326;-0.001360655;0.06157932,-0.2980445;-0.002228618;0.04192022,0.2668457;0.01963669;0.05934636,0.3291429;0.03756559;0.007935263,0.07084428;0;-0.1066826
5,0.04900416;1.360097;0.3668465,0.01505011;1.404609;0.3510555,0.07357337;1.404123;0.3378345,-0.04902072;1.421989;0.2710234,0.09728736;1.420772;0.2379711,-0.1415022;1.321585;0.1039433,0.2100008;1.289268;0.1778355,-0.3492885;1.099451;-0.012867,0.3775258;1.145538;-0.07433765,-0.2670843;0.9477125;0.1669656,0.3487539;0.9090545;-0.1476189,0.01085515;0.8188772;-0.1341895,0.1789809;0.8195004;-0.1098657,-0.1299389;0.4375194;0.08412299,0.2352563;0.4651363;0.1802652,-0.250552;0.1101159;-0.08590166,0.2464097;0.1645597;-0.06504771,-0.2585018;-0.009726226;0.09559657,0.3391503;0.01768678;0.0660232,0.09142524;0.9378806;-0.1009287,0.08665335;1.041137;-0.08342375,0.07594176;1.149833;-0.041303,0.05614781;1.243499;0.03805031,-0.1546627;0.8574035;0.2396024,-0.2076997;0.914948;0.2576205,-0.2702397;0.8761838;0.2390909,0.2939312;0.7590444;-0.1710978,0.350784;0.79735;-0.1292697,0.3889237;0.8252032;-0.188657,-0.2203454;-0.001254082;0.06405859,-0.3007689;-0.002540171;0.04366514,0.2906546;0.02607518;0.05601761,0.35387;0.04315001;0.005443275,0.09491801;0;-0.1220275
6,0.06311294;1.299453;0.3941417,0.02767728;1.343185;0.3794651,0.08596143;1.344492;0.365279,-0.03818472;1.359724;0.3007191,0.1075257;1.36299;0.2652537,-0.1287631;1.272443;0.1256992,0.2260319;1.244006;0.1925128,-0.3395914;1.074773;-0.02210647,0.3853492;1.128324;-0.0792613,-0.2800907;0.9152122;0.1598878,0.37925;0.9114968;-0.2020252,0.03574802;0.7954092;-0.1443821,0.2037976;0.7981346;-0.1196797,-0.120561;0.432362;0.09369636,0.286999;0.4639706;0.18745,-0.2518972;0.1113526;-0.08052406,0.2950802;0.1748332;-0.0713616,-0.2616822;-0.007920802;0.101259,0.388519;0.02162796;0.05172884,0.1141396;0.9145513;-0.1067048,0.1071133;1.016655;-0.08397646,0.09364761;1.121662;-0.03401686,0.07111773;1.20668;0.05388282,-0.1780891;0.8252616;0.2469222,-0.2319027;0.8839327;0.2574472,-0.2925478;0.8455489;0.2328276,0.3304219;0.7714857;-0.2658409,0.3911191;0.80071;-0.2221268,0.4168809;0.8500479;-0.2736959,-0.223137;0.0006757379;0.07023153,-0.3032562;-0.001166642;0.04871359,0.3399542;0.03078657;0.04279041,0.4025935;0.04966813;-0.007858306,0.1197728;0;-0.1320308
7,0.09239029;1.243097;0.4103303,0.0548837;1.286111;0.399077,0.112709;1.290671;0.3837334,-0.01347047;1.304524;0.3229132,0.131093;1.315925;0.2845542,-0.1055897;1.23273;0.1396767,0.2518354;1.208527;0.2003103,-0.3115065;1.037985;-0.01854855,0.3956483;1.108443;-0.08749846,-0.2712969;0.8639839;0.1553148,0.4113928;0.9227595;-0.2530152,0.0586432;0.7758109;-0.150919,0.226593;0.7759997;-0.1254019,-0.1080374;0.4245535;0.09758218,0.3557101;0.4626876;0.1877768,-0.2520793;0.1112037;-0.08049838,0.3643934;0.1873503;-0.08565161,-0.2630235;-0.009764671;0.1000946,0.4682264;0.03131968;0.02493396,0.1383221;0.8932748;-0.1107556,0.1318845;0.9946547;-0.08483792,0.1182687;1.096986;-0.02963957,0.09504919;1.175486;0.06395835,-0.1911524;0.7605156;0.2498745,-0.2389973;0.8246754;0.2564577,-0.3001124;0.7942231;0.2233694,0.3657179;0.8096716;-0.3587729,0.4241363;0.823173;-0.3053489,0.4525632;0.8854318;-0.3381057,-0.2242075;-0.0006443858;0.06955817,-0.3040804;-0.002800703;0.0471715,0.4190364;0.03919935;0.01856408,0.4787169;0.0629344;-0.03359321,0.1426181;0;-0.1381604
8,0.1304865;1.198744;0.4207712,0.09140446;1.240925;0.4119984,0.1489577;1.248412;0.3967814,0.02208629;1.261006;0.3371384,0.1659696;1.279723;0.2990958,-0.06889884;1.208233;0.1522078,0.2902207;1.176854;0.2030385,-0.262899;0.9973015;-0.004489928,0.4120054;1.093072;-0.1006574,-0.2250617;0.8118662;0.1576947,0.4338994;0.9425432;-0.2981011,0.08193539;0.7595354;-0.152533,0.2500982;0.7557365;-0.1287609,-0.09240973;0.4149404;0.1000043,0.4304354;0.4639997;0.1799215,-0.2518546;0.1109949;-0.08122334,0.4479104;0.2011418;-0.1051213,-0.2641764;-0.01234335;0.09766984,0.5703369;0.04823917;-0.01030138,0.1647141;0.8749461;-0.1126874,0.1606245;0.9759942;-0.0850541,0.1497255;1.076766;-0.02648677,0.1294325;1.151188;0.07104075,-0.154391;0.6935022;0.2417541,-0.194635;0.7618027;0.2545769,-0.2596096;0.7407377;0.2215345,0.3912566;0.8605502;-0.4304585,0.4444683;0.8561198;-0.3704751,0.4809645;0.9209141;-0.3855416,-0.2251116;-0.002768755;0.06759343,-0.3047842;-0.004745305;0.04448804,0.5203819;0.05230886;-0.01350358,0.574776;0.0839743;-0.06720719,0.1660168;0;-0.1406469
9,0.1767462;1.172901;0.4279098,0.1372406;1.214814;0.4197747,0.1948737;1.223415;0.405476,0.06858116;1.236025;0.3446201,0.2126638;1.257528;0.3088734,-0.02246623;1.193642;0.1654315,0.3377305;1.153203;0.201465,-0.1960347;0.9607274;0.00824298,0.4405319;1.085603;-0.1130445,-0.1282204;0.776541;0.1618604,0.4574872;0.9673566;-0.3317967,0.1081371;0.7474004;-0.1509405,0.2767489;0.7394755;-0.1318212,-0.075407;0.4073516;0.1012409,0.5065028;0.4714536;0.1653221,-0.2518067;0.1123632;-0.07907559,0.5423704;0.2140437;-0.1229534,-0.2660786;-0.01265776;0.09853397,0.6877315;0.07096303;-0.04706858,0.1947717;0.8607065;-0.1133134,0.1937282;0.9615418;-0.08463938,0.186927;1.061462;-0.0240299,0.1715593;1.133749;0.07597265,-0.036658;0.6646942;0.233812,-0.08120355;0.7286804;0.2530585,-0.147564;0.7017946;0.2279448,0.4112805;0.9133797;-0.4767492,0.4593412;0.8918337;-0.4161268,0.5061126;0.9514788;-0.4196158,-0.2267347;-0.002954245;0.06886514,-0.3062281;-0.004357457;0.04510979,0.6375559;0.06887817;-0.0476837,0.6846018;0.1113606;-0.1008572,0.192443;0;-0.1413808
