Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.02080898;1.667454;0.1818217,-0.01087672;1.701876;0.1472566,0.04901685;1.701195;0.1437501,-0.0613745;1.687634;0.05748262,0.08835947;1.685932;0.04871628,-0.1829401;1.476485;0.01432363,0.1841431;1.459627;0.003039223,-0.219559;1.148245;0.07560129,0.214079;1.131969;0.05840148,-0.2247114;0.9164461;0.1670588,0.227111;0.8983138;0.1441781,-0.09153242;0.9416803;-0.006245519,0.07833744;0.9400993;-0.00639424,-0.1446874;0.4835301;0.007539635,0.1445613;0.4841029;0.01806752,-0.1681726;0.1039701;-0.07012323,0.1664639;0.1071241;-0.07168905,-0.2419112;-0.01163048;0.09889178,0.2767355;-0.01202095;0.07215577,-0.005473155;1.061452;-0.003399067,-0.004443393;1.165692;-0.0145399,-0.003119719;1.282151;-0.02634877,-0.0008334103;1.406398;-0.02195638,-0.1748537;0.7630577;0.1745768,-0.2127767;0.8171862;0.2201937,-0.2727851;0.8272476;0.1748614,0.1683489;0.7479593;0.1436193,0.2212932;0.7925956;0.1842842,0.2679456;0.807;0.1262037,-0.1951461;-0.006028652;0.08145691,-0.2645353;-0.00299412;0.03605397,0.2272029;-0.007257342;0.06536302,0.2849746;0.003017485;0.007033345,-0.006597467;0;-0.006319872
1,0.03299633;1.656744;0.1777206,-9.792391E-05;1.689652;0.1430014,0.05948594;1.687718;0.1362174,-0.05578672;1.671111;0.0571689,0.09317288;1.666276;0.04020884,-0.1815859;1.465332;0.01572721,0.1845151;1.438262;-0.006997164,-0.2390502;1.148253;0.101789,0.2406459;1.119323;0.05407122,-0.2206812;0.9327767;0.2257017,0.2522734;0.8959929;0.1641203,-0.09532962;0.9260725;-0.01970274,0.07452723;0.9240299;-0.02136355,-0.1505244;0.474539;0.05767939,0.1550347;0.4787083;0.06876898,-0.1795533;0.1079084;-0.06636989,0.1758002;0.1146446;-0.06418009,-0.2476711;-0.01540083;0.09952693,0.2826792;-0.01028365;0.07381323,-0.008930048;1.045625;-0.01833767,-0.007542482;1.149895;-0.02915229,-0.005323164;1.266566;-0.03847083,-0.001190515;1.390496;-0.02918672,-0.1692994;0.7823337;0.2539369,-0.201173;0.8443896;0.2937126,-0.2667298;0.8472606;0.2556165,0.1897486;0.7481702;0.1814076,0.2440408;0.7958976;0.2163872,0.2906918;0.8021829;0.1568771,-0.2013957;-0.008316338;0.08134101,-0.2717971;-0.00473845;0.03756501,0.2332235;-0.005392134;0.06656647,0.2916593;0.006431401;0.009199563,-0.01040118;0;-0.02053314
2,0.06384122;1.642995;0.1685461,0.02624631;1.67567;0.1385032,0.08383598;1.671782;0.1221228,-0.04324268;1.655892;0.06372117,0.1007315;1.646172;0.02277037,-0.1793536;1.458768;0.02440738,0.1828099;1.417622;-0.02762245,-0.2404056;1.144773;0.1196872,0.2634581;1.105006;0.01530385,-0.1684321;0.9498441;0.2573253,0.2675851;0.889779;0.1409318,-0.09577607;0.9110128;-0.02672854,0.07394826;0.9108647;-0.03393349,-0.155386;0.4664145;0.08141956,0.1554275;0.47326;0.08763894,-0.1821632;0.1080815;-0.0653097,0.1749317;0.1158568;-0.0624663,-0.2544097;-0.01188815;0.1012875,0.2829858;-0.007536709;0.07421097,-0.01083197;1.031541;-0.03087193,-0.01069382;1.135697;-0.04280984,-0.008808294;1.252481;-0.0506584,-0.002930952;1.375939;-0.03703263,-0.09240007;0.8113206;0.2905028,-0.1264207;0.8729963;0.3290732,-0.1967197;0.8631881;0.3022574,0.1947506;0.7521388;0.1834767,0.2550276;0.7992928;0.2078143,0.297734;0.7928277;0.1454312,-0.2078571;-0.006144285;0.08333778,-0.2778698;-0.001212776;0.03907267,0.2334566;-0.003549516;0.06691185,0.2917134;0.009009659;0.009519275,-0.01091389;0;-0.03033102
3,0.1068059;1.627057;0.1513724,0.06400636;1.662653;0.1344969,0.1144313;1.657494;0.1023921,-0.024552;1.649458;0.08162379,0.1015103;1.636562;0.001361791,-0.1744473;1.462214;0.0479574,0.1756061;1.414258;-0.05895123,-0.2337701;1.143015;0.1335394,0.2601953;1.099383;-0.04881313,-0.09262223;0.9747052;0.2513135,0.2633513;0.890049;0.08643368,-0.1045431;0.9064363;-0.02267986,0.06412499;0.9057118;-0.04289962,-0.1355455;0.4616615;0.09619528,0.1469023;0.468662;0.0797873,-0.1850011;0.1108888;-0.06242884,0.1675849;0.1107107;-0.06884669,-0.2581037;-0.008081198;0.1045835,0.2784722;-0.007005632;0.0715574,-0.01979321;1.026673;-0.03363948,-0.02020158;1.13082;-0.04565763,-0.01823684;1.247608;-0.05343131,-0.009563773;1.370916;-0.03993991,0.01528857;0.8561328;0.2704509,-0.02242422;0.9119439;0.3141752,-0.09307305;0.8868767;0.302444,0.1875217;0.7669262;0.1581998,0.2553503;0.8093118;0.1654031,0.2848148;0.7913659;0.09782305,-0.2115376;-0.002837241;0.08651629,-0.2816016;0.002765715;0.04241267,0.228858;-0.003851652;0.06442972,0.2866479;0.007947445;0.006407324,-0.02020902;0;-0.03278974
4,0.1426686;1.619879;0.1162995,0.09873959;1.657933;0.1138934,0.1371992;1.65214;0.06820639,-0.001990698;1.650791;0.08910129,0.0941584;1.636309;-0.02511617,-0.1674717;1.475039;0.07138379,0.1555385;1.418535;-0.09879716,-0.2324272;1.154542;0.1514498,0.2239153;1.099374;-0.1239116,-0.04094061;1.013374;0.225789,0.2234646;0.8979531;0.02289354,-0.1205784;0.9129863;-0.01370455,0.04246737;0.912078;-0.06138603,-0.09947024;0.4696533;0.1124991,0.1348012;0.4754156;0.05573412,-0.1956774;0.1277305;-0.04396793,0.1572368;0.1091989;-0.07087941,-0.2651193;-0.004667342;0.112712,0.2683338;-0.01045346;0.06750583,-0.03894702;1.03312;-0.03947045,-0.04101642;1.137211;-0.05178912,-0.0388464;1.253987;-0.05969749,-0.0249152;1.376917;-0.047202,0.08919509;0.9182012;0.2345769,0.04951882;0.9716039;0.2795538,-0.01602387;0.9335901;0.283599,0.1663381;0.7878879;0.1262473,0.2346787;0.8269625;0.1103765,0.2447282;0.8000793;0.04013705,-0.2190217;0.001532793;0.09376711,-0.2902329;0.01142257;0.05233448,0.2186926;-0.007020712;0.06070272,0.2761904;0.005087852;0.002454259,-0.03905552;0;-0.03754529
5,0.1786139;1.611027;0.07499797,0.1383786;1.651455;0.08641451,0.1624114;1.646306;0.03167956,0.03446376;1.651189;0.09014165,0.09454583;1.638317;-0.04669575,-0.1431806;1.486162;0.09984363,0.1313596;1.422295;-0.138446,-0.2243404;1.171128;0.1829071,0.1781028;1.100632;-0.178703,-0.009683967;1.046626;0.2062227,0.1842607;0.9096901;-0.01862311,-0.1363326;0.9262391;-0.003020149,0.008600369;0.9207851;-0.09146772,-0.05570117;0.4882457;0.1177167,0.1486343;0.4919656;0.005594499,-0.2148799;0.1557499;-0.003764383,0.1423951;0.1106207;-0.0664208,-0.2770768;0.003040135;0.1357417,0.2481594;-0.02174121;0.06411447,-0.06040642;1.044053;-0.0490072,-0.06210726;1.148349;-0.05951406,-0.05763259;1.265193;-0.06510125,-0.03609391;1.386938;-0.0518173,0.1305684;0.9671961;0.1967044,0.09341146;1.019862;0.2446069,0.03483225;0.9755368;0.2636075,0.1541952;0.8134878;0.1074758,0.2166416;0.8480118;0.07062911,0.2082237;0.8134585;0.003603093,-0.2333699;0.00886482;0.1116977,-0.3078728;0.03161305;0.08310891,0.1987415;-0.01427019;0.05917821,0.2550541;-0.004780352;-0.0006910041,-0.0638661;0;-0.04724394
6,0.20998;1.600931;0.02193782,0.1774751;1.642273;0.04679552,0.1842175;1.639853;-0.01277532,0.07931543;1.64653;0.08083676,0.09617149;1.64048;-0.06809032,-0.1038932;1.489282;0.1234446,0.1040685;1.430299;-0.1756783,-0.2120013;1.189747;0.2208998,0.1385369;1.108112;-0.224675,0.006381661;1.071001;0.2027321,0.1620401;0.9264139;-0.05569056,-0.1458861;0.9397913;0.01044516,-0.03417899;0.9290816;-0.1170895,-0.03091016;0.5065969;0.1201726,0.1248625;0.4986982;-0.06817493,-0.2412303;0.1897466;0.04258252,0.1448072;0.1111537;-0.06039619,-0.2720073;0.02921838;0.1859017,0.2349449;-0.01904225;0.08811882,-0.08142865;1.054705;-0.0558853,-0.08105266;1.159208;-0.06424789,-0.0724674;1.275917;-0.06728271,-0.04195043;1.395737;-0.05409322,0.1399406;0.987;0.1684363,0.1143559;1.042178;0.2208742,0.05964477;1.000274;0.252623,0.1358687;0.8379716;0.07679634,0.1972824;0.8681537;0.03476613,0.1838101;0.8305871;-0.0297668,-0.2413631;0.03168213;0.1461876,-0.3144388;0.07029957;0.1535452,0.1891521;0.00153327;0.08670574,0.2359926;-0.01618385;0.02084547,-0.09003252;0;-0.0533222
7,0.2275859;1.58676;-0.03959257,0.2062034;1.627924;-0.004493002,0.1936649;1.627714;-0.06316784,0.124082;1.633425;0.05905269,0.09273556;1.6329;-0.08763443,-0.06032068;1.481812;0.1375174,0.078549;1.435202;-0.2014011,-0.1977396;1.209211;0.2623036,0.09732172;1.116555;-0.2758047,0.008427858;1.076287;0.2181692,0.1369067;0.9425379;-0.1018122,-0.1491235;0.9427446;0.01876272,-0.0750287;0.9313142;-0.1336761,-0.01356247;0.5136146;0.1206824,0.1011247;0.5058166;-0.1047215,-0.2636448;0.2176419;0.09814675,0.1351964;0.1202247;-0.07631476,-0.240531;0.04807156;0.232657,0.2774515;0.01936644;0.05402807,-0.09962739;1.056952;-0.06039773,-0.09691995;1.1616;-0.066109,-0.08360399;1.277903;-0.06649806,-0.04428596;1.395206;-0.05400321,0.1300822;0.9815043;0.1703478,0.1155404;1.039988;0.2234247,0.06263298;1.003278;0.2635548,0.1063341;0.8608509;0.03402717,0.1690356;0.8900496;-0.006778385,0.1593043;0.848756;-0.06968634,-0.2269723;0.05333012;0.1845858,-0.2913357;0.09076673;0.22121,0.2324457;0.03911215;0.06436732,0.2565937;0.01038504;-0.009369511,-0.1120761;0;-0.05745671
8,0.2259991;1.55856;-0.1081418,0.2186088;1.599508;-0.06749381,0.1879242;1.601168;-0.1190273,0.1614707;1.606086;0.01913303,0.08475907;1.610235;-0.1097006,-0.01958697;1.455798;0.1349763,0.05510055;1.426918;-0.2252091,-0.1742595;1.217319;0.294678,0.04191141;1.120466;-0.3388626,0.008776158;1.056882;0.2410161,0.09156297;0.9515465;-0.1624446,-0.1596161;0.9319848;0.01860595,-0.116924;0.9202612;-0.1454008,-0.005962059;0.5082436;0.1173522,0.1173715;0.5229362;-0.1329426,-0.2501008;0.2108031;0.168091,0.1201282;0.1359094;-0.1037591,-0.1711167;0.05270326;0.2952332,0.3190567;0.06149042;-0.05626103,-0.1213346;1.04546;-0.06751917,-0.1147042;1.149999;-0.07184704,-0.09507881;1.265403;-0.0711025,-0.04657575;1.379411;-0.06053134,0.1176969;0.9487292;0.1909204,0.1126007;1.011733;0.2404536,0.06048271;0.9826325;0.2872954,0.07885595;0.8740846;-0.02138453,0.1354221;0.9064465;-0.06831128,0.1244409;0.8615706;-0.1285014,-0.1727515;0.0561856;0.245158,-0.2272451;0.08981621;0.2979305,0.281496;0.0751375;-0.02584269,0.2729754;0.04701114;-0.1031847,-0.1382701;0;-0.06339747
9,0.2150288;1.523047;-0.1661765,0.2202018;1.56331;-0.1245143,0.1766322;1.566739;-0.165623,0.1891875;1.569425;-0.02545386,0.08026353;1.577998;-0.1282257,0.0189065;1.41575;0.1250828,0.03617352;1.407037;-0.2427056,-0.1361613;1.208781;0.3170323,-0.03016314;1.126104;-0.3935675,0.01497437;1.017311;0.2658556,0.03106323;0.9574264;-0.2205891,-0.1682103;0.9112767;0.01912071,-0.1488464;0.9006085;-0.1493118,-0.02282004;0.4853223;0.1208144,0.1347712;0.5376674;-0.1767253,-0.2076067;0.1677195;0.2458394,0.07818669;0.1543087;-0.1547407,-0.08643106;0.02099442;0.3496781,0.2789915;0.07768852;-0.1889973,-0.1378432;1.024647;-0.07023567,-0.1274163;1.1289;-0.07392994,-0.1018018;1.243126;-0.07343919,-0.04520824;1.353626;-0.06644795,0.103975;0.8902333;0.2211283,0.1116787;0.9585189;0.2626818,0.06097923;0.9423448;0.316767,0.062142;0.8856998;-0.0793476,0.1015753;0.9201819;-0.1402176,0.07928857;0.8719028;-0.1943444,-0.1013097;0.02248973;0.3017331,-0.1430448;0.05336946;0.3664643,0.2546621;0.08660835;-0.1459759,0.2191378;0.06868893;-0.2185183,-0.1585283;0;-0.06509557
