Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.1527159;1.655379;0.2448493,-0.1786918;1.682257;0.2002795,-0.1189301;1.68188;0.2056084,-0.2158799;1.650748;0.1084292,-0.06647559;1.649806;0.1217514,-0.2984675;1.457266;0.02505481,0.06088038;1.456401;0.1133412,-0.4017804;1.138718;0.02211376,0.2187317;1.176676;0.0435549,-0.3582505;1.081876;0.260852,0.1753896;0.9831393;0.1945091,-0.1265069;0.8987097;0.006466456,0.01259566;0.9207436;0.1014573,-0.08522007;0.4411579;-0.03664696,-0.08569069;0.5271719;0.3213609,0.08748868;0.1395804;-0.2094812,0.08129269;0.2569395;0.09833603,-0.04773454;0.006615162;-0.1178288,0.1163222;0.09579504;0.2398086,-0.07461354;1.029016;0.05214895,-0.08098699;1.133175;0.04208444,-0.08918226;1.249745;0.03514487,-0.1039409;1.372566;0.04776343,-0.2315927;1.088337;0.3607846,-0.3098693;1.106268;0.3602634,-0.3355388;1.035831;0.3485583,0.05948057;0.9011214;0.2713059,0.1296263;0.9368629;0.2871532,0.1726309;0.8934312;0.2421913,0.001729447;0.01162547;-0.1107194,-0.03823537;0.02202576;-0.1826926,0.08422454;0.09858894;0.2012826,0.1557403;0.1397409;0.2074059,-0.05695565;0;0.0539619
1,-0.2285224;1.662921;0.3173628,-0.2543648;1.690285;0.2730115,-0.1945969;1.689363;0.2782025,-0.2920262;1.659641;0.1810613,-0.1426064;1.657336;0.1940388,-0.3825187;1.465049;0.1085386,-0.01907045;1.462303;0.176952,-0.4872017;1.146867;0.1175112,0.1416188;1.191948;0.08637023,-0.4267067;1.107873;0.3561356,0.1064862;0.9972076;0.2379093,-0.1958835;0.901632;0.08500455,-0.06057703;0.9344909;0.1823223,-0.1029358;0.4593811;-0.008226082,-0.1719255;0.5406702;0.3954499,0.07915294;0.1648446;-0.1835568,-0.05204964;0.2023079;0.247836,-0.03899771;0.01189566;-0.1130581,-0.04878929;0.06924391;0.4190924,-0.1533174;1.035924;0.1287473,-0.1628501;1.139761;0.117879,-0.1727969;1.256136;0.1100295,-0.186858;1.379135;0.1216797,-0.2940489;1.123868;0.4467804,-0.3726203;1.140106;0.4502315,-0.3972185;1.068513;0.4450714,0.01279351;0.9047236;0.331333,0.07970712;0.9488015;0.336694,0.1209754;0.9092798;0.2867716,0.01011772;0.01955658;-0.1058943,-0.03167282;0.03492892;-0.1759138,-0.08002976;0.07055151;0.3797904,-0.001585931;0.09685862;0.3797956,-0.1282303;0;0.1336634
2,-0.293243;1.668934;0.398254,-0.3190885;1.696661;0.3541308,-0.2593163;1.695598;0.359246,-0.3569082;1.666745;0.262006,-0.2074778;1.664089;0.2747938,-0.4541839;1.472274;0.1981077,-0.08823565;1.467374;0.2519961,-0.5627987;1.155932;0.2154696,0.0721862;1.204228;0.1442062,-0.4875178;1.127481;0.4513617,0.04360145;1.009537;0.2971783,-0.2723969;0.9056022;0.1672858,-0.1378245;0.9398268;0.2651492,-0.1324754;0.4852897;0.03814903,-0.2466076;0.5393797;0.4669536,0.06046024;0.2008401;-0.1421654,-0.1918861;0.1616381;0.3964848,-0.02251941;0.0183267;-0.1082702,-0.2138167;0.05939156;0.5859811,-0.2316073;1.040278;0.2115385,-0.2404213;1.144268;0.2015634,-0.2487995;1.260769;0.1937423,-0.2598467;1.38416;0.2044422,-0.3483436;1.146465;0.5309892,-0.426366;1.163413;0.5396092,-0.4515689;1.091845;0.5394871,-0.04827625;0.9123494;0.3875809,0.01847075;0.9565357;0.3940183,0.05924305;0.9195684;0.341785,0.02440552;0.03356731;-0.09888393,-0.02090915;0.05412298;-0.1652883,-0.2446001;0.06080061;0.5463236,-0.1624156;0.07000774;0.5437888,-0.2051108;0;0.2162175
3,-0.3575169;1.675372;0.4806688,-0.3835721;1.702984;0.4365972,-0.3237987;1.702474;0.4417821,-0.4209959;1.672987;0.3443373,-0.2715625;1.671712;0.3572996,-0.5229298;1.481297;0.286366,-0.1558716;1.471318;0.3321232,-0.6369631;1.167377;0.3102687,0.004164934;1.21475;0.2114935,-0.550665;1.143671;0.5428895,-0.02284262;1.022341;0.3676077,-0.3533738;0.9111084;0.2477374,-0.2170229;0.9425914;0.344047,-0.2202465;0.4838606;0.13525,-0.3199067;0.5350791;0.5344812,-0.008264333;0.2415873;-0.08158216,-0.3255359;0.1470267;0.5287665,-0.0336619;0.03624034;-0.09200454,-0.3705909;0.07904309;0.7286974,-0.3111358;1.044618;0.2941153,-0.3181776;1.148934;0.2863988,-0.3238671;1.265651;0.2794223,-0.3311006;1.389396;0.2892657,-0.4068123;1.161869;0.6139222,-0.4839496;1.18013;0.6267827,-0.5101209;1.108957;0.6293736,-0.1248239;0.9267803;0.4484009,-0.0555971;0.9657785;0.460055,-0.01520124;0.9291052;0.4073244,0.006399333;0.06234622;-0.07664514,-0.04444073;0.08354849;-0.1387036,-0.4001595;0.08191699;0.6882035,-0.3180642;0.07167709;0.6872045,-0.2851984;0;0.2958922
4,-0.4281064;1.678912;0.5646192,-0.4541252;1.706407;0.520453,-0.3943772;1.706305;0.5259465,-0.490862;1.676286;0.4279575,-0.3414921;1.676031;0.4416914,-0.5948831;1.487586;0.3724565,-0.2277066;1.472094;0.4155369,-0.7118219;1.174515;0.3969138,-0.06757811;1.220636;0.2870344,-0.6206998;1.150176;0.6276217,-0.09522504;1.029804;0.4449622,-0.4367946;0.9160652;0.3290056,-0.2962786;0.9416853;0.4209685,-0.3137089;0.4804387;0.2395827,-0.4001677;0.5276989;0.5962941,-0.09182426;0.2925113;-0.01751539,-0.4440488;0.1439928;0.6349359,-0.04673925;0.08718044;-0.06498316,-0.5054653;0.1031548;0.8373339,-0.3894782;1.047258;0.3770601,-0.3954868;1.15174;0.3708585,-0.3996025;1.268567;0.3646644,-0.4046952;1.392429;0.3743809,-0.4743701;1.166136;0.6939794,-0.5508285;1.185109;0.7095726,-0.5776917;1.114203;0.712384,-0.2046864;0.9371152;0.5190332,-0.1338745;0.971824;0.5341989,-0.09385017;0.9349198;0.4813462,-0.01882523;0.1216635;-0.04144445,-0.07467172;0.1368142;-0.100918,-0.5331289;0.1085309;0.7957629,-0.4549091;0.08169115;0.7983678,-0.3665366;0;0.3749871
5,-0.5013008;1.677309;0.6445884,-0.5269158;1.704926;0.6002623,-0.4671949;1.704376;0.6060163,-0.5634803;1.674927;0.5076592,-0.414178;1.673551;0.5220443,-0.6677589;1.486385;0.4508497,-0.3009286;1.469192;0.4959324,-0.7827306;1.171835;0.4702599,-0.139987;1.21754;0.3694872,-0.6925279;1.144028;0.7009372,-0.1696093;1.027972;0.5285743,-0.5187845;0.9169643;0.4094697,-0.3742836;0.9355125;0.496841,-0.4023056;0.4753233;0.3438718,-0.4788995;0.514926;0.655205,-0.1761236;0.3501121;0.05436745,-0.5350844;0.13375;0.7020786,-0.09852815;0.1596818;-0.01477343,-0.5992779;0.09818828;0.9041189,-0.4642839;1.04546;0.457201,-0.469374;1.149966;0.4505971,-0.4728973;1.266803;0.4442319,-0.4778437;1.390656;0.4541248,-0.5456626;1.157977;0.7665607,-0.6218989;1.17713;0.7829987,-0.6491694;1.106346;0.7847729,-0.2804472;0.9360096;0.6014959,-0.2098732;0.9707778;0.6176046,-0.1689727;0.9333942;0.5657694,-0.07611877;0.1960087;0.01169345,-0.136331;0.2069165;-0.04435134,-0.6264926;0.1052033;0.862496,-0.5503865;0.07287282;0.8653409,-0.446534;0;0.4531553
6,-0.5756322;1.666568;0.7206666,-0.6007236;1.694402;0.6761767,-0.5410345;1.693047;0.6821245,-0.6374032;1.66463;0.5835457,-0.4881804;1.661243;0.5984154,-0.7403172;1.474745;0.5217489,-0.3744611;1.457242;0.5740898,-0.8516728;1.158172;0.5313964,-0.2135737;1.199825;0.4588769,-0.7677179;1.122487;0.7633446,-0.2480601;1.012764;0.6199393,-0.5987143;0.9081125;0.4885772,-0.4519986;0.9218662;0.5730971,-0.4979404;0.4601024;0.4433151,-0.5570725;0.4983215;0.7230505,-0.2644659;0.4009133;0.1389548,-0.6003644;0.1129158;0.7384527,-0.1826293;0.2234914;0.0446268,-0.6681652;0.05436754;0.9334804,-0.5386083;1.034811;0.5343418,-0.5423515;1.139276;0.5263314,-0.5452104;1.256091;0.5192685,-0.5505077;1.37991;0.5294009,-0.622467;1.134844;0.8327703,-0.6990119;1.154075;0.8476058,-0.7265914;1.083388;0.8476552,-0.3617111;0.922334;0.6904048,-0.2919723;0.9577447;0.7086143,-0.2488019;0.9191785;0.6595608,-0.1602108;0.2580956;0.07330233,-0.2248122;0.2712884;0.02292281,-0.6945935;0.06479752;0.892067,-0.6175596;0.03465271;0.8936638,-0.5253565;0;0.5308371
7,-0.6495571;1.651388;0.7952659,-0.6741732;1.678921;0.750326,-0.6145273;1.677048;0.7565604,-0.7107387;1.648381;0.6579003,-0.5616242;1.643698;0.6734865,-0.8106;1.458244;0.5885327,-0.4466013;1.439731;0.6523591,-0.9172593;1.13969;0.5819033,-0.2875783;1.173148;0.5547298,-0.8461;1.089114;0.815356,-0.3291674;0.9888682;0.7173142,-0.6739103;0.8929679;0.5626601,-0.5260783;0.905156;0.6454578,-0.6061609;0.4370568;0.5409292,-0.6328406;0.4837826;0.8002577,-0.3617672;0.433847;0.2394158,-0.6420908;0.09853977;0.7538745,-0.277888;0.2750914;0.1172207,-0.7171153;-0.001998723;0.9271348,-0.6114342;1.01909;0.6068155,-0.6142458;1.123538;0.5982382,-0.6164347;1.240379;0.5913584,-0.6216895;1.364112;0.6025183,-0.7043868;1.099111;0.8920884,-0.7815511;1.118047;0.9037561,-0.8091405;1.047446;0.9003627,-0.4474301;0.9020312;0.7846407,-0.3784054;0.9374626;0.8053584,-0.3330559;0.8967791;0.7601306,-0.2561551;0.3039327;0.1521234,-0.3194738;0.3262081;0.1033376,-0.7414206;0.01352316;0.8860174,-0.6619558;-0.009296119;0.8891988,-0.5999943;0;0.604059
8,-0.7235386;1.636592;0.8691671,-0.7478296;1.66324;0.8235222,-0.6882393;1.661714;0.8303537,-0.7833937;1.63095;0.7313008,-0.634418;1.627134;0.7483797,-0.8792391;1.44225;0.6530581,-0.5184008;1.420879;0.7321873,-0.9771726;1.121298;0.6271226,-0.3653818;1.14152;0.6614523,-0.9244671;1.048291;0.8595316,-0.4175424;0.9610971;0.8253092,-0.7442597;0.8766076;0.6354512,-0.5952914;0.8901805;0.7159652,-0.7229835;0.4157794;0.6455355,-0.6971357;0.4656473;0.8653508,-0.4666133;0.4442334;0.355512,-0.6701176;0.09853578;0.742273,-0.391014;0.2978622;0.2136264,-0.7249597;-0.02047735;0.9115603,-0.6816944;1.003393;0.6775309,-0.6848835;1.107797;0.6685492,-0.6870801;1.224671;0.6622739,-0.6921912;1.348252;0.6750739,-0.7889469;1.05278;0.9471936,-0.866768;1.07133;0.9541803,-0.8940365;1.001215;0.944303,-0.5417924;0.8790191;0.887637,-0.4738062;0.914333;0.9117163,-0.4260746;0.871049;0.8716482,-0.3679532;0.3206121;0.2520059,-0.4295695;0.3526232;0.2065722,-0.7502066;-0.01156229;0.8690699,-0.66784;-0.01217484;0.8768706,-0.6697755;0;0.6757082
9,-0.797793;1.627182;0.942872,-0.8214599;1.652712;0.8962709,-0.7619711;1.651426;0.9039794,-0.8556812;1.618207;0.8043442,-0.7069591;1.61499;0.8236156,-0.9467537;1.429837;0.7171117,-0.5900142;1.406565;0.812245,-1.030491;1.107152;0.6673298,-0.4439751;1.116984;0.7751987,-0.9959339;1.009855;0.8941797,-0.5124786;0.9448076;0.9418857,-0.8116254;0.8654672;0.7074284,-0.662043;0.8804269;0.7865461,-0.8430126;0.4076632;0.7558786,-0.7465601;0.4453803;0.9150294,-0.579843;0.4370912;0.4721097,-0.6789345;0.107611;0.7361782,-0.5267285;0.2843934;0.3264145,-0.7245287;-0.01212007;0.9063377,-0.7490569;0.9929284;0.747409,-0.752652;1.097262;0.7377844,-0.7553476;1.214162;0.7322186,-0.7613637;1.337458;0.7471809,-0.8701612;1.007071;0.9953921,-0.9488022;1.023317;0.9962372,-0.9728562;0.9542426;0.9760519,-0.6439847;0.869419;0.9974041,-0.5778413;0.9052916;1.025461,-0.5274776;0.8584799;0.9933767,-0.4996504;0.3043483;0.3637093,-0.5597237;0.3428828;0.3213798,-0.7491487;-0.007699728;0.8627874,-0.6675885;0.001619637;0.8731112,-0.7368342;0;0.7469873
