Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.09578535;1.651238;0.2831286,0.06051004;1.677175;0.2448328,0.1201321;1.679609;0.2385646,0.007777218;1.644607;0.1613412,0.1568322;1.650693;0.1456712,-0.1119821;1.46428;0.1646813,0.2361764;1.439112;0.04036546,-0.210024;1.148283;0.2167262,0.2944236;1.148345;-0.103477,-0.04216539;1.066912;0.3820261,0.3083708;0.9807835;0.08050895,-0.02637486;0.9031152;0.07941106,0.1359777;0.9089365;0.02975168,-0.05799251;0.4433775;0.05577281,0.2998067;0.5096933;0.1930966,-0.1277961;0.1379852;-0.1733821,0.1476812;0.2659442;-0.06785043,-0.1267819;0.006600976;-0.00883488,0.2840889;0.09824246;-0.05430804,0.05366872;1.026176;0.06496379,0.0504561;1.130913;0.06168155,0.04850361;1.247959;0.06113985,0.05390902;1.37089;0.07904941,0.1191745;1.069331;0.3878617,0.05617167;1.090315;0.433021,0.02670792;1.020833;0.4408615,0.2257625;0.9154584;0.2028531,0.300241;0.9402585;0.1859145,0.3135934;0.8917052;0.1291557,-0.09245037;0.01256675;-0.04500243,-0.1745825;0.01971376;-0.05442202,0.2351984;0.1010668;-0.04316921,0.2746679;0.1479486;-0.09875479,0.05480142;0;0.05458139
1,0.1681913;1.666864;0.3609027,0.1329383;1.692969;0.3227013,0.1925616;1.695349;0.3164248,0.08014169;1.66074;0.2391187,0.2292;1.66669;0.2234273,-0.0391136;1.481002;0.2533339,0.3027154;1.453118;0.1131591,-0.1333141;1.16623;0.3183592,0.3448609;1.170965;-0.05041887,0.05162415;1.100888;0.4721448,0.3666939;0.9990742;0.1287434,0.04964788;0.9147047;0.1563055,0.211922;0.9280527;0.1078574,-0.02921294;0.465981;0.08319542,0.3812694;0.5346058;0.2794316,-0.1260871;0.1673884;-0.1450738,0.2968036;0.2072685;0.08873573,-0.1256904;0.01417965;-0.007821232,0.4466568;0.06452358;0.1510117,0.1249776;1.04108;0.1456101,0.1203627;1.145801;0.1437995,0.1174366;1.262828;0.1436677,0.1230063;1.385912;0.1604402,0.2126042;1.110569;0.4642623,0.1525632;1.13141;0.5133518,0.1271778;1.061299;0.5273959,0.2900316;0.9308944;0.2533789,0.3639781;0.9544853;0.2327777,0.3724473;0.9079757;0.1734279,-0.09212358;0.02426028;-0.04379323,-0.1743195;0.03371507;-0.05011322,0.396948;0.06428486;0.1581745,0.4362924;0.1005512;0.09506929,0.130785;0;0.1320815
2,0.2495398;1.680429;0.4387724,0.2140673;1.706529;0.400771,0.2736617;1.70918;0.3943298,0.1611605;1.67439;0.3172233,0.3101464;1.681017;0.3011205,0.04253659;1.494402;0.3409266,0.3788038;1.464852;0.1881519,-0.05323002;1.182321;0.413689,0.4075755;1.189265;0.01224633,0.142773;1.126659;0.557238,0.4353506;1.016119;0.1893647,0.1261992;0.9259295;0.2410842,0.2878448;0.9417507;0.1912981,0.008276865;0.4963697;0.1207111,0.4554502;0.5415854;0.3484377,-0.1148752;0.2021995;-0.1005274,0.4400284;0.166135;0.2512359,-0.1249033;0.01891559;-0.008910164,0.5914372;0.05046904;0.3520676,0.200112;1.053242;0.2317005,0.1963168;1.158003;0.2303782,0.1940682;1.275042;0.2294964,0.2007153;1.398382;0.2438139,0.302589;1.139274;0.5379983,0.245602;1.160412;0.5904835,0.2227702;1.090274;0.6082767,0.3629757;0.9441686;0.3144433,0.4361197;0.968742;0.2921925,0.4429643;0.9238909;0.2313746,-0.09093794;0.03573781;-0.04186018,-0.1722744;0.05209184;-0.04341139,0.5413984;0.04811358;0.3556582,0.5837386;0.07307106;0.2891006,0.207022;0;0.2161912
3,0.3372819;1.688983;0.5119201,0.3014433;1.715423;0.4745016,0.3609791;1.718349;0.4676518,0.24802;1.684121;0.3909646,0.3968597;1.691438;0.3738402,0.1306826;1.503055;0.4215705,0.4629606;1.474786;0.2598476,0.03242519;1.192393;0.4957062,0.4846531;1.203715;0.07669397,0.2353736;1.142415;0.6314856,0.5145182;1.031296;0.2541822,0.2073707;0.9349489;0.3258489,0.3689704;0.9488626;0.2753488,0.0615586;0.5226073;0.1787768,0.5262427;0.5351876;0.4059441,-0.08461201;0.2449369;-0.04965743,0.5724287;0.1498156;0.4038552,-0.1247925;0.03787631;-0.02470857,0.7185968;0.05871803;0.5325063,0.2825384;1.06145;0.3155138,0.2801323;1.166234;0.3131315,0.2787112;1.283257;0.3104239,0.2859371;1.406861;0.3219165,0.3941029;1.15583;0.605113,0.339364;1.176986;0.6599315,0.3177691;1.106837;0.679167,0.4437082;0.9569662;0.3787637,0.5163196;0.983197;0.3566609,0.5240473;0.9389406;0.2955142,-0.08794105;0.06042224;-0.05032089,-0.1651054;0.08938795;-0.04072231,0.6684932;0.05535823;0.5333184,0.7146978;0.06929624;0.4661145,0.2881705;0;0.3005989
4,0.4199864;1.693566;0.5834922,0.3839343;1.720038;0.5463021,0.4434373;1.723217;0.539282,0.3303687;1.688909;0.4627919,0.4791264;1.696855;0.4452416,0.2140972;1.50655;0.4936147,0.5461736;1.481176;0.3309272,0.1147108;1.195202;0.5631788,0.567374;1.213047;0.1437914,0.3191169;1.144764;0.6965801,0.5965375;1.039825;0.320613,0.2866073;0.9415064;0.4052169,0.4487361;0.950527;0.3553056,0.1584371;0.5126836;0.2929655,0.6044544;0.5357652;0.4843064,-0.01864681;0.2909269;0.02817464,0.6839298;0.1574804;0.5194249,-0.09331816;0.08905703;0.002742767,0.8237116;0.0775829;0.6610004,0.3648843;1.065926;0.3928789,0.3637829;1.170681;0.3888635,0.3628776;1.287662;0.3845695,0.3696822;1.41141;0.3946833,0.4775422;1.156289;0.6676138,0.4239426;1.178207;0.723253,0.4018597;1.108358;0.7430187,0.523829;0.9642156;0.4433172,0.5965028;0.9917894;0.4231376,0.6066794;0.9476712;0.3622501,-0.05324817;0.1114687;-0.01761502,-0.1239089;0.1490294;0.004333526,0.7736923;0.07336956;0.6593778,0.8232821;0.08338749;0.5939102,0.3676717;0;0.3802613
5,0.5013525;1.691427;0.6572977,0.4653425;1.717791;0.6199907,0.524858;1.721131;0.6131528,0.4121195;1.686496;0.5363237,0.5609081;1.694845;0.5192289,0.2957094;1.503076;0.5622709,0.6305552;1.479374;0.4053189,0.1961201;1.189976;0.6239441,0.6581348;1.211447;0.2192199,0.396641;1.133704;0.7608622,0.6841835;1.038851;0.3971359,0.3665623;0.9419743;0.4833761,0.5286806;0.945449;0.4327416,0.247938;0.5014588;0.4141566,0.6818072;0.5287842;0.5586756,0.05238217;0.3477379;0.1162021,0.7692149;0.1532115;0.6028796,-0.04444659;0.1603397;0.06228819,0.8999833;0.06420028;0.7471912,0.4481626;1.0639;0.4680401,0.447735;1.168598;0.4626493,0.4471727;1.285543;0.4574154,0.4536712;1.409324;0.467324,0.5556422;1.141379;0.7338408,0.501958;1.16428;0.7890006,0.4778718;1.094884;0.8080103,0.6091917;0.9630576;0.5183434,0.6817684;0.9923356;0.500331,0.6953206;0.9476313;0.4405385,-0.001987576;0.1809444;0.04511231,-0.06800443;0.2224193;0.07352218,0.8500583;0.06094515;0.7428061,0.9031426;0.07304329;0.6805069,0.4476215;0;0.4580589
6,0.5798884;1.682654;0.7300762,0.5441327;1.708951;0.6924781,0.6036919;1.712205;0.6859881,0.4913776;1.677474;0.6085832,0.6402754;1.685609;0.5923582,0.3738057;1.49517;0.6294335,0.711943;1.469717;0.4801834,0.2710943;1.179799;0.6763655,0.752751;1.197877;0.3029155,0.4620969;1.110603;0.8207667,0.7742951;1.029052;0.4850045,0.4479668;0.9345438;0.5626303,0.6087117;0.9356028;0.5076918,0.3311843;0.4888333;0.5377123,0.7469616;0.5066644;0.6067652,0.1343298;0.398788;0.2155492,0.8236467;0.1291304;0.6540561,0.01344675;0.2340717;0.1401574,0.9374831;0.01467133;0.7893822,0.5298002;1.055487;0.5417576,0.5281413;1.16007;0.5346361,0.5270432;1.276966;0.5284768,0.5336484;1.400727;0.5385541,0.6222938;1.112222;0.8006477,0.5672977;1.135704;0.8542488,0.5395282;1.06686;0.8699532,0.6957213;0.9531172;0.6038306,0.7678083;0.9853668;0.5892552,0.7870327;0.9397245;0.5317706,0.05857354;0.2504863;0.1254447,-0.001514912;0.2970588;0.1586994,0.8877957;0.01520258;0.7820885,0.9450827;0.02974194;0.7241896,0.5283392;0;0.5351611
7,0.6552942;1.665129;0.8003293,0.6198721;1.691141;0.762221,0.6794782;1.693913;0.7559417,0.5672602;1.658861;0.6785415,0.7162756;1.66579;0.6628433,0.4474896;1.477913;0.6931609,0.7889625;1.449402;0.5528252,0.3397251;1.161224;0.7202597,0.8462955;1.170616;0.3922564,0.5156431;1.071065;0.8720688,0.8626664;1.006325;0.5789716,0.5300615;0.9153497;0.63451,0.688569;0.9187737;0.5735024,0.4225834;0.4673184;0.659678,0.8282558;0.4971915;0.6986929,0.2250473;0.4254334;0.3282055,0.8435568;0.111581;0.6572269,0.08298945;0.2825693;0.2454676,0.9542871;-0.01334482;0.7819484,0.6087576;1.037546;0.6093201,0.6044907;1.142035;0.6019068,0.6021497;1.258925;0.5959808,0.6090619;1.382596;0.6069291,0.6767609;1.065108;0.8633499,0.6192536;1.089386;0.9138723,0.587069;1.021538;0.9247346,0.7777717;0.932668;0.694847,0.8500989;0.9658191;0.6839479,0.8738301;0.9187704;0.6293535,0.1296734;0.2939575;0.2308641,0.07651371;0.3456681;0.2680871,0.9045987;-0.01169604;0.7748308,0.9619793;0.005154908;0.7176557,0.6093153;0;0.6040062
8,0.7323478;1.64554;0.8705837,0.6970634;1.670642;0.8317445,0.7566961;1.673512;0.8257696,0.6450818;1.636479;0.7484195,0.7941636;1.643655;0.7334822,0.5219526;1.457356;0.755295,0.8667202;1.425018;0.6256106,0.4105039;1.140435;0.7615169,0.9447084;1.13741;0.4927644,0.567201;1.028415;0.9196918,0.9532366;0.9813105;0.6868842,0.611029;0.8930793;0.7034743,0.7677005;0.8999361;0.6381649,0.5269159;0.4470665;0.7866288,0.8914466;0.477749;0.7773114,0.3247772;0.4308372;0.4556825,0.8438709;0.1169968;0.6422434,0.1754465;0.2894527;0.3838363,0.9494948;-0.007316232;0.7740393,0.6860594;1.016973;0.6755387,0.6796954;1.121357;0.6681495,0.6768482;1.238271;0.6629844,0.6850454;1.361707;0.6755716,0.7278615;1.013348;0.9253179,0.6671942;1.037659;0.9719816,0.6305161;0.9713048;0.9749901,0.861815;0.909867;0.7991228,0.9338797;0.9446262;0.7922325,0.9628385;0.896165;0.7415356,0.2214776;0.2995407;0.3664667,0.1715315;0.3531021;0.4054801,0.8999894;-0.00410533;0.766215,0.9586413;0.009104431;0.7093735,0.6893647;0;0.6708196
9,0.8101568;1.630104;0.9433486,0.7753043;1.654559;0.9037145,0.8350008;1.657566;0.8984907,0.724551;1.619102;0.8201733,0.8737923;1.626618;0.8071138,0.5990312;1.440903;0.8193926,0.9485146;1.406962;0.7042149,0.4879178;1.123779;0.8018023,1.046474;1.112357;0.6046362,0.6248661;0.9916121;0.9627336,1.042481;0.9698355;0.809072,0.6854615;0.8775449;0.7713946,0.8416123;0.8837458;0.7047857,0.645905;0.4396457;0.9113825,0.9310336;0.4473221;0.8250138,0.4363225;0.4130627;0.5857793,0.8438212;0.1197755;0.6359205,0.2962749;0.2518283;0.5426884,0.9507767;-0.001964271;0.7725326,0.760842;1.001119;0.7429889,0.7551723;1.105571;0.7360109,0.7536218;1.222549;0.7318389,0.7634292;1.345674;0.7462007,0.7830094;0.9689218;0.9861071,0.7176848;0.9904603;1.027554,0.6789623;0.9258767;1.018239,0.9449145;0.9013177;0.9179094,1.015351;0.939762;0.9147992,1.051462;0.8895947;0.8707932,0.3398498;0.2636127;0.5206727,0.2879258;0.3170615;0.5571778,0.9012876;0.001241863;0.7646036,0.9600474;0.01400721;0.707772,0.7635369;0;0.7380902
