Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.01963875;1.656811;0.247931,-0.05327988;1.68241;0.2079735,0.006505905;1.682777;0.2029213,-0.1052806;1.648463;0.1245724,0.04418387;1.649379;0.111942,-0.2167425;1.447344;0.07662203,0.1521195;1.436047;0.06944641,-0.3158574;1.129569;0.04732149,0.2459038;1.12673;-0.0008658394,-0.2260316;0.9932075;0.2356263,0.3190781;0.893279;0.04676049,-0.09461398;0.8946409;0.09908649,0.07471697;0.9062448;0.1062047,-0.04700444;0.4374492;0.05876064,0.1232233;0.494718;0.3092061,0.01196149;0.1121536;-0.144598,0.1541876;0.2342597;0.02310865,-0.01358382;-0.002295852;0.0325587,0.2855726;0.07861346;0.1005075,-0.01787607;1.020567;0.0954014,-0.02354043;1.123678;0.07731746,-0.02855759;1.239589;0.06171768,-0.03132676;1.363822;0.06624045,-0.08640476;0.9605439;0.309841,-0.1621334;0.9800092;0.3281526,-0.1951544;0.9188731;0.2976692,0.2790757;0.7430575;0.09026795,0.3408163;0.794009;0.0966764,0.3547129;0.8012612;0.02243649,0.02701146;0.002927542;0.003454216,-0.05176148;0.00338757;-0.02262456,0.2371542;0.07651883;0.08733267,0.2929112;0.1297963;0.05736326,-0.009948513;0;0.1026456
1,-0.02342123;1.657883;0.3478537,-0.05677031;1.684244;0.3081476,0.003026616;1.68418;0.3032153,-0.1088789;1.651746;0.2242379,0.04061329;1.651588;0.211907,-0.2228289;1.455096;0.1774933,0.1463465;1.44197;0.1664616,-0.324964;1.136442;0.1612597,0.2496348;1.1466;0.06391774,-0.2154974;1.021737;0.3535656,0.3329323;0.9134509;0.09264162,-0.09155864;0.8952459;0.1918245,0.07516092;0.914459;0.2181633,-0.04095384;0.4456491;0.1011669,0.1268;0.5118502;0.4376084,0.01732992;0.1368796;-0.126678,0.1927012;0.1770657;0.2526072,-0.00629532;0.01711243;0.03514482,0.3095172;0.0479992;0.3837008,-0.02041159;1.024425;0.1950728,-0.02776799;1.127132;0.1753708,-0.03367374;1.242898;0.1590236,-0.03652771;1.367121;0.1637646,-0.06972712;0.9973081;0.4185633,-0.1441496;1.017084;0.4413503,-0.1781887;0.9531814;0.4186549,0.2970233;0.7601639;0.1283238,0.3592236;0.8107878;0.1324887,0.3657689;0.8237227;0.05800968,0.03431228;0.02273494;0.006132051,-0.04432878;0.02103287;-0.02029087,0.2632549;0.04192811;0.3651198,0.3235447;0.08672512;0.3304232,-0.008198867;0;0.2049938
2,-0.02171657;1.649713;0.4495623,-0.05485033;1.676579;0.4100144,0.004955646;1.676255;0.4052033,-0.1069473;1.64506;0.3257252,0.0425675;1.644252;0.3136972,-0.222721;1.451223;0.2813049,0.1463894;1.438019;0.2656505,-0.3333879;1.135268;0.2748348,0.2584392;1.161876;0.1303823,-0.2031066;1.046783;0.4680157,0.3495225;0.9305327;0.1478892,-0.08785006;0.8875017;0.2909634,0.07607068;0.9100754;0.3294172,-0.03841718;0.4403075;0.1885391,0.1394758;0.5083382;0.5473703,0.01679258;0.1767546;-0.09099761,0.2229091;0.1332573;0.4925777,-0.006517958;0.03920889;0.04320323,0.3223015;0.02724785;0.654985,-0.01949055;1.018018;0.2981745,-0.02699138;1.120461;0.2771917,-0.0328804;1.236111;0.2600413,-0.03578132;1.360343;0.2645344,-0.05344792;1.03064;0.526429,-0.127136;1.049879;0.5519038,-0.1603656;0.9837217;0.5352827,0.3161476;0.7748238;0.1743548,0.3777856;0.8259114;0.1806653,0.3828321;0.8436297;0.1070592,0.03471048;0.04880565;0.0161764,-0.04298191;0.04681534;-0.01289976,0.277974;0.01859963;0.6330168,0.3426845;0.05612814;0.5976663,-0.005889709;0;0.3101902
3,-0.0185116;1.627803;0.5503458,-0.05145314;1.655444;0.5111742,0.008360364;1.654946;0.5064734,-0.1035146;1.625513;0.4262862,0.04601908;1.624266;0.4145341,-0.2210801;1.434323;0.3853738,0.1473253;1.420844;0.3623874,-0.34421;1.123607;0.3869637,0.2684252;1.17147;0.1943598,-0.1951596;1.063765;0.5775539,0.3656518;0.9423417;0.2073754,-0.08644076;0.8676518;0.3944026,0.07627895;0.8906424;0.4374377,-0.04302963;0.4157073;0.3120697,0.1625343;0.4809715;0.6314645,0.01521859;0.2247986;-0.02081153,0.2408511;0.1119118;0.7226269,-0.01615012;0.04475307;0.06349874,0.3202674;0.02548653;0.9062552,-0.01834099;0.9982569;0.4024246,-0.02529782;1.100505;0.3803334,-0.03086597;1.216005;0.3620976,-0.03389356;1.340265;0.3656057,-0.04249609;1.055668;0.6295033,-0.1153619;1.075174;0.6570554,-0.147584;1.007177;0.6472874,0.3342799;0.7851289;0.2263368,0.395105;0.8367336;0.2356262,0.4006198;0.8578805;0.1629649,0.02658155;0.06328332;0.04471111,-0.04905902;0.07310462;0.01203784,0.2779793;0.01510894;0.8812283,0.3470997;0.04623878;0.8480802,-0.005080917;0;0.4159201
4,-0.01734268;1.595598;0.6466748,-0.04977354;1.624133;0.6077179,0.01005203;1.622999;0.6032891,-0.1017696;1.595926;0.5222017,0.04779446;1.593093;0.5111299,-0.2207653;1.406328;0.48349,0.1467875;1.397517;0.4550874,-0.3502298;1.098463;0.4921211,0.274462;1.178675;0.2571268,-0.1872378;1.070773;0.6786385,0.3767464;0.9518047;0.270914,-0.08561477;0.8379619;0.4910136,0.07516615;0.8606178;0.5409586,-0.05324316;0.3805132;0.4399273,0.1824971;0.4615191;0.7461827,0.02630984;0.2435679;0.08557403,0.258219;0.1111804;0.8951057,-0.02971258;0.05755651;0.1414085,0.3269068;0.02348691;1.082048,-0.01742054;0.9683642;0.5012326,-0.023334;1.070472;0.4782096,-0.02870553;1.185815;0.4589478,-0.03278;1.310069;0.4614566,-0.03162302;1.07277;0.721656,-0.1033563;1.093524;0.7511963,-0.1338583;1.024049;0.7514106,0.3479411;0.7941293;0.2901049,0.407943;0.8467169;0.2992339,0.4129958;0.8678663;0.2265397,0.01628876;0.07413518;0.1299475,-0.05398698;0.09547329;0.0913277,0.286893;0.01229656;1.053835,0.3572282;0.04608691;1.026327,-0.005224327;0;0.5159861
5,-0.02324703;1.556323;0.7377148,-0.05526663;1.58556;0.698939,0.004561443;1.583908;0.6947106,-0.1072138;1.558723;0.6129534,0.04235631;1.554594;0.6023827,-0.2259559;1.370682;0.5722014,0.1404108;1.372732;0.54469,-0.3533274;1.061534;0.5872589,0.2751918;1.184626;0.3234192,-0.1820535;1.068056;0.7682133,0.3864416;0.9624717;0.3432423,-0.08366856;0.8003041;0.5749661,0.07159348;0.8261635;0.6388667,-0.06015817;0.3410057;0.5374262,0.1727172;0.4615495;0.9029639,0.05277574;0.2558676;0.1759757,0.2818041;0.109738;1.025348,-0.02612419;0.06396735;0.1652877,0.3473959;0.01479679;1.208765,-0.01899028;0.9319866;0.5903304,-0.02473273;1.033897;0.5664063,-0.03057075;1.149146;0.5467223,-0.03633649;1.273329;0.5494212,-0.02532103;1.085213;0.8030127,-0.09705161;1.104748;0.8333795,-0.1226161;1.033998;0.8432841,0.3579309;0.8054219;0.3673695,0.4181232;0.8581812;0.3738766,0.4217899;0.877292;0.3005377,0.02192884;0.07850432;0.1639044,-0.04211025;0.1194192;0.1305807,0.3097007;0.002726316;1.17785,0.3788638;0.04259521;1.156115,-0.00603755;0;0.6069164
6,-0.04591337;1.516235;0.8199938,-0.07739024;1.545573;0.7808523,-0.0175146;1.543851;0.777397,-0.1282529;1.518938;0.6941587,0.02143628;1.514631;0.6855207,-0.2458859;1.334774;0.6467477,0.1177268;1.351565;0.6285638,-0.3717991;1.024419;0.665814,0.2601365;1.183758;0.394672,-0.1942496;1.051587;0.838614,0.3826866;0.9684094;0.4216692,-0.07888284;0.7591369;0.6493914,0.06635343;0.7979988;0.7284765,-0.06344439;0.2982127;0.634306,0.1385299;0.4662602;1.040977,0.07630411;0.2818506;0.2725719,0.2980836;0.1172369;1.099066,-0.009153198;0.09445822;0.2071502,0.3641903;0.014346;1.276416,-0.02634645;0.8956774;0.6682657,-0.03638687;0.9967752;0.6423917,-0.04563392;1.111751;0.6224193,-0.05399803;1.23575;0.6264746,-0.04021623;1.089092;0.8692331,-0.1136145;1.104415;0.897989,-0.1315508;1.033029;0.9164139,0.350779;0.8123826;0.448072,0.4119464;0.8640355;0.4543591,0.4167644;0.8818426;0.3807591,0.03862387;0.1064218;0.2169766,-0.0193254;0.1581551;0.1878039,0.3277543;0.002418399;1.243974,0.39567;0.04616123;1.226099,-0.006264734;0;0.6889339
7,-0.06032291;1.486635;0.9099348,-0.08978853;1.514259;0.8680744,-0.02984892;1.511714;0.8672029,-0.1373984;1.483748;0.7808123,0.01245081;1.477385;0.7786337,-0.2600718;1.311436;0.7250867,0.1030441;1.320252;0.7152135,-0.3846313;0.9982156;0.7202589,0.2575518;1.164758;0.4808494,-0.2096261;1.014083;0.8970164,0.3865667;0.9552757;0.5207813,-0.07667839;0.7272136;0.7123678,0.06244351;0.7772982;0.7960035,-0.06425963;0.2671419;0.7454877,0.110829;0.4644612;1.131725,0.08355705;0.2984315;0.3879681,0.3055126;0.1287225;1.136911,0.02763095;0.09836441;0.3216861,0.3742547;0.02178508;1.309516,-0.03479687;0.867384;0.7312842,-0.04989364;0.9679157;0.7056613,-0.06183248;1.083316;0.6900409,-0.06939469;1.206809;0.7024681,-0.0592729;1.06561;0.9254662,-0.1338168;1.076621;0.9532334,-0.146049;1.00522;0.9758057,0.3575105;0.7986526;0.5469445,0.4164279;0.8522725;0.5570761,0.4262588;0.8693361;0.4837996,0.07275952;0.117337;0.3329014,0.008358504;0.160008;0.3026162,0.3382727;0.009852111;1.276573,0.4050983;0.05583382;1.260278,-0.007117491;0;0.7541856
8,-0.06971889;1.462405;1.015494,-0.09330769;1.490287;0.9702188,-0.03379454;1.484987;0.9757054,-0.1329869;1.459802;0.8790681,0.01579589;1.446553;0.8927846,-0.2710398;1.29811;0.826598,0.09544855;1.274485;0.8060286,-0.3785397;0.9813468;0.7681174,0.2612916;1.110157;0.5903803,-0.216176;0.9533085;0.95513,0.3847496;0.9005849;0.6447845,-0.09555409;0.7156031;0.7581529,0.05012017;0.763884;0.8309969,-0.06871701;0.270222;0.8757646,0.1093337;0.4622203;1.175104,0.07787903;0.2688209;0.516381,0.3065701;0.1287277;1.152092,0.07824185;0.05388176;0.4897095,0.3782773;0.01389885;1.316731,-0.05198786;0.8553354;0.7764963,-0.06878608;0.9569078;0.7566994,-0.08055983;1.073304;0.7525684,-0.08430753;1.194063;0.7819861,-0.0658568;0.9973374;0.9943222,-0.1411271;1.007308;1.020476,-0.1558669;0.9342442;1.034677,0.3663108;0.7436551;0.6778386,0.4196087;0.8025826;0.6894954,0.4342952;0.8165218;0.6163703,0.1165313;0.08558816;0.4968475,0.04520742;0.1035289;0.4584218,0.342088;0.00321281;1.283588,0.4084608;0.05035281;1.268825,-0.02271702;0;0.7945749
9,-0.09980015;1.436403;1.111605,-0.1155483;1.467182;1.064826,-0.05772245;1.460106;1.079182,-0.1409959;1.442477;0.9670795,0.003568828;1.424788;1.00297,-0.2914662;1.292342;0.9159013,0.07491042;1.251878;0.8888891,-0.3822841;0.9784151;0.8169335,0.2639059;1.053292;0.7317436,-0.2430932;0.874153;0.9954751,0.3906552;0.8477688;0.7935255,-0.1293898;0.7197131;0.7935684,0.02493899;0.7626386;0.8501222,-0.07978742;0.3065429;0.9929352,0.1150309;0.4632075;1.189447,0.07934529;0.2194459;0.6498028,0.3058562;0.1267319;1.157526,0.09693719;0.01542675;0.6933621,0.3819418;0.004140258;1.311364,-0.08101569;0.857864;0.8118411,-0.09824464;0.9605615;0.7996989,-0.1089208;1.076903;0.8070865,-0.1089255;1.193173;0.8511696,-0.09991634;0.8828231;1.069608,-0.1778819;0.8926419;1.086161,-0.1997235;0.8216021;1.070879,0.3836235;0.6915398;0.8335586,0.4287453;0.7563088;0.8483242,0.4516804;0.7682017;0.7769814,0.1328682;0.05034745;0.6899198,0.0640015;0.04688644;0.6437581,0.3451585;-0.005184352;1.278465,0.4111867;0.04268426;1.264523,-0.05222544;0;0.8218453
