Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.1342534;1.601818;0.1454815,-0.1442024;1.629642;0.09537669,-0.09115227;1.633828;0.1230923,-0.1405825;1.601968;-0.004789852,-0.007957175;1.612435;0.0644993,-0.2516545;1.424833;-0.06566691,0.112791;1.392319;-0.02089302,-0.3777431;1.122513;-0.1188103,0.2367436;1.091396;-0.03319593,-0.3387277;0.9697579;0.07423221,0.1319462;0.968773;0.1568131,-0.1786775;0.8767741;-0.07054015,-0.01068553;0.8635743;-0.09205169,-0.1605555;0.4296477;0.042006,0.0836691;0.4160849;-0.0306742,-0.1767337;0.100687;-0.1633523,-0.1151837;0.3088702;-0.3462874,-0.2239185;-0.01003987;0.01691741,-0.01254632;0.1293488;-0.4108948,-0.08445525;0.9901816;-0.07507072,-0.07831333;1.094671;-0.08101762,-0.07382633;1.211643;-0.08215676,-0.07209118;1.334244;-0.06146982,-0.2051727;0.9273115;0.154431,-0.2796058;0.9534752;0.1694048,-0.3165352;0.8946049;0.1389459,-0.007771201;0.912876;0.2152442,0.05979855;0.9474826;0.2414307,0.1074787;0.8926603;0.2195582,-0.1805235;-0.00592947;-0.008028597,-0.2563141;-0.00246495;-0.04163324,-0.05906533;0.1352395;-0.3929058,-0.01551351;0.1927363;-0.4334379,-0.09468149;0;-0.08129591
1,-0.2128512;1.611472;0.08346947,-0.2221153;1.639583;0.03339361,-0.1695355;1.643811;0.0619853,-0.2167684;1.612586;-0.06688,-0.0853188;1.623156;0.004599124,-0.3242288;1.433072;-0.1340326,0.03686148;1.403277;-0.07085715,-0.4546673;1.146488;-0.2316193,0.156098;1.102402;-0.03497882,-0.4411539;0.9826828;-0.04425055,0.02055275;1.006802;0.1510602,-0.2510812;0.8845402;-0.1147376,-0.08437998;0.8721859;-0.1450089,-0.1879486;0.4426615;0.002200484,-0.05897865;0.4114567;-0.1449875,-0.1734917;0.09117788;-0.1618096,-0.2756883;0.3390061;-0.458734,-0.2221883;-0.02000636;0.01879941,-0.1993484;0.1617999;-0.5576563,-0.1579003;0.9984555;-0.124749,-0.1526565;1.102916;-0.1319245,-0.1488044;1.219867;-0.1353141,-0.1473519;1.342985;-0.1179373,-0.3170924;0.9353901;0.04763284,-0.3933697;0.9591874;0.05566414,-0.4250335;0.9026197;0.01623389,-0.1276354;0.9603364;0.1951147,-0.06329764;0.9967564;0.2264716,-0.01480542;0.9390131;0.2180166,-0.1786022;-0.01568705;-0.005775638,-0.2541311;-0.01195884;-0.03993672,-0.2432306;0.1694692;-0.5344647,-0.1970884;0.2278374;-0.5706524,-0.1677306;0;-0.1298732
2,-0.2945902;1.629594;0.01964238,-0.303032;1.658308;-0.03023565,-0.250946;1.662221;-0.0007104874,-0.2959697;1.632543;-0.130727,-0.1657547;1.642325;-0.05691406,-0.3990976;1.45497;-0.2024518,-0.0418821;1.424431;-0.1197236,-0.5243887;1.182491;-0.3374341,0.06882976;1.126815;-0.04694408,-0.531894;1.015015;-0.1529967,-0.09326079;1.060373;0.1303532,-0.3217479;0.901211;-0.1607268,-0.1566111;0.8914459;-0.1993634,-0.2357008;0.4558855;-0.07588488,-0.2046367;0.4353879;-0.2505624,-0.1712086;0.08342725;-0.164002,-0.4197402;0.3622608;-0.5652559,-0.2172967;-0.02726227;0.01828533,-0.3945366;0.1751368;-0.6722163,-0.2312603;1.016622;-0.1765996,-0.2278667;1.121033;-0.1854193,-0.2249766;1.237911;-0.1913479,-0.2238329;1.361461;-0.1773459,-0.4180614;0.9586761;-0.05330452,-0.4939991;0.9846722;-0.05071469,-0.5236885;0.9313847;-0.09583902,-0.2463915;1.018023;0.1589385,-0.1863796;1.057633;0.1946967,-0.1377562;0.9995078;0.1985029,-0.1740551;-0.02282763;-0.006870851,-0.250045;-0.01925373;-0.04001084,-0.4335608;0.1921043;-0.6455418,-0.377728;0.2391984;-0.684405,-0.2391795;0;-0.1800451
3,-0.3734846;1.652554;-0.04537497,-0.3815525;1.681705;-0.09506162,-0.3299817;1.685988;-0.06469549,-0.3726064;1.657153;-0.1957067,-0.2436792;1.667861;-0.1197914,-0.4694027;1.480944;-0.274573,-0.1178719;1.448462;-0.1714327,-0.5831814;1.21817;-0.435101,-0.01529142;1.156029;-0.07335962,-0.6074964;1.047168;-0.2554097,-0.1959845;1.110617;0.09220012,-0.4006434;0.9276082;-0.2219777,-0.236076;0.9145465;-0.2620434,-0.2927161;0.4839368;-0.1554611,-0.3448766;0.4752411;-0.3519868,-0.179064;0.1129556;-0.145208,-0.546627;0.3655176;-0.664887,-0.2133024;0.0004665852;0.02321048,-0.5851741;0.1713192;-0.7541209,-0.3080465;1.041196;-0.2388075,-0.3028809;1.145522;-0.2477812,-0.2984758;1.262343;-0.2538763,-0.2969371;1.385922;-0.2401694,-0.5027598;0.9825791;-0.1508683,-0.5783056;1.00976;-0.1526145,-0.6050076;0.9599726;-0.2032648,-0.3522726;1.074094;0.109511,-0.2943279;1.11403;0.1481967,-0.2480823;1.054923;0.1593767,-0.1715588;0.003594279;-0.004538536,-0.2492902;0.004559517;-0.03356235,-0.6159451;0.2020056;-0.7289452,-0.54944;0.2254528;-0.772221,-0.3183597;0;-0.2420105
4,-0.4558821;1.675621;-0.1069987,-0.4637482;1.704511;-0.1568701,-0.4125125;1.709392;-0.1260308,-0.4536105;1.679672;-0.2573316,-0.325521;1.691876;-0.1802334,-0.5452529;1.504823;-0.340669,-0.1983672;1.471726;-0.2234395,-0.6491441;1.251863;-0.520964,-0.1002919;1.186419;-0.1051532,-0.6843172;1.076841;-0.3470332,-0.2933008;1.157878;0.0499441,-0.4817997;0.9509513;-0.2887737,-0.3171304;0.9373008;-0.3282194,-0.3652523;0.5128257;-0.2028683,-0.4722096;0.5213851;-0.4542401,-0.243943;0.1509685;-0.1322104,-0.6650293;0.3517819;-0.7452801,-0.2332527;-0.004887164;0.01642406,-0.7544261;0.165592;-0.8128533,-0.3881205;1.064051;-0.3026377,-0.382091;1.16848;-0.3096569,-0.3769011;1.285335;-0.3143481,-0.3751241;1.408845;-0.3000642,-0.5842493;1.005962;-0.2419948,-0.6596446;1.033398;-0.2454343,-0.6841143;0.986734;-0.3000321,-0.4514941;1.126713;0.05789545,-0.3949615;1.166162;0.09908846,-0.3514983;1.106093;0.1152144,-0.196703;0.02330059;-0.00337252,-0.2660756;-0.0004586577;-0.04221109,-0.776006;0.2069019;-0.794142,-0.7038072;0.2043905;-0.8344722,-0.399465;0;-0.3084965
5,-0.534785;1.693651;-0.1684206,-0.5424875;1.722307;-0.2184519,-0.491465;1.727559;-0.1873213,-0.5316169;1.697127;-0.3187516,-0.4040605;1.710258;-0.2409251,-0.6215041;1.522877;-0.403665,-0.2772608;1.489889;-0.2788502,-0.7189654;1.277424;-0.5963597,-0.1824157;1.21268;-0.1426444,-0.7576122;1.098207;-0.4275121,-0.3832182;1.196516;0.004118502,-0.5652043;0.9691644;-0.3590724,-0.4003106;0.9545758;-0.3972241,-0.4409768;0.5381896;-0.2506968,-0.5848671;0.5676766;-0.5680003,-0.3135853;0.1846334;-0.1536484,-0.7788756;0.3299989;-0.8057376,-0.27641;0.04636157;0.01059908,-0.8888808;0.1477165;-0.8498995,-0.4698183;1.081339;-0.367906,-0.4624366;1.185844;-0.3717982,-0.4559984;1.302699;-0.3745114,-0.4532537;1.426142;-0.3598018,-0.6593361;1.025892;-0.3217633,-0.734957;1.052514;-0.3264318,-0.7574675;1.006954;-0.3827771,-0.5416101;1.165363;0.00306204,-0.4879034;1.206866;0.04598227,-0.4456398;1.147741;0.06778404,-0.24479;0.07661295;-0.0140456,-0.3131777;0.04181963;-0.0456374,-0.9056042;0.1931728;-0.8366189,-0.8344461;0.1776633;-0.8758805,-0.4827574;0;-0.3781483
6,-0.6158319;1.704017;-0.2313117,-0.6233537;1.732633;-0.2813936,-0.5725063;1.738034;-0.250003,-0.6118993;1.707443;-0.3816259,-0.484781;1.720947;-0.3031493,-0.701809;1.532971;-0.4666167,-0.3580741;1.500558;-0.3396375,-0.7964455;1.290038;-0.6634212,-0.26101;1.231258;-0.1925266,-0.8312161;1.106296;-0.4986438,-0.4637375;1.219986;-0.04796928,-0.6504895;0.9809249;-0.4296205,-0.4853722;0.964805;-0.4661545,-0.5302634;0.5567484;-0.2934698,-0.6752024;0.5874217;-0.6517966,-0.4062198;0.198889;-0.2086238,-0.8723329;0.3123861;-0.8419123,-0.3452047;0.0740689;-0.04110059,-0.9827659;0.1259253;-0.8560429,-0.5533427;1.091825;-0.4344429,-0.5446184;1.196288;-0.4360272,-0.5371684;1.313107;-0.437245,-0.5338724;1.436495;-0.4221853,-0.7328836;1.035702;-0.3917903,-0.8091673;1.060104;-0.3976564,-0.8291923;1.014563;-0.4549479,-0.621579;1.186291;-0.05118042,-0.569554;1.230759;-0.009168386,-0.5269656;1.173493;0.01660109,-0.3174888;0.1010752;-0.07311368,-0.3906524;0.06580567;-0.09010309,-0.9983259;0.1717777;-0.8427109,-0.9345753;0.1552761;-0.8928012,-0.5679308;0;-0.4478875
7,-0.6943296;1.703812;-0.2967268,-0.7016923;1.732659;-0.346699,-0.6508114;1.73765;-0.3152947,-0.6903936;1.707784;-0.4470274,-0.5631915;1.72026;-0.3685166,-0.7812227;1.53378;-0.53078,-0.436564;1.500017;-0.4055135,-0.881907;1.284467;-0.7174583,-0.3326088;1.23182;-0.2626337,-0.9131937;1.093977;-0.5597995,-0.5304937;1.21727;-0.1117957,-0.7355559;0.9840868;-0.496057,-0.5708674;0.9637913;-0.5324448,-0.6280973;0.560801;-0.3470641,-0.7591406;0.5844932;-0.7157556,-0.5244278;0.1911305;-0.2900969,-0.9431771;0.2767538;-0.8643356,-0.4551135;0.06022936;-0.1306371,-1.063089;0.09045416;-0.8520753,-0.6358194;1.092623;-0.50173,-0.6249959;1.196881;-0.5037764,-0.6160902;1.3136;-0.5048259,-0.6123642;1.436882;-0.4890195,-0.8144102;1.022114;-0.4542154,-0.8910466;1.045416;-0.4599512,-0.9099404;1.001132;-0.5185962,-0.6882232;1.183184;-0.1074187,-0.6343814;1.227916;-0.06806087,-0.5904736;1.170839;-0.04415429,-0.4291705;0.08464766;-0.1660354,-0.5068917;0.05656606;-0.1735396,-1.073567;0.1371276;-0.8367749,-1.019385;0.1169158;-0.8959469,-0.6532115;0;-0.5142509
8,-0.7657735;1.690997;-0.3670507,-0.7727818;1.719433;-0.4173092,-0.7220205;1.724475;-0.38572,-0.7611445;1.693618;-0.5173612,-0.6342414;1.706223;-0.4383883,-0.8553239;1.522649;-0.5986907,-0.5089306;1.484435;-0.4792649,-0.9720094;1.262916;-0.7619116,-0.3944299;1.215193;-0.3481443,-1.006277;1.066947;-0.6117669,-0.5806402;1.193897;-0.1838444,-0.8248695;0.9765731;-0.5645757,-0.6616423;0.9484773;-0.6023354,-0.7264216;0.5654097;-0.379725,-0.8369751;0.5590187;-0.7769696,-0.670437;0.1818423;-0.3994927,-1.008943;0.240557;-0.9171777,-0.6215982;0.03670424;-0.2448428,-1.081453;0.0468657;-0.8592649,-0.720726;1.080622;-0.5739341,-0.7059141;1.18434;-0.577701,-0.6935538;1.300744;-0.578815,-0.687285;1.423684;-0.5612519,-0.9082074;0.9895014;-0.5095167,-0.984145;1.015327;-0.5134617,-1.005337;0.9730816;-0.5728207,-0.7374563;1.160098;-0.1657912,-0.6798868;1.203298;-0.1301748,-0.6342618;1.145311;-0.1124805,-0.5926136;0.05701214;-0.2804771,-0.6742613;0.0433917;-0.2862784,-1.104919;0.09126931;-0.8593357,-1.043301;0.06933194;-0.9100058,-0.7432558;0;-0.5834555
9,-0.8347899;1.671638;-0.4367717,-0.841655;1.698662;-0.4878225,-0.7909183;1.704451;-0.456322,-0.8299689;1.669998;-0.5870901,-0.7031273;1.68447;-0.5083387,-0.9301792;1.502493;-0.665067,-0.5807326;1.45921;-0.5578874,-1.06147;1.232908;-0.7999778,-0.4524726;1.191859;-0.4392913,-1.096395;1.03679;-0.650178,-0.6206986;1.163033;-0.2576562,-0.9140238;0.9593994;-0.6368638,-0.7517537;0.9266168;-0.6749693,-0.8200351;0.5632435;-0.4197376,-0.9029679;0.51963;-0.8312148,-0.8343416;0.1909709;-0.5286295,-1.062468;0.1974699;-0.9775765,-0.8236631;0.03689682;-0.3752863,-1.067269;0.02473837;-0.8631856,-0.8071238;1.06051;-0.6472852,-0.7895086;1.163775;-0.6514193,-0.7740502;1.279812;-0.6520041,-0.7640822;1.40226;-0.6327858,-0.9967449;0.9566084;-0.5516331,-1.071625;0.9856191;-0.5522685,-1.097497;0.9435144;-0.609845,-0.7748375;1.127807;-0.2251,-0.7138918;1.169625;-0.1937009,-0.6667107;1.111102;-0.183395,-0.7900487;0.05026281;-0.4101251,-0.8724939;0.05607188;-0.4175106,-1.10556;0.05267638;-0.8797866,-1.033903;0.04084325;-0.9194205,-0.8328887;0;-0.6559165
