Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.2526538;1.482881;0.3284567,-0.2858032;1.506953;0.2871613,-0.2307557;1.527831;0.2987313,-0.3053147;1.48426;0.1875791,-0.1676959;1.536457;0.216504,-0.3528558;1.286052;0.1157301,0.00519848;1.379824;0.1307837,-0.3254095;0.9493948;0.1090817,0.2079406;1.147836;0.01461108,-0.1932465;0.828531;0.2824214,0.2906978;0.9152781;0.0491095,-0.08057135;0.7898054;0.03820412,0.07943019;0.8441715;0.05558587,0.1211398;0.3889969;-0.06941618,0.28479;0.4573367;0.2008538,0.3038681;0.1131882;-0.2723668,0.474076;0.2173991;-0.03841554,0.2487113;-0.001658142;-0.1003613,0.6053614;0.1153421;0.1015458,-0.04058367;0.9296279;0.06290814,-0.0740741;1.028959;0.0645527,-0.1108397;1.139969;0.06993474,-0.1487323;1.255607;0.09550896,-0.04663339;0.8362397;0.3496199,-0.1238849;0.8410311;0.3710275,-0.1438073;0.7709082;0.3499769,0.2349908;0.7642078;0.0375311,0.2892736;0.8061597;0.07927336,0.3322485;0.8271009;0.02035041,0.2932272;0.002502859;-0.1232382,0.2190857;0.006435871;-0.1602933,0.5625421;0.09996235;0.0802788,0.6149127;0.1554705;0.0483156,-0.0005706558;0;0.04689503
1,-0.2642886;1.496277;0.3829186,-0.2952242;1.520268;0.3398947,-0.2408242;1.541119;0.3542433,-0.3095787;1.497316;0.2394986,-0.1735787;1.549443;0.27537,-0.3584494;1.300657;0.1726151,2.750591E-05;1.391367;0.1942459,-0.3298416;0.9632951;0.1753967,0.2083541;1.169807;0.0710265,-0.1945656;0.863117;0.3592079,0.2871654;0.935397;0.1020581,-0.07106593;0.8007799;0.1048321,0.08462684;0.8613413;0.1356602,0.1212584;0.4187425;-0.06830297,0.2694784;0.4781134;0.3142182,0.295197;0.133042;-0.265203,0.4729844;0.1761805;0.17979,0.254177;0.003440678;-0.09801,0.5565478;0.08935612;0.3606114,-0.03882171;0.9420292;0.132555,-0.07537053;1.040282;0.1313055,-0.1139705;1.150771;0.1337982,-0.1526399;1.266734;0.156587,-0.04843501;0.8815829;0.4253542,-0.1258331;0.8847777;0.4465291,-0.1428826;0.8125695;0.4306375,0.2291671;0.7860152;0.0825431,0.2825505;0.825266;0.1279148,0.3281663;0.8475586;0.0715276,0.2975862;0.01315182;-0.1213268,0.2225167;0.01293796;-0.1566824,0.5178018;0.07429457;0.3324295,0.5825001;0.1183763;0.3056636,0.006780369;0;0.1202462
2,-0.278151;1.510891;0.4367291,-0.306838;1.534699;0.3920762,-0.2531925;1.555544;0.4090365,-0.3161596;1.511232;0.2912067,-0.1820457;1.563344;0.3336075,-0.3669534;1.314106;0.2320714,-0.008207669;1.402676;0.2574719,-0.338441;0.9764087;0.2446754,0.2036101;1.190796;0.1268413,-0.1998236;0.8962789;0.4356889,0.2787337;0.9557225;0.1617542,-0.06375401;0.8120354;0.178567,0.08613701;0.8791559;0.221993,0.1160558;0.4420781;-0.03051889,0.2580495;0.4870102;0.3939945,0.2826346;0.1676751;-0.2487012,0.431239;0.1396667;0.3913658,0.2531582;0.02253461;-0.09049219,0.475936;0.08765888;0.5975051,-0.03975331;0.9546695;0.2075347,-0.07925549;1.051641;0.2023243,-0.1197624;1.161462;0.2007542,-0.1594648;1.277805;0.2194595,-0.05398082;0.92205;0.5000022,-0.1313653;0.9245501;0.5213193,-0.1466778;0.851159;0.5096354,0.2167906;0.8079815;0.1418736,0.2715873;0.8455763;0.1869621,0.3172024;0.8670796;0.1302687,0.2948597;0.0349198;-0.1155903,0.2175576;0.03759551;-0.1456356,0.4406394;0.06977594;0.5665751,0.5130701;0.1022668;0.543259,0.0111914;0;0.2002801
3,-0.2932857;1.522403;0.4907532,-0.3195096;1.546005;0.4445055,-0.2668308;1.566895;0.4642171,-0.3234257;1.522035;0.3433999,-0.1917289;1.57426;0.392679,-0.3747291;1.323027;0.2915062,-0.01660088;1.411968;0.3229555,-0.3455148;0.9857999;0.3168354,0.1971858;1.207668;0.1859176,-0.2049541;0.9241154;0.513201,0.271254;0.9732765;0.2271088,-0.06253254;0.820564;0.2543592,0.0819016;0.8902541;0.310398,0.105877;0.4639174;0.0148631,0.2374603;0.4945843;0.48974,0.2708027;0.2030104;-0.2204581,0.3590084;0.1379522;0.5829527,0.2502944;0.04360116;-0.08332652,0.364814;0.1192452;0.7992693,-0.0436029;0.963564;0.2852186,-0.08393119;1.059935;0.2764286,-0.125106;1.169365;0.2706271,-0.1659316;1.286001;0.2844583,-0.05889012;0.9550987;0.5746489,-0.1360409;0.9568011;0.5968727,-0.1499828;0.8827459;0.5880014,0.2069805;0.8260651;0.2110682,0.2633639;0.8636257;0.2541857,0.3078015;0.8836775;0.1960436,0.2905572;0.05800986;-0.1096635,0.2117301;0.06254101;-0.1351832,0.3318419;0.100923;0.7661113,0.4111792;0.1183994;0.7504377,0.009684433;0;0.2823786
4,-0.3098395;1.531928;0.5454663,-0.3331814;1.555555;0.4977109,-0.2815061;1.57605;0.5202851,-0.3316009;1.531148;0.3966464,-0.2024126;1.582387;0.4530816,-0.3814664;1.329108;0.3492275,-0.02527439;1.420692;0.3923819,-0.3526738;0.993345;0.3899111,0.1877022;1.217259;0.2523479,-0.2130473;0.9454758;0.5907462,0.2614023;0.9837215;0.2987242,-0.06697817;0.8274574;0.3301423,0.07209064;0.8957587;0.3998062,0.09930345;0.4834372;0.07145801,0.2023789;0.4945329;0.5867806,0.2600141;0.2345892;-0.1793321,0.2929884;0.1451284;0.7294528,0.2515167;0.05973786;-0.07508549,0.2590935;0.1555127;0.9437035,-0.05039602;0.9699634;0.3644451,-0.089546;1.066517;0.3527976,-0.1300867;1.175891;0.3429138,-0.1719301;1.292679;0.3513776,-0.06561872;0.9796143;0.6470474,-0.1420837;0.9808679;0.6715539,-0.1553272;0.9064675;0.6647401,0.1944774;0.8371824;0.2883832,0.2524182;0.875029;0.3291205,0.2958175;0.8926899;0.2694391,0.2896886;0.07837772;-0.1018772,0.2093472;0.08317167;-0.1220708,0.2321087;0.1331067;0.9077576,0.3134672;0.1478397;0.9047213,0.002556136;0;0.3649743
5,-0.3279316;1.535901;0.5983978,-0.3483341;1.559404;0.5492555,-0.2980893;1.579924;0.5748371,-0.3407022;1.534694;0.4485412,-0.2150899;1.585992;0.5124951,-0.3858219;1.330779;0.4005946,-0.03327374;1.424716;0.4627073,-0.3625502;0.9970828;0.4559534,0.1772933;1.216956;0.323453,-0.227797;0.9577496;0.6619054,0.2475149;0.9832317;0.37409,-0.07754252;0.8295988;0.4040861,0.05745795;0.8934372;0.4850665,0.09384538;0.4853508;0.1490633,0.1631912;0.4927082;0.6879296,0.2550759;0.2554559;-0.1188958,0.2393066;0.1415431;0.8346896,0.2604957;0.06265032;-0.06372911,0.1746639;0.1503758;1.041791,-0.06020713;0.9711571;0.4417736,-0.09642126;1.068579;0.4280425,-0.1348553;1.178333;0.4145987,-0.1770433;1.295258;0.4178951,-0.080427;0.9948741;0.7164426,-0.1568868;0.9971325;0.7408931,-0.1699669;0.9224619;0.7376603,0.1775761;0.8378785;0.367716,0.2361816;0.8756641;0.4075488,0.2801038;0.8907037;0.3475327,0.2958024;0.08908445;-0.08775002,0.2140517;0.09396726;-0.1011088,0.153759;0.1273411;1.002361,0.2342741;0.1442872;1.011058,-0.01004238;0;0.4445763
6,-0.3454042;1.530296;0.6463227,-0.3626917;1.553591;0.5959031,-0.314514;1.574643;0.6248114,-0.3480064;1.528989;0.4959463,-0.2275622;1.581622;0.5682169,-0.3880511;1.325345;0.4440531,-0.04021522;1.416873;0.5310419,-0.3744551;0.9926146;0.5048178,0.1692643;1.202677;0.3990802,-0.2507875;0.9579993;0.7184294,0.2304784;0.9684917;0.4585131,-0.09249768;0.8224756;0.4785299,0.03959915;0.8841846;0.565712,0.08363948;0.4505099;0.2698811,0.1346074;0.4862235;0.7790595,0.244602;0.2671458;-0.03197604,0.2143112;0.12823;0.9060909,0.2622955;0.05843717;-0.06252855,0.1323762;0.08423734;1.102283,-0.0731317;0.9642591;0.5143353,-0.1059678;1.062256;0.4967418,-0.1414385;1.172446;0.4793122,-0.182442;1.289835;0.4785346,-0.105101;0.9962826;0.7765698,-0.1824169;1.001027;0.7977543,-0.1965495;0.9264807;0.7983865,0.1545687;0.8262483;0.4505053,0.2133614;0.8617416;0.4921306,0.2599174;0.8744673;0.4335826,0.2949435;0.0951094;-0.07309192,0.2122714;0.1012118;-0.07677382,0.1149973;0.07254583;1.056636,0.1944006;0.0853014;1.076076,-0.02644936;0;0.522121
7,-0.3649718;1.517991;0.6909025,-0.3787454;1.54113;0.639342,-0.332794;1.562406;0.6715257,-0.3569759;1.516395;0.540719,-0.2420976;1.569586;0.6211783,-0.3927217;1.313357;0.4847422,-0.05209256;1.403296;0.5982307,-0.3848179;0.9795116;0.5394919,0.160541;1.179708;0.4864039,-0.2783815;0.9461468;0.7623817,0.2109801;0.9457579;0.5560117,-0.1063974;0.8089551;0.5576286,0.02084804;0.8743695;0.6492138,0.06516923;0.4083166;0.406068,0.1229903;0.4665046;0.8392921,0.2307135;0.2758742;0.080948,0.2165374;0.1062655;0.9494092,0.2457709;0.08128971;-0.01450807,0.1229193;0.002321184;1.115448,-0.08764928;0.9523514;0.5867087,-0.1183756;1.049656;0.5626529,-0.1517307;1.159559;0.5400104,-0.1914612;1.277303;0.5355357,-0.1370941;0.987148;0.8289191,-0.2156582;0.9916239;0.8449404,-0.2291917;0.9169783;0.846393,0.1310444;0.8061121;0.5430121,0.1870018;0.8402629;0.5893966,0.2391743;0.8503526;0.5352349,0.2795291;0.1183158;-0.01107365,0.1971269;0.1278423;-0.01322061,0.1092579;0.005056024;1.067196,0.1865319;0.0124734;1.095818,-0.04277477;0;0.6034212
8,-0.3849046;1.50391;0.733279,-0.3946032;1.526356;0.6804987,-0.3512549;1.548046;0.7158607,-0.3652868;1.500278;0.5842035,-0.2569162;1.554503;0.6726085,-0.3965669;1.301019;0.5220899,-0.06531004;1.385708;0.6633041,-0.3895943;0.9649032;0.5645589,0.1522968;1.150608;0.5891358,-0.306374;0.9231929;0.7957653,0.1903547;0.9182843;0.6709857,-0.1177937;0.793627;0.626417,0.00324659;0.8632625;0.723156,0.03283751;0.3655368;0.5429541,0.08162922;0.4532563;0.9197972,0.2112012;0.2892684;0.2067719,0.2277695;0.09589827;0.959636,0.2080154;0.09642893;0.1056819,0.1414573;-0.02255017;1.119818,-0.1009644;0.9381905;0.650454,-0.130078;1.034595;0.6213069,-0.1617615;1.144241;0.595273,-0.200624;1.262205;0.5892515,-0.1751815;0.967396;0.8788621,-0.2551682;0.9687362;0.8858881,-0.2659796;0.8936523;0.8842187,0.1107418;0.7786848;0.6557093,0.1612169;0.8148491;0.7066349,0.2195897;0.8217342;0.6586508,0.2457367;0.1289401;0.1121976,0.1653172;0.1485019;0.1062357,0.125891;-0.01591253;1.072532,0.2041787;-0.01014721;1.098672,-0.05727366;0;0.6747864
9,-0.409757;1.494349;0.7766333,-0.4149787;1.516579;0.7231339,-0.3747503;1.538415;0.7619262,-0.377679;1.490112;0.6297503,-0.2771081;1.544703;0.7267311,-0.4043075;1.295464;0.5593665,-0.08522129;1.370334;0.7306186,-0.3901666;0.9571586;0.5870461,0.132083;1.125229;0.7066067,-0.3327848;0.8930743;0.8209741,0.1589585;0.8977471;0.8048517,-0.1322231;0.7839856;0.6839775,-0.0168982;0.8571494;0.7849998,-0.01987391;0.3364441;0.6828603,0.04822357;0.4469953;0.9861203,0.1812316;0.3008961;0.352797,0.230323;0.1051352;0.9612107,0.1572394;0.09765941;0.2787301,0.1526533;-0.01019782;1.127954,-0.118096;0.929235;0.7054864,-0.1464631;1.025015;0.6736655,-0.1770054;1.134784;0.6467984,-0.2151734;1.253017;0.6416982,-0.2200229;0.9317958;0.9298585,-0.2999557;0.9319142;0.9221275,-0.308586;0.8570983;0.9128897,0.08428527;0.7555321;0.7887766,0.1262912;0.7965049;0.8436015,0.1909555;0.8012872;0.8041943,0.1984506;0.126139;0.2823198,0.121174;0.153916;0.2703927,0.1347903;-0.004726768;1.081335,0.2141971;0.002112746;1.103545,-0.07456073;0;0.7344886
