Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.05581099;1.597183;0.1440506,0.01393712;1.626513;0.1163022,0.06539716;1.612572;0.08877935,-0.07284803;1.598816;0.06616765,0.0558022;1.563963;-0.002639487,-0.2170791;1.406155;0.02215586,0.147962;1.347369;-0.003121868,-0.4108017;1.142678;0.008125231,0.2185634;1.026662;0.02489708,-0.3469556;0.9671992;0.1732094,0.2080757;0.8502409;0.2006464,-0.1692935;0.8488882;0.06306448,-0.0003392771;0.831206;0.0627552,-0.3633088;0.4521289;0.196695,0.1937087;0.4237213;0.1587667,-0.4468382;0.1225639;0.009455189,0.3064301;0.3583475;-0.2068413,-0.5556271;0.03341061;0.1749854,0.4753082;0.222696;-0.1857311,-0.07240146;0.9589535;0.04702763,-0.06247061;1.060232;0.02182627,-0.05254078;1.174599;-0.001096725,-0.04187308;1.298461;-0.003629506,-0.255484;0.8446296;0.2249792,-0.2909543;0.9106807;0.2537565,-0.3624085;0.8905232;0.2380966,0.1142378;0.7423956;0.2756363,0.1802007;0.7860121;0.2896202,0.2231943;0.7557607;0.2349056,-0.5103101;0.02233738;0.1563822,-0.5743324;0.05279148;0.1132641,0.42934;0.2145071;-0.2042297,0.4683659;0.2874498;-0.2028701,-0.08481635;0;0.06290981
1,-1.299381E-05;1.586389;0.1906199,-0.04228752;1.616313;0.1641425,0.008690879;1.602845;0.1355102,-0.1299294;1.58972;0.1149085,-0.002483442;1.55605;0.04332778,-0.273617;1.393486;0.07754432,0.0900306;1.338229;0.03353752,-0.4547088;1.123186;0.1156794,0.150506;1.013482;0.04462007,-0.3812465;0.9526103;0.2818994,0.1587431;0.8180289;0.1990626,-0.2252905;0.8424351;0.1134343,-0.05679374;0.8219059;0.1066753,-0.3856655;0.4310347;0.2473999,0.09934419;0.4158977;0.2606069,-0.4397065;0.1221489;0.01866838,0.1878879;0.3309731;-0.107628,-0.5433532;0.02604043;0.1839482,0.3403098;0.1793194;-0.07393095,-0.1273157;0.9506713;0.09232772,-0.1172465;1.051649;0.06599846,-0.1080848;1.166023;0.04279636,-0.09858476;1.289994;0.04100793,-0.2897703;0.825564;0.3214185,-0.3157016;0.8944304;0.3535742,-0.3898684;0.8786169;0.3510297,0.07911019;0.701035;0.2767197,0.1472025;0.7431171;0.2831681,0.1785886;0.7201722;0.2180091,-0.4968026;0.01897782;0.1664696,-0.5624239;0.042642;0.1215325,0.293423;0.1747651;-0.09134364,0.3406136;0.2424595;-0.09734488,-0.1410421;0;0.1100548
2,-0.05148248;1.587865;0.2375093,-0.09476122;1.617033;0.2118217,-0.04410572;1.604429;0.1822386,-0.1828411;1.588889;0.1642602,-0.05620229;1.557379;0.09030229,-0.3269326;1.3956;0.1361297,0.03400105;1.339257;0.07397982,-0.4833917;1.117401;0.2180075,0.09084344;1.013753;0.06084988,-0.3966492;0.9540207;0.3850533,0.1088438;0.8045203;0.1950879,-0.2686215;0.8386956;0.1629984,-0.09962129;0.8255856;0.1518028,-0.3991355;0.4109927;0.2768112,0.003489077;0.4235171;0.3533614,-0.4293132;0.1199307;0.02181858,0.06272149;0.2789528;-0.001943886,-0.5277002;0.01876611;0.1874659,0.1971462;0.1174319;0.05469331,-0.1760863;0.951118;0.1393749,-0.1703085;1.052413;0.1129732,-0.1638936;1.167023;0.09001269,-0.1543383;1.290995;0.08868127,-0.3015518;0.8290428;0.4225689,-0.3233286;0.9002895;0.4525468,-0.3973292;0.8851762;0.4598086,0.03190106;0.6829333;0.2682728,0.10286;0.7204567;0.2706935,0.1244608;0.7042072;0.1997947,-0.4804813;0.01508683;0.1707575,-0.547055;0.03285629;0.1245224,0.1493391;0.1158786;0.03938344,0.2040125;0.1750342;0.02049114,-0.1841214;0;0.1574005
3,-0.100029;1.59553;0.285992,-0.1442175;1.624096;0.261194,-0.09404933;1.612089;0.2305514,-0.2329273;1.594746;0.2155717,-0.1075067;1.564727;0.1389653,-0.3765458;1.402622;0.1997679,-0.02009356;1.346763;0.1153889,-0.5042742;1.117407;0.3096761,0.04358962;1.024839;0.08470477,-0.3983237;0.9663764;0.4772647,0.071242;0.8066213;0.2019171,-0.3107022;0.8408992;0.2080672,-0.1413495;0.8338414;0.1967468,-0.4059191;0.3969359;0.2902094,-0.08578871;0.4411792;0.432641,-0.4219217;0.1174996;0.02130736,-0.06755011;0.2149322;0.1177938,-0.5164426;0.01409364;0.1878841,0.04354477;0.05227363;0.2103512,-0.2220889;0.9568933;0.1867909,-0.2193756;1.058761;0.1621591,-0.2154351;1.173741;0.1405277,-0.2067204;1.297779;0.1397271,-0.2961446;0.8478183;0.5169365,-0.3184958;0.9203873;0.543074,-0.3911824;0.9034445;0.5567439,-0.01169991;0.682466;0.2632821,0.06094286;0.7161787;0.2692426,0.08207461;0.7056833;0.1971277,-0.4691063;0.01209986;0.171222,-0.5362881;0.02688318;0.1248158,-0.004655361;0.05474615;0.1964605,0.0573242;0.09822816;0.1630936,-0.2260258;0;0.202407
4,-0.1450348;1.606459;0.336421,-0.1899446;1.634554;0.3123912,-0.1403187;1.622783;0.280789,-0.2793318;1.60428;0.268737,-0.1552669;1.574853;0.1897313,-0.4213255;1.411409;0.2661533,-0.07200974;1.354499;0.1579185,-0.5207279;1.119733;0.3917235,0.002784938;1.039091;0.1142432,-0.3931584;0.984787;0.5579681,0.04063797;0.8150176;0.2166174,-0.3522171;0.8477895;0.2541576,-0.1827058;0.8437321;0.2437776,-0.4115521;0.3924518;0.2995881,-0.1673701;0.4571567;0.495255,-0.4138399;0.1198888;0.02326748,-0.2012714;0.1544015;0.2547575,-0.5093129;0.01293343;0.1866313,-0.1264976;-0.003468812;0.3849353,-0.2653692;0.9656752;0.2362686,-0.2641637;1.06806;0.213755,-0.2619559;1.183368;0.1936802,-0.2545628;1.307495;0.1935264,-0.2804442;0.876222;0.5977119,-0.3074321;0.9478402;0.6220326,-0.37796;0.9258794;0.6393759,-0.04437526;0.6846144;0.2593647,0.02655959;0.718937;0.2748325,0.05439144;0.7150722;0.2043504,-0.4617254;0.01171941;0.1706225,-0.5284228;0.02625877;0.1234469,-0.1733608;0.006710947;0.3700176,-0.1044102;0.02597409;0.3285417,-0.2674614;0;0.2489676
5,-0.1833083;1.617177;0.3858992,-0.2287388;1.645004;0.3625469,-0.1796931;1.633147;0.3300825,-0.3188628;1.614229;0.3208003,-0.1962488;1.584586;0.2396394,-0.4597974;1.420859;0.3331318,-0.1188015;1.36366;0.2016905,-0.5330359;1.124268;0.4681624,-0.03583625;1.053838;0.1472619,-0.3859695;1.003982;0.6294833,0.009396732;0.8250368;0.2351616,-0.3926819;0.8560471;0.3056746,-0.2233099;0.8533153;0.2928703,-0.424453;0.3959846;0.321493,-0.2386887;0.4628836;0.5383154,-0.4102871;0.133799;0.03564873,-0.3373901;0.1115738;0.4060712,-0.5020073;0.01487023;0.1852252,-0.2973355;-0.02571887;0.5668409,-0.3068485;0.9748251;0.2888209,-0.306596;1.077551;0.2678834,-0.305355;1.193036;0.2487669,-0.2981241;1.317172;0.2485429,-0.2629794;0.9058564;0.6657501,-0.2950981;0.9751539;0.6905541,-0.362799;0.9474285;0.7106819,-0.07054342;0.6870414;0.2601899,-0.003147751;0.7236575;0.2839833,0.03001717;0.7274137;0.2158419,-0.4542455;0.01542085;0.169706,-0.5208573;0.02920181;0.1221831,-0.3412138;-0.01012343;0.5480314,-0.270032;-0.01527953;0.5061737,-0.3079959;0;0.2992724
6,-0.2165669;1.625913;0.4355145,-0.2623488;1.653484;0.4125472,-0.2137928;1.641281;0.3794808,-0.3530816;1.622254;0.3724913,-0.2316915;1.591745;0.2898253,-0.4927891;1.429344;0.3991036,-0.1590586;1.37324;0.2491827,-0.5424895;1.129936;0.540977,-0.07440367;1.066385;0.1832201,-0.3781639;1.022254;0.6943504,-0.02285004;0.8335932;0.2558325,-0.4360153;0.8649436;0.3635394,-0.2670169;0.8597087;0.3470946,-0.4476223;0.4037904;0.3525829,-0.3188146;0.4511526;0.5552185,-0.4121052;0.1587783;0.05365732,-0.4673882;0.09261805;0.5499334,-0.4965614;0.02299899;0.1854263,-0.4540249;-0.02852499;0.7288431,-0.3487482;0.982498;0.345511,-0.3475909;1.085287;0.3249171,-0.3457397;1.200749;0.3057061,-0.3374681;1.324815;0.3046337,-0.2466742;0.9338641;0.7254649,-0.2827684;1.000746;0.751407,-0.3472403;0.9681854;0.774654,-0.09803358;0.6916136;0.2716063,-0.0312728;0.7284085;0.2968683,0.0002804697;0.7384511;0.2285982,-0.4487338;0.02707654;0.1706538,-0.5154741;0.04028958;0.1231497,-0.4940814;-0.007527769;0.7070048,-0.4246501;-0.03043705;0.6682755,-0.3515161;0;0.355317
7,-0.247429;1.628964;0.4842788,-0.2935041;1.656404;0.461745,-0.2454081;1.643942;0.4281076,-0.3847891;1.624953;0.4231421,-0.2645491;1.593798;0.3390486,-0.5223622;1.431865;0.460274,-0.1940372;1.376966;0.2980893,-0.552166;1.132201;0.6082391,-0.1128775;1.07166;0.22045,-0.3737062;1.035913;0.7531615,-0.05600661;0.8359625;0.2781957,-0.4835749;0.8722872;0.4246286,-0.3155308;0.8587541;0.4037398,-0.4878061;0.4120187;0.3921916,-0.4085286;0.4418242;0.5782034,-0.4308466;0.189916;0.07902238,-0.5698658;0.1016458;0.6725323,-0.4983077;0.0336991;0.1891835,-0.5659672;-0.01347017;0.8578646,-0.3912154;0.9853699;0.4036134,-0.3864241;1.087893;0.3822348,-0.3822017;1.20309;0.3618479,-0.3726102;1.327037;0.3591533,-0.2357377;0.9553899;0.776639,-0.2741359;1.020107;0.8046807,-0.3351782;0.9838917;0.8315054,-0.1300288;0.6931878;0.2921854,-0.06118017;0.7285461;0.3136026,-0.03569233;0.7426109;0.2435324,-0.4513447;0.04340315;0.1742622,-0.5200168;0.05551541;0.1292853,-0.6030052;0.01342797;0.8372006,-0.5405406;-0.02197826;0.7960902,-0.3995529;0;0.4141842
8,-0.278402;1.627715;0.533078,-0.3247039;1.655355;0.5112663,-0.2768194;1.643496;0.4771132,-0.4161855;1.624226;0.4728691,-0.2964743;1.594578;0.3874863,-0.5505112;1.430126;0.5157762,-0.2248863;1.37844;0.3469743,-0.5643427;1.131121;0.6679274,-0.1495284;1.073357;0.259925,-0.3753312;1.044124;0.8051428,-0.0901925;0.8351957;0.3032942,-0.5288372;0.8777205;0.4830681,-0.362703;0.8542249;0.4565035,-0.5489043;0.4179013;0.4501935,-0.4860209;0.4418617;0.6228347,-0.47631;0.2188223;0.1250066,-0.6526862;0.1158597;0.7516543,-0.5102192;0.03762192;0.2013232,-0.625509;-0.01209354;0.9219539,-0.4305817;0.9851603;0.4593579,-0.4213879;1.087327;0.4377116,-0.4145156;1.202187;0.4161756,-0.4042076;1.326013;0.4114021,-0.2323066;0.9705312;0.8192317,-0.2718202;1.033432;0.8497462,-0.3290421;0.9944136;0.8807374,-0.1654196;0.6932237;0.3189289,-0.09411395;0.7265418;0.33488,-0.07523885;0.7429901;0.2632529,-0.4664151;0.05737811;0.1867209,-0.5389661;0.06581146;0.1473418,-0.6654168;0.01515394;0.9082695,-0.6089635;-0.0166772;0.8568371,-0.4457701;0;0.4697857
9,-0.3109803;1.622096;0.5810984,-0.3575693;1.649752;0.559927,-0.3097033;1.638885;0.5254197,-0.4489259;1.618586;0.5212632,-0.3292609;1.591418;0.4349948,-0.5808955;1.423846;0.5651599,-0.2547805;1.375504;0.3960702,-0.582999;1.126097;0.7207443,-0.1839058;1.071996;0.2985225,-0.3852496;1.048581;0.8511595,-0.1247147;0.8321946;0.3318994,-0.5704842;0.8774815;0.5366331,-0.4060225;0.8466108;0.5073473,-0.6220916;0.4192909;0.5188811,-0.5463853;0.4373748;0.6677871,-0.5413445;0.2430771;0.1826109,-0.726939;0.1184814;0.7956793,-0.5357858;0.0379054;0.2162389,-0.6463987;-0.01172405;0.9357036,-0.4678154;0.9804779;0.511925,-0.455115;1.082252;0.4902028,-0.4461099;1.196788;0.467751,-0.4353729;1.320498;0.4612055,-0.2379789;0.9825425;0.8557177,-0.2785089;1.04359;0.8885744,-0.3313745;1.001951;0.9236267,-0.201574;0.6911415;0.3479089,-0.1288471;0.7227486;0.3605911,-0.1138512;0.7409537;0.2884732,-0.4983781;0.06887615;0.2034398,-0.5769998;0.07444894;0.1774963,-0.694309;0.001773596;0.9290155,-0.6376072;-0.005615771;0.8692178,-0.4882532;0;0.5219902
