Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.0009446293;1.667059;0.1728777,-0.04020407;1.693472;0.1390447,0.01551293;1.682985;0.119407,-0.1167728;1.65994;0.07719737,0.02251983;1.633723;0.02810293,-0.252604;1.480148;0.06041802,0.1099328;1.419842;0.01912814,-0.3170613;1.165808;0.1746505,0.1956591;1.111262;-0.05402581,-0.1242754;1.104423;0.3202091,0.2220098;0.8840548;0.04499247,-0.1753382;0.8956973;0.0465997,-0.01431484;0.9011755;0.100449,-0.1176481;0.4431944;-0.02289819,-0.1205935;0.4636132;0.2012496,0.07664774;0.2841433;-0.3188726,-0.224444;0.09215313;0.1578725,0.1510702;0.07996762;-0.3307972,-0.2469393;-0.02491939;0.331687,-0.09673394;1.018847;0.06697746,-0.09300602;1.122011;0.04869737,-0.08672939;1.23729;0.02932656,-0.07778557;1.361264;0.02577104,0.03201031;1.072481;0.3452073,-0.02493466;1.122709;0.3713498,-0.07147226;1.070043;0.3999476,0.1239204;0.7558445;0.04450396,0.1889616;0.7827241;0.08318444,0.2350767;0.7856959;0.02300268,0.1739626;0.121902;-0.3153127,0.1140484;0.11765;-0.3725639,-0.2776804;-0.02025503;0.2922466,-0.1952116;-0.01399058;0.2899764,-0.09482653;0;0.07352433
1,-0.07840586;1.650003;0.222998,-0.1170954;1.67544;0.1877881,-0.06110977;1.664273;0.1693244,-0.1927901;1.640168;0.1258328,-0.05282612;1.61225;0.07967344,-0.3270622;1.457242;0.09981423,0.03715025;1.397867;0.07412529,-0.3961922;1.13897;0.1995739,0.1164694;1.083398;0.01700774,-0.214203;1.070834;0.3556484,0.1302664;0.8566631;0.1195893,-0.2497607;0.8768981;0.1012644,-0.0893282;0.882562;0.1568307,-0.2619989;0.4162195;0.07797408,-0.1909814;0.4498127;0.2805693,-0.05444545;0.3015345;-0.2293007,-0.2310778;0.09102386;0.1380495,-0.0448993;0.0873214;-0.2665662,-0.2322249;-0.01713717;0.3262578,-0.1700377;0.9998457;0.1182274,-0.1652777;1.102439;0.09718042,-0.1584199;1.217485;0.07665735,-0.1498482;1.341508;0.07402422,-0.05993993;1.037135;0.3893782,-0.1184158;1.086376;0.4139715,-0.1668004;1.032675;0.4370438,0.03207998;0.7285378;0.1178786,0.09493633;0.7566559;0.1592004,0.1443202;0.7576293;0.1016022,-0.01259516;0.1174899;-0.2427202,-0.06275517;0.1396627;-0.3049924,-0.2662362;-0.01619798;0.2893165,-0.1851273;-0.002510309;0.280401,-0.1695444;0;0.1290475
2,-0.1583073;1.637148;0.2740553,-0.1965062;1.661552;0.2376013,-0.1401265;1.650349;0.220401,-0.2708437;1.624435;0.1750829,-0.1298945;1.596429;0.1320824,-0.4037052;1.437572;0.1397083,-0.03821632;1.381033;0.1284836,-0.4767643;1.114298;0.2171631,0.03052855;1.058807;0.101305,-0.3170846;1.024885;0.3863657,0.02994457;0.8338674;0.2086543,-0.321425;0.8613271;0.1482856,-0.1604238;0.8688505;0.2019542,-0.4065367;0.4089114;0.1797977,-0.2437242;0.4330956;0.328822,-0.1965389;0.2979081;-0.1271682,-0.2223595;0.09280646;0.1433609,-0.2674048;0.09915334;-0.1804757,-0.2334009;-0.01949561;0.3294659,-0.2422905;0.9850121;0.1624061,-0.2383744;1.087462;0.1405024,-0.2322299;1.202699;0.1208449,-0.2243968;1.326799;0.1210866,-0.1704772;0.9764119;0.4335576,-0.2272372;1.028964;0.4551345,-0.2818807;0.9783375;0.4695665,-0.0649527;0.703407;0.202801,-0.007881626;0.7352633;0.2494605,0.04785448;0.7343982;0.1979823,-0.2264004;0.1131568;-0.1550813,-0.2640191;0.1571473;-0.2145385,-0.266865;-0.01512921;0.2922718,-0.1849023;-0.006975532;0.2844537,-0.2409244;0;0.1751199
3,-0.2391818;1.632717;0.3259118,-0.2766937;1.656482;0.2883393,-0.2198061;1.645681;0.2726188,-0.3491213;1.618192;0.2243052,-0.2069024;1.591189;0.185004,-0.4797217;1.426601;0.1811117,-0.113026;1.376207;0.1854554,-0.5531208;1.098482;0.2319377,-0.05790353;1.048776;0.1924213,-0.4206238;0.9835538;0.4090189,-0.07408005;0.8283844;0.3076961,-0.3912353;0.8552743;0.1862016,-0.2312243;0.8632065;0.2426982,-0.5361543;0.4269726;0.2782525,-0.2848853;0.4193854;0.3569787,-0.3449699;0.274031;-0.0229225,-0.2209802;0.1000296;0.1458458,-0.4750865;0.1058369;-0.06926528,-0.2329387;-0.01213396;0.331974,-0.3132033;0.9792997;0.2031819,-0.3097222;1.082071;0.1827605,-0.3043658;1.197682;0.1651763,-0.2981228;1.321838;0.1680865,-0.2872584;0.9134229;0.4670346,-0.3400609;0.9703736;0.487468,-0.4013477;0.9257314;0.4903415,-0.1634176;0.6942071;0.2990409,-0.1153143;0.7322058;0.3509179,-0.0521192;0.729164;0.3090322,-0.4304706;0.106847;-0.04622757,-0.4562426;0.1601042;-0.1044081,-0.2660058;-0.008206904;0.294378,-0.1840553;0.0008822083;0.2875223,-0.3112298;0;0.2144499
4,-0.3125162;1.635364;0.3808278,-0.3493509;1.659034;0.3425322,-0.2922203;1.648093;0.3278217,-0.4207364;1.620594;0.2774266,-0.2779099;1.593243;0.2406502,-0.5482298;1.422972;0.2258283,-0.1810676;1.380212;0.2472441,-0.6275628;1.094073;0.2454119,-0.1360817;1.052146;0.2816524,-0.517781;0.9624321;0.4263549,-0.1725341;0.8416125;0.4099845,-0.4649895;0.8606352;0.2235318,-0.3063413;0.861335;0.2842654,-0.6521909;0.4625622;0.3628536,-0.3199787;0.4087149;0.3729544,-0.5050558;0.2392544;0.08154628,-0.2238808;0.109483;0.1451945,-0.6645457;0.09171957;0.06875294,-0.2322323;-0.001497984;0.3322687,-0.3832825;0.9813241;0.2462864,-0.3766312;1.084478;0.2287889,-0.3697842;1.200388;0.2138949,-0.36485;1.324523;0.219203,-0.3940823;0.882277;0.4922659,-0.4472945;0.9391479;0.5118407,-0.5097207;0.8968225;0.503548,-0.2624336;0.7075361;0.4088662,-0.2198674;0.7519929;0.4604486,-0.1524248;0.7434132;0.4267561,-0.618936;0.08835077;0.08950722,-0.6392491;0.1356628;0.02443457,-0.2655222;0.001265824;0.2947659,-0.183866;0.01247132;0.2875414,-0.3856654;0;0.2538986
5,-0.3889064;1.644104;0.4348295,-0.4255261;1.66779;0.396338,-0.3682905;1.65694;0.3819727,-0.496452;1.629367;0.3307222,-0.353363;1.602242;0.2948088,-0.6193608;1.429937;0.2689795,-0.2528121;1.39381;0.3103425,-0.7127337;1.106004;0.2596609,-0.2158541;1.065682;0.3612856,-0.6193838;0.9629543;0.4411663,-0.2767185;0.8701771;0.5033969,-0.542303;0.8725502;0.2662854,-0.3839845;0.8672091;0.3276452,-0.7542657;0.4952786;0.4264572,-0.349369;0.4095114;0.3748812,-0.6732127;0.1987782;0.1894618,-0.230642;0.1204197;0.1447094,-0.8444008;0.06845236;0.2222809,-0.2340427;0.009462535;0.3316146,-0.4571999;0.9902381;0.292105,-0.4480452;1.093537;0.2767212,-0.4398113;1.20958;0.2636814,-0.4356006;1.33367;0.2704506,-0.500856;0.8814327;0.5144863,-0.5586526;0.9342619;0.532308,-0.6175681;0.8906952;0.5126064,-0.3784174;0.7452888;0.5143458,-0.3330024;0.7913123;0.5619732,-0.2659716;0.7730865;0.5314449,-0.796999;0.06427234;0.2383411,-0.8213142;0.1007874;0.1679073,-0.2672465;0.01038766;0.2939454,-0.1862369;0.02573597;0.2870641,-0.4631437;0;0.2969652
6,-0.4688954;1.657585;0.4861615,-0.5054876;1.681606;0.447852,-0.4482129;1.670985;0.4334711,-0.5762508;1.643747;0.381735,-0.4330642;1.617194;0.3457826,-0.6941808;1.44542;0.3083065,-0.3305621;1.409942;0.3719131,-0.8021391;1.128784;0.2797851,-0.2951536;1.082489;0.4293459,-0.7214022;0.9777431;0.4608648,-0.3785144;0.9048171;0.5829882,-0.6237935;0.8886597;0.3131166,-0.4652615;0.8796974;0.3734952,-0.8447157;0.5154594;0.4706978,-0.380488;0.4261241;0.3746817,-0.8440493;0.1606099;0.313439,-0.2380778;0.1412006;0.1529004,-1.020344;0.05670249;0.3875376,-0.2375013;0.02109259;0.3273581,-0.5367086;1.004498;0.3406351,-0.5260947;1.107867;0.3267311,-0.5164768;1.223889;0.3144738,-0.5118388;1.347975;0.3210321,-0.6077645;0.8948361;0.5401323,-0.6685266;0.9450475;0.5554877,-0.7240281;0.9013306;0.5278169,-0.4943046;0.7937213;0.6005945,-0.4436714;0.8367177;0.6457236,-0.379327;0.8089291;0.6166571,-0.9717423;0.04938525;0.3978643,-1.002327;0.07825285;0.326333,-0.269948;0.02153975;0.2890263,-0.1894532;0.04004002;0.2841453,-0.5445274;0;0.3433059
7,-0.5521342;1.673632;0.537824,-0.588524;1.698972;0.5001765,-0.53133;1.688294;0.4855188,-0.6595615;1.663478;0.4330488,-0.5165765;1.636785;0.3964044,-0.7741494;1.466177;0.349043,-0.4151435;1.426821;0.4333332,-0.8929788;1.156325;0.3061741,-0.3765585;1.10172;0.4964953,-0.8240199;1.002095;0.4894207,-0.4786466;0.9432169;0.6595198,-0.7111853;0.9082667;0.3659648,-0.5533464;0.8974001;0.4278285,-0.9196095;0.5127162;0.4800539,-0.4177686;0.4585281;0.3839349,-1.000281;0.1354424;0.4375614,-0.2575906;0.1738131;0.1743413,-1.175429;0.05390453;0.5377725,-0.2454331;0.03540075;0.3252153,-0.6234195;1.023103;0.3954509,-0.6116241;1.126418;0.3821148,-0.6003833;1.242234;0.369305,-0.5944398;1.366359;0.3737558,-0.7164869;0.9142872;0.5718645,-0.7758992;0.9665561;0.5855443,-0.8319025;0.9251872;0.5553865,-0.603707;0.8427294;0.6774582,-0.5519069;0.8842938;0.7226046,-0.4887412;0.8498838;0.6984529,-1.126798;0.0426591;0.5433383,-1.162678;0.06961191;0.4735407,-0.2771502;0.03672415;0.2862975,-0.1984285;0.06215942;0.2850966,-0.6322658;0;0.3968966
8,-0.6384031;1.686964;0.5869247,-0.6743982;1.714127;0.5501804,-0.617268;1.703427;0.5352924,-0.7455689;1.682015;0.4815084,-0.6027435;1.655265;0.4442884,-0.859315;1.4855;0.3904566,-0.5045862;1.441614;0.4892031,-0.9847268;1.18188;0.3317662,-0.4618528;1.119954;0.5603408,-0.92976;1.025366;0.5177867,-0.5760716;0.9745237;0.727452,-0.8011938;0.9250855;0.4223774,-0.643579;0.9149169;0.484927,-1.002914;0.5199399;0.5122834,-0.4655651;0.4957559;0.4105511,-1.136571;0.1576102;0.5510379,-0.295574;0.2150221;0.20333,-1.302235;0.0824337;0.6705006,-0.2487372;0.05277109;0.3187173,-0.7140548;1.040308;0.4522151,-0.702208;1.143552;0.4383855,-0.6899697;1.259056;0.4237962,-0.682439;1.38317;0.4248679,-0.8296124;0.9314756;0.6027902,-0.8863962;0.9869221;0.6150492,-0.9437392;0.9488176;0.5831575,-0.7025537;0.8757227;0.7447791,-0.6531715;0.9200765;0.7899804,-0.5889355;0.8840014;0.7718253,-1.253661;0.06967413;0.6708762,-1.296062;0.09727377;0.6051041,-0.2823838;0.0561806;0.2815878,-0.2099651;0.0960716;0.2847062,-0.7223864;0;0.4536522
9,-0.7254493;1.697867;0.6355132,-0.7609764;1.72667;0.5995712,-0.7039831;1.715591;0.5844381,-0.8324883;1.697729;0.5298524,-0.6900049;1.670031;0.4920196,-0.949028;1.502843;0.4367753,-0.5963916;1.451965;0.5389052,-1.077372;1.206175;0.3570025,-0.5520743;1.134359;0.6198769,-1.03903;1.045815;0.5439149,-0.6721265;0.9969187;0.7896405,-0.8890712;0.9371364;0.4836542,-0.728592;0.9311653;0.5390531,-1.096631;0.5330883;0.5647782,-0.5335057;0.5202835;0.4613737,-1.249081;0.1831484;0.6351333,-0.3525308;0.2491887;0.2506492,-1.406839;0.1079444;0.764841,-0.2536443;0.07369238;0.3183819,-0.803736;1.054633;0.5095778,-0.794376;1.158;0.4947893,-0.7829733;1.273303;0.4780814,-0.7741851;1.397316;0.4757166,-0.9470125;0.9482142;0.6337886,-1.003304;1.004713;0.6431752,-1.059117;0.9684795;0.6067166,-0.7982796;0.8974968;0.8057742,-0.7515538;0.944576;0.8510431,-0.6861649;0.9084736;0.8376943,-1.358869;0.09368265;0.7606184,-1.405565;0.1254553;0.6998273,-0.2923282;0.07838076;0.2866976,-0.2320237;0.1339757;0.2975628,-0.8088316;0;0.5113537
