Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.03306288;1.660434;0.1769328,-0.01054697;1.684611;0.1469785,0.04257292;1.674007;0.1211749,-0.09336428;1.647026;0.09657137,0.03943554;1.620515;0.03206238,-0.2234428;1.448948;0.0465267,0.1455896;1.41306;0.03869193,-0.3377813;1.133624;0.03830516,0.1924363;1.085878;0.08852592,-0.2238578;0.981591;0.1996412,0.1387846;0.9117699;0.2586143,-0.1543987;0.8920378;0.03903748,0.01309211;0.8826315;0.06580722,-0.338863;0.5160865;0.2328172,0.1035113;0.4309042;0.03966622,-0.3808047;0.1546057;0.09783009,0.2018073;0.1464201;-0.2053967,-0.5372112;0.05489588;0.2116819,0.2384833;0.02347064;-0.03845622,-0.06326631;1.007647;0.04847668,-0.05546945;1.111018;0.0328378,-0.04829211;1.227019;0.01883221,-0.04229119;1.351111;0.02403749,-0.09722722;0.8981528;0.2550778,-0.1538213;0.948295;0.2821311,-0.2136783;0.9047716;0.2653946,0.02695034;0.8031352;0.3004614,0.08631355;0.8455663;0.3339971,0.1430634;0.8162454;0.2930458,-0.4876334;0.04690772;0.2109354,-0.533174;0.07518327;0.1475948,0.1990151;0.02402198;-0.06950903,0.2767651;0.04334944;-0.09016982,-0.07065329;0;0.05242235
1,-0.03803748;1.67613;0.2438817,-0.08124524;1.701757;0.2145566,-0.02825348;1.691074;0.1885231,-0.1645416;1.666788;0.1630671,-0.03206219;1.64008;0.0979835,-0.2937917;1.469642;0.1025538,0.07466331;1.429442;0.1151942,-0.4207702;1.160881;0.08260166,0.1262537;1.104885;0.1701953,-0.31798;1.006318;0.2489326,0.05723242;0.9492188;0.3522013,-0.2293208;0.9114072;0.1088945,-0.06225362;0.9004435;0.1376459,-0.4093087;0.5127785;0.2559201,0.0685098;0.4650762;0.05844446,-0.5054994;0.1367666;0.2525515,0.1854963;0.1808326;-0.178555,-0.6552844;0.05859429;0.3897406,0.2309386;0.03844255;-0.03918803,-0.137356;1.026193;0.1201383,-0.1284065;1.129494;0.1046539,-0.1198123;1.245261;0.08955748,-0.1129226;1.36939;0.09215579,-0.1969905;0.9174758;0.3084229,-0.2519733;0.9703228;0.3335838,-0.3132626;0.9294983;0.3153019,-0.06243034;0.8497313;0.3951276,-0.002710789;0.8914436;0.4289316,0.05445488;0.8563737;0.3934427,-0.6067752;0.04666001;0.384567,-0.656809;0.07364464;0.3241191,0.1919366;0.04005021;-0.07078818,0.2682686;0.06746638;-0.08713657,-0.1457872;0;0.1232702
2,-0.1123378;1.689057;0.3088408,-0.1549781;1.716529;0.2803673,-0.1021216;1.705801;0.2540786,-0.2387665;1.685004;0.2274716,-0.1066252;1.658184;0.1617497,-0.36906;1.488656;0.160929,-0.001860276;1.443896;0.1866111,-0.5051792;1.186107;0.1262829,0.05538936;1.122879;0.2488645,-0.4158143;1.029135;0.2980254,-0.02353667;0.9790158;0.4364713,-0.3054357;0.9276229;0.1828462,-0.1382646;0.917863;0.2114262,-0.4849262;0.521984;0.3099576,0.02496697;0.5012072;0.09886482,-0.6105456;0.1622859;0.3840259,0.1502393;0.2212783;-0.1390337,-0.7457644;0.08632171;0.5367106,0.2256901;0.05586535;-0.04387866,-0.2142931;1.043069;0.1940223,-0.2057313;1.146314;0.1779539,-0.1967731;1.26177;0.1608195,-0.189055;1.385871;0.1596943,-0.3015944;0.9343514;0.3615886,-0.3544118;0.9902066;0.3848161,-0.4172134;0.9525895;0.364862,-0.1436602;0.8800098;0.4792237,-0.08659577;0.9249829;0.5134304,-0.02698748;0.8889198;0.4833708,-0.6983221;0.07357985;0.5262601,-0.7541901;0.1015591;0.4716579,0.1846751;0.05958456;-0.07262348,0.254841;0.1021408;-0.08316939,-0.2218501;0;0.1971362
3,-0.1865265;1.698987;0.3733957,-0.2285454;1.728008;0.345542,-0.1758854;1.716808;0.319056,-0.3128947;1.699497;0.2918335,-0.181245;1.671498;0.2256187,-0.4467218;1.504851;0.2247835,-0.08083391;1.452836;0.252398,-0.5897312;1.209553;0.1691968,-0.02030572;1.135942;0.3241559,-0.5167019;1.048553;0.3448886,-0.1033759;0.9993179;0.5153507,-0.3773618;0.9382615;0.2601716,-0.2087099;0.9330808;0.2798694,-0.5656904;0.5349102;0.3816503,-0.03269583;0.5221837;0.1654176,-0.7017527;0.1861526;0.48414,0.1030274;0.2541698;-0.08034012,-0.8291138;0.1110985;0.6438691,0.2201532;0.07899177;-0.04345977,-0.2890244;1.056178;0.2673663,-0.2834181;1.159575;0.2509695,-0.275968;1.274859;0.2320541,-0.2677859;1.398851;0.2274581,-0.4094254;0.9505599;0.4153118,-0.4628257;1.007069;0.4354134,-0.5246024;0.9710099;0.4101031,-0.223475;0.8997024;0.5567347,-0.1688358;0.9471328;0.5915769,-0.1072885;0.911105;0.5656692,-0.7832764;0.09648365;0.6294586,-0.8414969;0.1291703;0.5801895,0.1751461;0.08347666;-0.0652903,0.2346043;0.1410111;-0.06536293,-0.2930358;0;0.2700205
4,-0.2524966;1.698806;0.4364902,-0.2941789;1.728817;0.4091857,-0.2421921;1.716287;0.3819757,-0.3799587;1.702324;0.3567245,-0.2499919;1.671;0.2886995,-0.5204895;1.507734;0.2948084,-0.1548023;1.451552;0.3129077,-0.6721981;1.22388;0.2168625,-0.08811602;1.138909;0.391992,-0.6107153;1.061387;0.3955741,-0.166805;1.005606;0.5873393,-0.4470609;0.9379027;0.3326745,-0.2774084;0.9359168;0.3411827,-0.6427273;0.5375775;0.4525557,-0.09947747;0.520691;0.2471354,-0.7848471;0.1912324;0.5550058,0.04682285;0.2897164;-0.02835685,-0.9174016;0.1122378;0.7085806,0.195157;0.1310392;-0.01953962,-0.3607637;1.057498;0.3357408,-0.3576573;1.161103;0.3200105,-0.3516732;1.276404;0.300679,-0.3428316;1.400277;0.2944135,-0.5096178;0.9618289;0.4726319,-0.5643696;1.018138;0.4893818,-0.6239679;0.9827239;0.4585408,-0.2849734;0.9051887;0.6321963,-0.2307643;0.9542657;0.6653907,-0.1689018;0.9185717;0.6397735,-0.8725616;0.09585875;0.6929781,-0.9283513;0.1360913;0.6465633,0.1476445;0.1300285;-0.03578308,0.1967818;0.1965884;-0.03489,-0.3622346;0;0.3369286
5,-0.3173943;1.681839;0.4954744,-0.3591332;1.712643;0.4691564,-0.3082044;1.698822;0.440604,-0.4468886;1.687821;0.4192052,-0.3195664;1.653269;0.3478242,-0.5928931;1.491344;0.3643662,-0.2266548;1.435848;0.3683885,-0.7568734;1.220152;0.275855,-0.1539047;1.12338;0.4413482,-0.6981852;1.057595;0.4554458,-0.2195116;0.98865;0.6405107,-0.5177041;0.9223676;0.4025595,-0.347834;0.9208264;0.4027471,-0.7154473;0.5229788;0.522155,-0.1639195;0.5028636;0.3364203,-0.860227;0.1723619;0.6043472,-0.01720804;0.3226273;0.02555117,-1.001288;0.07304156;0.7360708,0.1536255;0.1877393;0.02866048,-0.4316722;1.042157;0.399635,-0.429513;1.145584;0.3826266,-0.4244441;1.260804;0.3625637,-0.4156206;1.384676;0.356249,-0.6018983;0.9555352;0.5353397,-0.6555967;1.013283;0.5505296,-0.7152286;0.9793969;0.5180788,-0.3341005;0.8882306;0.6938486,-0.2772417;0.9368731;0.7230036,-0.2177459;0.9012007;0.6922626,-0.9562595;0.05799115;0.7196932,-1.008916;0.1071507;0.6785085,0.105787;0.1790911;0.0160509,0.144359;0.25213;0.01125574,-0.4327691;0;0.4026533
6,-0.3815851;1.656317;0.5525535,-0.4237383;1.687248;0.5270592,-0.3735948;1.672931;0.4973835,-0.5128179;1.66273;0.4793526,-0.3874591;1.626937;0.4051633,-0.6604651;1.466518;0.4297391,-0.2943453;1.40991;0.4214678,-0.8390304;1.203555;0.350249,-0.2185292;1.094558;0.4764114,-0.7778389;1.037338;0.5256034,-0.264934;0.9522632;0.6757128,-0.5918486;0.900277;0.4703338,-0.4220563;0.8950171;0.4692408,-0.7883401;0.4954646;0.5724855,-0.2268667;0.4786161;0.431454,-0.934653;0.1382049;0.6125726,-0.09159735;0.3457184;0.09279576,-1.048595;0.01640177;0.7439582,0.0913797;0.2278906;0.09445643,-0.5032781;1.017929;0.4617951,-0.4994182;1.120708;0.4414841,-0.4932917;1.235596;0.4198721,-0.4838613;1.359454;0.4141812,-0.6829926;0.9304597;0.6007811,-0.7329485;0.9907786;0.6185304,-0.7956976;0.959965;0.5890292,-0.3746075;0.8515294;0.7380348,-0.3143126;0.8986659;0.7623601,-0.2589072;0.8632921;0.7244629,-1.001229;0.01081961;0.7282212,-1.063535;0.04321688;0.6840187,0.04446876;0.2146421;0.08236644,0.07580364;0.2910247;0.07695159,-0.5069524;0;0.4697873
7,-0.446131;1.628102;0.6026611,-0.4893261;1.657798;0.5774426,-0.4396262;1.643601;0.5469736,-0.5790318;1.630839;0.5322944,-0.454782;1.595346;0.4561218,-0.7267815;1.43978;0.4897832,-0.3620551;1.378447;0.4646681,-0.919818;1.180758;0.4362409,-0.2829928;1.061392;0.5005811,-0.8525204;1.00921;0.6040623,-0.3085194;0.9092021;0.696308,-0.6633526;0.8725599;0.5340016,-0.4936596;0.8657937;0.5299054,-0.863026;0.4720259;0.6463404,-0.285238;0.4541181;0.5304008,-1.004061;0.1170595;0.5773715,-0.1717003;0.3638739;0.1703809,-1.097776;0.009326994;0.7394128,0.012577;0.2480822;0.1713082,-0.5740585;0.9889334;0.518401,-0.5697794;1.090884;0.4943412,-0.5630711;1.205347;0.47074,-0.5523427;1.329108;0.465246,-0.7561194;0.896574;0.6680189,-0.8010178;0.9589006;0.6914396,-0.8678305;0.9316699;0.6679491,-0.4113104;0.8075696;0.7681719,-0.3476883;0.8530282;0.7864689,-0.2979978;0.818413;0.7407533,-1.051554;0.004939556;0.7202652,-1.119571;0.02713388;0.6782333,-0.03387159;0.2348725;0.1575115,-0.003329575;0.3117557;0.1562208,-0.5785061;0;0.5319535
8,-0.504266;1.602868;0.6536283,-0.5480755;1.632104;0.628939,-0.4987654;1.618095;0.5977581,-0.6382899;1.604237;0.585384,-0.5150145;1.569214;0.5074317,-0.785661;1.412749;0.5506063,-0.4229576;1.352612;0.5035774,-0.9817374;1.150881;0.5376496,-0.347888;1.032987;0.5287737,-0.9073594;0.9755824;0.6984601,-0.3509325;0.862738;0.7107857,-0.7321321;0.8524238;0.590035,-0.5632753;0.8375211;0.5789184,-0.9220291;0.4564558;0.7316877,-0.3575912;0.4290093;0.6399823,-1.02934;0.1201612;0.5703205,-0.2668731;0.3624206;0.2685187,-1.123482;0.02884632;0.7438056,-0.09261334;0.23215;0.2739848,-0.6382648;0.9640937;0.5681632,-0.6312354;1.065497;0.5424914,-0.6233957;1.179851;0.5187121,-0.6127064;1.303674;0.5147638,-0.8113664;0.8552804;0.7472782,-0.8476871;0.9203372;0.7772352,-0.9190159;0.8983915;0.7635295,-0.4426475;0.7569244;0.7911067,-0.3763863;0.8009269;0.802165,-0.3348153;0.7692239;0.7471735,-1.079201;0.01915401;0.722182,-1.147004;0.04720229;0.6834339,-0.1396258;0.2226981;0.259058,-0.1029598;0.2968653;0.2584976,-0.6477036;0;0.5844766
9,-0.5576187;1.588207;0.7054302,-0.601698;1.618003;0.6819166,-0.5529171;1.604373;0.6497507,-0.6926609;1.591174;0.6392758,-0.5707086;1.557099;0.5588612,-0.8390871;1.39566;0.6111282,-0.4790154;1.339645;0.5442673,-1.023003;1.127491;0.6490549,-0.4145773;1.015928;0.555874,-0.9401826;0.9549852;0.8087555,-0.3983011;0.8254938;0.7158494,-0.7891568;0.8436552;0.6447639,-0.621503;0.8230783;0.6266788,-0.9486206;0.4371665;0.7939457,-0.4427168;0.4164559;0.7516202,-1.026467;0.1227677;0.5800712,-0.376056;0.3409065;0.37679,-1.118715;0.02927917;0.753292,-0.2169469;0.1933694;0.3936378,-0.6927549;0.9519086;0.6174237,-0.6843793;1.052924;0.5906494,-0.6766122;1.167282;0.566866,-0.6669934;1.291227;0.5641927,-0.8459864;0.8286218;0.843824,-0.8716985;0.8967858;0.8776109,-0.945715;0.8800927;0.8772308,-0.4751107;0.7110319;0.7998637,-0.4071499;0.7537035;0.8029501,-0.3773276;0.7285225;0.7378823,-1.074132;0.0206995;0.7318186,-1.142529;0.04688656;0.6928117,-0.2648176;0.1878622;0.3794819,-0.2203151;0.2572799;0.3726837,-0.7053299;0;0.6357213
