Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.04933025;1.619792;0.1465705,0.01054584;1.647559;0.113278,0.06577177;1.635647;0.09307373,-0.06747305;1.616673;0.05186666,0.07059178;1.586894;0.001356032,-0.2079982;1.42332;0.03453767,0.1536081;1.366285;-0.01869533,-0.3052877;1.125781;0.1518341,0.248867;1.057524;-0.05453411,-0.1954531;1.008909;0.3426192,0.2747869;0.8276253;0.03818583,-0.1372632;0.8583768;0.02046059,0.03052261;0.8555206;0.04688105,-0.1648387;0.3977805;0.0232239,-0.04810364;0.4607005;0.2723842,-0.07834461;0.1393006;-0.2531016,-0.135743;0.1043683;0.1459097,-0.1997269;0.01629281;-0.1335151,-0.1429473;-0.02769411;0.3148743,-0.0498264;0.9771236;0.02415456,-0.04474429;1.079899;0.004093394,-0.03910512;1.195401;-0.0141077,-0.03182995;1.319527;-0.01272904,-0.08186514;0.9133403;0.4061405,-0.1200957;0.9819902;0.4227126,-0.1900305;0.9529082;0.4272532,0.1937358;0.6880426;0.0408291,0.2526955;0.7250956;0.08082747,0.3012677;0.7307181;0.02280679,-0.1496591;0.01756901;-0.1372464,-0.2032764;0.03108335;-0.1991175,-0.1801477;-0.01093209;0.2855913,-0.1014685;-0.02133238;0.2622056,-0.05337028;0;0.03367081
1,0.007056639;1.627206;0.1861092,-0.03214314;1.654721;0.1530957,0.02273885;1.64242;0.1321998,-0.1111635;1.623397;0.09320576,0.02604154;1.592643;0.04096608,-0.253537;1.430616;0.08917144,0.1054998;1.374883;0.01819268,-0.3305548;1.130874;0.2179775,0.2034872;1.068436;-0.02896102,-0.2027699;1.025954;0.404484,0.2386922;0.8348419;0.05051656,-0.1933608;0.8667802;0.06632722,-0.02515344;0.8601938;0.08915656,-0.1973915;0.4057482;0.04761089,-0.1315514;0.4478521;0.2668373,-0.0865701;0.1659124;-0.2367241,-0.28636;0.09216446;0.2538136,-0.1960655;0.02542478;-0.132394,-0.3198051;-0.02676678;0.4325919,-0.1033669;0.9836286;0.06900109,-0.09681021;1.08639;0.04930164,-0.09005812;1.201814;0.03098299,-0.08136145;1.325855;0.03166243,-0.08022588;0.9397138;0.4646175,-0.1222274;1.00604;0.4815207,-0.1897578;0.9724793;0.489921,0.1626685;0.6924681;0.04740138,0.2221392;0.728992;0.08712901,0.2677167;0.7402002;0.02751066,-0.1462029;0.03064185;-0.135366,-0.2001192;0.04380614;-0.1970526,-0.3527738;-0.004611552;0.4018586,-0.277016;-0.03028256;0.3807102,-0.1092571;0;0.07774188
2,-0.03321758;1.629073;0.2252774,-0.07276703;1.656532;0.1926356,-0.01815093;1.644087;0.1711368,-0.1525277;1.625115;0.1337843,-0.01598737;1.594002;0.08003717,-0.294774;1.431826;0.1392678,0.06208937;1.377237;0.05685709,-0.3551503;1.132375;0.278176,0.1586464;1.07214;-0.001990736,-0.2128444;1.038424;0.4599558,0.2018499;0.835909;0.06472191,-0.2531228;0.8739003;0.113492,-0.08496267;0.8579793;0.1315749,-0.2498368;0.4138077;0.07854678,-0.2236175;0.4411377;0.2727647,-0.1158345;0.1968814;-0.2140882,-0.4051155;0.1046074;0.33951,-0.2005492;0.03589517;-0.1270584,-0.4437214;-0.01131469;0.520153,-0.1568331;0.9856461;0.1143828,-0.1460658;1.088065;0.09475058,-0.1364401;1.203175;0.07575247,-0.1261412;1.327092;0.07502498,-0.08267014;0.9593567;0.5135605,-0.1269864;1.023662;0.5322664,-0.1920751;0.9868026;0.5449983,0.1264369;0.6932236;0.06106977,0.18913;0.7281642;0.09709418,0.2290423;0.7428441;0.03425488,-0.1517622;0.04723543;-0.1307405,-0.2088477;0.05878848;-0.1898443,-0.4748016;0.01671284;0.4923899,-0.4060619;-0.02034765;0.4650609,-0.1690427;0;0.1225334
3,-0.07416037;1.626818;0.2646004,-0.114117;1.654526;0.2326733,-0.05953717;1.642883;0.2106401,-0.1939866;1.623509;0.1737583,-0.05753717;1.594399;0.118675,-0.3341563;1.429175;0.1845793,0.02204572;1.37847;0.09644356,-0.3809218;1.130287;0.3303713,0.1149878;1.073325;0.02766532,-0.2274961;1.044839;0.5072357,0.1632292;0.8347123;0.08113368,-0.3081625;0.8781442;0.1578047,-0.1406053;0.8528877;0.1698459,-0.326395;0.4184399;0.1223568,-0.3035693;0.442131;0.3026552,-0.1772118;0.2236938;-0.178421,-0.5008881;0.1193028;0.3892362,-0.2176629;0.03767997;-0.1185551,-0.5053834;-0.01198632;0.5573506,-0.2060067;0.9845576;0.1577866,-0.1912272;1.086669;0.1391868,-0.1790049;1.201473;0.1198341,-0.1677135;1.325278;0.117228,-0.09049535;0.9726334;0.552925,-0.1363433;1.035208;0.5736941,-0.1986587;0.9957008;0.5913913,0.08597371;0.6929851;0.07899572,0.1521876;0.7258833;0.1103402,0.1862732;0.7426909;0.04466723,-0.1727928;0.05990684;-0.1224246,-0.2354154;0.06732053;-0.1763592,-0.5426524;0.01410645;0.5360784,-0.4756622;-0.01469165;0.4969825,-0.2243839;0;0.1638253
4,-0.1167348;1.620653;0.3024979,-0.1571082;1.648227;0.2709813,-0.1024438;1.637508;0.2486899,-0.236735;1.616896;0.2119032,-0.1000739;1.590099;0.1561749,-0.375052;1.422148;0.2232799,-0.01806396;1.37404;0.1364688,-0.4123966;1.124789;0.3751248,0.07382891;1.071203;0.05603176,-0.2492638;1.049342;0.5478014,0.1234777;0.8312219;0.101488,-0.3598439;0.8766395;0.1986633,-0.1932996;0.8448037;0.2090436,-0.4127057;0.4190837;0.1710007,-0.3689793;0.4351478;0.3283556,-0.2534614;0.2472303;-0.1384448,-0.5750242;0.1157736;0.4070616,-0.2488339;0.03814304;-0.1106833,-0.5174999;-0.009906054;0.5600795,-0.2536521;0.9790253;0.1989512,-0.2356811;1.080711;0.1808353,-0.221269;1.195184;0.1610347,-0.2091255;1.31887;0.1570013,-0.1061641;0.9847739;0.5855349,-0.1536037;1.045462;0.6082366,-0.212597;1.003351;0.6306791,0.0447866;0.6903009;0.09856059,0.1126307;0.721668;0.1279261,0.1439864;0.7401357;0.06134507,-0.2107215;0.07067281;-0.1140872,-0.2828876;0.07607776;-0.154687,-0.5636572;-0.000731945;0.5425392,-0.4943517;-0.00181222;0.4973609,-0.2765717;0;0.2038534
5,-0.1595337;1.611954;0.3382101,-0.2003207;1.638189;0.3060886,-0.1455984;1.627511;0.2839199,-0.2797434;1.604338;0.2481368,-0.1429377;1.577642;0.192715,-0.4168931;1.409037;0.2553419,-0.05841598;1.360601;0.17474,-0.4513887;1.112648;0.4095321,0.0321292;1.061087;0.08324552,-0.2826013;1.046714;0.5806617,0.08029133;0.8198906;0.1235808,-0.4069806;0.8675006;0.2343698,-0.2411808;0.8322704;0.2456637,-0.5020145;0.4160947;0.2234894,-0.4161678;0.421024;0.3604358,-0.338379;0.2718832;-0.09756412,-0.6255637;0.09629369;0.3972144,-0.3303992;0.05491006;-0.08526938,-0.5333548;-0.01206833;0.5547032,-0.298686;0.9676598;0.2345919,-0.2788057;1.06894;0.216203,-0.2628476;1.183225;0.1965045,-0.2498777;1.306846;0.1930904,-0.1352827;0.9886832;0.6122863,-0.1838164;1.048123;0.6359599,-0.239843;1.004428;0.6625885,0.0001804829;0.6798374;0.1183834,0.0683915;0.7100108;0.1481472,0.09980735;0.72931;0.0818309,-0.2932176;0.08866787;-0.08580233,-0.367043;0.09722513;-0.1227087,-0.5811185;-0.01267874;0.5391928,-0.5152016;0.00208348;0.4914169,-0.3240806;0;0.2400167
6,-0.2035679;1.605113;0.3703011,-0.2447454;1.629874;0.3375151,-0.1900185;1.618987;0.31546,-0.3240859;1.593358;0.2810889,-0.1872686;1.56614;0.2259509,-0.460731;1.395961;0.2837683,-0.1021812;1.347803;0.2038974,-0.4970334;1.095622;0.429037,-0.0165157;1.045328;0.1168112,-0.3280409;1.03246;0.6010076,0.03252855;0.8030743;0.1489037,-0.4471064;0.856371;0.2622948,-0.2808032;0.8228643;0.2711739,-0.586234;0.4173824;0.2914402,-0.4336185;0.4126951;0.4172059,-0.4329494;0.2908726;-0.04194859,-0.6335917;0.08136755;0.3875115,-0.4585956;0.0746302;-0.03971651,-0.5306324;-0.02000064;0.5506134,-0.339789;0.9575248;0.2590519,-0.3209815;1.058849;0.2397986,-0.305593;1.173443;0.2214885,-0.2925305;1.297101;0.2220058,-0.1788177;0.9783474;0.6305838,-0.2281871;1.037132;0.6541651,-0.2826421;0.9927162;0.6827862,-0.04532692;0.6617789;0.143095,0.02264497;0.6927916;0.1725411,0.05314824;0.7132162;0.1061358,-0.4171014;0.1023649;-0.03411785,-0.4837598;0.1232849;-0.07888943,-0.5788226;-0.02189797;0.5365984,-0.5149477;-0.004384458;0.4870123,-0.3639547;0;0.2667343
7,-0.2457485;1.598335;0.4006443,-0.2872848;1.622343;0.3677509,-0.2324265;1.61209;0.3457177,-0.3661486;1.584422;0.3115834,-0.229003;1.558791;0.2565005,-0.5020186;1.384205;0.3136459,-0.1445768;1.341254;0.2272183,-0.5395908;1.074224;0.4368037,-0.06743261;1.030766;0.1555582,-0.3754123;1.004249;0.610788,-0.01914507;0.7873422;0.178698,-0.4805983;0.846837;0.2823259,-0.3134174;0.8169312;0.2861274,-0.6539296;0.4276935;0.3671318,-0.4359161;0.4117974;0.4699136,-0.529695;0.288721;0.02668899,-0.6282856;0.08483762;0.387814,-0.6093783;0.08622795;0.02276069,-0.5251495;-0.01735324;0.5494455,-0.3756297;0.9502123;0.2749248,-0.3593512;1.051933;0.2554585,-0.3460073;1.167137;0.2395237,-0.333894;1.290759;0.2452504,-0.2275506;0.9493648;0.645359,-0.2778637;1.007657;0.668155,-0.3334634;0.9626672;0.69349,-0.09046721;0.6426608;0.1723714,-0.02331507;0.6763637;0.2007217,0.004583865;0.6992245;0.1339661,-0.5629718;0.1025514;0.03287646,-0.6173146;0.1392829;-0.0179483,-0.573366;-0.01929194;0.5355265,-0.509612;-0.00165838;0.4858277,-0.3970078;0;0.2842267
8,-0.2862803;1.595006;0.4335396,-0.3280184;1.61893;0.4008406,-0.2728249;1.610147;0.3790111,-0.4057668;1.58075;0.3433106,-0.2677829;1.558791;0.2887368,-0.539074;1.377485;0.3442948,-0.1815851;1.344267;0.2545573,-0.5743117;1.057286;0.440716,-0.1126694;1.026737;0.1962264,-0.4199533;0.9716154;0.6166586,-0.06948727;0.7821159;0.2166767,-0.5105031;0.8440585;0.298422,-0.3429472;0.8160706;0.2984525,-0.7008076;0.444892;0.4302077,-0.440916;0.4104196;0.4953436,-0.6237525;0.2625782;0.0963317,-0.6258327;0.086523;0.3878915,-0.7609376;0.0940516;0.1084749,-0.5221517;-0.01807445;0.5472162,-0.4068985;0.9487537;0.2903804,-0.3923051;1.051009;0.2724386,-0.3809811;1.166776;0.2592587,-0.3708482;1.290327;0.2689835,-0.2771425;0.9104341;0.6606169,-0.328611;0.9676981;0.6834384,-0.3871381;0.9220068;0.6990631,-0.1356354;0.6353681;0.2044642,-0.07020429;0.670411;0.2351207,-0.04193154;0.6963351;0.1696543,-0.7115588;0.09628785;0.1173671,-0.7533675;0.1437038;0.06361532,-0.5703919;-0.01996124;0.5333726,-0.5068021;-0.001390457;0.4838048,-0.4267251;0;0.2984373
9,-0.3239045;1.596978;0.466767,-0.3658344;1.621475;0.4347459,-0.3104337;1.614234;0.4128749,-0.4428047;1.584306;0.3755327,-0.3043032;1.566203;0.3208552,-0.5735222;1.378008;0.3691805,-0.2146707;1.35307;0.2826285,-0.6082913;1.052588;0.4468544,-0.1516248;1.03147;0.2320983,-0.4674175;0.9473001;0.6234634,-0.1165673;0.7862507;0.2596807,-0.538334;0.8486614;0.3139296,-0.3706758;0.8215958;0.3098708,-0.7311057;0.4629359;0.4781608,-0.4454577;0.4104238;0.5054772,-0.7197287;0.220206;0.1755031,-0.6269761;0.08808059;0.3880252,-0.8941863;0.09900796;0.2228759,-0.5204294;-0.01655978;0.5452051,-0.4354244;0.9541004;0.3067288,-0.4218537;1.056901;0.2912711,-0.4119432;1.173079;0.2808653,-0.4036114;1.296503;0.2934798,-0.3309743;0.8769666;0.6735324,-0.3830718;0.9331213;0.6976463,-0.4438742;0.8879982;0.7025669,-0.1866434;0.6423085;0.238954,-0.1231433;0.6744312;0.2761683,-0.08788925;0.7000784;0.2140665,-0.8452963;0.08883756;0.2282301,-0.8785478;0.1380428;0.1702761,-0.5688051;-0.01887083;0.5319092,-0.5059938;0.000666678;0.4817242,-0.4545048;0;0.3119002
