Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,0.01908213;1.583352;0.4302166,-0.01431639;1.615816;0.3953708,0.04516914;1.613521;0.3878738,-0.07115502;1.596082;0.3105639,0.07755886;1.590345;0.2918217,-0.1831506;1.405335;0.2672211,0.1796809;1.419968;0.1988617,-0.1760326;1.107873;0.4181789,0.2262475;1.24062;-0.07089619,-0.1109971;1.128083;0.6579365,0.2979444;1.001914;-0.0720533,-0.04060408;0.8548287;0.1412689,0.1250478;0.8696324;0.1758894,-0.06964729;0.4158952;0.001945987,0.1489639;0.5691692;0.5252696,-0.0704826;0.1566637;-0.2869263,0.1003629;0.4197494;0.1703601,-0.1140053;0.03009599;-0.1243785,0.198757;0.2256385;0.1802753,0.02927842;0.9816434;0.1694482,0.02062103;1.086113;0.1679355,0.01095332;1.202694;0.1723225,0.002869427;1.323781;0.1994241,0.01168057;1.180138;0.7491005,-0.06745507;1.191268;0.7411828,-0.08853427;1.120055;0.7567257,0.2762066;0.8477066;-0.02954297,0.3318021;0.9053505;-0.02359892,0.3434575;0.9148198;-0.09797479,-0.07098789;0.03575325;-0.1496733,-0.1472677;0.04087442;-0.1819324,0.1507054;0.2371573;0.171293,0.21559;0.2861909;0.1560881,0.04222184;0;0.1585792
1,0.05571895;1.595496;0.6348591,0.02238757;1.628588;0.6005433,0.08192202;1.62668;0.5933314,-0.03390539;1.610497;0.5150092,0.1149307;1.605729;0.4969794,-0.147616;1.423139;0.4966411,0.2064568;1.437707;0.394811,-0.1416081;1.130485;0.6556554,0.2399035;1.285081;0.1107439,-0.05595794;1.199593;0.8792843,0.3121963;1.047198;0.09320375,-0.004160851;0.8649256;0.3473039,0.1617526;0.8867083;0.3765706,-0.0407376;0.496547;0.07184717,0.2024197;0.6288028;0.7570277,-0.06300324;0.2341983;-0.2133305,0.1640117;0.3177865;0.5280238,-0.1112821;0.06984138;-0.1130363,0.2676975;0.1616229;0.6391007,0.06060059;0.9940757;0.377067,0.04797726;1.098144;0.3783166,0.03628082;1.214503;0.3835689,0.02992741;1.336114;0.4087159,0.07371508;1.275179;0.9387999,-0.006339528;1.281457;0.9397378,-0.02056313;1.214915;0.9733099,0.2797626;0.8931348;0.1288732,0.3404951;0.9454293;0.1339602,0.3480602;0.9582562;0.0595592,-0.06841004;0.07980013;-0.1372261,-0.144716;0.09808946;-0.1642149,0.219074;0.1661809;0.6273832,0.2820856;0.1987806;0.584812,0.07879584;0;0.3619373
2,0.1092639;1.619459;0.8435612,0.07558154;1.652697;0.8097322,0.1351065;1.651322;0.8023237,0.01916743;1.635181;0.7241584,0.16798;1.631745;0.7056371,-0.0962383;1.44806;0.7198144,0.250909;1.462884;0.5963809,-0.09620222;1.153389;0.875394,0.2707799;1.315618;0.3095834,0.01068698;1.247973;1.079723,0.3384829;1.076734;0.2878301,0.02708377;0.8887447;0.5704998,0.1950507;0.9056623;0.5894526,-0.005702674;0.5621383;0.2462,0.2521834;0.617467;0.945256,-0.03500855;0.3306361;-0.0639562,0.215326;0.236702;0.8796158,-0.08007824;0.1256306;-0.112853,0.2978385;0.1455371;1.059539,0.09731711;1.015968;0.5958209,0.08745331;1.120335;0.5969848,0.07806454;1.236955;0.6008978,0.07446063;1.359238;0.6231676,0.1489841;1.324778;1.112053,0.06977855;1.337166;1.116751,0.05437206;1.280967;1.165346,0.3081352;0.9216072;0.3206058,0.3693785;0.9735136;0.3226106,0.3710209;0.9889271;0.248334,-0.0375316;0.1515961;-0.1190107,-0.1143265;0.1828847;-0.1220215,0.2505316;0.1469631;1.042736,0.3184515;0.1517263;0.9957286,0.1110672;0;0.5799763
3,0.1567984;1.623667;1.046769,0.123023;1.657086;1.013213,0.1825676;1.656066;1.005905,0.0668521;1.64017;0.9273584,0.2157134;1.63762;0.9090884,-0.04974212;1.453993;0.9289367,0.2931793;1.463653;0.7925057,-0.05006166;1.150536;1.070207,0.3044084;1.30318;0.5119535,0.0760567;1.242345;1.264596,0.3679341;1.062624;0.4971344,0.06029328;0.893571;0.7902034,0.2292897;0.90708;0.8009735,0.03021513;0.5651958;0.467431,0.280427;0.5477261;1.085871,-0.008944154;0.4410254;0.1017846,0.2523089;0.1722939;1.180259,-0.05302422;0.2709689;-0.02698147,0.3130815;0.14596;1.387908,0.1344252;1.019799;0.8083881,0.126592;1.124335;0.8070571,0.1188787;1.241132;0.8087744,0.1172217;1.363771;0.8292425,0.2149214;1.318726;1.295467,0.1358494;1.33034;1.303327,0.1224142;1.272057;1.350016,0.3502069;0.9078677;0.539511,0.4081813;0.9630507;0.5329676,0.4014597;0.9748839;0.4583213,-0.01120658;0.2984766;-0.02286488,-0.08851616;0.3254042;-0.009313226,0.2675234;0.1434023;1.366927,0.3391932;0.1287848;1.328258,0.1447915;0;0.7955885
4,0.1947999;1.612584;1.244928,0.1613652;1.646417;1.211446,0.2209687;1.64538;1.204638,0.1059078;1.630519;1.124936,0.2549165;1.627924;1.107917,-0.01193638;1.444315;1.126662,0.329666;1.445112;0.9849775,-0.01536556;1.125128;1.235733,0.3353567;1.252198;0.7225421,0.1191935;1.173086;1.439977,0.4028588;1.012389;0.7301138,0.09550874;0.8830134;0.997379,0.2647532;0.8975996;0.9987434,0.06934477;0.5100449;0.7269592,0.3038114;0.4956643;1.22199,0.03449437;0.5567427;0.3432226,0.2827482;0.1358112;1.365904,-0.01521806;0.4438872;0.1645381,0.3344525;0.125372;1.577406,0.1697302;1.009994;1.008634,0.1614547;1.114467;1.005795,0.1540801;1.231293;1.006793,0.1539718;1.353928;1.027353,0.2648135;1.227504;1.48361,0.1872326;1.243618;1.496671,0.1690741;1.177143;1.528429,0.3935506;0.8617524;0.7873984,0.4488838;0.9179903;0.7724136,0.4375251;0.9225811;0.6975325,0.02856457;0.463721;0.1790997,-0.04667445;0.4936244;0.1972755,0.2895077;0.127955;1.555143,0.3582774;0.09686011;1.521242,0.1801309;0;0.9980612
5,0.2270955;1.60636;1.440311,0.1944427;1.640263;1.406135,0.2540633;1.638145;1.39974,0.1392864;1.624059;1.319489,0.2883378;1.618765;1.303501,0.01757336;1.434476;1.312892,0.3622477;1.425404;1.177979,0.009103969;1.101776;1.379912,0.3674597;1.184782;0.9536198,0.1365421;1.075372;1.592478,0.4337548;0.9505587;1.007159,0.1331666;0.8749788;1.197393,0.3016555;0.8938725;1.186771,0.1087318;0.4547139;1.008455,0.3123087;0.4601587;1.343919,0.07380432;0.6273243;0.6625729,0.280915;0.0904597;1.457875,-0.00247024;0.5658034;0.4693543,0.352937;0.02367043;1.65253,0.2045923;1.003982;1.201411,0.1939706;1.108223;1.19793,0.1856078;1.224982;1.199045,0.1861631;1.347464;1.220487,0.2850527;1.082831;1.655402,0.2114871;1.112014;1.669022,0.1770244;1.045443;1.68076,0.4314061;0.8167275;1.097399,0.4840002;0.8708311;1.069909,0.4732651;0.8575935;0.9959714,0.04470308;0.574755;0.4840811,-0.02329092;0.6117831;0.5139346,0.3060731;0.03163433;1.636323,0.370743;0.01180422;1.588678,0.217411;0;1.192082
6,0.2532212;1.596917;1.632134,0.2210894;1.630078;1.596757,0.2806994;1.627034;1.590643,0.1660092;1.611722;1.510494,0.3150341;1.604112;1.495207,0.04007506;1.424343;1.492142,0.3876943;1.4;1.369794,0.02234714;1.084014;1.512772,0.4057789;1.11608;1.20128,0.1263188;0.9705722;1.70884,0.4679019;0.9090285;1.325347,0.1725764;0.8614895;1.379976,0.3384753;0.8905942;1.357868,0.1510004;0.4062039;1.308097,0.3581275;0.4513374;1.497811,0.110857;0.6412945;1.001878,0.2671605;0.07408059;1.504977,0.005327106;0.5859672;0.8212976,0.3613159;-0.03033817;1.671135,0.2363133;0.9945185;1.380724,0.2206503;1.098174;1.379631,0.2099628;1.21468;1.383631,0.2113374;1.336567;1.408202,0.2675979;0.9277883;1.774262,0.2006776;0.9674721;1.794159,0.1525143;0.9094555;1.785696,0.4573055;0.807781;1.450632,0.511465;0.8550438;1.414827,0.5114967;0.8199493;1.347554,0.05429366;0.5942312;0.828802,-0.007915735;0.6308967;0.8696815,0.3127139;-0.02485842;1.659727,0.3753251;-0.02304018;1.605672,0.2555258;0;1.368922
7,0.2863612;1.587258;1.822641,0.2536852;1.61923;1.786673,0.3133204;1.616918;1.780485,0.1987017;1.59834;1.700926,0.3477897;1.592558;1.685455,0.07089658;1.414109;1.672399,0.4219979;1.381006;1.564798,0.03092548;1.07591;1.643607,0.4480583;1.062433;1.472594,0.1052492;0.9077691;1.811911,0.5013225;0.9200553;1.670113,0.2082386;0.8505549;1.560994,0.370634;0.8844213;1.5244,0.2047257;0.3961995;1.641405,0.3970872;0.4325811;1.614163,0.1475885;0.6139512;1.325227,0.2524796;0.0902043;1.502288,0.01693782;0.5171032;1.182576,0.3506394;-0.02086449;1.661595,0.2685631;0.9851523;1.558962,0.2510893;1.088493;1.56149,0.2402791;1.204842;1.568553,0.2432348;1.326196;1.595508,0.2312646;0.8341915;1.881027,0.1643427;0.873257;1.902107,0.1150115;0.8251683;1.870308,0.4700041;0.870539;1.820535,0.5306099;0.9014798;1.77789,0.5370104;0.844595;1.728086,0.0657326;0.5284721;1.17909,0.008965999;0.571009;1.222144,0.30187;-0.0167169;1.65034,0.3644515;-0.008703232;1.596816,0.2894363;0;1.542697
8,0.3308481;1.582458;2.011371,0.2974114;1.613827;1.975571,0.3570337;1.612482;1.968986,0.2422059;1.591885;1.89023,0.3912619;1.588524;1.873767,0.114544;1.406918;1.850541,0.4729164;1.383073;1.764388,0.041738;1.085098;1.770003,0.5084521;1.049708;1.75463,0.09682289;0.8981594;1.925378,0.5412793;0.9922359;1.994925,0.2355834;0.8487629;1.755138,0.3952107;0.8727933;1.702223,0.2673018;0.4453711;1.976917,0.3934294;0.4118432;1.681285,0.1781855;0.553143;1.61485,0.2375846;0.106529;1.499228,0.03900605;0.4011022;1.5486,0.3424525;-0.006690264;1.653874,0.3030275;0.9795855;1.745321,0.2907603;1.08366;1.748317,0.2836494;1.200278;1.755638,0.2879838;1.321502;1.782988,0.2160127;0.8167872;1.997785,0.1447654;0.8492985;2.015558,0.1030207;0.8065005;1.968835,0.4876555;1.004381;2.146703,0.554999;1.016485;2.104663,0.5647126;0.9448191;2.081708,0.08563042;0.4112175;1.53291,0.03148517;0.4664737;1.562919,0.2934761;-0.004330993;1.643008,0.3552904;0.009446204;1.589766,0.315397;0;1.72868
9,0.3820019;1.586918;2.20066,0.3485287;1.618658;2.165223,0.4081071;1.617056;2.158306,0.2927526;1.597483;2.080059,0.4416985;1.593477;2.062765,0.167395;1.410097;2.025822,0.5326587;1.397727;1.969885,0.0622862;1.118829;1.896888,0.5795515;1.068674;2.017682,0.1086261;0.9284388;2.05092,0.5766488;1.095966;2.26541,0.2604502;0.8615329;1.957118,0.4180695;0.8647878;1.893842,0.3229634;0.53258;2.274607,0.3719201;0.4328004;1.738363,0.2107008;0.453814;1.911506,0.2329301;0.1439528;1.519507,0.09106918;0.2756786;1.942402,0.3268241;0.01982558;1.65599,0.3422507;0.9829553;1.939093,0.3402597;1.08777;1.940023,0.339287;1.204694;1.945657,0.3435228;1.326117;1.972127,0.2317543;0.8513906;2.121443,0.1580623;0.8778324;2.139313,0.1203627;0.8350523;2.089255,0.5011153;1.155379;2.395118,0.5745224;1.154032;2.362582,0.5845783;1.078873;2.365278,0.1357442;0.2811131;1.92011,0.07547569;0.3380992;1.922514,0.2784006;0.02124012;1.642743,0.342404;0.03765655;1.592947,0.3392599;0;1.92548
