Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
0,-0.0395109;1.556693;0.4205689,-0.06795163;1.591633;0.3837731,-0.007980462;1.590357;0.3851264,-0.1111409;1.578416;0.2901128,0.03878701;1.575226;0.2934961,-0.2184959;1.346989;0.2280119,0.1413481;1.409329;0.1839257,-0.1900871;1.018082;0.2832917,0.2382951;1.108662;0.06903434,-0.1092835;0.9063458;0.4909152,0.2641661;0.8656935;0.1182217,-0.1147067;0.8489993;0.1266797,0.05313203;0.8467538;0.1528218,-0.1123999;0.391683;0.06525135,0.02354218;0.5067537;0.4633714,-0.002453934;0.1278819;-0.1973695,0.07690114;0.3411983;0.116394,-0.1164585;0.01160258;-0.05439726,0.1826628;0.1567502;0.1628718,-0.03072997;0.9680682;0.1497043,-0.02983362;1.072879;0.1474812,-0.03150417;1.189856;0.151665,-0.03586059;1.310991;0.1794025,-0.005809192;0.8575021;0.604785,-0.08087553;0.8853273;0.5984769,-0.1083882;0.8285601;0.5563133,0.225477;0.7123344;0.1507055,0.2633666;0.7742748;0.1850101,0.3185803;0.7812152;0.1334296,-0.06696163;0.01291019;-0.06280443,-0.126156;0.02586037;-0.1194949,0.1350281;0.1640565;0.1487339,0.1986787;0.2138211;0.1309128,-0.0307873;0;0.1397508
1,-0.05545055;1.565569;0.5935081,-0.08433287;1.599489;0.5561066,-0.02436871;1.597415;0.5560465,-0.1300102;1.583345;0.4641001,0.01990004;1.57816;0.4639499,-0.2462287;1.36159;0.4329334,0.1082301;1.406707;0.3438896,-0.208246;1.037046;0.5136095,0.2221346;1.146247;0.1767096,-0.07911465;1.007049;0.7246711,0.2763271;0.9058651;0.2141513,-0.1319177;0.8424568;0.3083746,0.03472446;0.851084;0.3402219,-0.1011027;0.4199988;0.1253535,-0.01029924;0.5552809;0.691491,-0.005528815;0.1726795;-0.1581033,0.04964644;0.2372198;0.4772651,-0.1052725;0.04459101;-0.04633713,0.1327584;0.09590316;0.6204041,-0.05720893;0.9663979;0.3369544,-0.06171117;1.071136;0.3361403,-0.06558792;1.18809;0.3393888,-0.0670165;1.310122;0.363226,0.05271224;1.005927;0.8178344,-0.0261036;1.020097;0.8238573,-0.04962711;0.9507524;0.8039777,0.2511333;0.7488163;0.2419355,0.291254;0.8107191;0.2736752,0.3365378;0.8239906;0.2142571,-0.05632046;0.04406166;-0.05755076,-0.1179851;0.06142485;-0.1102905,0.08739625;0.09727222;0.5988933,0.1568402;0.1287745;0.5667897,-0.04859661;0;0.3242983
2,-0.05610093;1.574662;0.7708399,-0.0850108;1.607971;0.732914,-0.02504758;1.605873;0.7328244,-0.1307926;1.590327;0.6412355,0.01911549;1.585083;0.6410114,-0.2530709;1.383486;0.6499589,0.08771733;1.407525;0.5117798,-0.2220454;1.060313;0.7429619,0.2005851;1.198104;0.2940026,-0.04881578;1.095056;0.9187635,0.2835316;0.9658371;0.3299781,-0.1564086;0.8419226;0.5107017,0.01040748;0.8541986;0.5403661,-0.09397751;0.4946011;0.2134019,-0.03046541;0.5478968;0.8830397,-0.01327644;0.2443203;-0.07207292,-0.0002686009;0.1631644;0.8415889,-0.09656996;0.08462161;-0.02299696,0.05971702;0.09415382;1.039088,-0.08420117;0.9673685;0.539145,-0.08976648;1.072054;0.5381094,-0.09188578;1.189097;0.5384635,-0.08673608;1.312126;0.5557708,0.0992564;1.118963;0.9784464,0.02271476;1.134401;0.9972089,-0.0004826635;1.062313;1.001951,0.2661814;0.8068881;0.3524558,0.3088332;0.8683383;0.3816745,0.3451061;0.8859671;0.3174035,-0.04797667;0.09097314;-0.03398228,-0.1119015;0.1203845;-0.07796043,0.01566195;0.08995569;1.015343,0.08954706;0.09700513;0.9787809,-0.07300057;0;0.5255339
3,-0.04883716;1.581173;0.9551779,-0.07757667;1.613883;0.9166073,-0.01760043;1.612327;0.917266,-0.1220729;1.595019;0.8245396,0.02786758;1.591128;0.8261862,-0.2475849;1.397697;0.8599263,0.07829512;1.411087;0.6903114,-0.2301033;1.08078;0.9727443,0.1770077;1.24965;0.4367642,-0.02416833;1.148204;1.095897,0.2892613;1.030578;0.4758672,-0.1854851;0.8470737;0.7298921,-0.01809261;0.8520446;0.7584112,-0.1061598;0.5352635;0.3991371,-0.04064505;0.4990528;1.05473,-0.02773847;0.3148152;0.08945721,-0.05372477;0.1253072;1.158616,-0.06078492;0.1392469;-0.03230017,-0.02338284;0.1006476;1.372714,-0.1072919;0.9694967;0.7555445,-0.1079536;1.074259;0.7516197,-0.1048657;1.191174;0.7465886,-0.09353706;1.314676;0.7555789,0.1299094;1.185844;1.125934,0.05612353;1.209474;1.147059,0.03419083;1.144238;1.179004,0.2835631;0.8721318;0.5064175,0.3269744;0.9366233;0.5265511,0.3521907;0.9530612;0.4569006,-0.01780895;0.1607745;-0.01774156,-0.08947784;0.2001687;-0.03178263,-0.06554043;0.09827918;1.345521,0.01069275;0.08235621;1.317585,-0.1017888;0;0.7441517
4,-0.04343937;1.587748;1.134547,-0.07167547;1.618782;1.094257,-0.01172315;1.6166;1.095237,-0.1160579;1.595779;1.00308,0.03382295;1.590326;1.005529,-0.2432077;1.40195;1.049277,0.07650852;1.412887;0.8702707,-0.2393776;1.079164;1.149545,0.1504974;1.259387;0.6040192,-0.02151658;1.134738;1.257109,0.2897195;1.06104;0.6623098,-0.20261;0.8526515;0.930153,-0.03565566;0.8457739;0.9607674,-0.141095;0.5141603;0.6226523,-0.05977233;0.4600991;1.212938,-0.04387909;0.4200024;0.2588772,-0.07970729;0.1037838;1.365552,-0.06053825;0.2748371;0.09739238,-0.06213025;0.08383781;1.581561,-0.1160534;0.9693449;0.9556528,-0.1104086;1.073865;0.9497644,-0.1035607;1.190387;0.9408373,-0.09184882;1.314127;0.9444816,0.1364886;1.160924;1.277299,0.06609485;1.191988;1.300294,0.04061094;1.130933;1.337446,0.2993941;0.9062194;0.707122,0.3390796;0.9752828;0.7173374,0.3567773;0.9867886;0.6444561,-0.02001867;0.2976769;0.1163352,-0.09679233;0.3290808;0.1140745,-0.1027613;0.08202738;1.552097,-0.02563002;0.06309193;1.528908,-0.1191328;0;0.9454602
5,-0.06436668;1.601521;1.298216,-0.09270696;1.630622;1.256579,-0.03274838;1.628652;1.257622,-0.1370666;1.603395;1.166562,0.0128299;1.59847;1.16917,-0.2638679;1.400466;1.216146,0.05224746;1.418303;1.031601,-0.2978306;1.067136;1.256226,0.1175907;1.214521;0.7914057,-0.08954906;1.045192;1.391352,0.2551786;1.044459;0.9108665,-0.2182161;0.8581699;1.12507,-0.04935104;0.855534;1.143398,-0.1934885;0.4599438;0.8932905,-0.07357547;0.4451596;1.352975,-0.07205214;0.5183066;0.5292906,-0.1033738;0.0800671;1.481305,-0.07310598;0.4519105;0.3220288,-0.06113818;-0.02624422;1.666633,-0.1321279;0.9774257;1.136316,-0.1286331;1.081529;1.12443,-0.1235449;1.197755;1.111413,-0.1122214;1.321572;1.113249,0.06640808;1.033096;1.431227,0.00083673;1.073929;1.453182,-0.04059529;1.014164;1.474833,0.2704468;0.9169636;1.008758,0.3033824;0.9892848;0.9971849,0.329193;0.976696;0.9269524,-0.03454235;0.4615056;0.352739,-0.1089647;0.4981063;0.3554226,-0.1040186;-0.02191377;1.640848,-0.02789788;-0.01653773;1.608876,-0.1337836;0;1.134234
6,-0.08934143;1.623302;1.455001,-0.1187912;1.645582;1.410057,-0.0588609;1.647784;1.411929,-0.1596601;1.60552;1.323241,-0.009834185;1.611025;1.327921,-0.2886173;1.402826;1.369735,0.02634773;1.423875;1.184857,-0.3667827;1.078407;1.348316,0.1087211;1.151371;1.021044,-0.2208989;0.9583496;1.510876,0.2152829;1.045991;1.220197,-0.2255237;0.8651273;1.299757,-0.05605026;0.8713369;1.289833,-0.2611803;0.4200224;1.18345,-0.0798968;0.4670224;1.510916,-0.133094;0.5924987;0.8601936,-0.1092234;0.08014578;1.50017,-0.1324577;0.5694261;0.6437814,-0.0587297;-0.03611946;1.673878,-0.145296;0.9887404;1.293203,-0.1480668;1.092622;1.279351,-0.1466791;1.208999;1.266763,-0.134958;1.332706;1.271367,-0.09442912;0.8921859;1.586287,-0.1465916;0.9524511;1.596093,-0.209393;0.9100075;1.599527,0.2142856;0.9956792;1.373621,0.2424879;1.056625;1.329584,0.2877455;1.015544;1.284625,-0.09414782;0.5723581;0.6761246,-0.1684225;0.6081399;0.6855283,-0.1025317;-0.03179431;1.649691,-0.02766423;-0.02302158;1.615582,-0.140787;0;1.294795
7,-0.09642143;1.640734;1.611396,-0.1277833;1.662485;1.567499,-0.06788968;1.666056;1.567483,-0.170459;1.62179;1.481854,-0.02072495;1.630719;1.481815,-0.2974206;1.420298;1.517658,0.02287643;1.440562;1.338511,-0.4353577;1.129804;1.448992,0.1149753;1.118975;1.317332,-0.3483138;0.9800999;1.628251,0.1729394;1.120148;1.559738,-0.2313201;0.8881684;1.464752,-0.06886983;0.8897871;1.415098,-0.306766;0.4364086;1.52077,-0.07223348;0.4661085;1.59786,-0.208427;0.6317827;1.200134,-0.1213329;0.09744835;1.486828,-0.2076951;0.5832512;0.9879763,-0.07236204;-0.02283299;1.655793,-0.1524151;1.009503;1.436265,-0.1563496;1.113292;1.422005,-0.1558508;1.229832;1.410958,-0.1438673;1.353316;1.419343,-0.2558102;0.906037;1.737872,-0.3037376;0.9701908;1.731852,-0.3677208;0.9326189;1.715985,0.1446862;1.173159;1.709614,0.1771239;1.199023;1.640854,0.2329459;1.147778;1.636969,-0.1697193;0.5953432;1.018537,-0.2481752;0.6213037;1.026034,-0.1162861;-0.01731181;1.632076,-0.04157333;-0.01018584;1.597252,-0.150095;0;1.439925
8,-0.09558748;1.663166;1.76103,-0.1272079;1.685895;1.717819,-0.06738652;1.690511;1.718127,-0.1689312;1.647498;1.630658,-0.0193775;1.659036;1.631429,-0.291668;1.46072;1.642133,0.05731039;1.482761;1.52186,-0.4861168;1.215568;1.560731,0.1445893;1.174042;1.625335,-0.4348895;1.099149;1.775078,0.1234583;1.27771;1.851008,-0.244813;0.9293448;1.61193,-0.08875474;0.9098357;1.547716,-0.3205109;0.5453303;1.856307,-0.06925705;0.4616238;1.655617,-0.2663551;0.6519012;1.487039,-0.1324046;0.1153299;1.492087,-0.2862957;0.5185234;1.316218,-0.08040811;-0.007400334;1.654654,-0.1553646;1.039341;1.571194,-0.1504416;1.142704;1.554377,-0.1441026;1.259085;1.54346,-0.1312327;1.382166;1.555608,-0.3647832;1.048912;1.911534,-0.4000482;1.114598;1.881688,-0.4684248;1.08393;1.869799,0.06938076;1.39946;1.942243,0.1208804;1.386579;1.881986,0.1671001;1.33923;1.919122,-0.2454135;0.5401707;1.335772,-0.3223051;0.5713212;1.337449,-0.1248298;-0.001945138;1.631867,-0.05087732;0.005310059;1.595482,-0.1667838;0;1.579823
9,-0.1096767;1.709664;1.908306,-0.1388919;1.730969;1.862741,-0.07923961;1.736238;1.866461,-0.175016;1.68997;1.774274,-0.02588518;1.703142;1.783574,-0.2887557;1.522867;1.765763,0.06896408;1.548999;1.713571,-0.5303774;1.329893;1.693258,0.1447239;1.291144;1.908659,-0.4926998;1.260266;1.929593,0.06829095;1.464611;2.07049,-0.2573481;0.9899794;1.764404,-0.1125353;0.9500543;1.685072,-0.3140121;0.7414948;2.149061,-0.09158285;0.4896861;1.661861,-0.3132675;0.6411829;1.774114,-0.1426179;0.1398375;1.501704,-0.3736614;0.4353184;1.737517,-0.09140471;0.00967741;1.652834,-0.1604296;1.08724;1.710488,-0.1468329;1.189339;1.690946,-0.134384;1.305233;1.680101,-0.1214931;1.427922;1.695698,-0.4324119;1.262444;2.079325,-0.4626579;1.313282;2.025014,-0.531819;1.282365;2.02075,-0.006881535;1.600979;2.113198,0.05531661;1.577065;2.068381,0.09595802;1.546138;2.124497,-0.3285861;0.4570581;1.733282,-0.4017728;0.4945999;1.722336,-0.1358188;0.01565635;1.630163,-0.06184974;0.0242402;1.594103,-0.1849416;0;1.724738
